"jobs_title","jobs_requirement"
"Solutions Analyst","Role Description
Business Solutions Analyst
Bristol
The purpose of this role is to analyse and define business requirements to support developments to the companies Finance Systems - specifically this includes Data Warehouse and Business Intelligence applications, The Business Solutions Analyst will assess the impact of change, investigates options & assists in the development of potential solutions to support business change. . They will work with Business Analysts from the business change community to ensure that requirements are unambiguous and fit for purpose for development of change to Finance Systems applications and where required they will be responsible for authoring and reviewing business requirements (both functional and non-functional). The Business Solutions Analyst will ensure that business objectives are understood and met by the solution developed.
The Business Solutions Analyst will build and develop working relationships with key Business stakeholders, Business Analysts and Solution Design and Development teams both within Finance and the wider IT. The will report directly to the Analysis & Design Manager.
Qualifications:
Educated to degree standard or equivalent experience
Skills:
Strong verbal and written communication skills enabling effective interaction with both IT and Business stakeholders
Organised (self and others) and self-motivated
Strong business analysis skills and techniques, including business requirement management and process modelling
Consultancy on helping to shape practical solutions
Ability to train techniques to other team members in a clear and concise manner
Knowledge:
Familiarity with the groups development lifecycle or similar software solution development lifecycles
Principles of Data security
Degree educated in an IT discipline or equivalent IT qualifications preferred
About the rewards
Competitive bonus and pension scheme alongside great flexible benefit options’.
About Aviva
We’re here to free people from the fear of uncertainty. Our insurance, savings and investment products help some 31 million customers enjoy life today, knowing that tomorrow is covered. And we definitely know how to look after our own people. If you love doing a great job to improve things for customers, you’ll be at home here. Help us build a future to be proud of and get ready to fulfil your potential with Aviva.
Back to top"
"Head of Program Delivery Lead","Role Description
A fantastic opportunity has arisen in the Global IT Operations department. We are actively recruiting for a Head of Programme Delivery to be based in our Bristol office.
Role Purpose:
The leadership of a major programme of Infrastructure change e.g. Network replacement, Data Centre relocations; Cloud migrations, Workplace changes etc. in support of the Aviva IT Strategy and need for ongoing management of our assets. The delivery of the CIO Portfolio and IT Infrastructure Programme is critical to the success to Global IT Operations and the wider Aviva business, in terms of cost reduction, business enablement and risk mitigation. Each year c£20m of investment is made across a wide portfolio focused on the IT Strategy to simply and globalise the Infrastructure estate. In addition, a number of supplier investments are also managed in this portfolio. Each programme is typically complex in nature and large in scale (for example migrating 24,000 people to new email and desktop, replacing the UK&I network and contact centre technology etc). Due to its nature the changes within these programmes have the potential for high impact disruption and business risk if not managed well.
Key duties include:
• Delivery of programme to time, quality and cost
• Management of delivery, technical and commercial risks
• Safe implementation into production operation, minimising business impact
• Delivery of benefits (working with sponsor)
QUALIFICATIONS
MSP / Prince 2 / Agile
SKILLS/KNOWLEDGE
• Full understanding of the Infrastructure Strategy and changes needed
• Ability to lead and motivate new teams quickly and effectively.
• Excellent communicator. Persuasive and articulate, able to influence and negotiate at senior / exec level
• Change management.
• Strong financial management
• Understanding and practice of programme management disciplines.
• Facilitation skills at a senior level.
• Sophisticated relationship management skills
• Management of diverse and complex programmes.
EXPERIENCE
• Proven track record in managing successfully end-to-end IT and change projects / programmes to consistently high standards (time, quality & cost)
• Experience of delivering major infrastructure change at scale
• Technical knowledge in related area
We prefer all applications to be submitted online, however if you require an alternative method of applying please contact Saima Akram in the Resourcing team on 0121 779 1449.
Back to top"
"IT Care Technical Analyst","Role Description
IT Care Technical Service Specialist
London
IT Care at Aviva is an industry leading, award winning IT family, passionate about technology and supporting their colleagues to give them what they need, when they need it, to do their jobs.
We pride ourselves on employing incredible individuals, whose varied skills and strengths bring value to the team and are committed to constantly challenging themselves and each other.
We are currently looking for an IT Care Technical Analyst to join our dynamic London Desk Side support team. The successful candidate will have amazing people skills, a love of solving problems and a genuine enthusiasm for new technologies. In IT Care we don’t just “accept” change; we invent it, we support it, and we celebrate it.
IT Care London supports various functions including our Digital Garage in Hoxton Square, our London Service Bar and our St. Helen’s Desk side team. The role will be predominantly St. Helen’s based, but will include plenty of opportunities to support other IT Care teams both in London, and across the UK.
On a day to day basis you will provide IT help and guidance to our St. Helen’s business Colleagues, you’ll use your charisma and IT Knowledge to ensure that every interaction with IT is a positive and useful one for everyone you assist. You will also support the other IT Care teams across all London sites when required.
Skills/knowledge:
Excellent customer service skills.
Strong, autonomous problem solving approach.
Experience in challenging process and delivering change.
Problem Solving including route cause analysis.
Ability to multi task and prioritise, in a busy working environment.
Windows 7, 10.
MS Office 365, including an in depth understanding of Outlook and its features.
Mobile device support (iPhone’s, iPad’s, Blackberries).
Mobility / VPN technologies.
Remote Desktop tool experience.
Windows zero configuration service + wireless.
Apple Mac and IOS Experience.
Audio Visual support.
Basic understanding of network protocols.
Desirable:
Industry knowledge of the Insurance sector.
We offer a competitive salary and fantastic benefits, including excellent pension and bonus potential, as well as generous annual leave.
We’re here to free people from the fear of uncertainty. Our insurance, savings and investment products help some 31 million customers enjoy life today, knowing that tomorrow is covered. And we definitely know how to look after our own people. If you love doing a great job to improve things for customers, you’ll be at home here. Help us build a future to be proud of and get ready to fulfil your potential with Aviva.
Back to top"
"Information Security Controls Tester","Role Description
ROLE DEFINITION
The Security Control function within CISO sets and maintains the Information Security Controls Testing framework and delivers first line of defence security controls assurance against this for relevant applications, infrastructure and processes across UK markets and regulatory third party IT suppliers. Currently, we also provide global guidance and oversight with regards to this controls testing activity in all non UK markets.
The IT Controls tester is primarily responsible for the delivery of defined security and IT general computing controls (GCC) testing across markets and reporting the results.
The IT Controls Tester will also contribute to the development and continuous improvement of the information security mandatory controls framework and controls testing methodology across the UK and globally.
Essential Knowledge and Skills
SKILLS/KNOWLEDGE
Most essential to a successful candidate will be strong analytical skills and a desire to learn and self-develop.
Broad knowledge of Security and IT general computing controls.
Good understanding of the Aviva IT environment and technology roadmap and/or governance frameworks.
Stakeholder management and collaboration skills at A to Hof levels.
EXPERIENCE
How to liaise with internal customers where required at levels A to Hof to promote and obtain buy-in for controls assurance activities.
How to plan and deliver testing / activity schedules.
How to work proactively and effectively as part of a distributed team to deliver results
How to work collaboratively on a market and, where required, global scale.
Desirable Knowledge and Skills
QUALIFICATIONS
Relevant industry qualification (e.g., CISA, CRISC, CGEIT, CISSP)
Ideally a degree in a Technology related subject and/or relevant organisational and subject matter expertise.
SKILLS/KNOWLEDGE
Good understanding of Aviva policies and standards relating to technology and awareness of best practice frameworks and standards (e.g. ITIL, COBIT, Val IT, ISO27001).
Good knowledge of Aviva internal governance functions, particularly Operational Risk, Compliance and Internal Audit.
A good working knowledge of information security controls, tools and activities.
Awareness of regulatory requirements in the Financial Services Industry (e.g. SOx, Solvency II, FSA Handbook)
EXPERIENCE
How to contribute to the development of security or technology standards including writing controls and test scripts.
How to create and provide accurate and qualitative output/reports to multiple internal & external consumers, addressing multiple issues and themes in a consistent, relevant and effective manner.
How to identify control deficiencies and raise appropriate risks and issues.
Back to top"
"Security Controls Tester","Role Description
ROLE DEFINITION
The Security Control function within CISO sets and maintains the Information Security Controls Testing framework and delivers first line of defence security controls assurance against this for relevant applications, infrastructure and processes across UK markets and regulatory third party IT suppliers. Currently, we also provide global guidance and oversight with regards to this controls testing activity in all non UK markets.
The IT Controls tester is primarily responsible for the delivery of defined security and IT general computing controls (GCC) testing across markets and reporting the results.
The IT Controls Tester will also contribute to the development and continuous improvement of the information security mandatory controls framework and controls testing methodology across the UK and globally.
Essential Knowledge and Skills
SKILLS/KNOWLEDGE
Most essential to a successful candidate will be strong analytical skills and a desire to learn and self-develop.
Broad knowledge of Security and IT general computing controls.
Good understanding of the Aviva IT environment and technology roadmap and/or governance frameworks.
Stakeholder management and collaboration skills at A to Hof levels.
EXPERIENCE
How to liaise with internal customers where required at levels A to Hof to promote and obtain buy-in for controls assurance activities.
How to plan and deliver testing / activity schedules.
How to work proactively and effectively as part of a distributed team to deliver results
How to work collaboratively on a market and, where required, global scale.
Desirable Knowledge and Skills
QUALIFICATIONS
Relevant industry qualification (e.g., CISA, CRISC, CGEIT, CISSP)
Ideally a degree in a Technology related subject and/or relevant organisational and subject matter expertise.
SKILLS/KNOWLEDGE
Good understanding of Aviva policies and standards relating to technology and awareness of best practice frameworks and standards (e.g. ITIL, COBIT, Val IT, ISO27001).
Good knowledge of Aviva internal governance functions, particularly Operational Risk, Compliance and Internal Audit.
A good working knowledge of information security controls, tools and activities.
Awareness of regulatory requirements in the Financial Services Industry (e.g. SOx, Solvency II, FSA Handbook)
EXPERIENCE
How to contribute to the development of security or technology standards including writing controls and test scripts.
How to create and provide accurate and qualitative output/reports to multiple internal & external consumers, addressing multiple issues and themes in a consistent, relevant and effective manner.
How to identify control deficiencies and raise appropriate risks and issues.
Back to top"
"Senior IT Risk & Assurance Manager","Role Description
We have an excellent opportunity for a Senior IT Risk & Assurance Manager in the Group CIO Risk & Assurance team within CISO. The team provide oversight, support and risk expertise to all global CIO teams and IT functions. We ensure that risks are identified and appropriately managed to maintain IT service to our businesses at the expected levels and to protect our customers’ information from external or internal threats.
This is a pivotal role in supporting first line management to understand, assess and manage key IT & Security risks and associated key controls; to enable better business decisions and enable the UK Life CIO leadership team to achieve their objectives.
You will be the aligned lead Risk Manager for the UKL CIO and Director of Technology Services to drive forward the effectiveness of risk management by building trusted relationships within the first line of defence. As a ‘critical friend’ you’ll be identifying and helping to mitigate Aviva’s ‘real risks’ using your knowledge, instinct and business acumen.
Primary Responsibilities: Being the IT Risk and Controls Assurance lead for UK Life & Technology Services
Lead the implementation of the Aviva Operational Risk & Control Model (ORCM) UK Life & Technology Services. This includes assessment of Operational and technical IT & Security Risks.
Enhance risk and control management capabilities within 1st line functions under responsibility by providing training and support.
Drive CIO leadership accountability for risk and controls management.
Develop and maintain effective relationships with senior internal and external stakeholders to ensure that IT risks are managed in line with risk appetite, strategy and objectives.
Manage the IT and BP Business Standard assessments and compliance with Corporate Governance requirements.
Provide independent risk assessment on the robustness of processes, new propositions/projects to mitigate operational and regulatory related risks.
Adding value to the business by getting to the “so what” of risk identification, assessment & remediation.
Influencing, managing expectations & negotiating “balanced” consistent Risk solutions that are appropriate both for a business unit & a wider Group as a whole.
Support 2nd line Risk on specific risks and issues relevant to areas of responsibility.
You will also be responsible for managing one grade D direct report, who will work with you on the UK Life CIO agenda.
Essential Skills and Knowledge:
A track record in effective operational risk management. Risk qualification preferred, or prepared to work towards.
Strong understanding of IT and Security functional areas – objectives, priorities, strategy and typical risk exposures
Knowledge of IT & Security governance models and standards e.g. COBIT, ITIL, ISO27001.
Awareness of Aviva’s IT and Business Protection Business Standards
Ability to identify, design, and deliver a strategic programme of work
Interpersonal skills – succinct, clear communicator
Excellent influencing style with senior management as well as all levels within the business.
Hands-on and flexible approach
Back to top"
"eSecurity Business Analyst","Role Description
Senior Digital Business Analyst
‘Come and join me leading the digital transformation of Aviva. We will fundamentally change the way consumers engage with our products and services.” This is a once in a lifetime opportunity to change an entire industry.’ –Andrew Brem - Aviva Chief Digital Officer
We are currently recruiting for a Senior Digital Business Analyst to be responsible for the development and on going definition of viable business requirements, (user stories/acceptance criteria) and non functional requirements to support Aviva’s ambition Digital plans. Our Senior Digital Business Analyst play a key role within the Agile feature/platform team to ensure the expected business outcomes are delivered. They will also be required to lead and develop other Business Analysts providing coaching and mentoring when needed.
Our Senior Digital Business Analyst will ensure business goals are understood and requirements/user stories/acceptance criteria are documented in conjunction with Product Owners, to enable solutions to be defined by the scrum team. The Analyst will work collaboratively with design/development/ test colleagues in order to ensure that solutions address the requirements of the business. You will also champion and make wider contributions to the Digital team through your knowledge from previous roles.
The Successful candidate will have a detailed knowledge of creating Epics/User Stories/Requirements Definition/Acceptance Criteria using Agile tools and techniques, Behaviour Driven Development (BDD) as well as Business Analysis tools and techniques. You will have experience working with full scale scrum or Kanban, and be a competent user of Jira and Confluence.
Previous experience working with databases and data feeds, specifically Marketing Databases, would be advantageous.
You will have an understanding of the financial services industry and the legislation frameworks governing it. You will also possess excellent communication and stakeholder management skills.
We offer a competitive salary and fantastic benefits, including excellent pension and bonus potential.
We’re here to free people from the fear of uncertainty. Our insurance, savings and investment products help some 31 million customers enjoy life today, knowing that tomorrow is covered. And we definitely know how to look after our own people. If you love doing a great job to improve things for customers, you’ll be at home here. Help us build a future to be proud of and get ready to fulfil your potential with Aviva.
Back to top"
"A&I Business Analyst","Role Description
Senior Digital Business Analyst (A&I)
‘Come and join me leading the digital transformation of Aviva. We will fundamentally change the way consumers engage with our products and services.” This is a once in a lifetime opportunity to change an entire industry.’ –Andrew Brem - Aviva Chief Digital Officer.
We are currently recruiting for a Senior Digital Business Analyst to be responsible for the development and on going definition of viable business requirements, (user stories/acceptance criteria) and non functional requirements to support Aviva’s ambition Digital plans. Our Senior Digital Business Analyst play a key role within the Agile feature/platform team to ensure the expected business outcomes are delivered. They will also be required to lead and develop other Business Analysts providing coaching and mentoring when needed.
Our Senior Digital Business Analyst will ensure business goals are understood and requirements/user stories/acceptance criteria are documented in conjunction with Product Owners, to enable solutions to be defined by the scrum team. The Analyst will work collaboratively with design/development/ test colleagues in order to ensure that solutions address the requirements of the business. You will also champion and make wider contributions to the Digital team through your knowledge from previous roles.
The Successful candidate will have a detailed knowledge of creating Epics/User Stories/Requirements Definition/Acceptance Criteria using Agile tools and techniques, Behaviour Driven Development (BDD) as well as Business Analysis tools and techniques. You will have experience working with full scale scrum or Kanban, and be a competent user of Jira and Confluence.
Previous experience working with databases and data feeds, specifically Marketing Databases, would be advantageous.
You will have an understanding of the financial services industry and the legislation frameworks governing it. You will also possess excellent communication and stakeholder management skills.
We offer a competitive salary and fantastic benefits, including excellent pension and bonus potential.
We’re here to free people from the fear of uncertainty. Our insurance, savings and investment products help some 31 million customers enjoy life today, knowing that tomorrow is covered. And we definitely know how to look after our own people. If you love doing a great job to improve things for customers, you’ll be at home here. Help us build a future to be proud of and get ready to fulfil your potential with Aviva.
Back to top"
"Consultant/Engagement Lead - Information Security","Role Description
This role is aligned to the UK CISO function and will be working within the wider Global CISO business unit, suppliers and business teams to ensure that UK business lines develop, build and operate secure applications and install a secure IT and business infrastructure. You will be part of a dedicated team that supports Aviva UK in achieving its objectives and to mitigate any risks through the adoption of industry best practice via policy, effective risk management, assurance and training.
The main focus of this role is to manage and contribute towards the delivery of both technical and non-technical change initiatives lead by both business and internally within UK CISO; the role will involve engagement with stakeholders from across all areas of the Aviva business and its suppliers.
Candidates should be able to demonstrate strong skills in leadership, influencing, security risk, operations and infrastructure management in either a previous Information Security role in an operational or governance environment, preferably in a Financial Services organisation.
This role can be based either from the Bristol office, or working from home with two days per week in the Bristol office.
Duties & Responsibilities
Working to the UK policies and standards set by the UK CISO team and industry best practice to ensure the security aspects of the UK markets are implemented and managed in an effective and appropriate manner via the proactive and reactive engagement in change and BAU initiatives.
Promote the processes and standards set by the Global & UK CISO teams to ensure all UK CISO initiatives, projects and programs are secure by design and well managed and that a sustainable control environment is embedded.
Develop strong relationships with all necessary security, IT and Business stakeholders to ensure the security risk picture is well understood and managed effectively.
Develop firm understanding of local business plans, products and objectives.
Establish and embed appropriate processes to ensure that adequate security assurance is undertaken in relations to the business change initiatives.
Take an active lead to evangelisation of security concepts and promote secure design across the UK CISO business.
Analysing and producing MI on a monthly basis, establishing root cause, identifying any remedial actions to take and liaising with the relevant team/area to get issues resolved.
Skills & Experience required
CISSP or CISM qualified.
Broad experience of security management concepts built up over a number of years in dedicated technical and security operations and / or management roles.
In-depth knowledge of IS governance processes and practices, including ISMS monitoring and control frameworks such as, ISO, ISF and COBIT, their relationships to other frameworks and their application within a financial services environment or other highly regulated industry.
Good understanding of Secure Development Lifecycles and their application in an agile environment.
Good understanding of security architecture principles and processes.
Good knowledge of IT Operations procedures and best practices.
Excellent stakeholder management.
Excellent influencing, negotiating and communication (written and verbal) skills.
Disciplined and organised mind-set with a good attention to detail.
Excellent time management skills, including the ability to manage a demanding and variable workload with tight deadlines.
What will you get from this role?
Flexible salary depending on experience
Annual performance related pay review and bonus
Defined contribution pension scheme
Generous holiday allowance
Excellent flexi-benefits package
The Bristol site includes free parking, free bus service to and from Bristol City Centre, restaurant, fully equipped gym, W.H. Smiths and a cash point
Back to top"
"Consultant / Engagement Lead - IT Security","Role Description
Aviva provides around 31 million customers worldwide with insurance, savings and investment products. We are the UK’s largest insurer and one of Europe’s leading providers of life and general insurance.
We combine strong life insurance, general insurance and asset management businesses under one powerful brand. We are committed to serving our customers well in order to build a stronger, sustainable business, which makes a positive contribution to society, and for which our people are proud to work.
Purpose of the Role
This role is aligned to the UK & Ireland CISO function and will be working within the wider Global CISO business unit, suppliers and business teams to ensure that Irish business lines develop, build and operate secure applications and install a securely controlled infrastructure. You will be part of a dedicated team that supports Aviva Ireland in achieving its objectives and to mitigate any risks through the adoption of industry best practice via policy, effective risk management, assurance and training.
The main focus of this role is to manage and contribute towards the delivery of both technical and non-technical change initiatives lead by both business and internally within UK & Ireland CISO; the role will involve engagement with stakeholders from across all areas of the Aviva business and its suppliers.
Candidates should be able to demonstrate strong skills in leadership, influencing, security risk, operations and infrastructure management in either a previous Information Security or Corporate Governance role in an operational environment, preferably in a Financial Services organisation.
Duties & Responsibilities
Working to the policies and standards set by the UK & Ireland CISO team and industry best practice to ensure the security aspects of the Irish market is implemented and managed in an effective and appropriate manner via the proactive and reactive engagement in change and BAU initiatives
Promote the processes and standards set by the Global & UK & Ireland CISO teams to ensure all initiatives, projects and programs are secure by design and well managed and that a sustainable control environment is embedded
Develop strong relationships with all necessary security, IT and Business stakeholders to ensure the security risk picture is well understood and managed effectively
Develop firm understanding of local business plans, products and objectives
Establish and embed appropriate processes to ensure that adequate security assurance is undertaken in relations to the business change initiatives.
Take an active lead to evangelisation of security concepts and promote secure design across the Irish business.
Analysing and producing MI on a monthly basis, establishing root cause, identifying any remedial actions to take and liaising with the relevant team/area to get issues resolved.
Skills & Experience required
CISSP or CISM qualified
Broad experience of security management concepts built up over a number of years in dedicated technical and security operations and / or management roles.
In-depth knowledge of IS governance processes and practices, including ISMS monitoring and control frameworks such as, ISO, ISF and COBIT, their relationships to other frameworks and their application within a financial services environment or other highly regulated industry.
Good understanding of Secure Development Lifecycles and their application in an agile environment
Good understanding of security architecture principles and processes
Good knowledge of IT Operations procedures and best practices
Excellent stakeholder management
Excellent influencing, negotiating and communication (written and verbal) skills.
Disciplined and organised mind-set with a good attention to detail
Excellent time management skills, including the ability to manage a demanding and variable workload with tight deadlines
We prefer applications via the online process below, but if you have further questions on the role please contact nicole.wheeler@aviva.com
Back to top"
