title,requirement
Consumer Product Strategy Analyst III,"Job description This position reports to the Application Level Data Management (ALDM) Process Manager in the GT&O Data Quality and Control Group (DQ&C). As a member of the ALDM Team the individualâ€™s primary responsibilities will include: Drive the development of and maintain all metric reporting, tracking of engagement progress, evidence for progress reporting and compliance testing. Serve as owner Applications List (AITs) utilized for prioritizing, managing, tracking and coordinating ALDM activities. Support the development and maintenance of Data Management education and assessment materials for use in driving awareness and compliance to the Enterprise Data Management Standards. Continue development and maintenance of Team SharePoint Site for coordinating ALDM Curriculum, capturing assessment results, tracking progress, and managing overall metric reporting. Team lead with regards to conducting data analysis in support of application prioritizations, developing and maintaining macros for assessments and pulling data as needed for application audits. Support other team members as they manage and lead engagements with assigned Application Teams to provide guidance and support through the execution and collection of evidence demonstrating EDM compliance. Complete process documentation, procedures and adoption related materials as necessary. Qualifications Required Skills: Minimum 5+ years in Financial Services Industry Experience with data management, metadata development/management or data quality in a complex organization Demonstrated consultative capability in addressing complex business and compliance issues Experience as a data analyst proficient with developing and maintaining local databases in MS Access, SharePoint, and Excel and reporting data effectively Strong Excel skills including vlookups, pivot tables, form controls, simple VB Macros Familiarity with SharePoint advanced features including security, lists, forms, workflows, and reporting Demonstrated ability to quickly acquire software skills Strong facilitation, written and verbal communication skills with demonstrated ability to communicate with both technical and non-technical audiences Desired Skills: Experience supporting Risk and Compliance groups in a data analyst capacity Technology Architecture knowledge/experience a plus Consumer Banking product knowledge/experience preferred Camtasia / Snapshots experience with creating and posting videos Posting Date: 06/14/2016 Location: US-NC-Charlotte Travel: No Full / Part-time: Fulltime Hours Per Week: 40.00 Shift: 1st Shift"
Equity Derivatives Test Analyst,"Job description Department Overview Equity Derivatives Technology provides IT development and support for the Equity Derivatives business. Equity Derivatives covers a variety of business lines, including Arbitrage, Volatility, Exotics, Fund Linked derivative, Swaps and Convertible Bond trading. Trading desks are currently in London, New York and Hong Kong with Sales in offices worldwide. Main Function This Analyst level hire will undertake a comprehensive testing role within the Trade Capture Team in Equity Derivatives Technology. Current solutions are based around C# clients with Java on the server. The person fulfilling this role carry out all the defined duties and responsibilities to enable the team to continue delivering high profile, high value projects. Main Duties: â€¢ This skilled team member will work within a self-directed and self-organizing team to deliver high quality, robust testing solutions on applications supporting up to several hundred users. Must be able to communicate with local or remote team members to ensure maximum benefit to the development team. â€¢ Take full responsibility for the on-going system testing within development projects â€¢ Create test plans and test strategies â€¢ Report and track bug cases â€¢ Assist development team in bug isolation, root cause analysis of failures and resolution â€¢ Assist with test automation Requirements. â€¢ The candidate should be self-driven, with a strong background in software quality engineering. Ensure that requirements are mapped onto a test plan Automate system testing where possible and appropriate Facilitate UAT with multiple stakeholders Additional responsibilities: â€¢ Experience working in a QA team environment delivering high quality software â€¢ Experience writing and executing complex system level test plans, test cases and test reports â€¢ Must have excellent analytical skills and be able to debug complex system problems â€¢ Experience working with Linux or Unix â€¢ Working knowledge of writing and running SQL queries â€¢ Identify issues within projects, processes or procedures and look to provide or influence solutions. General Description Works with project teams to ensure overall software quality is monitored and maintained and/or validates system QA standards necessary to execute test plans and procedures for acceptance testing of new or modified applications/systems. Has some interaction with business area execs, vendors and operations execs in determining whether systems and system components, including hardware, networks, system software, tools, and applications are appropriate and/or ready for implementation. Fosters stable support framework for development teams and business units in the area of quality control and the development of new or revised applications. May provide guidance in the creation of standard test environments, tests plans, and test scripts. Analyzes, designs, documents new or modified QA procedures and standards and assists in the development and implementation of QA metrics for assessing the quality of delivered applications and information systems. Provide resolution to an assortment of problems complex in scope, related to Quality Assurance projects. Individual contributor role. Typically requires 5-7 years of applicable experience. This job code is only to be used for associates supporting Capital Markets. Qualifications Requirements: â€¢ Experience of working in Agile environment â€¢ Strong communication skills (written and verbal) â€¢ Strong organizational skills with the ability to track multiple test executions and releases Primary skills in: â€¢ System & Functional testing â€¢ Integration testing Other beneficial experience: â€¢ Education and Experience B.S. or M.S. degree in a technical discipline or equivalent experience â€¢ Prior experience of working in derivatives testing domain beneficial â€¢ Familiarity with Java and C# code. â€¢ Familiarity with continuous build system â€¢ Knowledge of quality centre for test execution management and JIRA for defect tracking Posting Date: 06/14/2016 Location: US-NY-New York Travel: No Full / Part-time: Fulltime Hours Per Week: 40.00 Shift: 1st Shift Weekly Schedule: M-F 8:30am - 5;30pm"
Sr. Mobile Software Engineer,"Job description Provide leadership and deep technical expertise in all aspects of solution design and application development for specific business environments. Focus on setting technical direction on groups of applications and similar technologies as well as taking responsibility for technically robust solutions encompassing all business, architecture, and technology constraints. May be responsible for coordinating teams to accomplish development in a matrixed organization. Typically requires 5-7 years of experience Qualifications The Sr. Software Engineer (SSE) is responsible for providing technical leadership/direction to ECOMMERCE/MOBILE projects/initiatives. SSE will bring together the various development activities that are required to be performed on ECOMMERCE/MOBILE project and oversee the entire project deliverable from software technical design and coding perspective. Additional Responsibilities: Work with Product Management, Delivery teams and Project Management to translate requirements into tasks for deliverables Coordinate team of software engineers to complete required tasks Under limited supervision, responsible for developing mobile applications and software components. Lead requirements definition, design and reviews. Participate in all stages of software development including refining product vision, gathering requirements, software system design, coding, testing, release, and support. Ensure software created and released conforms to quality requirements by accurately writing and executing test plans. Providing assistance to code merges, builds, deployments, and ensuring production stability Work with other departments to achieve cross-functional goals to satisfy customer expectations. Mentor less experienced team members on technical matters. Publish release packages and records Required Skills: B.S./M.S. in Computer Science 2+ years of software engineering (coding) experience in iOS/Objective-C 7+ years of software engineering (coding) experience in C++/Java/J2EE Experience with iPhone SDK versions 5 & 4 Experience in architecting and developing networking and/or secure applications for iPhone A firm understanding of building mobile applications that utilize web-services (either HTTP based, XML, SOAP, JSON or other services), in order to tie our applications to critical server-side APIs Expertise of advanced software engineering concepts, most importantly object oriented design, hypermedia, device management, semi-native & html5 technologies, and memory management Ability to contribute to a team of engineers in cross-functional teams (including QA, Product Management, etc) Expertise or familiarity with well-designed user interfaces Desired Skills: Experience releasing an iOS app to the App Store. Experience developing on Android or other mobile device is a plus. Bank of America will consider for employment qualified applicants with criminal histories consistent with San Francisco ordinance 17-14 and federal law applicable to Bank of America. Posting Date: 06/14/2016 Location: US-CA-San Francisco Travel: Yes, 5 % of the Time Full / Part-time: Fulltime Hours Per Week: 40.00 Shift: 1st Shift"
Sr. iOS Developer,"Job description Develops, enhances, debugs, supports, maintains and tests software applications that support business units or supporting functions. These application program solutions may involve diverse development platforms, software, hardware, technologies and tools. Participates in design, development and implementation of complex applications, often using new technologies. May provide technical direction and system architecture for individual initiatives. Serves as a fully seasoned/proficient technical resource. May lead projects and direct activities of a team related to special initiatives or operations. May have responsibility for a project and project budget. May collaborate with external programmers to coordinate delivery of software application. Routine accountability is for technical knowledge and capabilities. Works under minimal supervision, with general guidance from more seasoned consultants. This job code is only to be used for associates working in the state of California. Typically requires 5-7 years of experience. Qualifications Requirements: Design, Develop & Prototype iOS native customer applications for phones and tablets for internal and external use. Participate in full app life-cycle: concept, design, build, deploy, test and release to app store. Work with product teams on new product ideas, designs, prototypes and estimates. Keep up-to-date on current and upcoming features in relevant products and platforms Drive a best practices approach to the continuous improvement of our products, processes, and tools. Write and maintain documentation for all features in development Preferred Qualifications Experience working with Google or Apple Mobile Application technologies Demonstrated interest in technology, technology-related issues and analytical analysis High performance and standards as demonstrated by academic or previous job experience Effective collaborator with both non-technical and technical team members Motivated self-starter with a high attention to detail Ability to thrive in a fast-paced, team-based environment Strong written and verbal communication skills â€¢ Strong focus on troubleshooting and issue resolution Bank of America will consider for employment qualified applicants with criminal histories consistent with San Francisco ordinance 17-14 and federal law applicable to Bank of America. Posting Date: 06/14/2016 Location: US-CA-San Francisco, US-NC-Charlotte Travel: Yes, 5 % of the Time Full / Part-time: Fulltime Hours Per Week: 40.00 Shift: 1st Shift"
Solution Architect,"Job description Participates in design, development and implementation of architectural deliverables, to include components of the assessment and optimization of system design and review of user requirements. Contributes to the determination of technical and operational feasibility of solutions. Develops prototypes of the system design and works with database, operations, technical support and other IT areas as appropriate throughout development and implementation processes. May lead multiple projects with competing deadlines. Serves as a fully seasoned/proficient technical resource; provides tech knowledge and capabilities as team member and individual contributor. Will not have direct reports but will influence and direct activities of a team related to special initiatives or operations, as well as mentor junior band 5 Architect 1's. Provides input on staffing, budget and personnel. Typically 7 or more years of architecture experience. Qualifications Responsibilities: Responsible for Project or Program specific architectural design, issues, and solution considerations while working with application development on alignment of resources to documented commitments, and on-time delivery of those commitments. Responsible for translating the requirements created by functional analysts into the architecture for that solution and describing it through the set of architecture and design artifacts. Those artifacts are then used by the rest of the development team to implement the solution. The process of defining architecture by the solutions architect often involves selection of the most appropriate technology for the problem being solved, impact assessment as well as technical and operational feasibility. Required Skills: Undergraduate degree or equivalent experience 5+ years of overall business/ technology experience 3+ years of experience with broad systems architecture design, planning and implementation 2+ years of experience in software design and development 2+ years of experience with technology modeling skills, including application, data and middleware technologies. 2+ years of experience in the Financial Services Environment preferably large financial institutions. 2+ years of experience defending ideas and solutions to technology professionals with potential contrary views. Exceptional verbal and written communication skills Desired Skills: 2+ years of experience with leading and providing solutions for enterprise-wide business processes such as Account opening, enabling technologies and knowledge of how IT supports those solutions Experience working as a Solution Architect delivering solutions that are highly scalable and resilient on high volume client facing technology platforms. Experience architecting and designing Omni-channel solutions is preferred. Knowledge or experience with Cloud based architectures, API Gateways etc. Experience with application of TOGAF Architectural Principles. Posting Date: 06/14/2016 Location: US-NC-Charlotte Travel: Yes, 5 % of the Time Full / Part-time: Fulltime Hours Per Week: 40.00 Shift: 1st Shift"
Java/J2EE Developer,"Job description Position description: This is a Senior Software Development Engineer role in Bank of America Online Banking development team. Team owns some of the most critical, high volume applications built on multi-tier J2EE architectures including a Search Engine built in house using Apache SOLR, OpenNLP, and Machine Learning libraries. The candidate must possess passion for producing high quality software, ready to jump in and solve complex problems, be able to mentor junior engineers, perform code reviews, and participate in interviewing process. Role also involves fair amount of innovation, which includes coming up with new ideas, prototype, and convince technology and business leadership for implementation. Enterprise role overview: Provide leadership and deep technical expertise in all aspects of solution design and application development for specific business environments. Focus on setting technical direction on groups of applications and similar technologies as well as taking responsibility for technically robust solutions encompassing all business, architecture, and technology constraints. May be responsible for coordinating teams to accomplish development in a matrixed organization. Typically requires 5-7 years of experience Qualifications Required Qualifications: Bachelor or Masterâ€™s Degree in Computer Science or related field 2+ years of hands on software development experience Strong Java/J2EE development skills Experience in Machine Learning and Natural Language Processing Good interpersonal communication skills for tech and business conversations Good analytical skills to break down requirements, solve complex problems Desired qualifications: Experience building web applications Experience working on high volume applications Experience in server side frameworks like Spring MVC Experience in latest front end technologies like handlebars, foundation, AngularJS and reactJS Experience building restful web services Experience in performance tuning with good understanding JVM internals Experience with NoSQL databases like Cassandra Experience in distributed caching frameworks like hazelcast, ignite, redis Experience in modern JVM languages like groovy, scala Experience with open source search engines like SOLR, elasticsearch Prior open source contributions Background in mathematics or statistics Proven task management and leadership skills Experience working in agile teams Posting Date: 06/14/2016 Location: US-TX-Plano Travel: Yes, 5 % of the Time Full / Part-time: Fulltime Hours Per Week: 40.00 Shift: 1st Shift Weekly Schedule: Monday - Friday 8am - 5pm"
Sr. QA Analyst with Automation Experience,"Job description Key individual contributor to Quality Assurance (QA) project teams within T&O and/or lines of business. Works with project teams to ensure standard quality practices/processes are followed and/or design and execute test plans and procedures for acceptance testing of new or modified applications and/or systems in an environment of diverse development platforms, computing environments, software, hardware technology and tools, etc. May provide guidance in the creation of standard test environments, tests plans, and test scripts. May prepares and conduct acceptance testing of new or modified applications and systems. Analyzes, designs, documents new or modified QA procedures and standards and assists in the development and implementation of QA metrics for assessing the quality of delivered applications and information systems. May modify automated testing systems and tools for procedural or standard changes. Provides training and guidance to less experience QA analysts. Provide resolution to an assortment of problems complex in scope, related to Quality Assurance projects. Typically requires 5-7 years of applicable experience. Qualifications Position summary and key responsibilities: This position is in Client facing platform technology â€“ Online and Mobile Banking technology platform. The candidate conducts end-to-end testing on applications and technology, to ensure that business, technical, functional requirements are being met throughout the SDLC. Executes test scripts based upon test strategy/plans in an effort to identify defects prior to production. Tests may be manual, automated or both. May also include Production Certification which requires manual/automated scripts be executed to certify production health and/or identify post-production defects. Test Analyst to perform execution and planning activities for Online Banking applications Required Skills: Proficiency in Automation - Selenium, 5-7 years of testing experience. Computer science education background End to end testing on applications Ability to execute test scripts Online or mobile experience Selenium, Excel, VB scripting, HP Quality Center, Agile Methodology Desired Skills: Java, SQL Posting Date: 06/14/2016 Location: US-NC-Charlotte Travel: Yes, 5 % of the Time Full / Part-time: Fulltime Hours Per Week: 40.00 Shift: 1st Shift"
Developer,"Job description We are actively seeking an experienced and self-motivated Risk Developer to develop Python based applications with overall software development experience of 2+ years. Candidate must be a passionate coder, well versed in compiled and scripted languages, who thrives in resolving complex problems with elegant, computationally efficient solutions. Key responsibilities: - Work with the business to understand and document requirements -Work closely with the development team/s to ensure tech solutions are aligned to requirements â€“Participate in meeting with the tech partners/business and able to provide status updates ongoing tasks General Description Following established written procedures, guidelines and techniques, develops, enhances, modifies and/or maintains applications that support business units or support functions in the Global Markets environment. Software developers design, code, test, debug and document programs. Awareness of business or function for which application is designed. Individual contributor role; fully competent to work under general direction on complex projects usually on specific assigned problems, and seeks guidance and direction from more senior associates or manager, as needed. Typically requires 3-5 years of applicable experience. This job code is only to be used for employees supporting Global Markets. Qualifications Looking for someone with development experience in FO Risk Development and either has experience in learning Python or has an interest in learning Python. Posting Date: 06/14/2016 Location: US-NY-New York Travel: No Full / Part-time: Fulltime Hours Per Week: 40.00 Shift: 1st Shift Weekly Schedule: 8:30am - 5;30pm"
Android Mobile Developer,"Job description Develops, enhances, debugs, supports, maintains and tests software applications that support business units or supporting functions. These application program solutions may involve diverse development platforms, software, hardware, technologies and tools. Participates in design, development and implementation of complex applications, often using new technologies. May provide technical direction and system architecture for individual initiatives. Serves as a fully seasoned/proficient technical resource. May lead projects and direct activities of a team related to special initiatives or operations. May have responsibility for a project and project budget. May collaborate with external programmers to coordinate delivery of software application. Routine accountability is for technical knowledge and capabilities. Works under minimal supervision, with general guidance from more seasoned consultants. This job code is only to be used for associates working in the state of California. Typically requires 5-7 years of experience. Qualifications Job Description: The Software Engineer (SE) is responsible for providing technical leadership/direction to ECOMMERCE/MOBILE projects/initiatives. SSE will bring together the various development activities that are required to be performed on ECOMMERCE/MOBILE project and oversee the entire project deliverable from software technical design and coding perspective. Responsibilities: Work with Product Management, Delivery teams and Project Management to translate requirements into tasks for deliverables Coordinate team of software engineers to complete required tasks Under limited supervision, responsible for developing mobile applications and software components. Lead requirements definition, design and reviews. Participate in all stages of software development including refining product vision, gathering requirements, software system design, coding, testing, release, and support. Ensure software created and released conforms to quality requirements by accurately writing and executing test plans. Providing assistance to code merges, builds, deployments, and ensuring production stability Work with other departments to achieve cross-functional goals to satisfy customer expectations. Mentor less experienced team members on technical matters. Publish release packages and records Required Skills: B.S./M.S. in Computer Science 2+ years of software engineering (coding) experience in Android apps 5+ years of software engineering (coding) experience in C++ or Java Experience with Android SDK versions 5 and above Experience in architecting and developing networking and/or secure applications for Android A firm understanding of building mobile applications that utilize web-services (either HTTP based, XML, SOAP, JSON or other services), in order to tie mobile client applications to critical server-side APIs Expertise of advanced software engineering concepts, most importantly object oriented design, hypermedia, device management, semi-native & html5 technologies, and memory management Ability to contribute to a team of engineers in cross-functional teams (including QA, Product Management, etc) Expertise or familiarity with well-designed user interfaces Desired Skills: Experience releasing an Android app to the Play Store. Experience developing on iOS or other mobile device is a plus. Bank of America will consider for employment qualified applicants with criminal histories consistent with San Francisco ordinance 17-14 and federal law applicable to Bank of America. Posting Date: 06/14/2016 Location: US-CA-San Francisco, US-NC-Charlotte Travel: Yes, 5 % of the Time Full / Part-time: Fulltime Hours Per Week: 40.00 Shift: 1st Shift"
iOS Developer,"Job description Develops, enhances, debugs, supports, maintains and tests software applications that support business units or supporting functions. These application program solutions may involve diverse development platforms, software, hardware, technologies and tools. Participates in design, development and implementation of complex applications, often using new technologies. May provide technical direction and system architecture for individual initiatives. Serves as a fully seasoned/proficient technical resource. May lead projects and direct activities of a team related to special initiatives or operations. May have responsibility for a project and project budget. May collaborate with external programmers to coordinate delivery of software application. Routine accountability is for technical knowledge and capabilities. Works under minimal supervision, with general guidance from more seasoned consultants. This job code is only to be used for associates working in the state of California. Typically requires 5-7 years of experience. Qualifications Responsibilities: Design, Develop & Prototype iOS native customer applications for phones and tablets for internal and external use. Participate in full app life-cycle: concept, design, build, deploy, test and release to app store. Work with product teams on new product ideas, designs, prototypes and estimates. Keep up-to-date on current and upcoming features in relevant products and platforms Drive a best practices approach to the continuous improvement of our products, processes, and tools. Write and maintain documentation for all features in development Required Skills: Experience working with Google or Apple Mobile Application technologies Demonstrated interest in technology, technology-related issues and analytical analysis High performance and standards as demonstrated by academic or previous job experience Effective collaborator with both non-technical and technical team members Motivated self-starter with a high attention to detail Ability to thrive in a fast-paced, team-based environment Strong written and verbal communication skills Strong focus on troubleshooting and issue resolution Bank of America will consider for employment qualified applicants with criminal histories consistent with San Francisco ordinance 17-14 and federal law applicable to Bank of America. Posting Date: 06/14/2016 Location: US-CA-San Francisco, US-NC-Charlotte Travel: Yes, 5 % of the Time Full / Part-time: Fulltime Hours Per Week: 40.00 Shift: 1st Shift"
