"jobs_title","jobs_requirement"
"Senior Applications Developer \ Manager (Hands on role Strong in Core Java Good in Oracle DB Stored Procs Indexes DB Design)","Description
Job Purpose:
The position is to fulfill a need within the Core compliance development team
Compliance Technology - this position in Pune will be part of the server side development team responsible for building and managing the new CitiCODE (Citi Compliance Data Engine) application
The candidate will be responsible for designing and building solutions for CitiCODE application
Core Java, and Good in Oracle (SQL,
PL/SQL, Stored Procs, Indexes, DB Design)
The candidate should have hands on experience in designing and developing solutions
The candidate will apply internal standards for re-use, architecture, testing and general best practices
The candidate will be responsible for Agile Development Lifecycle, Code reviews, test case reviews and ensure code developed meets the requirements, Component Design/Coding/Unit Testing/Debugging, and Level 3 production support
Opportunity to work with and learn from highly skilled and experienced global team members- Architects and Business analysts
Opportunity to work on challenging environment and new technologies such as Cloud, high performance scale-out architecture
Qualifications
Knowledge/Experience:
5-8 years in senior development role with experience on large and complex projects
Building web application applications and strong DB experience is required
The candidate should have very strong technical experience in the areas of Core JAVA, J2EE, Spring, Hibernate, Oracle Database design
Hands-on experience on at least two of the below frameworks like Spring or GWT or Hibernate
The candidate should be proficient with Oracle PL/SQL
Experience in UNIX environment, UNIX scripts
Knowledge of JMS or SOAP or REST Web Services would be preferred
Experience working on parallel development tracks at the same time is required
Experience in leading smaller development teams is necessary
Adhere to the Agile process and also ensure others follow process too
Should have root cause analysis skills, able to quickly analyze and interpret code and ensure that issues are resolved or escalated appropriately
Must have prior proven experience in coding, development and testing of programs and modules
Skills
Mandatory Skills:
The candidate should have strong analytical skills
The candidate must possess excellent communication skills as they will be interacting with people with diverse skills and seniority across different locations and time zones
The sometimes ambiguous environment means that the candidate should also be experienced with multi-tasking and balancing tasks with priorities
The candidate should be willing to work in overlap with US counterpart for few hours
Desirable Skills:
The candidate should be proactive and should be capable to research and find solutions to the problem
Qualifications
Educational requirements:
BE/B.Tech
Language requirements (including proficiency levels for speaking, reading and writing):
English
Competencies:
Ability to work in a team environment
Flexible and able to manage time effectively
Ability to learn new skills quickly with little supervision and ensuring the detail is of high priority
Excellent communication (verbal and written) and interpersonal skills with the ability to communicate well at all levels
Efficiently and effectively manage work, time, and resources
Ability to handle high stress and pressure situations
Strong problem solving and program execution skills while being process orientated
Self-motivating and delivery focused individual
Primary Location: India,Maharashtra,Pune
Education: Bachelor's Degree
Job Function: Technology
Travel Time: No
Job ID: 16024211"
"Infrastructure Senior Manager","Description
Reporting to the Global Patch Deployment Manager, the Patch Cycle Manager is responsible for a recurring patch cycle, implementing patches across infrastructure within a particular geographic region; maintaining Citi global infrastructure security standards, in-line with our IT strategy.
In this new position, the Patch Cycle Manager direct & matrix leadership to, a Chennai based, team providing 24x7 coverage
Responsibilities:
Develop a new team in Chennai, responsible for maintaining security patch currency across Global Consumer infrastructure
Shift patching workload away from the current infrastructure teams, into the new team, so centralizing execution and responsibility; resulting in cost saving opportunities
Influence business organizations to use the patching model, holding them accountable for missed patching schedules
Qualifications
3+ years of leadership, within a large organization, with a proven track record of developing teams
Good understanding of server, database, and middleware industry standard solutions
Strong work ethic/integrity/excellent use of discretion and judgment
Self-motivated; ability to involve and engage others
Attention to detail when faced with adversity
Demonstrable client management skills
Fluent in English, written and spoken
Primary Location: India,Tamil Nadu,Chennai
Education: Bachelor's Degree
Job Function: Technology
Travel Time: No
Job ID: 15109097"
"Applications Development Senior Programmer Anlyst","Description
Ability to handle complex projects independently. Highly organized with a capability of working with a large number of regional and global teams – both in technology and in business.
Excellent English – this development role will face off directly to the trading desk in Hong Kong to work on solution design and testing
Understand the SBL & Agency Lending platform in its current guise
Analyze, Estimate, Design, Develop and Test
Take ownership of application modules
Partner with the business in designing the best-in-class system that could cater to the needs of a diverse client base
Provide subject matter expertise in Asia region on the best practices and roadmap for the tools that are developed
Work coherently with other teams and ensure no duplication of development of tools that already exist in global/strategic platforms
Partner with other RAD developers in the region to share best practices and leverage existing development toolsets.
Qualifications
Unit Testing (TDD, mocking, coverage assessment)
Very strong Microsoft Excel, Outlook, Access skills and VBA programming skills.
Python
HTML 5
WPF, XAML, MVVM, MEF, LINQ – a plus
Multi-threading, Windows Services, WCF, Web Services
MSSQL (Queries, Stored Procedures, Optimization)
OOPS, OOAD
Experience of JIRA, TFS will be a plus
Exposure to SBL workflows will be a plus
Knowledge of Asian Equity Markets will be a plus
Collaborative team player
Excellent English
Ability to work cohesively in a complex project environment with stakeholders both regionally/globally.
Self-motivated and able to prioritize tasks and actions to hit deadlines according to business priorities
Strong inter-personal skills - Enthusiastic and proactive approach
Good attention to detail and relevant product knowledge
Primary Location: China,Shanghai,Shanghai
Other Location: Asia Pacific
Education: Bachelor's Degree
Job Function: Technology
Travel Time: No
Job ID: 16019620"
"IT Quality Analyst","Description
Analyze the detailed business processes and functions supplied by Project Testing SME and map it to Test Requirements
Attend joint reviews with development and clients for Test Requirements, Plan and Criteria
Design and development of test cases and conditions.
Assist in the development and execution of Test Strategy/Plans.
Develop automated and manual Test Scripts / Scenarios
Execution and validation of test cases / scripts
Defect tracking and resolution
Participate in training when necessary
Qualifications
BS/MS degree in Computer Science or equivalent --3 to 5 years working experience, minimum 3 years of experience in software testing
Knowledge of financial business(a plus) --Knowledge of QA and SDLC development methodologies
Able to work in both UNIX and Windows environments (Shell and VB scripting is a plus)
Has the ability to work with minimum supervision to generate test plans and test cases.
Knowledge of SQL and Relational Database – Sybase and Oracle a plus --Knowledge of performance tools as a plus
Knowledge of SOA Architecture and testing techniques
Experience with automation techniques and automation tool sets, Mercury QTP 8.x.
Experience with non-GUI automation techniques (Test Harnesses) --Experience with Test Director 8.x.
Able to communicate effectively in English with team members in US, Shanghai and Hong Kong.
Prior experience of working in an off shore model is a plus
Well-organized process oriented individual. Excellent Analytical and written and verbal communication skills.
Proven ability to handle pressure & stress environment.
Quick learner and self-starter with an affinity for continuous improvement.
Primary Location: China,Shanghai,Shanghai
Other Location: Asia Pacific
Education: Bachelor's Degree
Job Function: Technology
Travel Time: No
Job ID: 16023537"
"Production Assurance Application Support manager GFTS Finance Asia","Description
Lead various regional production support teams across multiple locations and time zones which provide technical support to financial reporting applications for ASPAC, EMEA and NAM countries
Manage and ensure the teams are following GPA standards
Mentor and coach around 30 production support resources so that timely response and quality support is provided, that each adheres to IS policies and also complies with other Citi and GPA polices
Achieve high confidence from and maintain good working relationships with a wide group of users and business units across different locations, including local Finance, FRO and Operations from different regions
Maintain close working relationship with application managers and development teams to implement changes to production
Assist with troubleshooting and issue resolution relating to current applications, providing assistance to the development teams
Communicate effectively with Data Centre, Technology and Business areas and maintain a positive rapport with them and other partners such as upstream and downstream system support teams
Oversee production support and COB activities of Asia finance applications
Provide support to the business during day-to-day activities and ad-hoc requests
Support other team members and local Infrastructure team on the configuration, system testing and deployment of new solutions
Provide RCA and recommendation to the application development team to increase the stability of the system and reduce the number of incidents created for the application
Qualifications
Required
Technical Skills:
10+ years of working experience in Corporate Banking / Financial services
8+ years of Production Support experience covering Incident Management and Problem Management
5+ years of Proven experience working in a distributed environment based on Unix-Oracle
Should have Strong leadership qualities and managed at least a team size between 20 to 40
Exposure to vendor managed services
Should have knowledge of Finance Sub Ledger Reporting applications, solutions, systems and processes
Strong written and verbal communication skills - will have interaction with senior technology and business managers – and must have pleasant interpersonal skills
Must be independent, self-driven, enthusiastic, team player and a quick learner
Oracle Database: Good PL/SQL knowledge and other standard database query tools
Unix: Linux / Solaris, shell scripting
Good knowledge of batch processing and schedules like TWS or Autosys
Good understanding of ITIL. Certification is good to have
Coordination of work activities involving TI, Data Centre, DBA’s, Local and Global Technology teams
Ability in working/managing cross border teams
Connectivity: Connect Direct, SFTP etc. experience preferred
Primary Location: Singapore,Singapore,Singapore
Education: Bachelor's Degree
Job Function: Technology
Travel Time: No
Job ID: 16030000"
"Technical Project Manager","Description
Technical Project Manager
The Technical Project Manager (TPM) is responsible for planning and managing complex technical projects.
Position Competencies
Successful candidates will possess strong business acumen, good decision quality. They will be able to deal with ambiguity, demonstrate managerial courage, possess political savvy, demonstrate drive for results and have strong negotiation skills. Successful candidates will be able to create strong peer relationships and build effective teams.
Reporting Information/Location
The Technical Project Manager is located at Singapore and reports to the head of APAC Commercial Cards Technology. This position has no direct reports.
Position Responsibilities:
This position will be responsible for the successful execution of technical initiatives and the management of technical teams in the execution of those initiatives
Work with core project resources (such as clients, vendors, technical resources, and overall project manager) to develop detailed, actionable project schedules
Assign tasks to resources and develops detailed and accurate work schedules, project estimates, and resource plans
Staff technical projects through initial resource planning and ongoing accurate labor forecasting, contributing to maximizing resource utilization in the department
Ensure the right resources are engaged at the right time for the right work over the life of the project
Ensure accurate and timely resource time charges to assigned projects
Execute, monitor and control technical projects from original concept through final implementation
Communicate accurate and timely project accomplishments and overall project health to stakeholders via required measures and methods (such as status reports, metrics, checkpoints, portfolio reports, and scorecards)
Facilitate technical discussions across engineering organizations, driving to collaborative decisions
Communicate with other Engineering teams to work through issues of architecture and technical dependence
Manage and monitors project budgets with high focus on approved technical funding and technical cost containment
Ensure cost changes have accurate and timely approvals and follow corporate and department standards, policies and procedures
Ensure adherence to all government, corporate and department standards, policies and procedures in all technical artifacts, tasks and decisions across the technical team
Review project deliverables, especially technical artifacts
Provide technical and analytical guidance to project team
Recommends and takes action to direct the analysis and solutions of problems
Ensure support areas are engaged to drive effective training and turnover of technical solutions
Proactively manage project risks and risk mitigation plans
Provide recommendations for performance improvement
Qualifications
Qualifications
BS degree in Computer Science, Computer Engineering or related technical field, or equivalent practical experience
10 years of relevant work experience, with minimum 3 years of experience managing projects
Experience with multi-tiered mission-critical system
Strong distributed systems and architecture knowledge
Strong customer service focuses with the ability to communicate with highly technical management teams
Project management, interpersonal, and communication skills, with high attention to detail
Possess excellent verbal and written communication skills, both technical and functional
Demonstrate excellent leadership, interpersonal, and team building skills
Experience with Mainframe technologies preferred
Possess knowledge of Commercial Cards functions and supporting systems (such as IVR) preferred
Project Management Institute certification is desired, not required
Primary Location: Singapore,Singapore,Singapore
Education: Bachelor's Degree
Job Function: Technology
Travel Time: No
Job ID: 16036748"
"APAC EQ GMA\GMD Projects – Project Manager\Business Analyst","Description
The role will lead the APAC Equity Technology Projects Group that will cover project management, business analysis and coordination for critical initiatives that impact the platform across product/functional areas. The role will provide regional oversight and leadership for all project services activities in CET in Asia.
The role will also manage Equities technology governance for the region, including business engagement.
Define and mobilize a project management/business analysis framework that encompasses execution and business engagement, and regular reporting
Identify key projects and initiatives across the region and ensure that appropriate resources are lined up for overall project management and business analysis where appropriate
Provide oversight across all key projects and initiatives in CET Asia and ensure that key issues have appropriate resolution actions, key risks are mitigated and highlight/escalate to senior technology management and business where management attention is required
Help facilitate the alignment of technology roadmap to the overall business strategy
Define a framework on project prioritization and project governance
From an EQ Governance perspective, help in providing oversight on key technology management areas such as delivery, stability, financials and control, identify key issues/challenges that must be addressed and help in engagement the appropriate teams and business
Keep track of key deliverables completed, upcoming deliverables, exchange/regulatory/Citi related events for business reporting and highlight this across the different technology teams
Provide oversight on business financials and ensure that changes can be explained to the business and provide oversight on infrastructure related optimisation initiatives and liaise with the local and regional CTI/STI management teams
Lead the team and perform all the duties of a people manager including performance management and coaching
Develop and maintain strong working relationships with peers and other technology team members both locally, regionally and where appropriate globally
Develop and maintain strong working relationships with the local and regional business
Compliance Responsibilities:
Develop project, operating and system documentation in accordance with the CITMP procedures
Comply with the ethical standards contained in the Code of Conduct
Adhere to firm policies and procedures, regulatory and legislative requirements
Qualifications
Technical/Specialist Skills/Competencies:
Strong capabilities Program and Project Management
Experience in running a number of interrelated projects end to end involving multiple business stake holders and teams across development, QA, infrastructure and risk and controls that spans planning, execution, control and closure
Experience in running program/projects in the Equity Market space – Sales Trading, FIX Connectivity, Program Trading, Exchange Connectivity, Middle Office, Electronic
Execution and Mandatory Exchange related changes
High-level understanding of high volume, low latency trading systems and challenges of their implementation from a project perspective
High-level knowledge on financials and appropriate reporting
Proven experience in project status reporting (particularly for business audience)
Proven experience with analysis and design in a real-time environment, preferably gained in a financial trading systems environment
Good written and verbal communication skills with ability to communicate complex concepts to various audiences (both business and technology) at appropriate level in clear and concise manner
Familiarity with both traditional waterfall as well agile project management methodologies
Business/Industry Knowledge/Competencies:
Strong knowledge of the Equity Markets
Understanding of challenges that faces projects in the Equity Markets space
Familiarity with regulatory environments in relation to Equity Markets
Personal Attributes/Interpersonal Skills:
Energetic, dynamic, motivated and adaptable to changes
Able to work in a dynamic, highly challenging and often pressurized environment
Excellent program/project management skills
Ability to distil complex ideas into simple information
Good influencing and negotiation skills
Good prioritization and time management skills
Ability to work with minimal supervision on multiple concurrent projects
Strong interpersonal and leadership skills
Structured and good organization skills
Ability to manage people across different locations
Qualifications:
Bachelor's degree (minimum requirement)
Description of minimum work experience required for this role:
Preferably 10+ years’ experience
Primary Location: Singapore,Singapore,Singapore
Education: Bachelor's Degree
Job Function: Technology
Travel Time: Yes, 10 % of the Time
Job ID: 16018988"
"Information Security Third Party Analyst Officer Buffalo NY","Description
About Citi
Citi, the leading global bank, has approximately 200 million customer accounts and does business in more than 160 countries and jurisdictions. Citi provides consumers, corporations, governments and institutions with a broad range of financial products and services, including consumer banking and credit, corporate and investment banking, securities brokerage, transaction services, and wealth management. Our core activities are safeguarding assets, lending money, making payments and accessing the capital markets on behalf of our clients.
Citi’s Mission and Value Proposition explains what we do and Citi Leadership Standards explain how we do it. Our mission is to serve as a trusted partner to our clients by responsibly providing financial services that enable growth and economic progress. We strive to earn and maintain our clients’ and the public’s trust by constantly adhering to the highest ethical standards and making a positive impact on the communities we serve. Our Leadership Standards is a common set of skills and expected behaviors that illustrate how our employees should work every day to be successful and strengthens our ability to execute against our strategic priorities.
Diversity is a key business imperative and a source of strength at Citi. We serve clients from every walk of life, every background and every origin. Our goal is to have our workforce reflect this same diversity at all levels. Citi has made it a priority to foster a culture where the best people want to work, where individuals are promoted based on merit, where we value and demand respect for others and where opportunities to develop to are widely available to all.
ICG Information Security Program Office has an opening for a skilled analyst to work on key aspects of the Information Security, primarily in the TPISA (Third Party Information Security Assessment) program
The overall objective will be to ensure that ICG businesses comply with the Citi Information Security policies, standards, and practices risk assessments. The candidate will primarily work with the ICG Information Security core team as well as in-business network of Global Information Security Officers to meet ongoing program milestones and implement new & sustainable IS Risk Management processes, while identifying opportunities for BAU process improvement. Day-to-day formal leadership will come from the TPISA Program Manager for ICG.
KEY RESPONSIBILITIES: TPISA
Work with key TPISA personnel ensure that Annual Due Diligence is completed as defined by iTPAQ
Liaise with the TPISA Utility to ensure that any TPISA requiring assessments are scheduled and conducted within the timelines as defined by the program.
Track completion of assessments through iTPAQ, CIRAS and iCAPs systems to ensure that they are completed according to the program timescales and documented to the required quality standards.
Work with business to ensure that all Corrective Action Plans (CAPs) are raised for issues identified as Remediate in CIRAS.
Work with business to ensure that all Risk Exceptions are raised for issues identified as Risk Accept in CIRAS.
Provide weekly reporting of status for the Management Team.
Escalation of any resultant issues to be conducted in a timely and appropriate manner
Qualifications
CANDIDATE QUALIFICATIONS:
•Undergraduate degree preferred.
•Minimum of 2 years in information security, audit, and/or compliance experience.
•Must have advanced MS Excel and MS Access skills.
•Must have excellent written/verbal communication skills.
•Must be a delivery-oriented person and be able to manage multiple projects simultaneously.
•Advanced analytical and problem solving skills.
•CISSP, CISM, or CISA certifications a strong plus
Primary Location: United States,New York,Buffalo
Education: Bachelor's Degree
Job Function: Technology
Travel Time: No
Job ID: 16027729"
"Apps Support Sr. Analyst","Description
The application support analyst will provide application support for the Security Lending applications. This role is part of the Citi’s global Prime Finance production services, under the Citi Markets technology Support organization. The team is responsible for supporting Sec Lending applications and processes and for facilitating the needs for the end-users. The successful candidate will be working closely with their colleagues in Mississauga, New York, HK and London to ensure seamless 24 x 7 support of our applications. In addition, they will work closely with Level 2 Support, development teams and the CIRA business. The ideal candidate should be technically astute, well organized, proactive, and be comfortable discussing issues with business and technical users at all levels. They also need to possess good multi-tasking skills. The support team works shifts through its team members located in New York, London Mumbai and Hong Kong. It is anticipated that the role will require 75% hands-on work – so technical skills will also be required. The support team work shifts during the day in order for the team to provide on-site cover between the hours of 7:00 am and 7:00 pm. This allows the support team to cover both our UK and India user base. The candidate must be willing to participate in the work shift rota and also the weekend support rotation.
Responsibilities:
Work closely with first level support, development teams, and the Sec Lending business to determine strategy & priorities and to ensure team is meeting the business’ requirements. Ensure team delivers on these priorities and communicated progress effectively to all stakeholders.
Provide 2nd line technical support, answer queries via phone, e-mail and other communication mediums.
This group provides the detailed knowledge of the applications. For example, they should be able to use the application User Interface as an expert user would, but would not typically being be expected to read and understand the application code.
There is a duty on this team to take ownership of user problems and be proactive when dealing with user issues.
Perform appropriate problem solving tasks before passing to another team with previously agreed upon format, logs, etc
When dealing with major issues, the group would be expected to make key business decision recommendations based on their knowledge of the systems and the business.
Follow through to ensure each problem is resolved according to SLA.
Effectively communicate issues and status updates with business users, second level support, and development teams
Create and maintain a knowledge base to ensure that knowledge transfer takes place within the team
Liaise with users; business sponsors; and other AD groups.
Qualifications
Required Skills / Experience:
Application Support Experience:
1 - 5 years experience working in a support environment.
Understanding of problem management methodologies
Knowledge/experience of problem management tools
Experience using call/ticketing software
2-3 years of experience with Linux
2-3 years of experience with Shell scripting
2-3 years of experience with SQL
Perl/scripting language and / or Java
Ability to communicate well at all levels
Strong organizational skills
Self-motivating
Ability to work in a team environment
Ability to learn new skills quickly with little supervision
Strong knowledge of Microsoft based operating systems
Experience using/troubleshooting Office with emphasis on Word, Excel and PowerPoint
Basic understanding of hardware setup and configuration
Citi Canada is an equal opportunity employer. Accordingly, we will make reasonable accommodations to respond to the needs of people with disabilities. Individuals who view themselves as Aboriginals, members of visible minorities, and disabled are encouraged to apply in confidence
Primary Location: United States,New York,New York
Education: Bachelor's Degree
Job Function: Technology
Travel Time: No
Job ID: 15092863"
"IT Project Manager","Description
IT Project Manager
Experiencia demostrable en manejo y gestión de proyectos
Planeación y definición de alcance de proyectos
Creación , mantenimiento y seguimiento a planes de trabajo
Administración de presupuestos
proveer reportes de status de proyectos semanales y mensuales
Integración de servicios compartidos en los sistemas Financieros
Coordinar y liderar equipos de trabajo
Qualifications
Escolaridad Licenciatura o ingeniería en sistemas o carrera afin
Ingles intermedio alto
Experiencia demostrable en manejo y gestión de proyectos
Competencias:
Orientación a resultados
La construcción y gestión del equipo
La buena gestión de la calidad
Trabajo en equipo
Trabajo bajo presión
Comunicación efectiva
Liderazgo
Comunicación efectiva
Horario de 9:00 a 19:00 hrs.
Manager Analista de Negocios Sr.
ubicación Barranca del Muerto No. 24 col. Guadalupe Inn.
Coordinará personal exerno dentro del equipo de trabajo
Primary Location: Mexico
Other Location: Asia Pacific, Europe, Middle East, and Africa, Latin America; Canada
Education: Bachelor's Degree
Job Function: Technology
Travel Time: No
Job ID: 16037728"
