title,requirement
Digital Developer - 12 Month Fixed Term Contract,"The Business: The Commonwealth Bank is one of the leading financial institutions in Australia providing integrated financial services to more customers than any other Australian bank. The Graphic Design, Production and Supply team is dedicated to delivering the best, most cost effective solutions whilst being easy to do business with. Our role is to work collaboratively with Group wide internal clients to assist in executing their graphic design, print production, promotional, warehouse and distribution requirements. To support this in-house function, we also engage a range of external supply partners including advertising and design agencies, printers, fulfilment houses and mail houses. The Role: The Digital Developer works within the Graphic Design, Production and Supply team that is responsible for the relationship management of internal clients, and accountable for communications project / campaign execution and delivery. Your primary responsibilities will be to develop and execute digital campaigns on marketing automation platform Salesforce Marketing Cloud (Exact Target) within this team. This position will encompass a range of tasks such as building eDM templates and HTMLs, production and execution of eDM/SMS campaigns and working closely with internal stakeholders and data teams to successfully implement campaigns. Key Responsibilities Develop and execute email and SMS campaigns in the Salesforce Marketing Cloud (Exact Target) AMP scripting and building dynamic content Build import processes/filters for data required in the Salesforce platform for campaign execution Photoshop email creative ready for email production Coding/slicing HTML emails Debug and troubleshoot custom code using industry best practice Work within template driven campaigns on Salesforce Marketing Cloud What you will need to succeed: Working knowledge of creating eDM templates/HTMLs and a thorough understanding of the technical requirements working in an eDM environment Highly competent and knowledgeable in HTML and CSS Technically proficient in the use of Exact Target and all its functionalities including AMP script A knowledge of industry best practices Ability to work within tight deadlines If you live the values and demonstrate the people capabilities we can offer great opportunities. Whether you want to move across the organisation or up into a leadership role, the way you live the values and demonstrate the people capabilities are key. The people, businesses and communities we serve are wonderfully diverse. To reflect this, we're committed to hiring a similarly diverse workforce. With a focus on inclusion, accessibility and flexibility, we'll support you at every stage of your career. Apply now to potentially grow your career with the market leader in financial services and technology â€“ CommBank. Advertised: 14 Jun 2016 Aus. Eastern Standard Time Applications close: 28 Jun 2016 Aus. Eastern Standard Time Apply now Back to search results"
"Analyst, Brisbane CBD","Analyst Local Business Banking Brisbane CBD Make use of our innovative technology solutions to support our clients. Be part of Money Magazine's Business Bank of the year. Come and join us on our journey to continue to be recognised as Australia's leading business bank, by excelling at securing and enhancing the financial wellbeing of people, businesses and communities. Helping lead local businesses into tomorrow Local Business Banking (LBB) is proud to support a range of small to medium sized businesses across Australia. We partner with the clients we work with and thrive when we're embedded in our local communities. Our innovative technology solutions provide invaluable support for our clients as we help them lead their businesses into the future. Our team is energised about what we do, what we've achieved and the momentum behind where we're headed. We are focussed on insights We go far beyond traditional banking with our market-leading new technologies helping to change the way businesses operate, and create a productive environment for our people. To help us deliver a seamless customer experience, you'll partner with the Relationship Managers and Relationship Executives to undertake credit analysis by assessing the risks and opportunities on new lending. You'll be commercially astute, using your expertise and insights to assess the risks associated with increases in client credit, as well as revealing new opportunities to create greater efficiency for our clients. You'll be analytically focussed, with a strong understanding of client and industry information to drive ideas and innovative solutions. To join us in the CAN business, you will: Be an expert in risk and credit analysis with previous banking or finance experience writing and analysing credit transactions will set you up for success. Use your wealth of experience and analysis expertise to assess feasibility of deals. Be a stickler for detail, ensuring a high level of data accuracy and integrity Be an innovative thinker to help us find new ways of moving forward. Hold an Industry related tertiary degree or qualification. Our culture of inclusion Your individuality is welcomed and openly encouraged in our workplace. These unique insights and different perspectives enable us to provide excellent customer service to an equally diverse customer base. With such a diverse workforce, we understand the importance of creating and maintaining an inclusive culture where everyone feels safe and comfortable to be themselves at work. We believe in giving people a go and supporting those who want to drive their careers forward. With unmatched scope of working opportunities across the business, the only person who can hold your progress back is you. We value you and won't leave you hanging. Our advertising closes 28th June 2016 but expect to hear from us within a week of your application. Best of luck! Please feel free to reach out to Alana Tomlin in the Talent Acquisition team should you have any questions. Advertised: 14 Jun 2016 E. Australia Standard Time Applications close: 28 Jun 2016 E. Australia Standard Time Apply now Refer a friend Back to search results"
"KYC Client On-boarding Specialist, Relationship Services Team, Institutional Banking, 12 Month Contract, Sydney CBD","KYC Client On-boarding Specialist Sydney CBD 12 Month Contract At CommBank, we never lose sight of the role we play in other people's financial wellbeing. Our focus is to help people and businesses move forward, to progress. To make the right financial decisions and achieve their dreams, targets and aspirations. Each of us globally is dedicated to offering outstanding service, excellent advice and intuitive solutions to help our customers manage their finances in the ways they want to. Regardless of where you work within our organisation, your initiative, talent, ideas and energy all contribute to the impact that we can make with our work. Together we can achieve great things. Your Business: Institutional Banking and Markets is responsible for managing the Group's relationships with major corporate and government clients and institutional investors, and provides a full range of capital raising, transactional and risk management products and services. Our purpose is to enhance our clients' success through market-leading capabilities and unique insights. It's part of our DNA. Your Team: You will be part of the Relationship Service Team which will provide middle office support to the Client Coverage Group (CCG) in Australia and NZ by: Enabling the generation of new business revenue by undertaking support tasks and processes (such as client onboarding, creation and maintenance of static data, report management, management of an annual review calendar) in an effective and efficient manner Maintaining the integrity of client Know Your Customer (KYC) and Anti Money Laundering (AML) Sanctions documentation and other data to regulatory and organisation standards Remaining compliant with internal policy and regulatory obligations Providing other support services to the CCG relationship teams as required Your impact & contribution: Our objective is to standardize client onboarding, annual review, client static data management and other repeatable services across Institutional Banking and Markets in order to deliver world class client experience. You will support and work co-operatively with the Institutional Banking and Markets (IB&M) Relationship teams to remediate client KYC files efficiently and effectively, manage client static data and perform other support activities. Your responsibilities: 1. Client On boarding Accurately create CommSee customer profiles in compliance with Regulatory and Internal Procedural standards 2. Centre of Excellence Business subject matter expert on KYC and AML/Sanctions and FATCA working in close collaboration with the AML & Sanctions and IB&M Compliance teams Expertise on key/critical Client Coverage Group (CCG) Standard Operating Procedures and on client static data management and maintenance 3. Productivity/Efficiency Contribute to Standard Operating Procedures for client on boarding, ongoing customer due diligence process and other repeatable functions 4. Assurance & Reporting Prepare and review AML/CTF & sanctions risk assessments for existing clients ensuring accuracy and timeliness Contribute to, and provide, KYC ""assurance"" of own and other team on boarding & OCDD activities â€“ 100% accuracy Contribute to client data quality reporting 5. Document Management Liaise directly with the front office and clients regarding the collation of documentation required for compliance with regulators and internal product, credit and audit procedures Ensure client KYC and other documentation is stored and managed in a consistent, compliant and usable format 6. Relationship Support Services Maintain the KYC Schedule Input and maintenance of KYC data and information into bank databases Input and maintain other static data in various CBA systems Assist with preparation of KYC files and review Assist with other Client Data remediation activities as needed Your experience & qualifications Proven experience in KYC and on-going Customer Due Diligence role within a corporate banking and/or investment banking environment Previous experience in static data creation, management and remediation Strong regulatory knowledge of on boarding, know your client (KYC), anti-money laundering (AML) and compliance frameworks Ability to use onboarding / workflow systems / familiarity with CommSee Strong stakeholder management and communication skills â€“ ability to communicate complex on boarding issues across the business Effective oral and written communication skills Familiarity with management report preparation Ability to work independently with time management skills The people, businesses and communities we serve are wonderfully diverse. To reflect this, we're committed to hiring a similarly diverse workforce. With a focus on inclusion, accessibility and flexibility, we'll support you at every stage of your career. We value you and won't leave you hanging. Our advertising closes 29 June 2016 but expect to hear from us within a week of the closing date. Best of luck! Have a question about your application, our process or what happens next? Click here for some of the most commonly asked questions about applying for a role at CommBank. Advertised: 14 Jun 2016 Aus. Eastern Standard Time Applications close: 29 Jun 2016 Aus. Eastern Standard Time Apply now Refer a friend Back to search results"
"KYC Client On-boarding Specialist, Relationship Services Team, Institutional Banking, Sydney CBD","KYC Client On-boarding Specialist Sydney CBD At CommBank, we never lose sight of the role we play in other people's financial wellbeing. Our focus is to help people and businesses move forward, to progress. To make the right financial decisions and achieve their dreams, targets and aspirations. Each of us globally is dedicated to offering outstanding service, excellent advice and intuitive solutions to help our customers manage their finances in the ways they want to. Regardless of where you work within our organisation, your initiative, talent, ideas and energy all contribute to the impact that we can make with our work. Together we can achieve great things. Your Business: Institutional Banking and Markets is responsible for managing the Group's relationships with major corporate and government clients and institutional investors, and provides a full range of capital raising, transactional and risk management products and services. Our purpose is to enhance our clients' success through market-leading capabilities and unique insights. It's part of our DNA. Your Team: You will be part of the Relationship Service Team which will provide middle office support to the Client Coverage Group (CCG) in Australia and NZ by: Enabling the generation of new business revenue by undertaking support tasks and processes (such as client onboarding, creation and maintenance of static data, report management, management of an annual review calendar) in an effective and efficient manner Maintaining the integrity of client Know Your Customer (KYC) and Anti Money Laundering (AML) Sanctions documentation and other data to regulatory and organisation standards Remaining compliant with internal policy and regulatory obligations Providing other support services to the CCG relationship teams as required Your impact & contribution: Our objective is to standardize client onboarding, annual review, client static data management and other repeatable services across Institutional Banking and Markets in order to deliver world class client experience. You will support and work co-operatively with the Institutional Banking and Markets (IB&M) Relationship teams to remediate client KYC files efficiently and effectively, manage client static data and perform other support activities. Your responsibilities: 1. Client On boarding Accurately create CommSee customer profiles in compliance with Regulatory and Internal Procedural standards 2. Centre of Excellence Business subject matter expert on KYC and AML/Sanctions and FATCA working in close collaboration with the AML & Sanctions and IB&M Compliance teams Expertise on key/critical Client Coverage Group (CCG) Standard Operating Procedures and on client static data management and maintenance 3. Productivity/Efficiency Contribute to Standard Operating Procedures for client on boarding, ongoing customer due diligence process and other repeatable functions 4. Assurance & Reporting Prepare and review AML/CTF & sanctions risk assessments for existing clients ensuring accuracy and timeliness Contribute to, and provide, KYC ""assurance"" of own and other team on boarding & OCDD activities â€“ 100% accuracy Contribute to client data quality reporting 5. Document Management Liaise directly with the front office and clients regarding the collation of documentation required for compliance with regulators and internal product, credit and audit procedures Ensure client KYC and other documentation is stored and managed in a consistent, compliant and usable format 6. Relationship Support Services Maintain the KYC Schedule Input and maintenance of KYC data and information into bank databases Input and maintain other static data in various CBA systems Assist with preparation of KYC files and review Assist with other Client Data remediation activities as needed Your experience & qualifications Proven experience in KYC and on-going Customer Due Diligence role within a corporate banking and/or investment banking environment Previous experience in static data creation, management and remediation Strong regulatory knowledge of on boarding, know your client (KYC), anti-money laundering (AML) and compliance frameworks Ability to use onboarding / workflow systems / familiarity with CommSee Strong stakeholder management and communication skills â€“ ability to communicate complex on boarding issues across the business Effective oral and written communication skills Familiarity with management report preparation Ability to work independently with time management skills The people, businesses and communities we serve are wonderfully diverse. To reflect this, we're committed to hiring a similarly diverse workforce. With a focus on inclusion, accessibility and flexibility, we'll support you at every stage of your career. We value you and won't leave you hanging. Our advertising closes 29 June 2016 but expect to hear from us within a week of the closing date. Best of luck! Have a question about your application, our process or what happens next? Click here for some of the most commonly asked questions about applying for a role at CommBank. Advertised: 14 Jun 2016 Aus. Eastern Standard Time Applications close: 29 Jun 2016 Aus. Eastern Standard Time Apply now Refer a friend Back to search results"
UX Opportunities at CommBank,"Deliver beautiful design at the cutting edge of UX Strategy Experiment, contribute new ideas and provide inspiration Creative working on brand new and existing products for our customers UX at CommBank â€“ Join an Agile, innovative and collaborative team Digital at CommBank is responsible for our online, tablet and mobile experiences for direct to consumer, including retail banking, small business and retail wealth products. Our digital properties include commbank.com.au, netbank.com.au, mywealth.com.au, mobile apps and social media platforms. We drive the digital experience for more than 14.5 million customers across Australia and the world who rely on us for a seamless banking connection. We are a fast growing team with the opportunity to shape the way Commonwealth Bank serves customers digitally and beyond. Digital is constantly evolving which means we learn new things every day. To stay at the forefront of our industry requires a willingness to explore, discover, innovate, and an appreciation of different perspectives with an open mind. UX is a force that can not only improve people's experiences, but also delivers business outcomes through improving the experience that customers have with a product or service. That doesn't mean just soft results like better user testing results; that means delivering on business goals like: adoption, growth, revenue, retention and margins. Our UX and Visual Design team is looking for a UX Lead and Senior UX Designer to lead the UX design effort for a portfolio of products and projects within Digital. You will use Customer Centred Design (CCD) principles and methodologies to ensure we meet more customer needs on any device by offering the Group's products and services through an integrated, simple and easy-to-use digital experience. As a UX Design Lead, you will be responsible for planning, designing high-level concepts and guiding all the user experience design activities for a portfolio of digital products and projects. You will be working in a collaborative team environment following CCD principles to create effective, cohesive design solutions that meet the needs of varied users. As a Senior UX Designer, you will be responsible for working on projects to ensure we meet more customer needs on any device by offering the Group's products and services through an integrated, simple and easy-to-use digital experience. If you live the values and demonstrate the people capabilities we can offer great opportunities. Whether you want to move across the organisation or up into a leadership role, the way you live the values and demonstrate the people capabilities are key. The people, businesses and communities we serve are wonderfully diverse. To reflect this, we're committed to hiring a similarly diverse workforce. With a focus on inclusion, accessibility and flexibility, we'll support you at every stage of your career. Advertised: 09 Jun 2016 Aus. Eastern Standard Time Applications close: 23 Jun 2016 Aus. Eastern Standard Time Apply now Refer a friend Back to search results"
Supplier Performance Analyst â€“ Enterprise Services Partner Management,"Supplier Performance Analyst â€“ Enterprise Services Partner Management CBD based role Cutting edge technology platforms and a culture of innovation, support and continual improvement Analyse supplier performance and report outcomes We will offer you the autonomy and opportunities you need to thrive and drive your career forward in a direction you choose The Organisation: At CommBank, we never lose sight of the role we play in other people's financial wellbeing and each of us is dedicated to offering outstanding service, excellent advice and intuitive solutions to help our customers manage their finances in the ways they want to. No matter where you are employed within the Group, your initiative, ideas and energy all contribute to the impact that we can make with our work. Enterprise Services: We are responsible for the world-leading application of technology and operations across every aspect of the CommBank, from innovative product platforms for our customers to essential tools within our business. You are an innovative thinker, happy to take the initiative, a driver of change, dedicated to creating a better experience for our customers and passionate about technology. Your Team is the Partner Management team which is responsible for strategy-based supplier management and maximising value from the global expertise and innovation capabilities of our suppliers. The Supplier Performance Management teams' key services include managing existing suppliers against contractual obligations and service levels, driving continuous improvement in partner service delivery and optimising and agreeing service levels and service obligations for new agreements. The Role: In this exciting, rewarding and challenging role, the Supplier Performance Analyst supports the team by partnering with stakeholders across the Bank to analyse supplier performance and report outcomes; providing support in designing and optimising Service Level Agreements; contributing in provding insight into the performance of our suppliers, and driving actions to uplift their capability and engagement with the Bank and all whilst driving supplier continuous improvement and productivity. Specifically, you will: Own BAU performance management and reporting for the allocated supplier(s) under Partner Management shared services Execute and drive fit-for-purpose supplier performance governance and linkage with all relevant Bank stakeholders Maintain a constant cycle of agreeing, monitoring, reporting and reviewing service achievements to drive and continuously improve Supplier Service including: monitoring performance reports & earn-back submissions, liaising with relevant suppliers and Business Unit & IT Engineering stakeholders. Execute and optimise a service review process to ensure all service performance obligations are fulfilled and no contract leakage occurs. Ensure all service performance obligations are measurable and aligned with business requirements Ensure that all supplier service performance procedures are completed, reviewed and executed appropriately Develop and maintain strong relationships with IT Service Management & Operations teams and Service Owners Oversee the integration of services from multiple vendors and monitor compliance with operational policies and processes where applicable Maintain a central repository where all supplier performance reporting is kept up to date for the purposes of management reporting The Requirements: In order to apply for this unique, challenging and highly rewarding opportunity, it is essential that you have worked in a similar capacity within a similar, high activity, busy and large scale, enterprise operation recently. The Supplier Performance Analyst embraces a strong customer service ethic and you will have experience in: Working in an IT/Telco organisation with a focus on contract, SLA and/or commercial management, preferably in a multi-sourcing environment. You are an experienced professional in reviewing and optimising Supplier Performance, with the ability to analyse, evaluate and summarise complex problems to drive appropriate business outcomes. You're advanced planning and communication skills support your demonstrated stakeholder management experience. What now: This is a highly rewarding, career minded opportunity that will lead you on to great things. With a supportive management structure and a fantastic work / life balance, the CBA will, in return for your skills and passion, offer you a challenging, varied and enjoyable opportunity and the autonomy to shine. The people, businesses and communities we serve are amazingly diverse. To reflect this, we're committed to hiring a similarly diverse workforce. With a focus on inclusion, accessibility and flexibility, we'll support you at every stage of your career. Advertised: 09 Jun 2016 Aus. Eastern Standard Time Applications close: 30 Jun 2016 Aus. Eastern Standard Time Apply now Refer a friend Back to search results"
Supplier Performance Manager â€“ Enterprise Services Partner Management,"Supplier Performance Manager â€“ Enterprise Services Partner Management CBD based role Cutting edge technology platforms and a culture of innovation, support and continual improvement Partner with Senior Stakeholders to drive supplier performance outcomes We will offer you the autonomy and opportunities you need to thrive and drive your career forward in a direction you choose The Organisation: At CommBank, we never lose sight of the role we play in other people's financial wellbeing and each of us is dedicated to offering outstanding service, excellent advice and intuitive solutions to help our customers manage their finances in the ways they want to. No matter where you are employed within the Group, your initiative, ideas and energy all contribute to the impact that we can make with our work. Enterprise Services: We are responsible for the world-leading application of technology and operations across every aspect of the CommBank, from innovative product platforms for our customers to essential tools within our business. You are an innovative thinker, happy to take the initiative, a driver of change, dedicated to creating a better experience for our customers and passionate about technology. Your Team is the Partner Management team which is responsible for strategy-based supplier management and maximising value from the global expertise and innovation capabilities of our suppliers. The Supplier Performance Management teams' key services include managing existing suppliers against contractual obligations and service levels, driving continuous improvement in partner service delivery, and optimising and agreeing service levels and service obligations for new agreements. The Role: In this exciting, rewarding and challenging role, the Supplier Performance Manager supports the team by partnering with senior stakeholders across the Bank to drive required supplier performance outcomes; designing and optimising Service Level Agreements; delivering world class insight into the performance of our suppliers, and driving actions to uplift their capability and engagement with the Bank and, driving supplier continuous improvement and productivity. Specifically, you will manage the performance of our key technology partners through being responsible for: Owning BAU performance management and reporting for the allocated supplier(s) under Partner Management shared services Executing and driving fit-for-purpose supplier performance governance and linkage with all relevant Bank stakeholders Maintaining a constant cycle of agreeing, monitoring, reporting and reviewing service achievements to drive and continuously improve Supplier Service including: monitoring performance reports & earn-back submissions, liaising with relevant suppliers and Business Unit & IT Engineering stakeholders. Executing and optimising a service review process to ensure all service performance obligations are fulfilled and no contract leakage occurs. Ensuring all service performance obligations are measurable (efficient) and aligned with business requirements (effective) Ensuring that all supplier service performance procedures are executed appropriately Developing and maintaining strong relationships with Senior Management and Service Owners Overseeing the integration of services from multiple vendors and monitor compliance with operational policies and processes where applicable Advising as an SME on service performance related queries and supplier engagements; including leading service performance and service management streams in sourcing programs for new or existing vendor agreements Facilitating added value to services from suppliers by continuously optimising service level agreements Working with the sourcing team and BAU teams to establish and align best practice SLA and SLC regime with new and existing managed suppliers The Requirements: In order to apply for this unique, challenging and highly rewarding opportunity, it is essential that you have worked in a similar capacity within a similar, high activity, busy and large scale, enterprise operation recently. The Supplier Performance Manager embraces a strong customer service ethic and you will have experience in: Working in a large IT/Telco organisation with a focus on contract, SLA and/or commercial management, preferably in a multi-sourcing environment. Being an industry expert in managing and optimising Supplier Performance, with the ability to analyse, evaluate and be creative In solving complex problems including conflict, priorities and resourcing. Advanced planning, communication and negotiation skills support your demonstrated stakeholder management experience. What now: This is a highly rewarding, career minded opportunity that will lead you on to great things. With a supportive management structure and a fantastic work / life balance, the CBA will, in return for your skills and passion, offer you a challenging, varied and enjoyable opportunity and the autonomy to shine. The people, businesses and communities we serve are amazingly diverse. To reflect this, we're committed to hiring a similarly diverse workforce. With a focus on inclusion, accessibility and flexibility, we'll support you at every stage of your career. Advertised: 09 Jun 2016 Aus. Eastern Standard Time Applications close: 30 Jun 2016 Aus. Eastern Standard Time Apply now Refer a friend Back to search results"
Process and Compliance Manager â€“ Enterprise Services Partner Management,"Process and Compliance Manager â€“ Enterprise Services Partner Management CBD based role Cutting edge technology platforms and a culture of innovation, support and continual improvement Manage a team to deliver outstanding process management and ongoing productivity benefits We will offer you the autonomy and opportunities you need to thrive and drive your career forward in a direction you choose The Organisation: At CommBank, we never lose sight of the role we play in other people's financial wellbeing and each of us is dedicated to offering outstanding service, excellent advice and intuitive solutions to help our customers manage their finances in the ways they want to. No matter where you are employed within the Group, your initiative, ideas and energy all contribute to the impact that we can make with our work. Enterprise Services: We are responsible for the world-leading application of technology and operations across every aspect of the CommBank, from innovative product platforms for our customers to essential tools within our business. You are an innovative thinker, happy to take the initiative, a driver of change, dedicated to creating a better experience for our customers and passionate about technology. Your Team is the Partner Management team which is responsible for strategy-based supplier management and maximising value from the global expertise and innovation capabilities of our suppliers. The Process and Compliance team perform a shared service across Partner Management. They are responsible for the key processes, systems and compliance activities within Partner Management, with a strong focus on continuous improvement to drive efficiencies through the broader Partner Management. The Role: In this exciting, rewarding and challenging role, the Process and Compliance Manager will ensure suppliers are meeting their contractual obligations and all internal policies are being complied with, manage a team of 5 analysts and drive a culture focused on productivity and continuous improvement. Specifically, you will: Managing, tracking and monitoring work requests, allocating tasks and weekly reporting on key performance indicators Effectively manage team members whilst promoting a culture of excellence, customer service and collaboration Apply CBA's people management systems to effectively manage such issues as Health and Safety; recruitment and onboarding of new staff; setting KRA's and KPI's; create development plans; coach and hold individuals and team accountable for high performance; recognise and reward staff. Act as a role model by consistently displaying behaviours that encourage productive working relationships and a strong performance culture with both suppliers and internal customers Actively participate as a member of the Value Management leadership team Deliver outstanding process management and ongoing productivity benefits by assessing the efficiency and effectiveness of Partner Management processes/systems, identifying and launching process improvement initiatives and delivering process improvements to improve customer experience where applicable Take ownership of the compliance tool ""HIVE"" including the adminstration for Partner Management, manage the business requirements for system improvements, and manage the migration of further suppliers into the system Advising as senior SME on supplier governance, compliance and risk related queries Establish appropriate performance standards and reporting to apply for lower tier suppliers Develop and maintain strong relationships with Management and key stakeholders Facilitate added value to Relationship Managers by continuously optimising the engagement model The Requirements: In order to apply for this unique, challenging and highly rewarding opportunity, it is essential that you have worked in a similar capacity within a similar, high activity, busy and large scale, enterprise operation recently. You will be capable of demonstrating: Extensive background in process improvement - continuously seek ways to improve efficiency without negatively impacting on service Strong customer service ethic, with experience in working in a large IT/ Telco organisation or financial services procurement team, with a focus on governance or compliance, preferably in a multi-sourcing environment Solid experience in leading a team of analysts What now: This is a highly rewarding, career minded opportunity that will lead you on to great things. With a supportive management structure and a fantastic work / life balance, the CBA will, in return for your skills and passion, offer you a challenging, varied and enjoyable opportunity and the autonomy to shine. The people, businesses and communities we serve are amazingly diverse. To reflect this, we're committed to hiring a similarly diverse workforce. With a focus on inclusion, accessibility and flexibility, we'll support you at every stage of your career. Advertised: 09 Jun 2016 Aus. Eastern Standard Time Applications close: 30 Jun 2016 Aus. Eastern Standard Time Apply now Refer a friend Back to search results"
Process and Compliance Analyst â€“ Enterprise Services Partner Management,"Process and Compliance Analyst â€“ Enterprise Services Partner Management CBD based role Cutting edge technology platforms and a culture of innovation, support and continual improvement Deliver outstanding process management and ongoing productivity benefits We will offer you the autonomy and opportunities you need to thrive and drive your career forward in a direction you choose The Organisation: At CommBank, we never lose sight of the role we play in other people's financial wellbeing and each of us is dedicated to offering outstanding service, excellent advice and intuitive solutions to help our customers manage their finances in the ways they want to. No matter where you are employed within the Group, your initiative, ideas and energy all contribute to the impact that we can make with our work. Enterprise Services: We are responsible for the world-leading application of technology and operations across every aspect of the CommBank, from innovative product platforms for our customers to essential tools within our business. You are an innovative thinker, happy to take the initiative, a driver of change, dedicated to creating a better experience for our customers and passionate about technology. Your Team is the Partner Management team which is responsible for strategy-based supplier management and maximising value from the global expertise and innovation capabilities of our suppliers. The Process and Compliance team perform a shared service across Partner Management. They are responsible for the key processes, systems and compliance activities within Partner Management, with a strong focus on continuous improvement to drive efficiencies through the broader Partner Management The Role: In this exciting, rewarding and challenging role, you will support the team by ensuring suppliers are meeting their contractual obligations and all internal policies are being complied with whilst also driving a culture focused on productivity and continuous improvement. Specifically, you will: Act as a role model by consistently displaying behaviours that encourage productive working relationships and a strong performance culture with both suppliers and internal customers Actively participate as a member of the Value Management leadership team Deliver outstanding process management and ongoing productivity benefits by assessing the efficiency and effectiveness of Partner Management processes/systems, identifying and launching process improvement initiatives and delivering process improvements to improve customer experience where applicable Take ownership of the Partner Management intranet site and drive improvements such as increasing the ability of customers to self serve, maintaining and improving eforms and generating automated standard reporting Take ownership of the compliance tool ""HIVE"" including the adminstration for Partner Management, manage the business requirements for system improvements, and manage the migration of further suppliers into the system Advising as senior SME on supplier governance, compliance and risk related queries Establish appropriate performance standards and reporting to apply for lower tier suppliers Fulfil reporting and analytic requirements for a wide range of executive stakeholders The Requirements: In order to apply for this unique, challenging and highly rewarding opportunity, it is essential that you have worked in a similar capacity within a similar, high activity, busy and large scale, enterprise operation recently. You will be capable of demonstrating: Demonstrated experience in process improvement - continuously seek ways to improve efficiency without negatively impacting on service Strong customer service ethic, with experience in working in a large IT/ Telco organisation or financial services procurement team, with a focus on governance or compliance, preferably in a multi-sourcing environment Solid experience in leading a team of analysts What now: This is a highly rewarding, career minded opportunity that will lead you on to great things. With a supportive management structure and a fantastic work / life balance, the CBA will, in return for your skills and passion, offer you a challenging, varied and enjoyable opportunity and the autonomy to shine. The people, businesses and communities we serve are amazingly diverse. To reflect this, we're committed to hiring a similarly diverse workforce. With a focus on inclusion, accessibility and flexibility, we'll support you at every stage of your career. Advertised: 09 Jun 2016 Aus. Eastern Standard Time Applications close: 30 Jun 2016 Aus. Eastern Standard Time Apply now Refer a friend Back to search results"
Commercial Analyst / Junior Manager â€“ Enterprise Services Partner Management,"Commercial Analyst / Junior Manager â€“ Enterprise Services Partner Management CBD based role Cutting edge technology platforms and a culture of innovation, support and continual improvement Own and drive the Partner Management's Tower Spend Analysis We will offer you the autonomy and opportunities you need to thrive and drive your career forward in a direction you choose The Organisation: At CommBank, we never lose sight of the role we play in other people's financial wellbeing and each of us is dedicated to offering outstanding service, excellent advice and intuitive solutions to help our customers manage their finances in the ways they want to. No matter where you are employed within the Group, your initiative, ideas and energy all contribute to the impact that we can make with our work. Enterprise Services: We are responsible for the world-leading application of technology and operations across every aspect of the CommBank, from innovative product platforms for our customers to essential tools within our business. You are an innovative thinker, happy to take the initiative, a driver of change, dedicated to creating a better experience for our customers and passionate about technology. Your Team is the Partner Management team which is responsible for strategy-based supplier management and maximising value from the global expertise and innovation capabilities of our suppliers. The Value Management team's key services include Ensuring initial engagement point for Supplier activities, Supplier Process & Compliance management, Supplier Contract management, Supplier Commercial management, Supplier administration processes, Reporting and insight into supplier performance, and Engagement of external analysts. The Role: In this exciting, rewarding and challenging role, the Commercial Analyst / Junior Manager will support the team and drive shareholder value through diligent analysis of vendor costs (Telco related expenses, Supplier Rates, ICT BAU expenses, ASP related expenses), Leading Partner Management's Tower Spend Analysis, Driving continuous improvement, Provide commercial thought leadership and robust analysis for decision making, and Partnering with the IT Engineering team to drive a greater understanding of their costs. Specifically, you will: Own and drive the Partner Management's Tower Spend Analysis Provide commercial support to the IT Engineering team, including billing analysis Provide detailed insight through the analysis of spend and utilisation of Telco Expenses and recommend opportunities for improvements Provide high quality reporting and analytic requirements suitable for a wide range of executive stakeholders (including the ES Leadership Team) Develop a standardised approach to measure and compare suppliers, segments & services to continuously identify cost savings Act as a role model by consistently displaying behaviours that encourage productive working relationships and a strong performance culture with both suppliers and internal customers Be recognised as a senior SME on Commercial related queries and Supplier engagements Provide commercial thought leadership, detailed analysis and regular reporting to the Partner Management Relationship leads to assist them in the development of their portfolio plans and partner account plans. The Requirements: In order to apply for this unique, challenging and highly rewarding opportunity, it is essential that you have worked in a similar capacity within a similar, high activity, busy and large scale, enterprise operation recently. You will have, and be able to demonstrate your experience in: Strong background in a Commercial/Accounting role, Strong contract and vendor management skills - including pricing, scoping and risk requirements, Excellent understanding of ICT, Superior decision making analytics, Ability to translate analysis into business concepts to other non-commercial parties, Strong understanding of ES suppliers, our IT infrastructure, services provided and ES customers & users, Drive to continuously seek ways to improve profitability, Ability to form sound working relationships and influence people through clear & well-articulated points of view Ideally, you will also poses: Tertiary qualifications Professional memberships Strong Microsoft Excel skills Experience in working with relational databases What now: This is a highly rewarding, career minded opportunity that will lead you on to great things. With a supportive management structure and a fantastic work / life balance, the CBA will, in return for your skills and passion, offer you a challenging, varied and enjoyable opportunity and the autonomy to shine. The people, businesses and communities we serve are amazingly diverse. To reflect this, we're committed to hiring a similarly diverse workforce. With a focus on inclusion, accessibility and flexibility, we'll support you at every stage of your career. Advertised: 09 Jun 2016 Aus. Eastern Standard Time Applications close: 30 Jun 2016 Aus. Eastern Standard Time Apply now Refer a friend Back to search results"
