"title","requirement"
"Development Lead / Sr. Developer (Java)","Job Summary: Looking for Java Dev leads who possesses a passion for pushing mobile technologies to the limits and will work with our team of talented, engineers to design and build the next generation of our applications Qualifications & Experience · A graduate in computers or Engineering from a reputed university. · 4+ years of experience in leading a team of developers · 6 to 8 years hands on experience of the J2EE Framework and internals of the architecture, including core Java, JSP, EJB, SERVLETS,JDBC, JMS, Transaction services, Kony, IBM MQ messaging, IB DB2, WebSphere, Connect Direct scripts, Security frameworks such as ESAPI, Service Oriented Architecture patterns, Rational Application developer, Profiling, Logging (Log4J) and Thread Management. · Min 4 years of Architecture, design experience. Mobile experience will be a good advantage as add on. · Strong SQL skills and ability to design database tables. Extensive experience with real time and batch frameworks · Experience with Webservers like IBM HIS with Proficiency in Websphere application server administration and configuration essentials · Solid understanding of build/deployment tools like SCM, Maven, ANT · N-tier architectures expertise (UI, Business Logic Layer, Data Access Layer) along with some experience with service-oriented architectures (SOA) · Experience in understanding system security and how to implement them (Ex, SQL Injections, Cookies etc.) · Ability to perform code reviews and recommend automated review tools · Ability to understand methodologies/tools and a commitment to improving quality · Retail Banking experience on desktop and mobile is a strong advantage. Responsibilities · Attend BRD/FSD clarification, provide the product capabilities and advise the best practice. · Assess opportunities for application and process improvement and prepare documentation of rationale to share with team members and other affected parties · Collaborate with other developers, business analysts, testing leads, to plan, design, develop, test, and maintain web-based and desktop-based business applications · Ensure defects are fixed during testing period. · Conduct performance assessment and make sure the application is running healthily and efficiently · Ensure the solution is going live smoothly · Mentor and Coach junior developers to gain confidence, enhance their productivity and code quality. Identify and encourage areas for growth and improvement within the team. · Plan, track, create work break down structure and ensure on time delivery for assigned for the module · Ensure that code delivered for testing is of acceptable quality with all required reviews and unit testing duly done. Ensure that code developed is in accordance with the established and approved architecture and design. · Guide team development efforts towards successful project delivery and provide technical leadership to teammates through coaching and mentorship. · Maintain high standards of software quality within the team by establishing good practices and habits while delivering solutions on-time and on-budget"
"VP, Wealth Technology Support Manager, Consumer Banking Technology, Technology & Operations","Business Function Group Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & control, technology, people capability and innovation. In Group T&O, we manage the majority of the Bank's operational processes and inspire to delight our business partners through our multiple banking delivery channels. Responsibilities Ensure that Platform Management status is reported to business Mentor team members so that they grow in their current roles. Track and report the team’s bug-fixes. Track and report the team’s service request and incidents profile. Review and approve changes to production. Responsible to reduce planned down time. Ensure that all wealth SOWs (resources and inventory) are defined and lodged. Comply and ensure the team’s compliance with the Bank’s Change Management Policy. Ensure that wealth platform complies with the bank’s HA failover exercise as well as DR requirements. Work with Outsourced Vendor to ensure that we recover/restart our Avaloq services within the Recovery Time of Operation during unplanned down time. Manage Support duties and calendar. Requirements Degree Holder 5 years of working experience in Stakeholder Management Knowledge of market products. Rates, credit, commodities and equities (vanilla -> option -> exotics; structures). Knowledge of product workflow lifecycle Knowledge around business operational models. Sales, Trading, Risk, Finance and Technology desks. Knowledge of Incident, Problem and Change Management Linux, AIX, Unix and VM infrastructure. Oracle, SQL Server, Sybase or DB2, Messaging platforms (MQ, Tibco). Knowledge around unix scripting and pl/sql. Apply Now We offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements."
"VP/AVP, IT Command Centre Manager, Investment & Trdg Tech, Technology and Operations","Business Function Group Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & control, technology, people capability and innovation. In Group T&O, we manage the majority of the Bank's operational processes and inspire to delight our business partners through our multiple banking delivery channels. Responsibilities Drive Data Analytics on IT Incidents Leads data definition related to user experience and performance in MIS reporting to derive on critical issues/areas to focus on to improve user experience. Perform data analysis to transform data into information and then into insights. Drive reflection, requirement and implementation of MIS reporting metrics from inception to continuous improvement modes. Engage all users and support teams to define MIS roadmap and drive the evolution of this roadmap. Set directions in performance measurements. Provide monthly incidents/trends updates to stakeholders and users and management reports. Transform User Experience on IT incidents into Joyful journeys Serves as single contact point for users on IT incidents (24x7) and IT issues. Gather and process relevant information at point of incident and perform quick assessment of the impact. Provide timely and informative updates to management, stakeholders and users until incident closure. Manage coordination with Problem Management, ITT Mgt, stakeholders and users. Act as department focal point for Incident and Problem Management. Document all incidents and the responses. Understand and track outstanding actions for incidents escalated to Command Centre till closure. Follow up on improvement plans. Provide a self-service portal on IT incidents, issues and control. Drive regular meetings with Business Units and Support Units on IT incidents and IT problems. Requirements At least 8 years of IT experience. Bachelor’s Degree in Computer Science, Information Technology, related discipline or equivalent experience. At least 4 years of experience in a leadership role with direct reports and people management responsibilities Communication skills: strong presentation/ communication / facilitation skills (oral and written). Able to perform data analysis to transform data into information and then into insights. Intermediate understanding of IT system monitoring systems and event management processes to ensure command center teams are correlating data to useful information for decision making. Must possess decisive leadership, and the ability to exercise excellent judgment and decision making skills in the heat of the moment. Familiar with monitoring tools: ITM, Foglight, Familiar with incident mgt tools: Jira ServiceDesk, ISM Apply Now We offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements."
"Senior Vice President, Lead Solution Designer e-Business and Payments, CBG Tech, T&O","Business Function Group Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & control, technology, people capability and innovation. In Group T&O, we manage the majority of the Bank's operational processes and inspire to delight our business partners through our multiple banking delivery channels. Responsibilities Subject Matter Expertise Act as visionary and strategist for solution/application area of e-Business and Payments Survey market landscape for solution/application insights, direction, vendors, and methods Provides expertise to identify and translate system requirements into software design artifacts Speak at internal conferences and authorship internal in publications Early Ideation Help business development life cycle by serving as a solution SME to help identify and qualify business development opportunities Provide end to end solution and design details Drive experimentation to assess new solution/application paths Lead / participate in product selection process Methodology and Quality Assurance Lead development of formalized solution methodologies Contribute to a repository for solution/application artifacts Interface and coordinate tasks with internal and external technical resources. Collaborates with Project Managers and technical staff to provision estimates, develop overall implementation solution/application plan, and serve as a lead as required, to implement the installation, customization, and integration efforts Oversee aspects of project life cycle, from initial kickoff through requirements analysis, design and implementation phases for projects within the solution/application area Provide quality assurance for services within the solution/application area Write, or direct the writing of white papers that add further insight and thought in the solution/application area Work Force Management, Supervision and Mentoring Manages a team of direct reports who drive service lines in the solution/application area Assists staffing coordinators who define project team requirements for projects in solution/application area Work with Delivery Managers to define overall recruiting needs and expertise in solution/application area Work with Delivery Managers to establish professional development needs for practitioners in solution/application area Mentor and guide more junior technical resources Feed the overall project status to the senior management. Guiding Applications Operations They are responsible for the change in delivery and deployment strategy for all applications to a total replacement for applications at the end of their technology or functionality lifecycle. Maintain and monitor all aspects of the application: Interoperability capability Performance and scalability Reliability and availability Application lifecycle stage Technological risks Number of instances / country Functionality and Capability Understand the system process flow of the primary business processes. It gives a clear picture of the functionality map and the applications footprint of various applications across the map. Requirements Degree from a recognized university in the field of IT or Software Engineering Experienced in SOA and EOA architecture Deep End-to-End Enterprise Architecture understanding, including Enterprise Java Stack (JEE), Rich UI and Front-End technologies, Middleware technologies, Mainframe technologies, Databases, Data Warehouses, and Core Banking solutions Deep understanding of TOGAF and BIAN architecture frameworks Understanding of Enterprise Integration and Messaging Patterns, SOA Governance practices Strong communication skills including engaging senior management on strategic plans, leading project steering committees and status updates etc Experience of managing a mixed team of project managers, analysts as well developers as well as vendor management Experienced in application of Software Development Life Cycle Ability to work independently and handle multiple concurrent initiatives Excellent organizational and prioritization skills Excellent team player and strong interpersonal skills Excellent written and verbal communications skills Proactive and able to work under pressure, strong problem-solving skills and positive attitude Minimum 8 years experience in architect role. Apply Now We offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements."
"VP / AVP, Information Security Officer, Technology Services, Technology & Operations","Business Function Group Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & control, technology, people capability and innovation. In Group T&O, we manage the majority of the Bank's operational processes and inspire to delight our business partners through our multiple banking delivery channels. Responsibilities Provide information security related advisories, consultation and security solutions to support banking business, operations and technology infrastructure projects. This may include vendor evaluation, technology product evaluation, technical design reviews and information security risk assessment. Responsible, develop and maintain regional policies, standards and procedures that guide and support the provision of information security services. Participate in review of security baselines for information security related infrastructures. Demonstrate good understanding of the security, risks and controls of technology platforms in a banking environment. Provide information security threat analysis and risk assessment for business and infrastructure projects. Provide mitigation solutions for information security risks. Participate in technology and security reviews including site visits of business and technology service providers. Keep abreast of own professional development to enhance one’s skills and competence. Requirements Minimum 5 years of experience Good interpersonal and communication skills - spoken and written Good planning and other project management skills, including strong organisation skills Must be solutions oriented; ability to work with all levels of management and staff Self-starter, performance-oriented individuals preferred IT professional with good understanding of technical security solutions surrounding various technologies such as but not limited to: Application security, data loss prevention, denial of service protection, authentication solutions, firewall technologies, anti-virus and white listing, content filtering, secure email solutions, remote access solutions, log management & analysis, routing, switching, network management and cryptography usage Familiar with new technologies in POS, ATM, Internet Banking, credit cards, phone banking, Internet technologies such as social networking, cloud computing, mobile technology, big data usage Experience in outsourced vendor management. Familiar with banking regulatory guidelines and Payment Card Industry standards. Awareness of the business challenges faced by banking and financial institutions Prior experience in either banking, IT risk management, network engineer, mobile application developer, operating system administrator, database administrator Apply Now We offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements."
"AVP/Senior Associate, Manager (Credit Operations, Unsecured Loans Originations), Consumer Banking Operations, Technology & Operations","Business Function Group Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & control, technology, people capability and innovation. In Group T&O, we manage the majority of the Bank's operational processes and inspire to delight our business partners through our multiple banking delivery channels. Responsibilities To supervise a team of staff, train and develop them to be proficient in their jobs. Work with various units across the Bank (relating to unsecured Loans) in supporting the Business and ensuring that the risk and compliance related matters are complied with. Ensures that applications are processed defect-free, and in a timely and cost-effective manner. Develop workflow systems that report turnaround times, backlogs, MIS collation, defect related MIS and productivity Eliminate non-value added activities. Work closely with Business Units in ensuring that only quality applications are sent to Application Processing Unit for processing. Requirements Background in Banking, Business Admin, Engineering. Experience in Quality Assurance, Project Management, Credit, Operations. At least 3 years’ experience in a banking environment. Knowledge of Process Improvement Toolkit and metrics/measurement. Basic knowledge of Credit policy and underwriting and Banking Operations policies and procedures. Good understanding of operational risks. Meticulous with eye for details. Apply Now We offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements."
"Senior Associate / Associate, Murex Integration Developer, Investment & Trdg Tech, Technology and Operations","Business Function Group Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & control, technology, people capability and innovation. In Group T&O, we manage the majority of the Bank's operational processes and inspire to delight our business partners through our multiple banking delivery channels. Responsibilities Execute projects and enhancements and provide technical support in the area of STP trade interfaces, including pre-trade related enhancement. Analyze user requirements and design/development of Murex STP trade interfaces. Work will also include some development using UNIX shell scripts, SQL and Core Java to automate the interfaces between Murex and other application systems. The candidate is expected to work closely, and communicate effectively and independently with project managers, business analysts and business users, as well as external vendors. Requirements Bachelor degree holder in Computer Science, Information Systems or related discipline. Minimum 5 years of working experience and minimum 3 years relevant experience in Murex STP trade interface and post trade workflow development. Possess good knowledge of technical skills: Murex MxML (MX 3.1), with proficiency in XML/XST, data dictionaries, FXCash and other trade interfaces. Murex pre-trade sequence related to STP trade interfaces. Core Java, preferably version 1.6 and above. SQL, preferably in Sybase environment. UNIX system command and shell scripting. Good to have below knowledge and skills: Murex datamart report, market data (MDRS/MDCS/RTBS). Agile software development knowledge. Automated test framework hands-on experience. Other requirements: Good knowledge of Treasury products. Strong analytical mindset and problem solving skills. Able to multi-task and work under pressure. Good teamwork skills. Apply Now We offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements."
"AVP / Senior Associate, IT Sourcing - Category Management, Group Procurement & Services, T&O","Business Function Group Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & control, technology, people capability and innovation. In Group T&O, we manage the majority of the Bank's operational processes and inspire to delight our business partners through our multiple banking delivery channels. Responsibilities Lead cross-functional teams in the planning and conduct of sourcing actions and negotiations with suppliers, to steer favourable outcomes in line with organisational objectives Own and build strong relationships with key internal customers and suppliers Drive and deliver supply chain value and risk management through partnership and early engagement with key stakeholders in understanding business needs and market trends Support category managers in the formulation and deployment of category management strategies Increased GPS spend influence and delivering value through stakeholder and supplier engagement Deliver savings in accordance with agreed targets and definitions Maintain service levels and customer satisfaction for the service provided Accountable for managing assigned sourcing projects Requirements Degree holder with minimum 3 years of relevant experience in IT procurement function, preferably in a regulated industry Impeccable integrity coupled with strong ownership of goals and a will-to-win Ability to advice, sell and fulfil all sourcing needs of internal decision makers Service-oriented with the ability to interact with all levels of management regionally, through excellent presentation and interpersonal skills. Demonstrate competent negotiation skills and ability to build and develop strong relationships with stakeholders and suppliers Contract Law, Category Management and Spend Analysis methodologies Tender and RFx processes Apply Now We offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements."
"Vice President, Technology Risk Manager, Risk Management, Technology and Operations","Business Function Group Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & control, technology, people capability and innovation. In Group T&O, we manage the majority of the Bank's operational processes and inspire to delight our business partners through our multiple banking delivery channels. Responsibilities Building key relationships with the various IT departments, working in partnership in identifying and developing solutions to address key technology risk areas Forge effective engagement with key stakeholders with on risk management, control and governance matters Facilitate Technology Risk, Control and Quality forum to ensure its effectiveness through agenda and robust discussion Driving and managing Technology risk mitigation initiatives across DBS group, including facilitating control self assessments Coordinate training efforts to promote risk management and compliance culture within T&O units Requirements Relevant experience in IT risk management role, with prior experience in application management or infrastructure management Experience in banking environment or professional consulting organizations Experience in project management or consulting background Strong communication skills at all levels -- able to effectively communicate with IT management and as well line staff to drive IT risk mitigation initiatives and other IT risk management services Strong interpersonal relationship track record within IT and internal clients Bachelor Degree in Information Technology/Engineering preferred Professional Certification preferred – CISA/CISM/CISSP/CRISC/CBCP Apply Now We offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements."
"Associate, Network Engineer CUS, Technology Services, Technology & Operations","DBS is a leading financial services group in Asia, with over 280 branches across 18 markets. Headquartered and listed in Singapore, DBS has a growing presence in the three key Asian axes of growth: Greater China, Southeast Asia and South Asia. The bank's capital position, as well as ""AA-"" and ""Aa1"" credit ratings, is among the highest in Asia-Pacific. DBS has been recognised for its leadership in the region, having been named “Asia’s Best Bank” by The Banker, a member of the Financial Times group, and “Best Bank in Asia-Pacific” by Global Finance. The bank has also been named “Safest Bank in Asia” by Global Finance for seven consecutive years from 2009 to 2015. Group Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & control, technology, people capability and innovation. In Group T&O, we manage the majority of the Bank's operational processes and inspire to delight our business partners through our multiple banking delivery channels. Requirements Certified Network Engineer with 5-6 years network experience Good work attitude, proactive and independent Technically sound and able to support end-users environment on WAN, MAN, LAN and Wireless network Network Technical Support Operations support for data network Network design and implementation Product implementation experience on Cisco Routers & Switches - (CatOS, IOS) Cisco Nexus OS (N7K, N5K, N2K) Wireless network infrastructure Identity Service engine (ISE) and monitoring F5 (Enterprise Manager, LTM & GTM) Foundry Server Load Balancer To provide network certifications Apply Now We offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements. We regret only shortlisted candidates will be notified."
"SVP, Platform Architect - Digital Bank, Consumer Banking Technology, Technology & Operations","DBS is a leading financial services group in Asia, with over 280 branches across 18 markets. Headquartered and listed in Singapore, DBS has a growing presence in the three key Asian axes of growth: Greater China, Southeast Asia and South Asia. The bank's capital position, as well as ""AA-"" and ""Aa1"" credit ratings, is among the highest in Asia-Pacific. DBS has been recognised for its leadership in the region, having been named “Asia’s Best Bank” by The Banker, a member of the Financial Times group, and “Best Bank in Asia-Pacific” by Global Finance. The bank has also been named “Safest Bank in Asia” by Global Finance for seven consecutive years from 2009 to 2015. The Technology and Operations team designs, develops and maintains computer application systems to support banking operations and provide innovative IT solutions, while harnessing new technologies to meet corporate objectives. In addition, we centralise, standardise and regionalise like-activities to achieve economies of scale and improve/re-engineer end-to-end processes to achieve world-class standards. Responsibilities Subject Matter Expertise Act as visionary and strategist for solution/application area of Digital Bank Survey market landscape for solution/application insights, direction, vendors, and methods Provides expertise to identify and translate system requirements into software design artifacts Speak at internal conferences and authorship internal in publications Early Ideation Help business development life cycle by serving as a solution SME to help identify and qualify business development opportunities Provide end to end solution and design details Drive experimentation to assess new solution/application paths Lead / participate in product selection process Methodology and Quality Assurance Lead development of formalized solution methodologies Contribute to a repository for solution/application artifacts Interface and coordinate tasks with internal and external technical resources. Collaborates with Project Managers and technical staff to provision estimates, develop overall implementation solution/application plan, and serve as a lead as required, to implement the installation, customization, and integration efforts Oversee aspects of project life cycle, from initial kickoff through requirements analysis, design and implementation phases for projects within the solution/application area Provide quality assurance for services within the solution/application area Write, or direct the writing of white papers that add further insight and thought in the solution/application area Work Force Management, Supervision and Mentoring Manages a team of direct reports who drive service lines in the solution/application area Assists staffing coordinators who define project team requirements for projects in solution/application area Work with Delivery Managers to define overall recruiting needs and expertise in solution/application area Work with Delivery Managers to establish professional development needs for practitioners in solution/application area Mentor and guide more junior technical resources Feed the overall project status to the senior management Guiding Applications Operations They are responsible for the change in delivery and deployment strategy for all applications to a total replacement for applications at the end of their technology or functionality lifecycle Maintain and monitor all aspects of the application: Interoperability capability Performance and scalability Reliability and availability Application lifecycle stage Technological risks Number of instances / country Functionality and Capability Understand the system process flow of the primary business processes. It gives a clear picture of the functionality map and the applications footprint of various applications across the map Requirements Degree from a recognized university in the field of IT or Software Engineering Minimum 8 years experience in architect role Experienced in SOA and EOA architecture Deep End-to-End Enterprise Architecture understanding, including Enterprise Java Stack (JEE), Rich UI and Front-End technologies, Middleware technologies, Mainframe technologies, Databases, Data Warehouses, and Core Banking solutions Deep understanding of TOGAF and BIAN architecture frameworks Understanding of Enterprise Integration and Messaging Patterns, SOA Governance practices Strong communication skills including engaging senior management on strategic plans, leading project steering committees and status updates etc Experience of managing a mixed team of project managers, analysts as well developers as well as vendor management Experienced in application of Software Development Life Cycle Ability to work independently and handle multiple concurrent initiatives Excellent organizational and prioritization skills Excellent team player and strong interpersonal skills Excellent written and verbal communications skills Proactive and able to work under pressure, strong problem-solving skills and positive attitude Apply Now We offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements. We regret only shortlisted candidates will be notified."
"VP/AVP, Program Manager, Operations Digitisation, Technology and Operations","Business Function Group Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & control, technology, people capability and innovation. In Group T&O, we manage the majority of the Bank's operational processes and inspire to delight our business partners through our multiple banking delivery channels. Responsibilities Defining the case for change Conducting human centered design and customer journeys to develop solutions across business, operations and technology Developing solutions to drive digitisation and operational efficiency Delivering and ensuring the realization of tangible outcomes from digitally-enabled transformation initiatives Working with and presenting to senior management End-to-end management of transformation projects from the initiation phase (business case) to the execution phase (setup, status update, tracking and implementation) Providing leadership to the program to equip them with the necessary skills to perform their roles through consultative management Driving a team of skilled SMEs across the internal technology units (e.g. Application Teams, Infrastructure Team, Deployment Team), corporate support functions and external vendors to ensure that issues and opportunities are managed and tracked holistically Lead work stream(s) to ensure alignment to the strategic objectives Provide timely update and status reports on progress of projects against the scope, schedule and budget Ensures that the implementation is done in a consistent and standardized fashion across all locations, all business technology areas. Responsible for orchestration and delivery of change management and communications Able to articulate progress/coverage on our overall landscape and provides regular score-cards and status update to senior stakeholders Requirements Minimum 7-12 years of relevant work experience with proven record of delivering strategic transformation and change programs Excellent problem solving and analytical ability – be able to propose and follow through both transformational and incremental change Excellent written and verbal communications skills – with proven ability to facilitate workshops and present to a senior audience Proven leadership and people management skills required – with demonstrated ability to work independently and manage teams and initiatives in a fast-paced environment Strong interpersonal and relationship skills – with proven ability to develop positive stakeholder relationships, through effective engagement and communications Driven, strategically focused, and organized with strong attention to detail – with ability to synthesize and present to senior management Established record in leading and managing multiple work streams within budget and tight deadlines Strong financial modelling and analysis ability, with high proficiency in Microsoft Excel and Powerpoint Bachelor Degree in Business, Computer Science or Engineering, MBA is preferred Highly Advantageous Consulting experience in a top tier consulting company Strong knowledge and familiarity with Singapore banking and financial services industry landscape Experience with Banking Operations Digitisation and Human Centered Design Experience and familiarity with strategy and decision-making frameworks Experience with SDLC and agile methodologies and frameworks Project management certification (PRINCE2, PMBOK) Apply Now We offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements."
"Associate, Project Manager, Institutional Banking Group Technology, Technology and Operations","Business Function Group Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & control, technology, people capability and innovation. In Group T&O, we manage the majority of the Bank's operational processes and inspire to delight our business partners through our multiple banking delivery channels. Responsibilities To support IBG Technology department in Project Management, this includes the following responsibility: Liaise with Business/Ops on projects – from conceptualization to implementation Provide Project Management for the deliver y for the projects Liaise with vendors for project delivery Work with Subject Matter Experts to provide solutions, efforts sizing and functional and design specifications for business initiatives Work with Project Management Centre and IBGT PMO for project governance Drive contract negotiations, signing and monitoring Create core work projects and inspect other work products Track financials and work closely with Business Unit Controllers for financials matters Serve as liaison between Business, Ops and project team Support Group Audit on their involvement in projects Present to Sponsors and Project Steering Committee Ensure the smooth operational rollout of projects to customers Act as a Project Manager for Projects involving Technology platforms and cross-department coordination Be the single point-of-contact for Business/Ops for the project Be the single point-of-contact for DBS to all vendors/service providers in relation to the project Develop efficient working relationship and good interactions/communication with the various stakeholders/departments Ensure the smooth operations of projects after the rollout Report regularly to the management and stakeholders on the project status Requirements Previous experience in managing large, multi-vendor project implementation is a requirement Previous vendor management experience is necessary Posses excellent verbal and written communication skills Degree in Information Technology or equivalent, with minimum 5 years relevant experience in Bank IT Systems, of which minimum of 3 years should be in a Project Manager role PMP certification or have a similar form of accreditation is an advantage Previous experience on applications analysis, design and development of IT systems Relevant experience handling projects in the banking industry Agile ScrumMaster certification is an advantage Apply Now We offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements."
