"jobs_title","jobs_requirement"
"Head of Analytics & Decisioning for Personal & Business Banking","The Business
We're looking for a talented business leader to join us as Head of Analytics and Decisioning for Personal & Business Banking (PBB) in a highly impactful and important role. As part of the bank’s wider Data and Analytics function, you’ll manage a team focused on supporting PBB in delivering its strategic objectives, as well as being part of a team that is transforming the use of data within the Bank.
Your peers within the Data & Analytics team are highly skilled, and hold similar responsibilities for other franchises, the Bank’s Chief Data Officer and the leaders of the technology teams delivering the change agenda. Not only will you play a key role in shaping the bank’s agenda for data, but you'll also be operating routinely and extensively at an executive level within PBB, putting you on a great platform to shape the direction of the bank through your interactions.
In Data & Analytics, we have the task of pulling all of the bank's data into a single version of the truth. Our brief has been set by the highest levels of authority in the bank, and as such the work we do is high visibility and of huge significance. We have a big part to play in the bank's transformation, and we'll have a genuine impact on the wider goal of building a better bank.
What you'll do
You'll be leading and developing a team of around 250 people, both off and onshore, to deliver improved customer engagement, optimised business decisions and efficient operational processes through the use of data and customer decisioning. You’ll also be leading teams which deliver analytics support to every part of the PBB business, including product, channel, digital, marketing and customer experience analytics.
Along with this, you'll be taking responsibility for the design and delivery of customer decisioning for RBS, including data-driven contact activity through all channels, both inbound and outbound. You'll set the vision for the PBB strategic direction for leveraging customer data, and will be developing PBB Exco-level support for the vision, as well as participating in setting the overall strategy for data and analytics for the bank as part of the leadership team of the wider business.
In addition to this, you'll also be:
Defining, implementing and maintaining appropriate data management protocols and business rules to ensure secure and compliant management of RBS data within PBB
Embedding data-lead decision-making into the bank through the delivery of self-service tools, strong engagement in key initiatives and challenge to initiatives where appropriate
Driving the organisation to become customer-centric, linking and making use of data across the full customer relationship and presenting this data to front-line staff
Responsible for managing the unit’s annual budget and performance
What you'll bring
To succeed in this role, you'll have extensive domain knowledge of financial services, and an understanding of using (and in managing teams who use) data and analytics to influence business and customer decision-making. You'll have a demonstrable track record of delivering major business critical or data change programmes with broad scopes, high levels of complexity, cross functional remits and challenging deliverables.
You'll also need to be able to form strong and effective business relationships and partnerships to meet strategic outcomes, engaging a wide range of stakeholders across the business. You'll have a demonstrated ability to influence and shape outcomes with PBB Exco-level stakeholders, as well as the ability to lead, drive, manage, motivate and develop large teams of people to high performance levels. Finally, you'll also have experience of dealing with regulators and regulatory requirements in the use and application of data.
This role can be located in Edinburgh or London. If you’re currently based in London, you’ll be regularly required to travel to Edinburgh, where a large part of your team and executive stakeholders are based.
As a Financial Services organisation we comply with and support the requirements set by our Regulator, the Financial Conduct Authority (FCA), which are designed to protect our customers. This role falls under Conduct Rules of the Individual Accountability Regime (IAR) and is subject to pre-employment screening. This means if your application is successful, you’ll need to satisfy some important background checks before you can start working with us. These will include a full credit check, a criminal record check, residency and right to work checks.
How we'll reward you
In return, we offer a competitive salary plus 30% cash and benefit funding programme that can be tailored to suit your individual needs. In addition, we provide a wide selection of exclusive lifestyle offers, development and learning programmes, services and support designed to help you manage and balance your work/life priorities. For more information on our benefits, please visit our website.
At RBS, we want everyone to feel welcome. That’s why we want you to know that we'll work with you to make the application process as smooth as possible. So please just let us know if you need any adjustments or support – we'll do whatever we can to help.
If we offer you a job, we’ll discuss with you how we can help set you up for success, including by making adjustments to your working environment if required.
If you are experiencing any technical issues when applying for this role, please refer to our FAQ section for assistance.
At RBS, we are focused on becoming the UK’s number one bank for customer service, trust and advocacy by 2020. We are simplifying our business, concentrating on the areas where we can lead the market, and placing our customers at the heart of everything we do."
"Risk Delivery Change Manager","The Business
This is an outstanding opportunity for a strong change or programme manager with a track record of delivery to take on responsibility for intriguing, bank wide projects with great internal and external visibility. Join our Enterprise Wide Risk Management function as Stress Testing Delivery Change Manager, and you'll get a great overview across one of Europe's largest and most complex financial services organisations, along with challenging work to take your career forward.
Enterprise Wide Risk (EWR) deals with risks that manifest themselves at the aggregate level of the bank. So we take a strategic, bank-wide view of risk management.
We manage areas like capital and liquidity risk, which are entity driven (rather than pure credit, market or operational risk views), as well as risk appetite and policy framework which apply across the bank globally. We are a centre of expertise for all centralised risk model development activity, from stress testing to capital adequacy. We also own the end-to-end risk management framework, how it fits together, and work on its adoption and consistent application across the bank. This makes us a key area in delivering security to both customers and shareholders.
What you'll do
Stress testing is an area of huge focus both inside the bank and with some of our most important external stakeholders. We complete stress tests at our regulators' request, but we also use them as a tool to assess the risks inherent in the types of business we choose to engage in, and make major strategic decisions. All of this will give the team's work real visibility and great importance.
Reporting to the Head of Stress Testing Delivery, this role will see you leading stress testing change and enhancement initiatives across the bank. Your role will include ongoing PMO of change and enhancement activity, includes sizing existing risk issues – the source of which could be Audit, QA, or regulatory – through discussion with multiple stakeholders both in the franchises, and in risk, finance and treasury teams. There are numerous workstreams which will go towards completing the task, and as a dedicated Change Manager you'll have the significant responsibility of coordinating them all, including design and maintenance of the overall project plan with a specific focus on change and enhancements both for the short and long term. It's a vital role which will see you take on a broad set of stakeholders, from colleagues within your immediate team to subject matter experts and senior management throughout our customer businesses, and on to our external regulators, who you'll have direct contact with, and for whom you'll coordinate business streams to provide our response to requests.
Ultimately, you'll be responsible for making sure that the necessary changes and enhancements are implemented on time. It's a sizeable and essential task with great visibility to senior stakeholders across the bank, and could kick your career on to the next level.
What you'll bring
This is an important and high profile piece of work with significant time pressures, and you will need to be motivated by the challenge. You'll need a background in a change management or PMO environment, and should be delivery focused and able to demonstrate the ability to successfully lead large scale risk or finance projects.
While you don’t need a detailed understanding of the practicalities of stress testing, you should have a good high level overview and a competent understanding of the regulatory and financial consequences of failures in stress testing processes. The team's task is multi-functional, so you should also have an understanding of how areas such as Risk, Finance, Treasury, and Capital Management all interact.
Communication, people management and influencing skills are essential, as you'll be reliant on the buy-in and cooperation of a broad range of contributors and stakeholders to deliver.
As a Financial Services organisation we comply with and support the requirements set by our Regulator, the Financial Conduct Authority (FCA), which are designed to protect our customers. This role falls under Conduct Rules of the Individual Accountability Regime (IAR) and is subject to pre-employment screening. This means if your application is successful, you’ll need to satisfy some important background checks before you can start working with us. These will include a full credit check, a criminal record check, residency and right to work checks.
How we'll reward you
In return, we offer a competitive salary plus 30% cash and benefit funding programme that can be tailored to suit your individual needs. In addition, we provide a wide selection of exclusive lifestyle offers, development and learning programmes, services and support designed to help you manage and balance your work/life priorities. For more information on our benefits, please visit our website.
At RBS, we want everyone to feel welcome. That’s why we want you to know that we'll work with you to make the application process as smooth as possible. So please just let us know if you need any adjustments or support – we'll do whatever we can to help.
If we offer you a job, we’ll discuss with you how we can help set you up for success, including by making adjustments to your working environment if required.
If you are experiencing any technical issues when applying for this role, please refer to our FAQ section for assistance.
At RBS, we are focused on becoming the UK’s number one bank for customer service, trust and advocacy by 2020. We are simplifying our business, concentrating on the areas where we can lead the market, and placing our customers at the heart of everything we do."
"Fund Research Analyst Coutts","The Business
If you have significant investment and fund research experience, this is an excellent opportunity to join us at Coutts as a Fund Research Analyst. You'll be maintaining a range of funds for use in various client groups and propositions across the business, providing you with a great platform to showcase and develop your talents, as you engage with a range of business areas.
At Coutts, we offer modern banking based on traditional values. So although our name may be steeped in history, our products and services are very much for today.
What you'll do
As Fund Research Analyst, you'll be establishing our Fund Research team as a sole centre of competence for primary research within Coutts and the wider RBS Commercial & Private Banking (CPB) division. You'll be maintaining a comprehensive range of funds from third party asset managers, including market research, manager selection, ongoing monitoring and supporting communication, for use in various client groups and propositions across the business.
Along with this, you'll also keep the Coutts Investment team informed about the latest developments in the fund management industry. You'll be managing the relationship between the fund manager and fund house, and
In addition to this, you'll also be:
Conducting and documenting the initial and ongoing manager interviews and due dilligence
Presenting and defending proposed additions and removals from Approved Universe and any rating changes
Creating and maintaining evidence for quantitative monitoring
Supporting advisors and portfolio managers with the implementation of their preferred fund range
Making sure that investment exposures are fully understood and accurately positioned with clients
What you'll bring
To be successful in this role, you'll have enthusiasm and a visible commitment to a career in investing, and will ideally have a particular interest and track record in fixed income based strategies. You'll have investment and fund research experience, and will be CFA qualified, or an equivalent.
You'll also be familiar with analytical tools such as Lipper, Style Research, Morningstar Direct, Excel and Bloomberg, and will have a good understanding of the UK retail investment products market, keeping up to date with economic research insight and house views.
Along with this, you'll have excellent attention to detail and strong analytical skills. You'll be flexible in your approach to working, comfortable working both as part of a team or on your own, and will have great communication and listening skills.
As a Financial Services organisation we comply with and support the requirements set by our Regulator, the Financial Conduct Authority (FCA), which are designed to protect our customers. This role falls under Conduct Rules of the Individual Accountability Regime (IAR) and is subject to pre-employment screening. This means if your application is successful, you’ll need to satisfy some important background checks before you can start working with us. These will include a full credit check, a criminal record check, residency and right to work checks.
How we'll reward you
In return, we offer a competitive salary plus 30% cash and benefit funding programme that can be tailored to suit your individual needs. In addition, we provide a wide selection of exclusive lifestyle offers, development and learning programmes, services and support designed to help you manage and balance your work/life priorities. For more information on our benefits, please visit our website.
At Coutts, we want everyone to feel welcome. That’s why we want you to know that we'll work with you to make the application process as smooth as possible. So please just let us know if you need any adjustments or support – we'll do whatever we can to help.
If we offer you a job, we’ll discuss with you how we can help set you up for success, including by making adjustments to your working environment if required.
If you are experiencing any technical issues when applying for this role, please refer to our FAQ section for assistance.
At Coutts, we focus on creating the hallmark of excellence: the ‘Crown Standard’. The expectations of our clients and the standards we set ourselves are high.
So, everything we do must be characterised by exceptional quality – the thoughtfulness, care, and attention to detail that is quintessentially Coutts."
"BI Analyst","The Specialist Area
The CPB Large Corporate & Sectors, Corporate & Commercial Coverage and Real Estate Financing Team provide high quality management information to our London business stakeholders, providing a unique opportunity to understand the CPB business at the macro level and overview of the finance environment.The team based in Warsaw and supports London CPB Decision Support teams. Within the Team the BI Analyst undertakes a suite of reporting deliverables for the CPB. This includes but it’s not limited to: Balance Sheet analysis, Business Units (products) performance analysis ad hoc analysis.
The Responsibilities
Business Delivery and Financial Performance
Daily, weekly, monthly and quarterly MI reporting and analysis – covering revenue, capital, balance sheet, costs, FTE and various indicators derived from primary data.
Optimising the existing reporting processes.
Developing new reporting tools in line with business requirements.
Ad hoc project work/analysis as required, working collaboratively across Finance.
Responsibility for reviewing all standard reports and ad hoc amendments.
Assisting in Balance Sheet, Headcount, Legal Entity Reporting as required
Actively seeking to deliver improvements in data, processes and output
Active participation in building knowledge and experience within the team.
Building positive long term relation with Business Partners in onshore team
Risk, Efficiency and Control
1stLoD:
Complies with relevant Group Policies, testing and certifying (or considers and escalates) the adequacy and effectiveness of the business’s controls on a regular basis
Establishes and documents (or follows and/or maintains) operating procedures which include relevant controls to meet Group and local policy requirements.
Conduct Risk: To be accountable for ensuring you understand, uphold and promote the Conduct Risk standard pillars:
Employee Conduct
Corporate Conduct
Market Conduct
Conduct Towards our Customers
People Management
Supporting a line manager in coaching/training/supporting new joiners and junior staff within the team. Supporting the line manager in introducing bank wide policies and best practices. Maintaining Team reputation and good atmosphere through building positive relation with onshore and offshore teams.
The Requirements
Experience
Essential
Relevant Financial services experience (2-3 years) including good understanding of banking and markets principles.
Key financial processes including MI production, performance reporting, planning/budgeting/forecasting
Ability to work autonomously to prioritise workload in a time-pressured environment.
strong communication skills in English/Finance English
Desirable
proven track of driving improvements, simplifying processes etc.
ability to build and maintain relationships in an onshore-offshore model
experience in consolidation of the multiple layers of data
Technical Capabilities
Essential
Strong academic background
Strong numerical and analytical skills
Advanced Excel/Word/PowerPoint
Desirable
Ability/willingness to work with various IT for business toolsas the job comprises highly technical analysis with wider understanding of business aspects."
"Team Manager","The Requirements
Job Description
Job Description
Provide training to Bookworm users, initiators and approvers
Understand how to interrogate Bookworm functionality, and recommend solutions or next steps to queries
Liaise with KSOR change requestors, review and, where appropriate, challenge suitability of change requests
Raise relevant JIRAs, liaise with Bookworm IT, and facilitate KSOR prioritisation forum
Perform daily reconciliation of, and manage exceptions resulting from, SDM to source systems
Act as Bookworm SME for stakeholders and regional reference data teams
Act as SME on source system booking models, inter-system book functionality, and the resultant requirements for SDM book set up and associated controls
Assist regional reference data teams with complex issues or queries.
Role Description
Role specific responsibilities will include:
Participate and contribute as appropriate to definition and development of strategy for Ref Data and R&DS within TMO. Ensure that resources and operational plans are in place to support overall TMO strategy and that of R&DS
Ensure that all staff understands the Ref Data, R&DS, TMO, CIB and RBS Group strategies and their role in making it happen. Ensure clear and unambiguous roles and responsibilities are agreed
Participate in Industry forums and regularly review market initiatives in order to drive forward Ref Data best practice. Seek out opportunities to engage new functions/ learn new skills to enhance capability of themselves and the wider team
Work with the functional teams and stakeholders to identify and prioritise remediation of issues. Understand business context, comparing and contrasting alternative options for all scenarios identifying those for BAU remediation and those requiring further strategic planning and/or investment.
Manage and supervise the locational Ref Data team, ensuring initial requirements for Reliability, Completeness & Accuracy of data sourcing, maintenance and publication are documented and relevant processes and controls are mapped and understood
Ensure inefficient / ineffective data processes are identified and drive forward efficiency and quality benefits, reducing bureaucracy
Manage the definition of effective and appropriate Management Information enabling Reference Data to manage the risks of quality issues on key data attributes and processes. Ensure meaningful thresholds are established to check the quality and accuracy of work completed.
Recognises the dynamics and relationships between data souring, data maintenance, and data publication related problems, issues and situations and considers at the bigger picture. Considers the implications of different scenarios and compares the risks/benefits of solutions. Takes calculated risks to achieve service excellence. Anticipates potential problems and takes pre-emptive action, removing barriers that constrain successful delivery.
Support the Head of Reference Data as an SME, attending working groups and Steer Co’s as required
Manage the locational Reference Data resources and work with the global leads, recognising and using the diversity within the team to maximise the group effectiveness and outcomes
Ensure business is executed within a culture of client focus
Build, safeguard and uphold the reputation of RBS Group across stakeholders: e.g., public, staff, clients, etc.
Manage Reference Data related stakeholder relationships across Front Office, Operations, Finance, Risk, Compliance and IT. Build trust and openness and proactively seek feedback to increase awareness of the needs of stakeholders and to improve data quality across Organisational boundaries.
Complies with relevant Group Policies, testing and certifying (or considers and escalates) the adequacy and effectiveness of the business’s controls on a regular basis; and establishes and documents (or follows and/or maintains) operating procedures which include relevant controls to meet Group and local policy requirements.
To be accountable for ensuring you understand, uphold and promote the Conduct Risk standard pillars: Employee Conduct, Corporate conduct, Market Conduct, Conduct towards our customers
Establish and maintain any Reference Data related operations, controls, risk assessments and assurance programmes, monitoring of risk and controls to identify, assess and manage any material risks which may arise.
Set the tone by promoting appropriate business and risk aware behaviours and requiring compliance with all statutory and regulatory requirements and RBS Group policies
Work with the TMO Risk & Controls team and BAU line managers to review and remediate risks and issues relating to Reference Data as required
Ensure activities are completed within established governance processes including documentation of TOR/PIDs, formulation of effective training plans and completion of Lessons Learnt reviews ensuring actions are tracked through to completion
Participate in control reviews for new Reference Data processes, including data sourcing, maintenance and publication, and handoffs/touch points with requestors and consumers
Comply with HR performance processes by setting objectives and completing mid/full year performance reviews
Actively manage one’s personal development to release full potential within role and support Manager in improving and promoting Reference Data behaviours and skill sets across R&DS streams/locations.
Essential Experience: (Must have skills)
Self-motivated and able to work independently, plan own workload and prioritise effectively
Proven ability to build, maintain and enhance relationships at all levels including interacting effectively with key internal and external stakeholders to ensure a continuous flow of relevant information
Strong collaborative and influencing skills – ability to use range of approaches to win active support and commitment to best course of action
Strong analytical skills demonstrated within an Operations or Finance environment
Excellent communication and interpersonal skills
Ability to operate in a rapidly evolving and changing environment with a minimum of line management direction
In depth knowledge of Reference Data
Experience of completing Root Cause analysis and ensuring solutions are implemented in a timely controlled manner
Business awareness, through experience, of Operations, Finance and Risk processes and reporting requirements
Investment Banking Operations experience
Able to demonstrate examples of implementing continuous improvement initiatives
Understanding of core CIB product offerings - FI, FX, MM, Lending, Derivatives
Knowledge of Risk and Control relating to Reference Data
Flexible and proactive work style – displays a can-do attitude and uses initiative to act on opportunities.
Supplementary Experience: (Useful additional skills)
Experience of Project Management methodologies and lifecycle, and an understanding of the required BAU responsibilities and input at each stage
Understanding of Operations, Risk and Finance data processes / attributes
Personal Attributes:
Ability to use collaborative skills to agree the best solution
Excellent interpersonal skills and ability to develop and maintain strong business relationships
Confidence in challenging existing processes and procedures at all levels
Active listener able to understand all views and requirements. Able to drive consensus and positive outcomes where conflict arises
Ability to operate in a rapidly evolving and changing environment with a minimum of supervision
Able to work under pressure and meet deadlines
High level of accuracy and attention to detail
The ability to bring previous experience into the team to help solve specific problems as well as improve processes and efficiency
Confidence to analyse, diagnose issues, take ownership of them, and negotiate for a successful resolution
Enthusiasm, and desire to deliver excellent customer service
Ability to work as part of a results orientated team
Ability to plan own workload and prioritise tasks
Clear, context-specific communication style – verbal, written and through presentations.
Competencies: Based on Performance Excellence Framework (PEF)
please indicate the required level
Build Trust - 3
Focus on customer - 3
Enable others to succeed - 3
Collaborate with others - 3
Make sound decisions - 3
Act with integrity - 3
Deliver lasting results - 3
Learn and adapt - 3
Role Summary
Grade - 5
Hiring Manager - Karunanidhi
Recruiter - Karthikeyan Selvamoni
Work Location - ILTP
Work Timings - UK Timings"
"Team Manager","The Responsibilities
Job Description
Job Description
Provide training to Bookworm users, initiators and approvers
Understand how to interrogate Bookworm functionality, and recommend solutions or next steps to queries
Liaise with KSOR change requestors, review and, where appropriate, challenge suitability of change requests
Raise relevant JIRAs, liaise with Bookworm IT, and facilitate KSOR prioritisation forum
Perform daily reconciliation of, and manage exceptions resulting from, SDM to source systems
Act as Bookworm SME for stakeholders and regional reference data teams
Act as SME on source system booking models, inter-system book functionality, and the resultant requirements for SDM book set up and associated controls
Assist regional reference data teams with complex issues or queries.
Role Description
Role specific responsibilities will include:
Participate and contribute as appropriate to definition and development of strategy for Ref Data and R&DS within TMO. Ensure that resources and operational plans are in place to support overall TMO strategy and that of R&DS
Ensure that all staff understands the Ref Data, R&DS, TMO, CIB and RBS Group strategies and their role in making it happen. Ensure clear and unambiguous roles and responsibilities are agreed
Participate in Industry forums and regularly review market initiatives in order to drive forward Ref Data best practice. Seek out opportunities to engage new functions/ learn new skills to enhance capability of themselves and the wider team
Work with the functional teams and stakeholders to identify and prioritise remediation of issues. Understand business context, comparing and contrasting alternative options for all scenarios identifying those for BAU remediation and those requiring further strategic planning and/or investment.
Manage and supervise the locational Ref Data team, ensuring initial requirements for Reliability, Completeness & Accuracy of data sourcing, maintenance and publication are documented and relevant processes and controls are mapped and understood
Ensure inefficient / ineffective data processes are identified and drive forward efficiency and quality benefits, reducing bureaucracy
Manage the definition of effective and appropriate Management Information enabling Reference Data to manage the risks of quality issues on key data attributes and processes. Ensure meaningful thresholds are established to check the quality and accuracy of work completed.
Recognises the dynamics and relationships between data souring, data maintenance, and data publication related problems, issues and situations and considers at the bigger picture. Considers the implications of different scenarios and compares the risks/benefits of solutions. Takes calculated risks to achieve service excellence. Anticipates potential problems and takes pre-emptive action, removing barriers that constrain successful delivery.
Support the Head of Reference Data as an SME, attending working groups and Steer Co’s as required
Manage the locational Reference Data resources and work with the global leads, recognising and using the diversity within the team to maximise the group effectiveness and outcomes
Ensure business is executed within a culture of client focus
Build, safeguard and uphold the reputation of RBS Group across stakeholders: e.g., public, staff, clients, etc.
Manage Reference Data related stakeholder relationships across Front Office, Operations, Finance, Risk, Compliance and IT. Build trust and openness and proactively seek feedback to increase awareness of the needs of stakeholders and to improve data quality across Organisational boundaries.
Complies with relevant Group Policies, testing and certifying (or considers and escalates) the adequacy and effectiveness of the business’s controls on a regular basis; and establishes and documents (or follows and/or maintains) operating procedures which include relevant controls to meet Group and local policy requirements.
To be accountable for ensuring you understand, uphold and promote the Conduct Risk standard pillars: Employee Conduct, Corporate conduct, Market Conduct, Conduct towards our customers
Establish and maintain any Reference Data related operations, controls, risk assessments and assurance programmes, monitoring of risk and controls to identify, assess and manage any material risks which may arise.
Set the tone by promoting appropriate business and risk aware behaviours and requiring compliance with all statutory and regulatory requirements and RBS Group policies
Work with the TMO Risk & Controls team and BAU line managers to review and remediate risks and issues relating to Reference Data as required
Ensure activities are completed within established governance processes including documentation of TOR/PIDs, formulation of effective training plans and completion of Lessons Learnt reviews ensuring actions are tracked through to completion
Participate in control reviews for new Reference Data processes, including data sourcing, maintenance and publication, and handoffs/touch points with requestors and consumers
Comply with HR performance processes by setting objectives and completing mid/full year performance reviews
Actively manage one’s personal development to release full potential within role and support Manager in improving and promoting Reference Data behaviours and skill sets across R&DS streams/locations.
Essential Experience: (Must have skills)
Self-motivated and able to work independently, plan own workload and prioritise effectively
Proven ability to build, maintain and enhance relationships at all levels including interacting effectively with key internal and external stakeholders to ensure a continuous flow of relevant information
Strong collaborative and influencing skills – ability to use range of approaches to win active support and commitment to best course of action
Strong analytical skills demonstrated within an Operations or Finance environment
Excellent communication and interpersonal skills
Ability to operate in a rapidly evolving and changing environment with a minimum of line management direction
In depth knowledge of Reference Data
Experience of completing Root Cause analysis and ensuring solutions are implemented in a timely controlled manner
Business awareness, through experience, of Operations, Finance and Risk processes and reporting requirements
Investment Banking Operations experience
Able to demonstrate examples of implementing continuous improvement initiatives
Understanding of core CIB product offerings - FI, FX, MM, Lending, Derivatives
Knowledge of Risk and Control relating to Reference Data
Flexible and proactive work style – displays a can-do attitude and uses initiative to act on opportunities.
Supplementary Experience: (Useful additional skills)
Experience of Project Management methodologies and lifecycle, and an understanding of the required BAU responsibilities and input at each stage
Understanding of Operations, Risk and Finance data processes / attributes
Personal Attributes:
Ability to use collaborative skills to agree the best solution
Excellent interpersonal skills and ability to develop and maintain strong business relationships
Confidence in challenging existing processes and procedures at all levels
Active listener able to understand all views and requirements. Able to drive consensus and positive outcomes where conflict arises
Ability to operate in a rapidly evolving and changing environment with a minimum of supervision
Able to work under pressure and meet deadlines
High level of accuracy and attention to detail
The ability to bring previous experience into the team to help solve specific problems as well as improve processes and efficiency
Confidence to analyse, diagnose issues, take ownership of them, and negotiate for a successful resolution
Enthusiasm, and desire to deliver excellent customer service
Ability to work as part of a results orientated team
Ability to plan own workload and prioritise tasks
Clear, context-specific communication style – verbal, written and through presentations.
Competencies: Based on Performance Excellence Framework (PEF)
please indicate the required level
Build Trust - 3
Focus on customer - 3
Enable others to succeed - 3
Collaborate with others - 3
Make sound decisions - 3
Act with integrity - 3
Deliver lasting results - 3
Learn and adapt - 3
Role Summary
Grade - 5
Hiring Manager - Karunanidhi
Recruiter - Karthikeyan Selvamoni
Work Location - ILTP
Work Timings - UK Timings"
"Senior Associate, Reporting","The Business
We're looking for a proficient self-starter with a good knowledge of audit to join us as Senior Associate for Reporting. You'll be a providing trusted support for key stakeholders, and this position offers the role holder a strong amount of responsibility and the chance to have an impact on the bank.
Internal Audit is central to delivering on the bank's ambitions, and as the business changes our role is more important than ever. We provide expert independent assurance, give confidence to the Group Audit Committee and the market that our main business risks have been identified and are effectively controlled, and act as a trusted advisor to executive management.
What you'll do
As Senior Associate, you'll take responsibility for supporting Internal Audit's reporting globally to the business, the board, and regulators. You'll be supporting the delivery of the quarterly audit opinion to stakeholders and the business.
Driving forward industry leading reporting, you'll always keep continuous improvement in the forefront of your mind. You'll maintain a clear awareness of emerging risks in the bank and the industry, making sure reporting is adapted to cover how these are being addressed.
Your day-to-day activities will include:
Supporting the overseeing the capture of reporting data to drive accurate reporting, reviewing and summarising weaker reports to identify emerging themes for improvement
Helping to develop a common brand for all Internal Audit reporting globally
Collaborating with colleagues and teams to contribute towards driving IA's vision to reach industry excellence
What you'll bring
To succeed in this role, you'll need to be able to show an in-depth understanding of an internal audit function, preferably within a financial services industry. You'll have demonstrable knowledge of Internal Audit best practices within the profession and in the context of reporting.
You'll have first class communication skills both written and verbal, in order to carry out professional, articulate reporting and to be able to translate complex concepts into excellent senior audience board reporting. You'll be able to show proficient time management and organisational skills, with the ability to manage a large number of conflicting and changing priorities.
Finally, you'll be able to challenge with confidence and fairness, with the tenacity to follow through on this.
As a Financial Services organisation we comply with and support the requirements set by our Regulator, the Financial Conduct Authority (FCA), which are designed to protect our customers. This role falls under Conduct Rules of the Individual Accountability Regime (IAR) and is subject to pre-employment screening. This means if your application is successful, you’ll need to satisfy some important background checks before you can start working with us. These will include a full credit check, a criminal record check, residency and right to work checks.
How we'll reward you
In return, we offer a competitive salary plus 25% cash and benefit funding programme that can be tailored to suit your individual needs. In addition, we provide a wide selection of exclusive lifestyle offers, development and learning programmes, services and support designed to help you manage and balance your work/life priorities. For more information on our benefits, please visit our website.
At RBS, we want everyone to feel welcome. That’s why we want you to know that we'll work with you to make the application process as smooth as possible. So please just let us know if you need any adjustments or support – we'll do whatever we can to help.
If we offer you a job, we’ll discuss with you how we can help set you up for success, including by making adjustments to your working environment if required.
If you are experiencing any technical issues when applying for this role, please refer to our FAQ section for assistance.
At RBS, we are focused on becoming the UK’s number one bank for customer service, trust and advocacy by 2020. We are simplifying our business, concentrating on the areas where we can lead the market, and placing our customers at the heart of everything we do."
"Splunk Administrator","The Business
We are looking for a keen and driven candidate to join a growing team to work on a newly implemented Splunk Central Shared Service. This is an opportunity to work across the entire business with our technology helping to grow the capability and the number of customers across the organisation.
Technology is all around you – in the systems you use, in your daily routines, in how you interact with colleagues and customers. We help systems to run smoothly, manage technology change and offer our support and expertise. We do this by designing, building, implementing and supporting global technology for the bank.
Our Vision sets the direction for how we’ll continue to transform and improve technology across the bank. We’ve continued to innovate, improve our systems resiliency and simplify our services to make banking quick, convenient and safe for our customers. As consumer and technology trends continue to evolve we strive to stay ahead of the curve always thinking long term.
What you'll do
You'll be a member of the Reporting and MI team and you'll be involved in maintaining and supporting the Splunk infrastructure as well as carry out administration support for various business application teams using the Splunk platform. We'll want you to provide production support for global environments which will involve call and incident handling. Business As Usual activities also include upgrades, patching, disaster recovery exercises and maintenance. In addition to this your main responsibilities will include:
Liaising with the appropriate development teams to optimise value to the business
Performing root cause analysis and fixing issues appropriately
Troubleshooting and problem solving of the Splunk infrastructure configuration and any performance issues
Implementing changes using the RBS standard processes
Producing documentation to aid the support of the Splunk environment
What you'll bring
You'll be an experienced Splunk user, able to work accurately with the ability to deliver quality solutions. You'll also have strong interpersonal skills as you'll be communicating technical information concisely to all levels within the organisation. The following technical knowledge would be advantageous to have:
Good Splunk 6.* skills
Installation, management and support of Splunk 6.2.2 in a multi site clustering environment
Demonstrable knowledge of implementing and supporting Splunk as a shared service
Practical experience in monitoring and tuning a Splunk environment to provide a high availability service
An understanding of integration with Hadoop and knowledge of Hunk is preferred but not essential
Red Hat, Windows is preferred but not essential
As a Financial Services organisation we comply with and support the requirements set by our Regulator, the Financial Conduct Authority (FCA), which are designed to protect our customers. This role falls under Conduct Rules of the Individual Accountability Regime (IAR) and is subject to pre-employment screening. This means if your application is successful, you’ll need to satisfy some important background checks before you can start working with us. These will include a full credit check, a criminal record check, residency and right to work checks.
How we'll reward you
In return, we offer a competitive salary plus 25% cash and benefit funding programme that can be tailored to suit your individual needs. In addition, we provide a wide selection of exclusive lifestyle offers, development and learning programmes, services and support designed to help you manage and balance your work/life priorities. For more information on our benefits, please visit our website.
At RBS, we want everyone to feel welcome. That’s why we want you to know that we'll work with you to make the application process as smooth as possible. So please just let us know if you need any adjustments or support – we'll do whatever we can to help.
If we offer you a job, we’ll discuss with you how we can help set you up for success, including by making adjustments to your working environment if required.
If you are experiencing any technical issues when applying for this role, please refer to our FAQ section for assistance.
At RBS, we are focused on becoming the UK’s number one bank for customer service, trust and advocacy by 2020. We are simplifying our business, concentrating on the areas where we can lead the market, and placing our customers at the heart of everything we do."
