"results_title","results_qualification"
"App Development Sr Specialist","Qualifications
Forward-thinker
At least 5-7 yrs.’ experience in Information Technology and RDBMs
3-5 yrs.’ experience as ETL/Database Developer in the Medicare/Medicaid or Healthcare space
Must have strong communication skills
Must be process oriented with close attention to detail
Experience working with data warehouse
Experience with SQL Server 2005 / 2008
Must collaborate well with others and be team oriented
Additional Info:
Production Support of SQL Server data warehouse
Automation of manual processes
Support testing and defect resolution
Requirements review/analysis
Technical design & data modeling
Development of database structures and reporting
SQL Server Database coding – Stored Procedures, jobs, etc.
SQL Server Integration Services
Query Performance Tuning
New process documentation
Meeting facilitation
Education and Experience:
Bachelor degree in Computer Science or a related discipline and at least six years’ experience as Business Analyst, Systems Analyst, Developer, or related field required.
A QUALIFIED CANDIDATE HAS BEEN IDENTIFIED, HOWEVER, ALL QUALIFIFED CANDIDATES ARE ENCOURAGED TO APPLY.
US Candidates Only: Qualified applicants will be considered for employment without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, disability, veteran status. If you require a special accommodation, please visit our Careers website or contact us at SeeYourself@cigna.com."
"QA Manager, automation","Qualifications
US Candidates Only: Qualified applicants will be considered for employment without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, disability, veteran status. If you require a special accommodation, please visit our Careers website or contact us at SeeYourself@cigna.com.
Preferred Experience:
· 6+ years IT experience with significant experience in software development and quality assurance.
· 3+ years experience in automation testing and tools.
· Ability to work in a fast paced environment with changing priorities.
· Experience with both traditional Waterfall software development processes and Agile/Lean methodologies.
· Experience in Automation and Manual testing; leading large implementations Ability to drive multiple projects.
· Demonstrated time management and priority setting skills.
· Experience in managing a technical team
· Expert in SQL Server 2008 or above
· Prefer experience with Microsoft Test Manager, HP Quality Center or Team Foundation Server
· Ability to clearly communicate goals, concepts, processes to a wide audience and capability of tailoring levels of communications
Education
Bachelor's or Master's Degree in Computer Science, Business Administration, or 10+ years of IT and business/industry work experience, with at least 3 years of experience in a leadership"
"Systems Analysis Manager, web applications","Qualifications
US Candidates Only: Qualified applicants will be considered for employment without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, disability, veteran status. If you require a special accommodation, please visit our Careers website or contact us at SeeYourself@cigna.com.
Preferred Experience:
· 7+ years of experience in an IT or Business Project environment with strong exposure to Business Systems.
· Demonstrated leadership of a high performance analyst, test or development team.
· Ability to work in a fast paced environment with changing priorities.
· Ability to drive multiple projects.
· Demonstrated time management and priority setting skills.
· Experience in Agile and Waterfall software development methodology.
· Experience in managing a technical team
· Expert in SQL Server 2008 or above with excellent understanding on maintaining relational databases in SQL server; including views and stored procedures.
· Ability to clearly communicate goals, concepts, processes to a wide audience and capability of tailoring levels of communications
Education
Bachelor's or Master's Degree in Computer Science, Business Administration, or 10+ years of IT and business/industry work experience, with at least 3 years of experience in a leadership role."
"Identity and Access Management Senior Principal","Qualifications
US Candidates Only: Qualified applicants will be considered for employment without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, disability, veteran status. If you require a special accommodation, please visit our Careers website or contact us at SeeYourself@cigna.com.
Preferred Requirements:
Strong data network and server skills with deep understanding of TCP and UDP protocols
Strong familiarity with web and middleware technologies
Ability to walk the OSI Model
Strong familiarity with Identity and Access Management and security solutions
Drive complex technical solutions in a fast-paced environment
Strong familiarity with Windows and Unix technologies
Ability to drive technical solutions
Persevere over difficult troubleshooting activities and drive hard for solutions"
"Cigna Technology Early Career Development Program On Campus Internship – ECSU & UConn","Qualifications
US Candidates Only: Qualified applicants will be considered for employment without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, disability, veteran status. If you require a special accommodation, please visit our Careers website or contact us at SeeYourself@cigna.com."
"Systems Analysis Sr Specialist, Web Applications , SQL","Qualifications
US Candidates Only: Qualified applicants will be considered for employment without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, disability, veteran status. If you require a special accommodation, please visit our Careers website or contact us at SeeYourself@cigna.com.
Preferred Skills & Education
· Thorough understanding of the software development life cycle.
· Excellent verbal, written, interpersonal skills, including functional documentation skills
· Capable of working at the highest technical level of systems analysis/design phases while considering the business implications of the application of technology to the current and future business environment.
· Be able to function as a BA when needed.
· Excellent organizational skills with the ability to handle multiple projects and timelines with minimal supervision.
· Strong knowledge of data analysis techniques; strong critical thinking skills.
· Data modeling knowledge.
· Proven skills at learning and performing as a SuperUser for software applications to an expert level
· Proven advanced SQL skills ( Be able to write SQL queries at a Intermediate level)
· Experience creating and supporting .net based web applications.
· Bachelor’s degree in Computer Science or a related discipline with an IT
focus preferred, or equivalent years of progressive experience.
· Experience in Data Management assessment, analysis, and implementation.
· Healthcare/HealthCare Insurance industry knowledge."
"IT Service Senior Specialist - Health and Operations","Qualifications
Experienced in Metrics, Quality Assurance, Business Analytics, Information Management tools, or Service Delivery
Recognizing true business requirements versus business-proposed technical solutions
Experience with Sourcing & Procurement- both local and Enterprise
Ability to identify and summarize the business problem
Scope & Expectation management
Partnership building with functional areas of the business
Ability to learn new subject matter thoroughly and efficiently
Able to self-start and use initiative
Ability to interpret data effectively
Ability to leverage subject matter expertise to vet received business requirements
May interface with various management levels as necessary to ensure understanding of service quality assurance, performance, and cost optimization metrics, as well as gathering requirements for new metrics.
Comfortable working across multiple tasks with minimal oversight
Ability to foresee and plan for obstacles
Experience in technical environment, specifically data, is a plus
Utilize SharePoint, Visio, MS Office Suite (including MS Lync)
Facilitation skills required for B2B, B2C, and internal conference calls
Proficient in reporting development and data analysis processes and related tools including ability to identify and assess risk
Must have exceptional verbal, written, interpersonal and presentation skills
Must be able to comfortably interact with all levels of an organization
Must be able to work constructively in a team environment with effective time/task management
Six Sigma, ITIL certification, and business acumen a plus
US Candidates Only: Qualified applicants will be considered for employment without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, disability, veteran status. If you require a special accommodation, please visit our Careers website or contact us at SeeYourself@cigna.com."
"App Development Sr Specialist","Qualifications
Experience working as lead developer (including design) during project implementation delivery and production support for major systems utilizing a thorough understanding of available technology, tools and existing models.
Also able to provide comprehensive consultation to business unit during requirements gathering and IT management/staff at the highest technical level on all phases of application design and programming and processes for diverse development platforms.
Able to provide end-to-end design and documentation for custom web applications/integrations of the HP Autonomy LiveSite Display Services, LiveSite Content Services, and TeamSite.
Able to analyze business and IT requirements and provides recommendation and design of the system in support of the Autonomy tool suite.
Able to provide tier 2 maintenance and production support to the existing and new web applications.
US Candidates Only: Qualified applicants will be considered for employment without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, disability, veteran status. If you require a special accommodation, please visit our Careers website or contact us at SeeYourself@cigna.com."
"Information Protection Sr Spec","Qualifications
Several years in large-scale enterprise security information and event management, incident response, and cyber security incident management.
Several years working with various Network Security in a large, mission-critical enterprise environment
Undertakes complex projects requiring additional specialized security technical knowledge
Stays current with security trends and industry security technologies
Provides direction/specifications for security products and associated architectures
Leads project team for the security product responsibilities e.g. new security capabilities, product certification and production implementation
Provides leadership for any security product root cause analysis needs
Provides guidance/training and education to security operations teams for associated products
Works with external vendors and their technology support team for any product defect resolutions or enchantments
Strong understanding of firewall, intrusion detection and prevention, endpoint security, and application layer gateway technologies.
Several years of experience of hands on management of Mail Gateway Appliances ( Cisco Ironport and Proofpoint a plus)
Strong understanding of web application design, function and Secure Software Development Lifecycle.
Operational knowledge of systems, databases and network security engineering best practices.
Ensuring HPSM tickets are completed within the SLA, Keep an active timeline for all Priority 1, Impact Score 0/3 Incidents for inclusion in the problem process
In depth understanding for security event analysis and intrusion detection (IDS/IPS Incident response, triage, incident analysis and remediation)
Solid problem solving and analytical skills; able to quickly digest issues encountered and recommend an appropriate solution
Experience in using scripting languages automate tasks and manipulate data. Programming experience is a plus
Excellent communication skills both verbal and written
CISSP certification is a plus​
US Candidates Only: Qualified applicants will be considered for employment without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, disability, veteran status. If you require a special accommodation, please visit our Careers website or contact us at SeeYourself@cigna.com."
"Application Development Sr. Specialist - OnBase","Qualifications Skills Required/Needed
• OnBase Administration Experience Required
• OnBase Workflow Experience Required
• Experience supporting and troubleshooting OnBase Required
• OnBase Certifications (Administrator, Workflow, API) Highly Desired
• OnBase system administrator implementing and supporting imaging, workflow and various other OnBase related technologies.
• Austin based resource highly desired
Programming & Custom Scripting Desired
• Unity Scripting
• C#,HTML, JAVA,VBS/VBA, SQL
• OnBase E-form development
• OnBase API, and API development
US Candidates Only: Qualified applicants will be considered for employment without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, disability, veteran status. If you require a special accommodation, please visit our Careers website or contact us at SeeYourself@cigna.com."
