title,requirement
Outcomes Analyst II - Mountain View,"PAMF-1614553 Outcomes Analyst II - Mountain View Description Job Summary: The Outcomes Analyst III reports to the Manager of Clinical Business Analytics and is responsible for providing data query, analysis, and programming expertise to drive improvement activities, ensuring that data are accurate, meaningful, and easily interpreted, and accessible to end users. This position supports quality initiatives and analysis projects that drive the strategic priorities of the Palo Alto Medical Foundation through oversight of clinical, process, and business data collection to meet program analysis and reporting requirements as defined. This position will liaise across various departments across PAMF/Sutter including: Primary Care Departments, Specialty Departments, IT, EPIC, PAMF Pharmacy, and PAMFRI. Qualifications REQUIRED: Bachelor's degree in Health Sciences, Information Systems, Computer Science, Business, Biostatistics, or a related field, or equivalent experience; three (3) years of progressive experience in the medical outcomes/decision support analysis; minimum of one (1) years of SQL Enterprise Server, evidence of data query and manipulation; experience in all or most of the following areas: utilizing database tools for research and analysis, building and maintaining clinical metrics/data models, using statistical techniques to provide information solutions, utilizing decision support tools in a healthcare environment PREFERRED: Masters degree in HealthCare Administration, Epidemiology, Information Systems, Computer Science or a related field Primary Location: California-Bay Area-Mountain View Organization: Palo Alto Medical Foundation Employee Status: Regular Accepted Applications: All Candidate Applications Accepted Benefits: Yes Position Status: Exempt Union: No Job Shift: Day Shift Hours- 8 Hour Shift Days of the Week Scheduled: Monday-Friday Weekend Requirements: None Schedule: Full Time Hours Per 2wk Pay Period: 80 All qualified applicants will receive consideration for employment without regard to race, color, creed, religion, marital status, sexual orientation, registered domestic partner status, sex, gender, gender identity, or expression, ancestry, national origin, age, medical condition, physical or mental disability, military or protected veteran status, political affiliation, pregnancy, childbirth or related medical condition, genetic information or any other characteristic made unlawful by local, state, or federal law, ordinance or regulation. External hires must pass a background check/drug screen. Qualified applicants with arrest and/or conviction records will be considered for employment in a manner consistent with Federal, state, and local laws, including but not limited to the San Francisco Fair Chance Ordinance."
Application Analyst 3-Rev Cycle -Hyland OnBase,"SHIS-1614297 Application Analyst 3-Rev Cycle -Hyland OnBase Description Implements, supports, and may lead integrated solutions for application related technical and business issues. Provides expert application and technical support for the product line in addition to providing more complex triage and troubleshooting assistance to the product customers. Engages in problem management identification, classification, and resolution activities within the applications. Provides standardization direction for the product aligning the application version and workflow with current standards. Qualifications - Hyland OnBase Certified System Administrator - Rightfax Administration Experience Experience in healthcare applications as typically acquired in 6 to 8 years. Demonstrated technical and/or business experience. Demonstrated increasingly responsible professional growth. Software implementation experience using diversified product lines of information systems is preferred. Strong problem and issue resolution experience. Proficient at specifying user requirements. Knowledge of industry standards to support business requirements. Knowledge of health care operations and structure, general requirements in an integrated delivery system, and use of information system applications in the practicing health care environment is desired. In-depth of knowledge of application environments including production, test and interfaces. Broad knowledge of multiple and integrated systems. Thorough understanding of hospital inpatient, clinic outpatient operations, and/or financial software along with understanding the technical environment of product lines for which they are responsible. Ability to be involved in multiple projects at the same time. Good organization skills; ability to prioritize multiple activities and objectives in a rapidly changing environment, and deliver quality service. Work closely with health care application users, vendors, and technical professionals. Committed to providing exceptional customer service and responding to user needs in a prompt, courteous manner. Project management skills. Proven leadership skills. Strong analytical and critical thinking skills. Strong written, verbal and presentation skills with the ability to communicate complex technical issues in terms clearly understood by technical and non-technical audiences. Good knowledge of word processing, spreadsheet and presentation computer programs, preferably Microsoft. Strong collaboration and consulting skills. Self motivated, self-directed and independent thinking as well as an effective team player. Ability to take the most highly complex problems, requirements, or strategies; research solutions and take from concept to implementation for desired outcomes. Bachelorâ€™s degree or equivalent combination of education and relevant work experience required. Primary Location: California-Greater Sacramento Area-Mather Organization: Sutter Health Information Services Employee Status: Regular Accepted Applications: All Candidate Applications Accepted Benefits: Yes Position Status: Non-Exempt Union: No Job Shift: Day Shift Hours- 8 Hour Shift Days of the Week Scheduled: Monday-Friday Schedule: Full Time Hours Per 2wk Pay Period: 80 All qualified applicants will receive consideration for employment without regard to race, color, creed, religion, marital status, sexual orientation, registered domestic partner status, sex, gender, gender identity, or expression, ancestry, national origin, age, medical condition, physical or mental disability, military or protected veteran status, political affiliation, pregnancy, childbirth or related medical condition, genetic information or any other characteristic made unlawful by local, state, or federal law, ordinance or regulation. External hires must pass a background check/drug screen. Qualified applicants with arrest and/or conviction records will be considered for employment in a manner consistent with Federal, state, and local laws, including but not limited to the San Francisco Fair Chance Ordinance."
"Clinical Applications Analyst 3, RN-Clinical Content","SHIS-1614101 Clinical Applications Analyst 3, RN-Clinical Content Description Implements, supports, and may lead integrated solutions for application related technical and business issues. Provides expert application and technical support for the product line in addition to providing more complex triage and troubleshooting assistance to the product customers. Engages in problem management identification, classification, and resolution activities within the applications. Provides standardization direction for the product aligning the application version and workflow with current standards. Qualifications Education: Bachelorâ€™s degree or equivalent combination of education and relevant work experience required. Valid California RN license required. This position is on the Workflow Team. Epic Certification strongly preferred. Experience in healthcare applications as typically acquired in 6 to 8 years. Demonstrated technical and/or business experience. Demonstrated increasingly responsible professional growth. Software implementation experience using diversified product lines of information systems is preferred. Strong problem and issue resolution experience. Proficient at specifying user requirements. Knowledge of industry standards to support business requirements. Knowledge of health care operations and structure, general requirements in an integrated delivery system, and use of information system applications in the practicing health care environment is desired. In-depth of knowledge of application environments including production, test and interfaces. Broad knowledge of multiple and integrated systems. Thorough understanding of hospital inpatient, clinic outpatient operations, and/or financial software along with understanding the technical environment of product lines for which they are responsible. Ability to be involved in multiple projects at the same time. Good organization skills; ability to prioritize multiple activities and objectives in a rapidly changing environment, and deliver quality service. Work closely with health care application users, vendors, and technical professionals. Committed to providing exceptional customer service and responding to user needs in a prompt, courteous manner. Project management skills. Proven leadership skills. Strong analytical and critical thinking skills. Strong written, verbal and presentation skills with the ability to communicate complex technical issues in terms clearly understood by technical and non-technical audiences. Good knowledge of word processing, spreadsheet and presentation computer programs, preferably Microsoft. Strong collaboration and consulting skills. Self motivated, self-directed and independent thinking as well as an effective team player. Ability to take the most highly complex problems, requirements, or strategies; research solutions and take from concept to implementation for desired outcomes. Primary Location: California-Greater Sacramento Area-Mather Organization: Sutter Health Information Services Employee Status: Regular Accepted Applications: All Candidate Applications Accepted Employee Referral Bonus: Yes Benefits: Yes Position Status: Non-Exempt Union: No Job Shift: Day Shift Hours- 8 Hour Shift Days of the Week Scheduled: Monday-Friday Schedule: Full Time Hours Per 2wk Pay Period: 80 Applicants will be considered regardless of race, color, creed, national origin, ancestry, sex, marital status, disability, protected veteran status, religious or political affiliation, age, sexual orientation, medical condition or pregnancy. Applicants with criminal histories will be considered for employment in a manner consistent with Federal, state and local laws."
Application Analyst 3-Clinical Content,"SHIS-1613003 Application Analyst 3-Clinical Content Description Implements, supports, and may lead integrated solutions for application related technical and business issues. Provides expert application and technical support for the product line in addition to providing more complex triage and troubleshooting assistance to the product customers. Engages in problem management identification, classification, and resolution activities within the applications. Provides standardization direction for the product aligning the application version and workflow with current standards. Qualifications Experience in healthcare applications as typically acquired in 6 to 8 years. Demonstrated technical and/or business experience. Demonstrated increasingly responsible professional growth. Software implementation experience using diversified product lines of information systems is preferred. Strong problem and issue resolution experience. Proficient at specifying user requirements. Knowledge of industry standards to support business requirements. Knowledge of health care operations and structure, general requirements in an integrated delivery system, and use of information system applications in the practicing health care environment is desired. In-depth of knowledge of application environments including production, test and interfaces. Broad knowledge of multiple and integrated systems. Thorough understanding of hospital inpatient, clinic outpatient operations, and/or financial software along with understanding the technical environment of product lines for which they are responsible. Ability to be involved in multiple projects at the same time. Good organization skills; ability to prioritize multiple activities and objectives in a rapidly changing environment, and deliver quality service. Work closely with health care application users, vendors, and technical professionals. Committed to providing exceptional customer service and responding to user needs in a prompt, courteous manner. Project management skills. Proven leadership skills. Strong analytical and critical thinking skills. Strong written, verbal and presentation skills with the ability to communicate complex technical issues in terms clearly understood by technical and non-technical audiences. Good knowledge of word processing, spreadsheet and presentation computer programs, preferably Microsoft. Strong collaboration and consulting skills. Self motivated, self-directed and independent thinking as well as an effective team player. Ability to take the most highly complex problems, requirements, or strategies; research solutions and take from concept to implementation for desired outcomes. Bachelorâ€™s degree or equivalent combination of education and relevant work experience required. Primary Location: California-Greater Sacramento Area-Mather Organization: Sutter Health Information Services Employee Status: Regular Accepted Applications: All Candidate Applications Accepted Benefits: Yes Position Status: Non-Exempt Union: No Job Shift: Day Shift Hours- 8 Hour Shift Days of the Week Scheduled: Monday-Friday Schedule: Full Time Hours Per 2wk Pay Period: 80 All qualified applicants will receive consideration for employment without regard to race, color, creed, religion, marital status, sexual orientation, registered domestic partner status, sex, gender, gender identity, or expression, ancestry, national origin, age, medical condition, physical or mental disability, military or protected veteran status, political affiliation, pregnancy, childbirth or related medical condition, genetic information or any other characteristic made unlawful by local, state, or federal law, ordinance or regulation. External hires must pass a background check/drug screen. Qualified applicants with arrest and/or conviction records will be considered for employment in a manner consistent with Federal, state, and local laws, including but not limited to the San Francisco Fair Chance Ordinance."
Data Warehouse & Database Administrator 3,"SHIS-1614320 Data Warehouse & Database Administrator 3 Description Provides complex database development, maintenance and enhancements in support of Enterprise Data Warehouse (EDW) and associated applications. Lead role in establishing database strategies in support of Enterprise Data Warehouse solutions. Provides database optimization support to developers building Data Warehouse and Business Intelligence solutions. Qualifications Education BA/BS in Computer Science or IS or equivalent Experience â€¢ Relevant work experience as typically acquired 6 to 8 years. â€¢ Healthcare experience is desired. â€¢ Working knowledge of presentations, word processing and spreadsheet applications, preferably Microsoft. â€¢ Data modeling tools and EDW design concepts. â€¢ Database design and tuning. â€¢ Database back-up and recovery strategies. â€¢ High availability database design and management. â€¢ Expertise with export, transform and load tools preferred. â€¢ Strong working knowledge of data modeling tools. â€¢ Advanced MS SQL server skills preferred. â€¢ Strong written, verbal and presentation skills. â€¢ Ability to develop and deliver training. â€¢ Strong analytical and troubleshooting skills. â€¢ Good organizational, prioritization and time management skills. â€¢ Strong interpersonal skills with vendors, co-workers and users. â€¢ Ability to work independently and as a team member. Primary Location: California-Greater Sacramento Area-Mather Organization: Sutter Health Information Services Employee Status: Regular Accepted Applications: All Candidate Applications Accepted Employment Incentive: No Benefits: Yes Position Status: Exempt Union: No Job Shift: Day Shift Hours- 8 Hour Shift Days of the Week Scheduled: Monday-Friday Weekend Requirements: Saturday-Sunday Schedule: Full Time Hours Per 2wk Pay Period: 80 All qualified applicants will receive consideration for employment without regard to race, color, creed, religion, marital status, sexual orientation, registered domestic partner status, sex, gender, gender identity, or expression, ancestry, national origin, age, medical condition, physical or mental disability, military or protected veteran status, political affiliation, pregnancy, childbirth or related medical condition, genetic information or any other characteristic made unlawful by local, state, or federal law, ordinance or regulation. External hires must pass a background check/drug screen. Qualified applicants with arrest and/or conviction records will be considered for employment in a manner consistent with Federal, state, and local laws, including but not limited to the San Francisco Fair Chance Ordinance."
"IS Principal Trainer, 3-Lead Training Physician","SHIS-1610893 IS Principal Trainer, 3-Lead Training Physician Description Develops curricula and delivers end-user training for corresponding module of EHR, specializing in an EPIC module(s). Develops and maintains curricula such as lesson plans, manuals, and supporting learning tools utilized in training. Prepares and delivers presentations, demonstrations, train-the-trainer and end user classes, and special training courses as needed. Designs and maintains master patient build in the training environment to support training. Performs related duties as required. Qualifications CPOE Certified, with ASAP/ED, Surgical Services, Stork or Radiant experience- a mix of many is ideal. Experience in a self-directed, customer-facing position, presenting, training, and writing typically acquired in 6 to 8 years. Requires certification in one or more Epic modules. Knowledge of healthcare workflows required as related to the Epic module in which the Principal Trainer will specialize, and/or the Epic module itself. Experience with Electronic Health Record systems or other software implementation training programs. Expert conceptual, analytical, and problem-solving skills. Exceptional communication skills, both oral and written. Effective and polished presentation skills, and training delivery skills; ability to prioritize focus on topics based on audience level and time allotted. Cooperate interdepartmentally, articulate ideas, and negotiate resolution of issues to achieve objectives. Expert application of adult learning concepts and interpersonal skills while presenting to effectively manage class and guide end users to understanding. Strong customer service oriented focus in all decisions and actions; professional aspect and attitude at all times. Proficiency in Microsoft Office Suite, especially Word and Excel. Detail-oriented, with excellent organizational skills. Self-directed and self-motivated; skilled in multi-tasking and prioritizing multiple projects/ objectives. Work equally well independently and as part of a team. Articulate technical and user needs in a concise manner easily understood by all audiences. Employ proactive, solution-oriented approach to all assigned activities in a rapidly changing environment. Convey enthusiasm for EHR project, and maintain energy and optimism under sometimes physically and mentally demanding circumstances. Primary Location: California-Greater Sacramento Area-Mather Organization: Sutter Health Information Services Employee Status: Regular Accepted Applications: All Candidate Applications Accepted Benefits: Yes Position Status: Non-Exempt Union: No Job Shift: Day Shift Hours- 8 Hour Shift Days of the Week Scheduled: Monday-Friday Schedule: Full Time Hours Per 2wk Pay Period: 80 All qualified applicants will receive consideration for employment without regard to race, color, creed, religion, marital status, sexual orientation, registered domestic partner status, sex, gender, gender identity, or expression, ancestry, national origin, age, medical condition, physical or mental disability, military or protected veteran status, political affiliation, pregnancy, childbirth or related medical condition, genetic information or any other characteristic made unlawful by local, state, or federal law, ordinance or regulation. External hires must pass a background check/drug screen. Qualified applicants with arrest and/or conviction records will be considered for employment in a manner consistent with Federal, state, and local laws, including but not limited to the San Francisco Fair Chance Ordinance."
Application Team Supervisor-EHR Reporting,"SHIS-1613840 Application Team Supervisor-EHR Reporting Description Supervises applications staff, including coordinating cross-functional teams and resources across Sutter Health Information Services, Sutter Health Affiliates, and/or other system related functional resources required to implement and support Information Services projects at the local, regional or enterprise level. May include new applications, modules, and software installations, interface/integration, hardware upgrades, and major application upgrades. Works closely with physicians, clinical staff, and/or business operational leadership within Sutter Health Information Services and Affiliates across the system to provide support, training, and participate in goals/objectives planning and prioritization as it relates to Information Services applications. Ensures staff adheres to standards. Qualifications Strong Business Relationship and/or Project Management experience Epic Clarity experience (certification prefered) Microsoft SQL Server/t-SQL skills SAP Business Objects (Crystal) or MicroStratgy experience prefered Education BA/BS Degree or equivalent Experience â€¢ Information systems, project management and/or equivalent management experience, along with the use of tools and processes to support effective documentation and communication, as typically acquired in 3 to 6 years. â€¢ Experience in successfully leading teams and implementing and supporting business and/or clinical applications that require coordination of resource, budget development, and project planning. â€¢ Demonstrated technical and business experience. â€¢ Consulting with vendor, clients and management. â€¢ Strong problem and issue resolution experience. â€¢ Expert at specifying user requirements. â€¢ In-depth knowledge of industry standards to support business requirements. â€¢ Knowledge of healthcare operations and structure, general requirements in an integrated delivery system, and use of information system applications in the practicing healthcare environment. â€¢ In-depth of knowledge of life cycle of application environments. â€¢ Mastery of assigned application(s) and broad understanding of integrated systems. â€¢ Thorough understanding of hospital inpatient, clinic outpatient operations, and/or financial software along with understanding the technical environment of product lines for which they are responsible. â€¢ Leadership skills. â€¢ Ability to be involved in multiple projects at the same time. â€¢ Excellent organization skills and ability to prioritize multiple activities and objectives in a rapidly changing environment, and deliver quality service. â€¢ Work closely with healthcare application users, vendors, and technical professionals. â€¢ Committed to providing exceptional customer service and responding to user needs in a prompt, courteous manner. â€¢ Strong analytical and critical thinking skills. â€¢ Exceptional written, verbal and presentation skills with the ability to communicate complex technical issues in terms clearly understood by technical and non-technical audiences. â€¢ Influence others without direct lines of authority. â€¢ Strong collaboration and consulting skills. â€¢ Self motivated, self-directed and independent thinking as well as an effective team player. â€¢ Ability to take the most highly complex problems, requirements, or strategies; research solutions and take from concept to implementation for desired outcomes. Primary Location: California-Greater Sacramento Area-Mather Organization: Sutter Health Information Services Employee Status: Regular Accepted Applications: All Candidate Applications Accepted Benefits: Yes Position Status: Exempt Union: No Job Shift: Day Shift Hours- 8 Hour Shift Days of the Week Scheduled: Monday-Friday Schedule: Full Time Hours Per 2wk Pay Period: 80 All qualified applicants will receive consideration for employment without regard to race, color, creed, religion, marital status, sexual orientation, registered domestic partner status, sex, gender, gender identity, or expression, ancestry, national origin, age, medical condition, physical or mental disability, military or protected veteran status, political affiliation, pregnancy, childbirth or related medical condition, genetic information or any other characteristic made unlawful by local, state, or federal law, ordinance or regulation. External hires must pass a background check/drug screen. Qualified applicants with arrest and/or conviction records will be considered for employment in a manner consistent with Federal, state, and local laws, including but not limited to the San Francisco Fair Chance Ordinance."
Application Analyst 3-MyChart,"SHIS-1611941 Application Analyst 3-MyChart Description Implements, supports, and may lead integrated solutions for application related technical and business issues. Provides expert application and technical support for the product line in addition to providing more complex triage and troubleshooting assistance to the product customers. Engages in problem management identification, classification, and resolution activities within the applications. Provides standardization direction for the product aligning the application version and workflow with current standards. Qualifications EpicCare Ambulatory or Epic MyChart Certification required. Experience with the analysis, documentation, build and testing for EpicCare Ambulatory or Epic MyChart. Experience with one or more of the following Epic components a plus; Cadence, Data Courier, Chronicles, Interconnect. Experience in healthcare applications as typically acquired in 6 to 8 years. Demonstrated technical and/or business experience. Demonstrated increasingly responsible professional growth. Software implementation experience using diversified product lines of information systems is preferred. Strong problem and issue resolution experience. Proficient at specifying user requirements. Knowledge of industry standards to support business requirements. Knowledge of health care operations and structure, general requirements in an integrated delivery system, and use of information system applications in the practicing health care environment is desired. In-depth of knowledge of application environments including production, test and interfaces. Broad knowledge of multiple and integrated systems. Thorough understanding of hospital inpatient, clinic outpatient operations, and/or financial software along with understanding the technical environment of product lines for which they are responsible. Ability to be involved in multiple projects at the same time. Good organization skills; ability to prioritize multiple activities and objectives in a rapidly changing environment, and deliver quality service. Work closely with health care application users, vendors, and technical professionals. Committed to providing exceptional customer service and responding to user needs in a prompt, courteous manner. Project management skills. Proven leadership skills. Strong analytical and critical thinking skills. Strong written, verbal and presentation skills with the ability to communicate complex technical issues in terms clearly understood by technical and non-technical audiences. Good knowledge of word processing, spreadsheet and presentation computer programs, preferably Microsoft. Strong collaboration and consulting skills. Self motivated, self-directed and independent thinking as well as an effective team player. Ability to take the most highly complex problems, requirements, or strategies; research solutions and take from concept to implementation for desired outcomes. Bachelorâ€™s degree or equivalent combination of education and relevant work experience required. Primary Location: California-Greater Sacramento Area-Mather Organization: Sutter Health Information Services Employee Status: Regular Accepted Applications: Internal Candidate Applications Accepted Benefits: Yes Position Status: Non-Exempt Union: No Job Shift: Day Shift Hours- 8 Hour Shift Days of the Week Scheduled: Monday-Friday Schedule: Full Time Hours Per 2wk Pay Period: 80 All qualified applicants will receive consideration for employment without regard to race, color, creed, religion, marital status, sexual orientation, registered domestic partner status, sex, gender, gender identity, or expression, ancestry, national origin, age, medical condition, physical or mental disability, military or protected veteran status, political affiliation, pregnancy, childbirth or related medical condition, genetic information or any other characteristic made unlawful by local, state, or federal law, ordinance or regulation. External hires must pass a background check/drug screen. Qualified applicants with arrest and/or conviction records will be considered for employment in a manner consistent with Federal, state, and local laws, including but not limited to the San Francisco Fair Chance Ordinance."
Application Analyst 3 (EHR Security),"SHIS-1612287 Application Analyst 3 (EHR Security) Description Implements, supports, and may lead integrated solutions for application related technical and business issues. Provides expert application and technical support for the product line in addition to providing more complex triage and troubleshooting assistance to the product customers. Engages in problem management identification, classification, and resolution activities within the applications. Provides standardization direction for the product aligning the application version and workflow with current standards. Qualifications Epic Certified, preferably in Security. Eperienced in creating user and provider records, building linkable Templates to align to user workflows, performing JXPORTS and Imports, Chronicles reporting, RWB and SQL reporting. Experience in healthcare applications as typically acquired in 6 to 8 years. Demonstrated technical and/or business experience. Demonstrated increasingly responsible professional growth. Software implementation experience using diversified product lines of information systems is preferred. Strong problem and issue resolution experience. Proficient at specifying user requirements. Knowledge of industry standards to support business requirements. Knowledge of health care operations and structure, general requirements in an integrated delivery system, and use of information system applications in the practicing health care environment is desired. In-depth of knowledge of application environments including production, test and interfaces. Broad knowledge of multiple and integrated systems. Thorough understanding of hospital inpatient, clinic outpatient operations, and/or financial software along with understanding the technical environment of product lines for which they are responsible. Ability to be involved in multiple projects at the same time. Good organization skills; ability to prioritize multiple activities and objectives in a rapidly changing environment, and deliver quality service. Work closely with health care application users, vendors, and technical professionals. Committed to providing exceptional customer service and responding to user needs in a prompt, courteous manner. Project management skills. Proven leadership skills. Strong analytical and critical thinking skills. Strong written, verbal and presentation skills with the ability to communicate complex technical issues in terms clearly understood by technical and non-technical audiences. Good knowledge of word processing, spreadsheet and presentation computer programs, preferably Microsoft. Strong collaboration and consulting skills. Self motivated, self-directed and independent thinking as well as an effective team player. Ability to take the most highly complex problems, requirements, or strategies; research solutions and take from concept to implementation for desired outcomes. Bachelorâ€™s degree or equivalent combination of education and relevant work experience required. Primary Location: California-Greater Sacramento Area-Mather Organization: Sutter Health Information Services Employee Status: Regular Accepted Applications: All Candidate Applications Accepted Benefits: Yes Position Status: Non-Exempt Union: No Job Shift: Day Shift Hours- 8 Hour Shift Days of the Week Scheduled: Monday-Friday Schedule: Full Time Hours Per 2wk Pay Period: 80 All qualified applicants will receive consideration for employment without regard to race, color, creed, religion, marital status, sexual orientation, registered domestic partner status, sex, gender, gender identity, or expression, ancestry, national origin, age, medical condition, physical or mental disability, military or protected veteran status, political affiliation, pregnancy, childbirth or related medical condition, genetic information or any other characteristic made unlawful by local, state, or federal law, ordinance or regulation. External hires must pass a background check/drug screen. Qualified applicants with arrest and/or conviction records will be considered for employment in a manner consistent with Federal, state, and local laws, including but not limited to the San Francisco Fair Chance Ordinance."
Application Analyst 1- Epic MyChart,"SHIS-1613785 Application Analyst 1- Epic MyChart Description Provides routine application and technical support for the product line in addition to providing triage and troubleshooting assistance to the product customers. Monitors the systems for data quality, efficiency, operation, and data integrity and appropriately escalates issues/problems. Assists in system analysis, design, development, documentation, and configuration as well as testing and training of the product. Provides standardization direction for the product aligning the application version and workflow with current standards. Qualifications Experience with EpicCare Ambulatory or Epic MyChart desired. Experience providing technical support and analysis for healthcare and/or web applications. Experience in healthcare applications as typically acquired in 0 to 2 years. Software implementation experience using diversified product lines of information systems is preferred. Effective analytical, problem and issue resolution experience is preferred. Demonstrated knowledge of industry standards to support business requirements is preferred. Knowledge of health care operations and structure, general requirements in an integrated delivery system, and use of information system applications in the practicing health care environment is desired. Knowledge of application environments including production, test and interfaces is preferred. Broad knowledge of multiple and integrated systems. Thorough understanding of hospital inpatient, clinic outpatient operations, and/or financial software along with understanding the technical environment of product lines for which they are responsible. Ability to multi-task. Good organization skills; ability to prioritize multiple activities and objectives in a rapidly changing environment, and deliver quality service. Work closely with health care application users, vendors, and technical professionals. Exceptional customer service skills, responding to user needs in a prompt, courteous manner. Analytical and critical thinking skills. Effective written, verbal and presentation skills. Working knowledge of word processing, spreadsheet and presentation computer programs, preferably Microsoft. Associateâ€™s degree or equivalent combination of education and relevant work experience required. Primary Location: California-Greater Sacramento Area-Mather Organization: Sutter Health Information Services Employee Status: Regular Accepted Applications: All Candidate Applications Accepted Benefits: Yes Position Status: Non-Exempt Union: No Job Shift: Day Shift Hours- 8 Hour Shift Days of the Week Scheduled: Monday-Friday Schedule: Full Time Hours Per 2wk Pay Period: 80 All qualified applicants will receive consideration for employment without regard to race, color, creed, religion, marital status, sexual orientation, registered domestic partner status, sex, gender, gender identity, or expression, ancestry, national origin, age, medical condition, physical or mental disability, military or protected veteran status, political affiliation, pregnancy, childbirth or related medical condition, genetic information or any other characteristic made unlawful by local, state, or federal law, ordinance or regulation. External hires must pass a background check/drug screen. Qualified applicants with arrest and/or conviction records will be considered for employment in a manner consistent with Federal, state, and local laws, including but not limited to the San Francisco Fair Chance Ordinance."
