"jobs_title","jobs_requirements"
"IT Production Operations Analyst - SCHAUMBURG, IL - 662302",""
"Senior Application Developer - Minnetonka, MN - Basking Ridge, NJ - 661221","Bachelor's Degree OR High School Diploma /GED with 7+ years of Java experience
3+ years of experience working as a UI developer
2+ jQuery, Angular.JS, HandlebarJS, RequireJS, ExpressJS, UnderscoreJS, Zepto, and jQuery-Mobile
3+ bootstrap
1+ year of experience working with Oracle databases, mongodb
2+ year of experience working with SQL/PLSQL and with J2EE and Web services"
"Business Architect - UnitedHealthcare Medicare & Retirement - 659571","Demonstrated ability to communicate appropriately with business and technology leaders using written, verbal and visualization formats
10 + years of experience modeling business processes using modeling tools and techniques
10 + years of experience in applying architectural principles, methods, and tools to business challenges
Previous success serving in a Business Architect role, including experience facilitating sessions to gather information and translating into strategies
Enterprise-wide view of the business and appreciation for strategy, processes, capabilities and enabling technologies
Broad understanding of technology and how it's used to drive business growth and/or efficiencies
Track record of success applying strategies to improve people, process, and technology
Demonstrated ability to act as liaison conveying information between business leaders and technology delivery organizations
Proven team player able to work effectively at all levels of an organization
Ability to influence others to move toward consensus
Strong situational analysis and decision making abilities
Experience using Visio and PowerPoint for visualizations and presentations
Relevant undergraduate degree or equivalent experience
Experience with Medicare, Medicare Part D and/or Medicare Advantage desired
Pharmacy domain expertise (especially Formulary & Medication Management and Medication Adherence) preferred"
"Systems Analyst - Basking Ridge, NJ - 646005","5+ years of experience in Systems Analysis or IT Development
5+ years of experience in all phases of Software Development Life Cycle (SDLC) /System Development Life Cycle
5+ years of experience translating business requirements into a detailed system specification
Proficiency with Word, Excel"
"Engineer - End User Technology Group - Schaumburg, IL - 660562",""
"IT Systems Analyst - Southfield, MI - 659737","3+ years related IT Administration experience including control and development of standards
3+ years Microsoft windows concepts, performance tuning, maintenance, and deployment of applications.
1+ years of experience working with the Facets system"
"IT Quality Analyst - BASKING RIDGE, NJ - 661053",""
"IT Security Architect Director - 662623",""
"Right Fax Administrator - Multiple Locations - 660305","Undergraduate degree in applicable area of expertise or equivalent experience
3+ years of experience in the detailed understanding of RightFax server and application concepts and architecture
3+ years of experience in RightFax installation, configuration, application integration and deployment
3+ years of experience in previous production support of the RightFax environment supporting multiple businesses
2+ years of experience as a technical lead capable of troubleshooting and diagnosing problems experienced by end users
Regular off-hours work to support system maintenance, incident, and break/fix response"
"Web Developer Consultant - 662614",""
