"jobs_title","jobs_requirement"
"Career Opportunities: Sales Assistant - BWS Franklin (143294)","About Us
Are you passionate about customers and being part of a winning team?
Are you motivated, eager to succeed, and love working with people?
Are you looking for a company that offers satisfying career paths filled with challenges, variety, fun and limitless opportunity?
If so, BWS might be the right fit for you!
BWS is the leading convenience drinks brand with over 1200 stores nationally. We pride ourselves on providing exceptional customer service to our customers and are passionate about the products that we sell.
As BWS is part of Australia’s largest retailer, joining BWS also allows you opportunity to explore career paths across the Woolworths Limited business.
Sales Assistant - BWS Franklin
Woolworths Liquor Group develops and offers our customers an exciting and ever-growing portfolio of Exclusive Brands. We are much more than a liquor store though, we are part of Australia's biggest retail group, Woolworths Limited, and have the most trusted food, liquor and general merchandise brands. With financial services and award-winning multi-channel initiatives, our innovation and customer obsession is changing the face of Australian retail.
Key responsibilities include:
Our Sales Assistants provide excellent customer service and in turn achieve maximum sales. The successful candidate for this role will be working within a dynamic team environment and will enjoy the buzz of retailing whilst adhering to store policies and procedures, as well as assisting in the merchandising of the store in keeping with the company image.
We have a position available at our new store at Franklin. It is a casual position with the successful team member required to be available to work nights and weekends.
In order to be successful for this position you will be able to meet the following selection criteria:
• A passion for customer service
• Previous experience in a customer service role
• Ability to work cooperatively as part of a team
• Excellent verbal communication skills
• Excellent presentation
• The ability to work within a dynamic and physical retail environment
• Available to work across a 7 day working week, including nights and weekends
• Heavy and repetitive lifting is a requirement of this position
At BWS, safety is a core value - Destination Zero is our mission of zero harm to our people, environment and community
If you have the energy, edge and ideas that will shape the future of our business for years to come then we want to hear from you!"
"Career Opportunities: Bakery Team Member - Woolworths Schofields Town Centre (143262)","Fresh Food Bakery Team Member | Woolworths
Do you have a passion for retail and customer service? Make a fresh career choice with us today!
• Become a part of the Fresh Food Team
• Connect and give back to your community
• Unlimited career opportunities
About Us
At Woolworths, spreading the joy of food to our customers is the reason we do what we do. We live it, we breathe it.
Woolworths offers real opportunities for career development, for those who love food, leading developing large teams and putting a smile on a customer’s face.
Woolworths ‘Fresh Food’ Team Members work across all departments within the Store as part of productive and customer service focused team, striving to give our customers the best experience each time they visit. So if you’re someone who leads by example and strives to be better every day, then we would love to hear from you.
As a Woolworths ‘Fresh Food’ Team Member you will be committed to making our customer experiences enjoyable every time through working well in a great team, providing great customer service and always looking at ways to better our customer experience within the Store.
• Structured learning and development environment
• Opportunity to develop and enhance customer service skills
• Provide customers with engaging, efficient, friendly and knowledgeable service
• This is a part time role for 12 hours per week and the availabilities required are 5am till 10am over the 7 days
About You
Have you got the right ingredients to be successful? The Fresh Food People share a love of customers, team and food. From ensuring our customers are top of mind each and every day, through to driving fresh idea’s to continually improve what we do, you’ll constantly strive to be the best, delivering a world class customer experience.
As a Woolworths ‘Fresh Food’ Team Member you will work in a fast paced, team environment, where you will assist in the preparation and production of quality products. Your positive attitude and strong initiative will allow you to communicate with customers and team to ensure they are served in a friendly and efficient manner.
• Ability to work flexible retail hours
• Perform repetitive lifting (sometimes heavy)
• Excited about being able to work on a checkout to serve customers at the end of their shopping experience during peak trading times
• Abide by company policies and procedures at all times including standard of dress
We’re social! - connect with us at #WOWcareers through LinkedIn, Facebook, Instagram or via www.wowcareers.com.au
Sound like your next opportunity? Apply now or head along to www.wowcareers.com.au to discover more!"
"Career Opportunities: Drive Thru Attendant - BWS Cranbourne (143256)","About Us
Are you passionate about customers and being part of a winning team?
Are you motivated, eager to succeed, and love working with people?
Are you looking for a company that offers satisfying career paths filled with challenges, variety, fun and limitless opportunity?
If so, BWS might be the right fit for you!
BWS is the leading convenience drinks brand with over 1200 stores nationally. We pride ourselves on providing exceptional customer service to our customers and are passionate about the products that we sell.
As BWS is part of Australia’s largest retailer, joining BWS also allows you opportunity to explore career paths across the Woolworths Limited business.
Woolworths Liquor Group develops and offers our customers an exciting and ever-growing portfolio of Exclusive Brands. We are much more than a liquor store though, we are part of Australia's biggest retail group, Woolworths Limited, and have the most trusted food, liquor and general merchandise brands. With recent expansion into home improvement, financial services and award-winning multi-channel initiatives, our innovation and customer obsession
is changing the face of Australian retail.
The suitable candidate will be offered a Casual Position.
To be considered for this role must have availability to work across the following hours:
Monday - Wednesday Flexible across all trading hours
Thursday 16:00 - 19:30
Saturday 17:30 - 22:00
Key responsibilities include:
Our Drive-Thru Attendants provide excellent customer service and in turn achieve maximum sales. The successful candidate for this role will be working within a dynamic team environment and will enjoy the buzz of retailing whilst adhering to store policies and procedures, as well as assisting in the merchandising of the store in keeping with the company image.
To be considered for this role you need to be able to meet the following selection criteria:
• Communicate with customers and staff
• A passion for customer service
• Previous experience in a customer service and / or drive- thru attendant role
• The ability to work co-operatively as part of a team
• Excellent verbal communication skills
• Excellent presentation
• The ability to work within a dynamic, physical and fast paced retail environment
• Available to work across a 7 day working week, including nights and weekends
• Heavy and repetitive lifting is a requirement of this position
At BWS, safety is a core value - Destination Zero is our mission of zero harm to our people, environment and community
If you have the energy, edge and ideas that will shape the future of our business for years to come then we want to hear from you!"
"Career Opportunities: Deli Assistant - Rangiora Central (Part-time) (143252)","Working for Countdown isn't just about in-store opportunities. We're at the cutting edge of retail innovation, and this is supported by a reputable Manufacturing, Logistics and Corporate division including Construction, Property Management, Legal, IT, Finance, HR, Customer Service, Buying and Marketing.
Countdown is a great New Zealand Company providing our customers with quality, range and value. We are built on a passion for retail, dedication and a commitment to making our customers experience more enjoyable every time.
Countdown Supermarkets are seeking a motivated, enthusiastic and energetic person to join our Deli Team.
Key responsibilities include:
• Assisting in the preparation and production of products to company specified guidelines and time frames
• Filling and maintaining the presentation of stock
• Ensuring customers are served in a friendly and efficient manner
• Working cooperatively in a team environment
• Abiding by company policies and procedures in relation to Occupational Health and Safety (OH&S) and Food Safety to ensure a safe working environment for customers, staff and contractors
To be considered for this role you need to be able to meet the following selection criteria
• Ability to be available to work a flexible roster which may include evenings and late nights across the 7 days of the week and which may also include some public holidays
• Communicate effectively with customers and staff
• Work in a fast-paced team environment
• Perform repetitive lifting (sometimes heavy)
• Portray a positive attitude
• Demonstrate written and verbal communication skills
• Abide by company policies and procedures at all times including standard of dress
At Countdown, safety is a core value - countdown to zero is our mission of zero harm to our people, environment and community.
This is an entry level role with great opportunities to advance for the right candidate - Make a Fresh Career Choice today.
For more information about Countdown careers, visit http://www.countdown.co.nz/about-us/careers"
"Career Opportunities: Deli Team Member - Woolworths Mundaring (143242)","Fresh Food Deli Team Member | Woolworths
Do you have a passion for retail and customer service? Make a fresh career choice with us today!
• Become a part of the Fresh Food Team
• Connect and give back to your community
• Unlimited career opportunities
The successful candidate will be offered a Casual position and will be required to be available Monday to Friday from midday to 10pm and across all trading hours on Saturday and Sunday.
About Us
At Woolworths, spreading the joy of food to our customers is the reason we do what we do. We live it, we breathe it.
Woolworths offers real opportunities for career development, for those who love food, leading developing large teams and putting a smile on a customer’s face.
Woolworths ‘Fresh Food’ Team Members work across all departments within the Store as part of productive and customer service focused team, striving to give our customers the best experience each time they visit. So if you’re someone who leads by example and strives to be better every day, then we would love to hear from you.
As a Woolworths ‘Fresh Food’ Team Member you will be committed to making our customer experiences enjoyable every time through working well in a great team, providing great customer service and always looking at ways to better our customer experience within the Store.
• Structured learning and development environment
• Opportunity to develop and enhance customer service skills
• Provide customers with engaging, efficient, friendly and knowledgeable service
About You
Have you got the right ingredients to be successful? The Fresh Food People share a love of customers, team and food. From ensuring our customers are top of mind each and every day, through to driving fresh idea’s to continually improve what we do, you’ll constantly strive to be the best, delivering a world class customer experience.
As a Woolworths ‘Fresh Food’ Team Member you will work in a fast paced, team environment, where you will assist in the preparation and production of quality products. Your positive attitude and strong initiative will allow you to communicate with customers and team to ensure they are served in a friendly and efficient manner.
• Ability to work flexible retail hours
• Perform repetitive lifting (sometimes heavy)
• Excited about being able to work on a checkout to serve customers at the end of their shopping experience during peak trading times
• Abide by company policies and procedures at all times including standard of dress
We’re social! - connect with us at #WOWcareers through LinkedIn, Facebook, Instagram or via www.wowcareers.com.au
Sound like your next opportunity? Apply now or head along to www.wowcareers.com.au to discover more!"
"Career Opportunities: Replenishment Team Member - Woolworths Mundaring (143240)","Replenishment Team Member | Woolworths
Do you have a passion for providing the best customer service experience? Make a fresh career choice with us today!
• Join the Fresh Food People
• Australia’s largest retailer
• Market competitive Enterprise Agreement + additional team member benefits
The successful candidate will be offered a Casual position and will be required to be available Monday to Sunday from 5pm to midnight.
About Us
At Woolworths, spreading the joy of food to our customers is the reason we do what we do. We live it, we breathe it.
Woolworths offers real opportunities for career development, for those who love food, leading developing large teams and putting a smile on a customer’s face.
So if you’re someone who leads by example and strives to be better every day, then we would love to hear from you.
As a Replenishment Team Member you will be committed to making our customer experiences enjoyable every time through great customer service interactions and also providing our customers with the products and shopping they need through our replenishment process.
• Fast-paced, fun, fresh working environment
• Structured learning and development
• Ensure the health and safety of all team members and customers
About You
Have you got the right ingredients to be successful? The Fresh Food People share a love of customers, team and food. From ensuring our customers are top of mind each and every day, through to driving fresh idea’s to continually improve what we do, you’ll constantly strive to be the best, delivering a world class customer experience.
As a Replenishment Team Member you will work in a fast paced, cooperative team environment, where you will enhance the customer shopping experience. You will work to fill and maintain the presentation of stock during and after trading hours as well as provide great customer service during all interactions with our local customers while they are shopping in the store.
• Ability to work flexible retail hours
• Capacity to work in a physically demanding role
• Ability to work under pressure to meet replenishment targets
• Follow clear guidelines and procedures
We’re social! - connect with us at #WOWcareers through LinkedIn, Facebook, Instagram or via www.wowcareers.com.au
Sound like your next opportunity? Apply now or head along to www.wowcareers.com.au to discover more!"
"Career Opportunities: Nightfill Assistant - Mt Roskill (143229)","Working for Countdown isn't just about in-store opportunities. We're at the cutting edge of retail innovation, and this is supported by a reputable Manufacturing, Logistics and Corporate division including Construction, Property Management, Legal, IT, Finance, HR, Customer Service, Buying and Marketing.
Countdown is a great New Zealand Company providing our customers with quality, range and value. We are built on a passion for retail, dedication and a commitment to making our customers experience more enjoyable every time.
Countdown Supermarkets are seeking a motivated, enthusiastic and energetic person to join our Nightfill Team.
Key responsibilities include:
• Filling and maintaining the presentation of stock
• Ensuring customers are served in a friendly and efficient manner
• Working cooperatively in a team environment
• Abiding by company policies and procedures in relation to Occupational Health and Safety (OH&S) and Food Safety to ensure a safe working environment for customers, staff and contractors
To be considered for this role you need to be able to meet the following selection criteria
• Ability to be available to work a flexible roster which may include evenings and late nights across the 7 days of the week and which may also include some public holidays
• Communicate effectively with customers and staff
• Work in a fast-paced team environment
• Perform repetitive lifting (sometimes heavy)
• Portray a positive attitude
• Demonstrate written and verbal communication skills
• Abide by company policies and procedures at all times including standard of dress
At Countdown, safety is a core value - countdown to zero is our mission of zero harm to our people, environment and community.
This is an entry level role with great opportunities to advance for the right candidate - Make a Fresh Career Choice today.
For more information about Countdown careers, visit http://www.countdown.co.nz/about-us/careers"
"Career Opportunities: Qualified Butcher - Woolworths Colac (143228)","Butcher | Woolworths
Looking to enhance your career? Continue your journey with Woolworths!
• Become a part of the Fresh Food Team
• Connect and give back to your community
• Market competitive enterprise agreement wages and team member benefits
About Us
At Woolworths, spreading the joy of food to our customers is the reason we do what we do. We live it, we breathe it.
Woolworths offers real opportunities for career development, for those who love food, leading developing large teams and putting a smile on a customer’s face.
So if you’re someone who leads by example and strives to be better every day, then we would love to hear from you.
As a Butcher you will prepare and deliver the products that drive our customers into store each and every week as well as provide the best experience to buy Meat within the local area for local customers. We will provide:
• Exposure to a diverse range of products
• Gain experience in a highly demanding bakery
• Structured learning and development environment
About You
Have you got the right ingredients to be successful? The Fresh Food People share a love of customers, team and food. From ensuring our customers are top of mind each and every day, through to driving fresh idea’s to continually improve what we do, you’ll constantly strive to be the best, delivering a world class customer experience.
As a Butcher within one of our Woolworths supermarkets, you will work in a fast paced, team environment, where you will work with your team in the preparation and production of quality meat products.
Your positive attitude and strong initiative will allow you to communicate with customers and fellow team members to ensure they are served in a friendly and efficient manner.
• Ability to work flexible retail hours
• High degree of understanding of OH&S and food safety
• Trade qualification or relevant skills within butchery
• Able to train, develop and supervise apprentices and team members in the Meat Department when required
This is a part time position offering 15 hours per week. The successful candidate will need to be available to work early mornings from 6am, to evenings shifts starting at 2pm to 9pm. Weekends we require a full availability from 6am to 9pm.
We’re social! - connect with us at #WOWcareers through LinkedIn, Facebook, Instagram or via www.wowcareers.com.au
Sound like your next opportunity? Apply now or head along to www.wowcareers.com.au to discover more!"
"Career Opportunities: Qualified Butcher - Woolworths Stud Park (143224)","Butcher | Woolworths
Looking to enhance your career? Continue your journey with Woolworths!
• Become a part of the Fresh Food Team
• Connect and give back to your community
• Market competitive enterprise agreement wages and team member benefits
The suitable will be offered a Full Time position.
To be considered for this role must have availability across the following hours:
Monday - Sunday 10:00 - 19:00
About Us
At Woolworths, spreading the joy of food to our customers is the reason we do what we do. We live it, we breathe it.
Woolworths offers real opportunities for career development, for those who love food, leading developing large teams and putting a smile on a customer’s face.
So if you’re someone who leads by example and strives to be better every day, then we would love to hear from you.
As a Butcher you will prepare and deliver the products that drive our customers into store each and every week as well as provide the best experience to buy Meat within the local area for local customers. We will provide:
• Exposure to a diverse range of products
• Gain experience in a highly demanding bakery
• Structured learning and development environment
About You
Have you got the right ingredients to be successful? The Fresh Food People share a love of customers, team and food. From ensuring our customers are top of mind each and every day, through to driving fresh idea’s to continually improve what we do, you’ll constantly strive to be the best, delivering a world class customer experience.
As a Butcher within one of our Woolworths supermarkets, you will work in a fast paced, team environment, where you will work with your team in the preparation and production of quality meat products.
Your positive attitude and strong initiative will allow you to communicate with customers and fellow team members to ensure they are served in a friendly and efficient manner.
• Ability to work flexible retail hours
• High degree of understanding of OH&S and food safety
• Trade qualification or relevant skills within butchery
• Able to train, develop and supervise apprentices and team members in the Meat Department when required
We’re social! - connect with us at #WOWcareers through LinkedIn, Facebook, Instagram or via www.wowcareers.com.au
Sound like your next opportunity? Apply now or head along to www.wowcareers.com.au to discover more!"
"Career Opportunities: Team Member - Woolworths Fuel Carnarvon (143223)","Team Member | Fuel
Looking to ignite your career? Fuel your future with us!
• Be a part of Australia’s largest retail group
• Dynamic, market leading operation
• Immerse yourself within a culture that offers real opportunities for career development
The successful candidate will be offered a Casual Position and will be required to be available Monday to Sunday from 6am to 10pm.
About Us
Operating since 1996, Woolworths Fuel is growing fast offering pay point and convenience sites to our customers nationally. We are much more than a Fuel retailer though, we are part of Woolworths Limited which is made up of the most recognisable and trusted brands in retailing.
Our expertise stretches across food, liquor, fuel, general merchandise, financial services and home improvement and we're building on that foundation to diversify into new areas.
As a Team Member you will sell our brand with passion and enthusiasm. You will provide customers with an exceptional experience every time they visit our store!
• This is a Casual Position
• Candidates will be required to be available Monday, Thursday and Friday from 2pm to 10pm
• Flexibility and Autonomy
• Ensure the health and safety of all store associates and customers
• Providing customers with fast, efficient, friendly and knowledgeable service
About You
Woolworths people are great people. Whether we’re learning new things, seizing the initiative, or winning together our customers are at the heart of everything we do.
If you’re the sort of individual who takes accountability and strives to always do the right thing for each other, our communities, our customers, and our business then we ought to connect.
As a Team Member your positive attitude and a desire to go above and beyond for our customers will enhance the customer's experience and make them feel valued.
Your exceptional multi-tasking abilities and observation skills will enable you to be responsible for the safety and security of the site and answer customer queries and complaints in a courteous manner.
• Ability to work independently and unsupervised
• Conserve profit by ensuring compliance to correct balancing procedures
• Comply to company policy & procedures including safety, security and Fuel operations
We’re social! - connect with us at #WOWcareers through LinkedIn, Facebook, Instagram or via www.wowcareers.com.au
Sound like your next opportunity? Apply now or head along to www.wowcareers.com.au to discover more!"
