title,requirement
Careers Site: IT Project Manager (F/M) at travel audience (63649),"travel audience is the first Demand Side Platform (DSP) worldwide specially developed for the travel industry. The company disposes of a high-quality premium publisher network with wide coverage as well as direct access to real time bidding platforms. travel audience offers an online performance marketing platform to all providers of travel products of any kind.
travel audience is a wholly owned subsidiary of Amadeus – a leading provider of advanced technology solutions for the global travel industry.
Summary of the role
Join our fast-paced team of international experts in Berlin and support our ambitious expansion plans as IT Project Manager (F/M)
Main responsibilities
You take ownership for the agile project management of various IT projects in a challenging online marketing environment
You are responsible for all stages of complex IT projects from the planning, execution and delivery to project closure; ensuring that the project is delivered within the planned time frame, scope and budget
You develop detailed project plans and establish the required tracking and reporting for timelines and budgets
You ensure accurate project documentation
You coordinate assignment of project-related tasks in coordination with the IT team leads
You coordinate internal departments and technology partners from our parent company Amadeus with the developer team
You improve the usage of our ticket system Redmine
You identify areas of inefficiency in internal project management processes and lead development of new tools resulting in improved workflow
You will support the product team to create and improve products for the company
Requirements
You hold a university or college degree in business, informatics or similar
Minimum 3+ years experience in Online Advertising (programmatic advertising is a plus)
You are familiar with ticket systems, Redmine would be a plus
You are goal-oriented, with an ability to quickly build multiple relationships with different stakeholders
You take initiative and have hands-on mentality
You are fluent in English, German or another language would be a plus
Why join us?
As part of the travel audience team you work in a highly motivated environment with flat hierarchies and short decision-making processes. You have a lot of freedom to contribute your own ideas and to implement them. We offer you:
“State-of-the-art” technologies
Attractive further training opportunities
An open, communicative and dynamic start-up culture
Free access to the yoga and back therapy training courses at the nearby gym
Subsidy towards Monthly Travel Pass"
Careers Site: IT Product Manager (F/M) at travel audience (63648),"travel audience is the first Demand Side Platform (DSP) worldwide specially developed for the travel industry. The company disposes of a high-quality premium publisher network with wide coverage as well as direct access to real time bidding platforms. travel audience offers an online performance marketing platform to all providers of travel products of any kind.
travel audience is a wholly owned subsidiary of Amadeus – a leading provider of advanced technology solutions for the global travel industry.
Summary of the role
Join our fast-paced team of international experts in Berlin and support our ambitious expansion plans as IT Product Manager (F/M)
Main responsibilities
You define and implement a vision for one of our new products and maintain the roadmap
As product owner you are responsible for the whole product development cycle (concept, benchmark, process management and optimization of new products)
You will be responsible for managing various projects at the same time, conceptualizing the tools according to internal users’ needs, writing requirements and working closely with topic owners
You manage, maintain and prioritize the product backlog with focus on delivering solutions against business goals and technical requirements
You track, analyze and understand key market and industry developments in online advertising
Requirements
You hold a university or college degree in business, informatics or similar
Minimum 3+ year experience in Online Advertising (programmatic advertising is a plus)
Minimum 3+ year experience in IT Product Management or IT Project Management
You have solid knowledge of wire-framing/mock-ups tools, project and issue tracking ticket systems, Redmine would be a plus
You are goal-oriented, with an ability to quickly build multiple relationships with different stakeholders
You take initiative and have hands-on mentality
You are fluent in English, German or another language would be a plus
Why join us?
As part of the travel audience team you work in a highly motivated environment with flat hierarchies and short decision-making processes. You have a lot of freedom to contribute your own ideas and to implement them. We offer you:
“State-of-the-art” technologies
Attractive further training opportunities
An open, communicative and dynamic start-up culture
Free access to the yoga and back therapy training courses at the nearby gym
Subsidy towards Monthly Travel Pass"
Careers Site: Internship: Marketing and Communication (63873),"Join us and shape the future of travel
Shaping the future of travel has always been important to us at Amadeus. Today, with technology getting smarter by the minute, that future is more exciting than ever.
We work at the heart of the global travel industry. Amadeus offers you the opportunity to learn and grow and drive your own progression in an exciting and multicultural environment.
Our people are driven by a passion for 'Where next?' If you want to shape your career and the future of travel, Amadeus is the place for you.
Start date: Sept 2016
Duration: 6 months: internship
Team Description
The intern candidate will be integrated in the Marketing Programmes team part of our Global Customer Group and will focus on communications programmes specifically targeting global Online and Large Leisure Travel Accounts.
Main Responsibilities
The intern will participate in the following activities:
· Assist in the planning of marketing programmes and contribute to keep track of timelines
· Contribute to develop marcoms plans for specific programmes and assist in briefing agencies with inputs into briefing document compilation, follow-ups.
· Help in monitoring business impact of programmes on a monthly/quarterly basis and help in maintaining programme dashboards and yearly reports
· Contribute to plan, manage and implement internal communication projects to internal audiences
· Assist in updating Amadeus.com pages as/when required
Requirements
HR will select CVs based on these requirements
Marketing and Marketing communications knowledge and understanding, previous internship experience would be a plus.
· Good relationship skills, creative, pro-active, resourceful, can work well under pressure in both a team environment and independently
· fluent in English (written, spoken) is essential
· Excellent knowledge of MS applications
· Knowledge of Photoshop is a plus
Any duplication and display of partial or full content of our job advertisement on any support, such as brochures, websites, mail, emails, this list is not exhaustive, is strictly forbidden without prior formal Amadeus’ authorisation.
Recruitment agencies: Amadeus does not accept agency resumes. Please do not forward resumes to our jobs alias, Amadeus employees or any other company location. Amadeus is not responsible for any fees related to unsolicited resumes."
Careers Site: Product Marketing Manager - Airline Merchandising (59186),"Join us and shape the future of travel
Shaping the future of travel has always been important to us at Amadeus. Today, with technology getting smarter by the minute, that future is more exciting than ever.
We work at the heart of the global travel industry. Amadeus offers you the opportunity to learn and grow and drive your own progression in an exciting and multicultural environment.
Our people are driven by a passion for 'Where next?' If you want to shape your career and the future of travel, Amadeus is the place for you.
Business environment
Ancillary revenue is now an integral part of most airlines’ business models. Merchandising products is a huge opportunity for the airlines to boost their bottom line. Airlines are today strongly focusing on delivering improved service and value across the entire traveler experience.
In Amadeus, Airline Merchandising is a key strategic initiative for Airline IT and providing solutions to maximise any and every airline retailing opportunity is the exciting challenge the Airline Merchandising team is responsible for. Boundless opportunities, a rich panel of retail best practices (personalisation, merchandising techniques, channel, timing, services, price), a center-stage into the New Distribution Model (NDC) make the scope of the airline merchandising extremely large and fully transversal.
Shaping the future of the Amadeus Airline Merchandising offer is the very exciting challenge we are dealing with.
Purpose and the role
We are looking for talented Product Marketing Managers to reinforce our Airline Merchandising team. In this role you will manage, market and promote one of the products within the Airline Merchandising Solution suite to ensure customer satisfaction, competitive differentiation and profitability for Amadeus. You will work closely with other Amadeus teams to design the vision and propose the strategy of the portfolio. The Product Marketing Manager analyses market research and portfolio performance, profitability and sales success. In this role you will be motivated to drive innovation and explore new business opportunities.
Desired skills and experience:
University degree in Business or Marketing
Strong experience in Product Marketing for Complex IT Solutions in B2B environment is essential
Strong strategy marketing experience
Airline or other relevant industry retailing/merchandising experience
A real desire to work in a collaborative and fast-paced environment
Strong relationship building skills including the ability to relate constructively to all levels of the organization.
Excellent communication skills in English
Any duplication and display of partial or full content of our job advertisement on any support, such as brochures, websites, mail, emails, this list is not exhaustive, is strictly forbidden without prior formal Amadeus’ authorisation.
Recruitment agencies: Amadeus does not accept agency resumes. Please do not forward resumes to our jobs alias, Amadeus employees or any other company location. Amadeus is not responsible for any fees related to unsolicited resumes."
Careers Site: Commercial Strategy Manager (63763),"Shaping the future of travel is important to us at Amadeus. Today, with technology getting smarter by the minute, that future is more exciting than ever.
Our business success relies on our people being always passionate about what we do. We believe in aiming for excellence, taking responsibility, working together and putting our customers first.
We encourage you to be part of new and exciting projects and for you to take the lead when it comes to your progression.
Since mobility allows you and Amadeus to grow, we always look internally first when searching for candidate.
Amadeus Scandinavia is looking for a new Commercial Strategy Manager to help drive our long-term success!
Description
As Commercial Strategy Manager at Amadeus Scandinavia you are part of the sales organisation and working together with sales representatives to maximize profit for both the customer and Amadeus. The postion is located at our Stockholm office.
Your main responisibilities are to:
Lead and develop the negotiation process
Design and follow up on customer KPI’s
Develop and implement new sales strategies and business models
Commercial analysis for management decisions and customer follow-up
You will have close collaboration with internal stakeholders in the Scandinavian Sales, Marketing and Finance departments and with Commercial Management in Madrid. You are also expected to create and present commercial and bransch analysis in local customer management meetings on a regular basis.
Prefered experience:
University degree preferably within economics or business
Experience of working within large international organisations
Have been working in companies with complex business models
Expericence from transaction based business model
Prefered skills:
Proficient level in English
Highly developed presentation skills
High level of IT knowledge and excellent skills in MS Office and in particular Excel
Strong in analytics and high level of commercial understanding
The posting of vacancies and the treatment of applications are, in each Amadeus location, subject to national law and possible collective agreements with local staff representation. Internal Mobility policies vary from office to office, please check with your local HR representative the requirements and policy in place. E.g. a minimum time on position or Line Manager approval may be requested."
"Careers Site: Senior Executive, Sales Support & Special Projects (63372)","Join us and shape the future of travel
Shaping the future of travel has always been important to us at Amadeus. Today, with technology getting smarter by the minute, that future is more exciting than ever.
We work at the heart of the global travel industry. Amadeus offers you the opportunity to learn and grow and drive your own progression in an exciting and multicultural environment.
Our people are driven by a passion for 'Where next?' If you want to shape your career and the future of travel, Amadeus is the place for you.
MAIN RESPONSIBILITIES
DISTRIBUTION SALES AND CONTENT PIPELINE
Responsible for on going follow up with account management teams.Agree on next steps in order to evolve in the sales stage and close the opportunity identified.Promote the usage of CRM across the different units involved in the sales activities.Keep track and communicate to all relevant parties on new sales and content status and next steps. Coordination of regular meetings with the regions to review activity in such region and pending activities to reach objectives.
IMPLEMENTATION / INVOICING COORDINATION
Monitor billing is applied upon implementation of a product for an airline, validating with the relevant contract and in coordination with account management and revenue management.
Monitor that all signed products are implemented and identify delays on implementations.Provide accurate input for official revenue forecast and budget for optional services products.
PROJECT MANAGEMENT
Lead the projects with the involvement of the relevant teams across the organization.
OBJECTIVE SETTING, BUDGET AND FORECAST EXERCISES
Compilation of the opportunities for the objective setting.Ensure the readiness of the information for the forecast and budget exercises.
REQUIREMENTS
Skills and knowledge:
English
Accountability & Proactivity
Analytical Thinking
Building Relations
Business Acumen
Communication
MS Office Suite
Standard Project Management Methodology: Project organization, Project Initiation, Planning, estimating and scheduling, Executing, Monitoring and controlling, Risk management, Project closing""
Years of experience: 3-5 years of experience in project management and sales support.
Education:Business/ Marketing degree.
Any duplication and display of partial or full content of our job advertisement on any support, such as brochures, websites, mail, emails, this list is not exhaustive, is strictly forbidden without prior formal Amadeus’ authorisation.
Recruitment agencies: Amadeus does not accept agency resumes. Please do not forward resumes to our jobs alias, Amadeus employees or any other company location. Amadeus is not responsible for any fees related to unsolicited resumes."
Careers Site: Account Manager (63586),"Shaping the future of travel is important to us at Amadeus. Today, with technology getting smarter by the minute, that future is more exciting than ever.
Our business success relies on our people being always passionate about what we do. We believe in aiming for excellence, taking responsibility, working together and putting our customers first.
We encourage you to be part of new and exciting projects and for you to take the lead when it comes to your progression.
Since mobility allows you and Amadeus to grow, we always look internally first when searching for candidate.
Summary of the role
Account Management and Local Presence with Air Canada. The primary focus will be on the Distribution side of the business.
Main responsibilities
Distribution Strategy Meeting - Provide Strategy input to the agenda,preparation and completion, coordinate the agenda, topic discussions and stategy. This is conducted Quarterly
Weekly Commercial Call with key team members' regarding the technical support for issue resolution. This call is to document the issues and the progess on resolution. Support and planning is required. Provide support to the team as needed for preparation and reporting
Bi-Weekly Project and Opportunity call. This is for a status of the overall projects, dependencies issues
XML end-to-end project is a 2+ year project that will require coordination between the customer and the internal Amadeus resources. Including reporting, scheduling, clear expectation setting
Day to Day point of communication and understanding the customer's requirements and Amadeus opportunities
Requirements
Bachelor's Degree required
Relevant work experience
3-5 years previous account management experience within Airline IT.
Project Management and organizational skills are key.
Previous travel industry experience required.
Previous knowledge of GDS & IATA standards.
Understanding of AIT technology.
Strong presentation skills required.
Excellent communication skills required both verbal and written.
Minimum 2 years experience
Minimum travel required - 10% (domestic trips and 1 international trip a year)
Business understanding
Distribution will be primary focus with IT as secondary
Skills
Computing: Advanced MS Office skills required to include Word, Power Point, and Excel
Languages: Bi-lingual - English and French speaking required.
Specific knowledge: Communication, proactive support, project management, adaptability to change
and organizational skills
Other: Interaction with multiple departments to include Sales, Distribution, and IT Departments
Location
Required to live in Montreal or Toronto
<p style=""font: 13px/20px sans-serif, Arial, Verdana, ""Trebuchet MS""; text-align: justify; color: rgb(51, 51, 51); text-transform: none; text-indent: 0px; letter-spacing: normal; word-spacing: 0px; white-space: normal; font-size-adjust: none; font-stretch: normal; -webkit-text-stroke-width: 0px;""> The posting of vacancies and the treatment of applications are, in each Amadeus location, subject to national law and possible collective agreements with local staff representation. Internal Mobility policies vary from office to office, please check with your local HR representative the requirements and policy in place. E.g. a minimum time on position or Line Manager approval may be requested. <p style=""font: 13px/20px sans-serif, Arial, Verdana, ""Trebuchet MS""; text-align: justify; color: rgb(51, 51, 51); text-transform: none; text-indent: 0px; letter-spacing: normal; word-spacing: 0px; white-space: normal; font-size-adjust: none; font-stretch: normal; -webkit-text-stroke-width: 0px;"">"
Careers Site: Associate Systems Engineer GOS Airline IT (63768),"Shaping the future of travel is important to us at Amadeus. Today, with technology getting smarter by the minute, that future is more exciting than ever.
Our business success relies on our people being always passionate about what we do. We believe in aiming for excellence, taking responsibility, working together and putting our customers first.
We encourage you to be part of new and exciting projects and for you to take the lead when it comes to your progression.
Since mobility allows you and Amadeus to grow, we always look internally first when searching for candidate.
Summary of Role
Support and ensure high system availability for the server complexes, components, and services under the responsibility of Amadeus Data Processing (ADP), ensuring compliance with pertinent Service Level Agreements. Take ownership of and resolve incidents and problems encountered in a timely and efficient manner. Perform seamless change management with all necessary due diligence.
Main Responsibilities
• Incident Management
• Identification of Incidents
• Restore service or component
• Management escalation
• Incident coordination
• Recommendations for automation improvements
• Identify and flag missing pre-requisites for such changes, following up with the Change Builders & Operations teams.
• Change and release management
• Coordinate and ensure production changes are applied successfully and performed during agreed upon window
• Ensure information required for change and implementation management is accurate and distributed to those tasked with the execution.
• Liaise with appropriate teams to ensure the smooth and efficient handling of changes.
• Other duties as assigned
• Project Work
• Problem Management tasks
• Incident Reduction
Requirements
Education:
University degree (or equivalent) in Computer Science or related technical field.
ITIL certification
Relevant Work Experience:
Minimum 1 year experience with at least two of the following:
• Excellent analytical ability, strong troubleshooting skills, understanding of how to isolate and diagnose application or system problems
• Experience in running, supporting and managing high availability infrastructures (24/7/365 >99.999% up-time requirements)
• Demonstrate self-initiative and self-motivation
• Intermediate Linux command line skills
• Beginning to intermediate programming / scripting skills
• Intermediate understanding of network concepts
• System and application performance analysis
• Cluster management
• Basic understanding of SQL statements
• Basic understanding of Virtualization concepts
• Basic understanding of Operational Support of Cloud based services (i.e. IaaS, Paas)
• Exposure to project work / project management a plus
• Intermediate knowledge of Microsoft Office products
• Above average performance in present or previous position for not less than 1 year
UNIX / Linux Based Systems Support/MS Windows 2003 Server or higher
Operational support of virtual systems (i.e. VMWare), IaaS or PaaS
Work with web based systems (i.e. IIS, Apache, WebLogic)
Scripting programming skills desirable
Skills:
Computing - Very good general IT knowledge
Languages - Excellent spoken / written English skills
Specific Knowledge - One or more years of Incident Handling in a Network Operations Center or like environment.
Other - Team work, self-initiative and collaborative troubleshooting skills
Business Understanding:
Considered a plus: ITIL training, Familiarity with the workings / purpose of Global Distribution Systems
The posting of vacancies and the treatment of applications are, in each Amadeus location, subject to national law and possible collective agreements with local staff representation. Internal Mobility policies vary from office to office, please check with your local HR representative the requirements and policy in place. E.g. a minimum time on position or Line Manager approval may be requested."
Careers Site: Associate Systems Engineer (63746),"Shaping the future of travel is important to us at Amadeus. Today, with technology getting smarter by the minute, that future is more exciting than ever.
Our business success relies on our people being always passionate about what we do. We believe in aiming for excellence, taking responsibility, working together and putting our customers first.
We encourage you to be part of new and exciting projects and for you to take the lead when it comes to your progression.
Since mobility allows you and Amadeus to grow, we always look internally first when searching for candidate.
Summary of Role
Support and ensure high system availability for the server complexes, components, and services under the responsibility of Amadeus Data Processing (ADP), ensuring compliance with pertinent Service Level Agreements. Take ownership of and resolve incidents and problems encountered in a timely and efficient manner. Perform seamless change management with all necessary due diligence.
Main Responsibilities
• Incident Management
• Identification of Incidents
• Restore service or component
• Management escalation
• Incident coordination
• Recommendations for automation improvements
• Identify and flag missing pre-requisites for such changes, following up with the Change Builders & Operations teams.
• Change and release management
• Coordinate and ensure production changes are applied successfully and performed during agreed upon window
• Ensure information required for change and implementation management is accurate and distributed to those tasked with the execution.
• Liaise with appropriate teams to ensure the smooth and efficient handling of changes.
• Other duties as assigned
• Project Work
• Problem Management tasks
• Incident Reduction
Requirements
Education:
University degree (or equivalent) in Computer Science or related technical field.
ITIL certification
Relevant Work Experience
Minimum 1 year experience with at least two of the following:
• Excellent analytical ability, strong troubleshooting skills, understanding of how to isolate and diagnose application or system problems
• Experience in running, supporting and managing high availability infrastructures (24/7/365 >99.999% up-time requirements)
• Demonstrate self-initiative and self-motivation
• Intermediate Linux command line skills
• Beginning to intermediate programming / scripting skills
• Intermediate understanding of network concepts
• System and application performance analysis
• Cluster management
• Basic understanding of SQL statements
• Basic understanding of Virtualization concepts
• Basic understanding of Operational Support of Cloud based services (i.e. IaaS, Paas)
• Exposure to project work / project management a plus
• Intermediate knowledge of Microsoft Office products
• Above average performance in present or previous position for not less than 1 year
UNIX / Linux Based Systems Support/MS Windows 2003 Server or higher
Operational support of virtual systems (i.e. VMWare), IaaS or PaaS
Work with web based systems (i.e. IIS, Apache, WebLogic)
Scripting programming skills desirable
Skills:
Computing - Very good general IT knowledge
Languages - Excellent spoken / written English skills
Specific Knowledge - One or more years of Incident Handling in a Network Operations Center or like environment.
Other - Team work, self-initiative and collaborative troubleshooting skills
Business Understanding
Considered a plus: ITIL training, Familiarity with the workings / purpose of Global Distribution Systems
The posting of vacancies and the treatment of applications are, in each Amadeus location, subject to national law and possible collective agreements with local staff representation. Internal Mobility policies vary from office to office, please check with your local HR representative the requirements and policy in place. E.g. a minimum time on position or Line Manager approval may be requested."
Careers Site: Java Developer - Reporting and Business Intelligence (63393),"Shaping the future of travel is important to us at Amadeus. Today, with technology getting smarter by the minute, that future is more exciting than ever.
Our business success relies on our people being always passionate about what we do. We believe in aiming for excellence, taking responsibility, working together and putting our customers first.
We encourage you to be part of new and exciting projects and for you to take the lead when it comes to your progression.
Since mobility allows you and Amadeus to grow, we always look internally first when searching for candidate.
Summary of Role
The Hotel IT Reporting and BI team is responsible for the Business Intelligence, Reporting, and creating and maintaining the Big Data Architecture for the Amadeus Hotel Platform. Our team monitors all functions of the system and delivers data analysis in near real time for a platform that runs at greater than 10,000 transactions per second.
The Java Engineer for Reporting and Business Intelligence is an expert on building high availability, UX driven web applications. Our ideal candidates have an expertise in Java and also experience in working on through the full stack of web applications from UI to database.
We work in SCRUM and are looking for developers who thrive in a fast paced development cycle.. The people who thrive the most at Amadeus are those that are looking to work in a highly collaborative environment with a team drawn from around the world.
Main Responsibilities
• Design, build, and test RESTful services in Java capture, analyze, publish and display data
• Work with the Business Analyst to understand how best to meet our customer business needs
• Create and document the technical design and architecture
• Design, build, and test our operational data stores on RDBMS (Oracle) and NoSQL (MongoDB, Hadoop ecosystem)
Requirements
Education:
Bachelor's degree in Computer Science or related field, or equivalent.
Relevant Work Experience:
Minimum 5 years of experience
Job level and compensation commesurate with experience and ability
Skills:
Computing - RESTful services, JEE, Web Applications
Languages - Java, SQL Preferred: AngularJS, NoSQL (MongoDB, Hadoop ecosystem)
The posting of vacancies and the treatment of applications are, in each Amadeus location, subject to national law and possible collective agreements with local staff representation. Internal Mobility policies vary from office to office, please check with your local HR representative the requirements and policy in place. E.g. a minimum time on position or Line Manager approval may be requested."
