jobs_title,jobs_requirement
"Compliance Engineer, Safety, EMC, Telecom","Compliance Engineer, Safety, EMC, Telecom-1499585
Description
Description
Responsible for working with the product development team and ODMs to manage all regulatory compliance activities. Ultimately to ensure product compliance in EMC, Safety and telecom certifications. The position will be located in Taiwan and will work closely with HP product development teams.
Responsibilities
Ensures product conforms to engineering design, with safe & legal compliance.
Track and manage all EMC, Safety and telecom requirement/activity for multiple development projects. Ensure that new product introduction timeline are on schedule with certification approvals.
Prepare Declarations of Conformity
Oversee compliance testing execution by the ODM's and 3rd party test labs per HP's test requirements. Verify OEM documents are correct
Interface with both HP internal groups (product development teams & worldwide technical regulation engineers) as well as ODM partners.
Work closely with HP compliance group to follow up/manage the agency regulation dynamics (such as regulations, requirements, lead-time and cost changes, as well as regional specific issues.). Review/track on agency costs. Maintain certification documents in database
Participate & provide requirements in design reviews with the ODM's and HP product development teams.
Present/highlight agency certification status to HP development program team
Qualifications
Education and Experience
Minimum of bachelor‰Ûªs degree in Electrical & Electronic, Mechanical Engineering or related science discipline
Target candidate with total 2-5 years of working experience only
Knowledge and Skills
Experience in hardware EMC or Safety design and debug including regulatory standards and worldwide certification requirements.
Good knowledge of worldwide EMC & Safety requirements. Telecom a plus.
Familiar with PC related high-paced technologies required. Server product a plus.
Experience in working closely with external suppliers, defining requirements, and managing supplier performance.
Excellent communication in English, both verbal and written.
Good organizational and project management skills
Good oral and written communications skills
Leadership qualities: high integrity team player, attention to detail, timeline sensitive, result oriented, self motivated
Job - Engineering
Primary Location - Taiwan-Taipei City-Taipei
Schedule - Full-time
Shift - Day Job
Travel - Yes, 25 % of the Time
Job Posting - Jun 8, 2016
EEO Tagline HP Inc. is EEO F/M/Protected Veteran/ Individual with Disabilities"
"Electrical Hardware Engineer, Commercial Desktops","Electrical Hardware Engineer, Commercial Desktops-1499223
Description
Description
As a member of the Desktop R&D team, the candidate will be responsible for leading the definition and development of electrical subsystems for commercial, and consumer desktop and all-in-one products, including the product motherboard. The successful candidate will have a proven track record of delivering motherboards and electrical subsystems with focus on cost, quality, and schedule. The candidate must also demonstrate strong technical knowledge as well as strong design and debug skills.
Responsibilities
Development of innovative product features and solutions to increase customer value-add, improve design leverage and efficiency, reduce cost, and improve quality and reliability.
Architecture of product electrical requirement with external suppliers and internal cross-functional mechanical, thermal, module, and power supply components.
Development of component specifications and validation plans.
Managing suppliers to deliver motherboard and electrical subsystem components meeting HP cost, schedule, and specification requirements as well as subsystem supplier design guidelines.
Schematic and board layout design and review.
Review and audit of supplier test reports.
Issue management and critical debug of highly technical problems.
Development of internal process controls for consistent delivery of quality products.
Occasional travel to US and China to support product development and manufacturing.
Qualifications
Education and Experience
Bachelor's or Master's degree in Electrical or Computer Engineering
Minimum 3 years experience.
Knowledge and Skills
Excellent teamwork and interpersonal skills.
Ability to communicate, both written and spoken, in English and Mandarin.
Ability to design and analyze electrical subsystem beyond basic supplier design guidelines.
Ability to use common electrical lab equipment, such as oscilloscope and logic analyzer, to test and debug electrical subsystems.
Experience with Cadence schematic and layout design tools (Orcad, CIS, Allegro or equivalent).
Knowledge of Microsoft Office applications.
Experience with system and motherboard validation.
Experience with the ODM development model preferred.
Job - Engineering
Primary Location - Taiwan-Taipei City-Taipei
Schedule - Full-time
Shift - Day Job
Travel - No
Job Posting - Jun 8, 2016
EEO Tagline HP Inc. is EEO F/M/Protected Veteran/ Individual with Disabilities"
HP Security Manager Software Engineer,"HP Security Manager Software Engineer-1492705
Description
HP is a proven leader in personal systems and printing, delivering innovations that empower people to create, interact, and inspire like never before. We leverage our strong financial position to extend our leadership in traditional markets and invest in exciting new technologies.
HP has an impressive portfolio and strong innovation pipeline across areas such as:
-blended reality technology - our unique Sprout by HP will change the way people do things
-3D printing
-multi-function printing
-Ink in the office
-tablets, phablets, notebooks
-mobile workstations
We‰Ûªre looking for visionaries who are ready to make an impact on the way the world works. At HP, the future‰Ûªs yours to create!
HP Security Manager (HPSM) is an award-winning tool you can use to streamline deployment & monitoring of security to your HP fleet and ensure you reduce your network security risks related to these endpoints. HP Security Manager is the industry‰Ûªs first policy-based print security compliance tool that helps you to secure your print infrastructure using several unique features that minimize the administrative overhead normally required to deploy & monitor security across a print fleet. HPSM Management is looking for a candidate with the following skill sets.
Job Responsibilities:
‰Û¢ The role is responsible for designing and implementing HP Security Manager Features according to a specifications
‰Û¢ Should be able to debug and address Internal Defects as well as Customer Escalations
‰Û¢ Follows the process and ensures that Program level quality metrics is met
‰Û¢ Should be able to present his technical thought process to the stakeholders
Qualifications
Are you a high-performer? We are looking for an individual with:
Overall Experience : 6 ‰ÛÒ 9 Years in Software industry
Developer Skills:
‰Û¢ The developer MUST be proficient and hands-on in nHibernate, SQL, .NET, C#, Web API, MVC and design experience with Web Services (REST, SOAP, etc ..).
‰Û¢ Knowledge on JavaScript, JQuery, HTML, HTML5, CSS, CSS3, Karma, Jasmine, Web Programming Skills in Angular JS, Bootstrap would be an added advantage.
‰Û¢ Excellent analytical/problem solving skills.
‰Û¢ Ability to work in a high pressure environment with dynamic priority shifts.
‰Û¢ The person should have excellent verbal and written communication skills.
‰Û¢ Self-motivated and Self Starter. Should be a team player.
Job - Engineering
Primary Location - India-Karnataka-Bangalore
Schedule - Full-time
Shift - Day Job
Travel - No
Job Posting - May 17, 2016
EEO Tagline HP Inc. is EEO F/M/Protected Veteran/ Individual with Disabilities"
Engineer,"Engineer-1495585
Description
HP is a proven leader in personal systems and printing, delivering innovations that empower people to create, interact, and inspire like never before. We leverage our strong financial position to extend our leadership in traditional markets and invest in exciting new technologies.
HP has an impressive portfolio and strong innovation pipeline across areas such as:
Blended reality technology - our unique Sprout by HP will change the way people do things
3D printing
Multi-function printing
Ink in the office
Tablets, phablets, notebooks
Mobile workstations
We are looking for visionaries who are ready to make an impact on the way the world works. At HP, the future‰Ûªs yours to create!
If you are a Engineer in India, you will have a chance to:
Manage the Series 4 Ink Manufacturing product related issues.
Lead localization and cost saving projects for Series 4.
Lead change management process in ElectroInk Manufacturing.
Analyze and review of Series 2,3 and 4 Ink parametric tests and data.
Analyze and review of Series 2,3 and 4 Print Quality tests results and trends.
Lead customer complaint response related to ElectroInk.
Develop deep knowledge on Ink to Blanket, PIP and BID interactions.
Engage IL Engineering to ensure ‰Û÷same Ink‰Ûª strategy.
Qualifications
Are you a high-performer? We are looking for an individual with:
Bachelor‰Ûªs or Master‰Ûªs degree in Material Science/Chemical Engineering/Physics or related discipline.
3-5 years of technical experience in a manufacturing or analytical environment.
3-5 years of hands on application development experience required.
3-5 years of Data base management experience required.
3-5 years of hands on C, C#, C++< Java, ASP and HTML experience required.
3-5 years of SharePoint management experience required.
Able to make business trips to HP Indigo Israel when required.
Strong relationships attributes working with Mid-Level or Senior Level management.
Good communication, attitude and presentation skills required.
Job - Engineering
Primary Location - Singapore-Singapore-Singapore
Schedule - Full-time
Shift - Day Job
Travel - No
Job Posting - May 17, 2016
EEO Tagline HP Inc. is EEO F/M/Protected Veteran/ Individual with Disabilities"
"Senior Product Experience Support Manager, Consumer Notebooks and Desktops","Senior Product Experience Support Manager, Consumer Notebooks and Desktops-1497317
Description
HP is a proven leader in personal systems and printing, delivering innovations that empower people to create, interact, and inspire like never before. We leverage our strong financial position to extend our leadership in traditional markets and invest in exciting new technologies.
HP has an impressive portfolio and strong innovation pipeline across areas such as:
blended reality technology - our unique Sprout by HP will change the way people do things
3D printing
multi-function printing
Ink in the office
tablets, phablets, notebooks
mobile workstations
We are looking for visionaries who are ready to make an impact on the way the world works. At HP, the future is yours to create!
This position is on the program management team for new products and sustaining for notebooks & desktop PCs in the support and service area. You will be responsible for multiple platforms through the development and sustain cycle and provide customer ready solutions. Customer ready solutions are defined as customer acceptable quality, a great customer experience and to prepare the service and support organization for any customer issue handling whether through online, call center or repair center. You must be able to program manage all the deliverables that the above entails. As well as speak up for the customer in decision making. Provides support and/or lead teams through the Engineering development process and implementation of HP's products. Projects are typically shorter-term, less complex and more contained with a defined time frame. Programs are typically longer-term, multi-functional, multi-project with complex requirements and effort. Manage activities, resource capability, schedules, budgets, and ensure cross company communications to facilitate product completion on schedule within budget without compromising customer experience. Work with engineering management to identify and improve process and program efficiencies. Work can involve external parties such as standards bodies, partners, etc.
If you are our Product Experience Support Manager in Taiwan, you will have a chance to
Represent Customer Support Business Unit in worldwide cross-functional notebook & desktop PC product teams; be the voice of customer & service in the product development process
Advocate product customer experience, G2G & NPS improvement
Work closely with Taiwan, China, America & EMEA Development Centers/teams in developing service models/strategies that are competitive (features & cost) & satisfying customer needs
Assist in increasing Design-for-Service Capabilities on products & knowledge within product teams; Influence product design & monitor warranty/service budget based on yearly budget allocation.
Manage service readiness process for HP notebooks, desktop PC & other assigned programs (Planning, monitoring, risk managing, metrics); ensure service teams, systems & processes are ready to support customers upon First Customer Shipment Date
Ensure sudden field issues appeared at or after product launch have solutions that minimize cost impact & promote a positive Total Customer Experience
Qualifications
Are you a high-performer? We are looking for an individual with:
Bachelor's or Master's degree in Business Management, Engineering, Computer Sciences, or equivalent
PMP/PMI certification preferred
Minimum 8 years experience in PC service related field
Knowledge and Skills
Using project planning tools and software packages to create, manage, and track project results.
Strong analytical and problem solving skills.
Demonstrated experience coordinating and directing matrixed teams and resources
Ability to create and manage program schedules, budgets, and resource allocation plans
Excellent written and verbal communication skills; mastery in English and local language.
Ability to effectively communicate program plans, proposals, and results, and negotiate options at management levels.
Job - Engineering
Primary Location - Taiwan-Taipei City-Taipei
Schedule - Full-time
Shift - Day Job
Travel - No
Job Posting - May 11, 2016
EEO Tagline HP Inc. is EEO F/M/Protected Veteran/ Individual with Disabilities"
"Engineering Program Manager, LCD monitors - Displays Technology","Engineering Program Manager, LCD monitors - Displays Technology-1495983
Description
HP is a proven leader in personal systems and printing, delivering innovations that empower people to create, interact, and inspire like never before. We leverage our strong financial position to extend our leadership in traditional markets and invest in exciting new technologies.
HP has an impressive portfolio and strong innovation pipeline across areas such as:
-blended reality technology - our unique Sprout by HP will change the way people do things
-3D printing
-multi-function printing
-Ink in the office
-tablets, phablets, notebooks
-mobile workstations
We‰Ûªre looking for visionaries who are ready to make an impact on the way the world works. At HP, the future‰Ûªs yours to create!
If you are our Engineering Program Manager, Display Team in Taiwan, you will have a chance to:
Manage new LCD monitor development programs, especially those with new technologies such as USB Type C and Wireless Video
NPI Development
Prepare and host kick-off meeting
Establish clear ODM/HP R+R and program deliverables
Proactively drive, resolve or escalate with solutions, any potential obstacles , including all those risks identified at POR, impacting successful launch, manage program schedule
Write Specification
Develop and document test methods for new technologies
Manage Qualification to Specification per process
Manage Customization Deliverables
Drive timely completion of all deliverables within program team to make program successful
Technical
Works with ODM, Panel or Component Suppliers and Marketing to initiate and scope new product ideas
Provide feedback and recommendations on roadmap or product features
Estimates schedule and resource level
ODM Management
Coordinate cross product initiatives at assigned ODM
Drives ODM to improve performance through face to face meetings, test process review, technical discussions, follow-up on supplier scorecard actions or other lessons learned
Qualifications
Are you a high-performer? We are looking for an individual with:
Bachelor Degree in Electrical Engineering or related field.
Target total 3~5 years of experience with Flat Panel monitor projects.
To be successful you should be
Displays Technology and Specification
LCD panel Technology and Specification
Graphics and Video Interface Technology
Displays Measurement Equipment familiarity and how to confirm specification
Project management skills, functional engineering and business knowledge, Planning, Problem solving, Responsiveness Negotiation Techniques, Effective communication skills (written and verbal).
Job - Engineering
Primary Location - Taiwan-Taipei City-Taipei
Other Locations - United States-Texas-Houston, Americas
Schedule - Full-time
Shift - Day Job
Travel - Yes, 25 % of the Time
Job Posting - Apr 28, 2016
EEO Tagline HP Inc. is EEO F/M/Protected Veteran/ Individual with Disabilities"
Supply Chain Engineer and Vendor Management,"Supply Chain Engineer and Vendor Management-1492206
Description
HP is a proven leader in personal systems and printing, delivering innovations that empower people to create, interact, and inspire like never before. We leverage our strong financial position to extend our leadership in traditional markets and invest in exciting new technologies.
HP has an impressive portfolio and strong innovation pipeline across areas such as:
- Blended reality technology - our unique Sprout by HP will change the way people do things
- 3D printing
- Multi-function printing
- Ink in the office
- Tablets, phablets, notebooks
- Mobile workstations
We‰Ûªre looking for visionaries who are ready to make an impact on the way the world works. At HP, the future‰Ûªs yours to create!
If you are a Supply Chain Engineer in Singapore, you will have a chance to
- To be a member of the procurement professional‰Ûªs team within HP Central Direct Procurement Services organization (CDPS), supporting Large Format Printers (LFP) business.
- Will be accountable to manage strategic vendors and manufacturing partners mainly related to Powder sensing technologies and optics for complex sensors modules, from a business and technical stand points, both in New Product Development (NPD) phases, industrialization and Current Product Support (CPS).
- The opportunity to work in an international organization, interacting with suppliers and organizations worldwide.
- Will work very close with LFP R&D to understand new technology needs, provide market and design for cost, quality & manufacturability inputs, and industrialize the assigned parts and subsystems.
- Opportunity to master the market related to advance sensors and optical parts manufacturing and components/modules suppliers, continuously improving Cost, Quality and Assurance of Supply, and identifying adjacent new business opportunities.
- Building market technology and cost intelligence at part/subsystem/function level, identifying the possible suppliers
- Influencing early design decisions to get the most efficient inbound supply chain for new products (dfx).
- Considering the entire product life cycle needs.
- Negotiating with vendors pre and post manufacturing release Cost Reduction, and the rest of business deliverables (including terms & conditions, contracts and IP handling).
- Growing a strong partner relationship by building personal empathy and thru proactive and fair interactions
- Periodical business reviews to suppliers, including performance evaluation and development plan.
- Quality control plan, assurance of supply, prototypes for builds, metrology.
- Project Manager for assigned Procurement processes or projects, leading their implementation within the organization.
Qualifications
To be successful you should be:
The perfect candidate holds Bachelor's (or upper) Degree majoring in Electrical or Electronics Engineering-
4-6 years of experience with supply chain
4-6 years of hands on experience with Business Management.
4-6 years of hands on experience working on vendor management.
4-6 years of Business Development experience required.
Strong sales and marketing knowledge
Ability to lead resolution activities with escalated customers
Ability to contribute to technical action plans
Strong relationships attributes working with Mid-Level or Senior Level management.
Good communication, attitude and presentation skills required.
Job - Engineering
Primary Location - Singapore-Singapore-Singapore
Schedule - Full-time
Shift - Day Job
Travel - Yes, 25 % of the Time
Job Posting - Apr 21, 2016
EEO Tagline HP Inc. is EEO F/M/Protected Veteran/ Individual with Disabilities"
Systems Software Engineer,"Systems Software Engineer-1491698
Description
HP is a proven leader in personal systems and printing, delivering innovations that empower people to create, interact, and inspire like never before. We leverage our strong financial position to extend our leadership in traditional markets and invest in exciting new technologies.
HP has an impressive portfolio and strong innovation pipeline across areas such as:
blended reality technology - our unique Sprout by HP will change the way people do things
3D printing
multi-function printing
Ink in the office
tablets, phablets, notebooks
mobile workstations
We are looking for visionaries who are ready to make an impact on the way the world works. At HP, the future is yours to create!
If you are our Systems Software Engineer in India, you will have a chance to:
Participates as a member of development team. Performs basic analysis of functional requirements. Completes code stubs prepared by more senior developers. Participates in code review. Prepares and executes Unit tests under supervision. Applies growing technical knowledge to maintain a technology area (e.g. Database Administration). Performs work assigned by others. Accountable for own work.
Qualifications
Education and Experience Required:
Typically a technical Bachelor‰Ûªs degree or equivalent experience and a minimum of 0-2 years of related experience. May include highly experienced individuals performing entry-level equivalent work who are non-degreed or degreed in an unrelated field.
Knowledge and Skills Required:
Must have thorough working knowledge of .net & C#
Should have experience building applications using the above platforms
Good to have knowledge in the following areas : Java, Java Angular, SQL server, Share point, MS office applications
Should have experience building user interfaces
Should have experience using web services
Should have experience in working with API‰Ûªs (preferred but not mandatory)
Should have experience preparing solution designs
Ability to execute requirement gathering and project scoping
Be able to independently manage projects
Job - Engineering
Primary Location - India-Karnataka-Bangalore
Schedule - Full-time
Shift - Day Job
Travel - No
Job Posting - Apr 20, 2016
EEO Tagline HP Inc. is EEO F/M/Protected Veteran/ Individual with Disabilities"
"Cross Platform Audio Engineer, Business Notebooks","Cross Platform Audio Engineer, Business Notebooks-1496953
Description
HP is a proven leader in personal systems and printing, delivering innovations that empower people to create, interact, and inspire like never before. We leverage our strong financial position to extend our leadership in traditional markets and invest in exciting new technologies.
HP has an impressive portfolio and strong innovation pipeline across areas such as:
-blended reality technology - our unique Sprout by HP will change the way people do things
-3D printing
-multi-function printing
-Ink in the office
-tablets, phablets, notebooks
-mobile workstations
We‰Ûªre looking for visionaries who are ready to make an impact on the way the world works. At HP, the future‰Ûªs yours to create!
If you are our Cross Platform Audio Engineer, Business Notebooks in Taipei, you will have a chance to:
The Business Notebook Group, inside the Commercial Managed IT Division, develops mobile computing products and solutions aimed at the Small / Medium Business (SMB) and large Commercial / Corporate customers. The hardware development group is seeking a highly motivated individual to join the Platform Development and Engineering Team as a Senior Electrical Audio Engineer. This team will develop next generation notebook computers, business tablets, and mobile computing solutions. We are looking for an individual who has background in and is able to develop expertise in a variety of areas, including:
The ability to work with the diverse audio and tablet/PC based technologies that will include IC‰Ûªs, components, and the technology that drives the audio subsystems which will be implemented across multiple notebook and tablet designs mainly for the business notebook & tablet team but also at times working with the consumer/volume teams.
The ability to manage IC & Component supplier activities including creating and understanding Audio reference designs, reference and specific product validation, product implantation, product level testing specifically to the Audio sub system.
You will be responsible & managing the implementation of the Audio sub system on several notebook & tablet designs including the ability to do this both while on-site and remotely located. This specifically includes the following activities:
Schematic & Layout reviews throughout the design process
Speaker & speaker box design & integration into the system
Mic subsystem design & implementation
Debug & root cause analysis of development problems in the audio subsystems, some of which will be HW based and others of which will be driver based
Gather audio fidelity measurements throughout the development process
Performance tuning & validation of the system speaker & mic subsystems, including adjusting the EQ & DTS settings to obtain the best optimized audio performance.
Knowledge on Lync certification, audio branding, audio conferencing quality‰Û_etc.
Will interface with the HP Program Manager and the HP Project Leader in the EE/HW area, providing direction to both on responsibilities & activities for the Audio technology area you own. Will be responsible for your technology areas on multiple Notebook & Tablet programs, while working with HP‰Ûªs existing audio architect/engineer.
Ability to manage, update, modernize, & drive ownership of individual tests to the engineering test owners for the System Validation Test Plan used by the Business Notebook Team. This test plan is the lynch pin of both HW & Mechanical product development.
Work, Lead & Oversee debug and qualification activities for the Audio technology components that you own; coordinate between ODM, Audio codec or other sub suppliers, and other HP internal teams to complete root cause analysis and find acceptable product solutions under short time lines within the product development schedule. Drive those solutions across the multiple notebooks & tablets that will be implementing these same or similar audio technologies.
Will work with Architecture & RFQ team to select audio components and commodities based on analysis of specifications and reliability. Apply developed subject matter knowledge to solve common and complex technical solutions with in the established business guidelines and recommends appropriate alternatives.
Will work with Electrical & Audio Architectural engineers to investigate innovative & new technologies in the audio sub-system.
This person will need to work with a wide variety of component and system suppliers. We develop products with partners from around the world, so the ability to work well in a geographically dispersed team comprised of individuals from a variety of companies and cultures is critical to success in this role.
Qualifications
Qualifications
Bachelor's (undergraduate) degree/Master's (graduate) degree in electrical or electrical engineering or equivalent.
Target 3-5 years only, Experience in hardware/firmware development/testing methodologies with specific direct PC design and Audio experience. Audio engineering in Notebooks, mobile devices, and/or consumer electronics preferred.
Hands on experience working with board designs specifically implementation of audio subsystems and Audio PC architectural implementations ‰ÛÒ understand PCB layout and impedance requirements across multiple interfaces to allow both Analog & Digital Audio designs to be robust.
Requires working knowledge of in-circuit emulators, oscilloscopes, data line analyzers, and general debug/root cause analysis skills; in addition to knowledge of Windows / Linux operating systems.
Experience working with US Based & Overseas IC & Component suppliers; driving their teams through concept, development, & implementation phases on a devices life cycle
Candidates must have excellent organizational skills, professional oral and written communication skills, and a high level of interpersonal skills.
Must be a self-motivated team player with the ability to work in a customer oriented, very fast-paced, and demanding environment with minimal supervision.
Leadership qualities: Integrity, attention to detail, timeline sensitive, goal oriented
Ability to interface with all levels within the development organization and work with diverse virtual teams located in multiple locations around the world.
Occasional travel may be required to support development activities (domestic and international), target <10%
Job - Engineering
Primary Location - Taiwan-Taipei City-Taipei
Schedule - Full-time
Shift - Day Job
Travel - Yes, 25 % of the Time
Job Posting - Apr 12, 2016
EEO Tagline HP Inc. is EEO F/M/Protected Veteran/ Individual with Disabilities"
Firmware Test Lead,"Firmware Test Lead-1490666
Description
HP is a proven leader in personal systems and printing, delivering innovations that empower people to create, interact, and inspire like never before. We leverage our strong financial position to extend our leadership in traditional markets and invest in exciting new technologies.
HP has an impressive portfolio and strong innovation pipeline across areas such as:
blended reality technology - our unique Sprout by HP will change the way people do things
3D printing
multi-function printing
Ink in the office
tablets, phablets, notebooks
mobile workstations
We are looking for visionaries who are ready to make an impact on the way the world works. At HP, the future is yours to create!
If you are our Firmware Test Lead in India, Bangalore, you will have a chance to
Test Case Design Review and test case coverage and test strategy specific to the components owned by the team.
Preparation and review of test strategy for the teams and process improvement & enhancing productivity from technical.
Tracking the release quality (Technical) of test components owned by the team and automation for the assigned test modules/products
Evaluation and implementation of appropriate tools for testing (test tools and productivity tools)
Technical guidance to the team on component testing standards and improvements
Identifying and implementing new ideas/strategies/tools for the team and improving Quality of test cases owned by the teams
Strategy, design of effective functional Testing for a suite of products, using industry standard best processes and methodologies
Working with development team to reproduce defects and help in solving the defects as required.
Qualifications
Are you a high-performer? We are looking for an individual with:
At least 12 years of expertise in design and development of test automation framework/automation using C# and .NET technologies. Provide technical and strategic direction to the team.
Should be able to make continuous improvements to Test coverage, execution and automation and analyze current test gaps and address them. Lean Sigma/Green belt certification is a plus.
Excellent communication skills ‰ÛÒ within and outside of the teams, with customers ‰ÛÒ both horizontally and vertically, is important. Effective negotiation skills are very important too.
Analyzes competitive products and technologies and makes appropriate suggestions (may use demos, spocs) to influence product / technology direction
Should have strong domain knowledge in Imaging and Printing related technologies. Deep expertise in two or more workflows ‰ÛÒ printing, digital send, scanning, copying, fax
Hands on experiencing in translating business/customer requirements to test requirements and coming up with an effective test design and strategy.
Job - Engineering
Primary Location - India-Karnataka-Bangalore
Schedule - Full-time
Shift - Day Job
Job Posting - Mar 7, 2016
EEO Tagline HP Inc. is EEO F/M/Protected Veteran/ Individual with Disabilities"
