"jobs_title","jobs_requirement"
"Software Engineer -Sr at NEC America","Job Description
Summary -
GUI front end application developer - analyzes, designs, programs, debugs, and modifies software enhancements and/or new products used in local, networked, or Internet-related computer programs. Using current programming language and technologies, writes code, completes programming, and performs testing and debugging of applications. Completes documentation and procedures for installation and maintenance. May interact with users to define system requirements and/or necessary modifications.
Essential Duties and Responsibilities -
50% - Development, coding, testing and integration.
20% - Product architecture.
20% - Documentation, training and support.
10% - Requirement capture and analysis.
Prerequisites -
Education:
Bachelor’s degree in computer science or equivalent work experience.
Required experience
5 to 10 years’ experience in .NET development using Visual Studio
Strong GUI design and development skills required.
Strong programming knowledge, fluency in C# and solid understanding of OOP concepts
Experience with current .NET technologies such as WPF, WCF, and LINQ
Experience writing web services and/or Windows services
Good working knowledge of one or more databases (SQL Server, Oracle, MySQL), including SQL queries, stored procedures, and views
Strong technical documentation ability
Strong verbal communication skills and a demonstrated ability to work effectively in team-based development projects
Preferred Experience
Experience with developing UWP applications.
Experience with Blend for Visual Studio.
Experience with Team Foundation Server for release management and defect tracking.
Exposure to MVVM and MVVM frameworks.
Exposure to design patterns, unit testing, source code control, and agile development methods.
Certifications/Licenses:
Development related certification/s preferred.
Specialized Knowledge and Skills –
Language Skills:
Well spoken and written communication in English.
Mathematical Skills:
College level skill is required.
Reasoning Skills:
Very good reasoning, problem solving, and innovation skills required.
Computer/Tech. Skills:
Advanced knowledge and ability to use the software required, specifically Microsoft Office Applications (Word, Excel, Access, etc.), Microsoft Visual Studio, Microsoft Team Foundation Server etc.
ABOUT NEC CORPORATION OF AMERICA:
Headquartered in Irving, Texas, NEC is a leading provider of innovative IT, biometrics, network, and communications products and solutions for service carriers and Fortune 1000 and SMB businesses across multiple vertical industries, including healthcare, government, education, and hospitality. NEC delivers one of the industry's broadest portfolios of technology solutions and professional services, including unified communications, wireless, voice and data, managed services, server and storage infrastructure, optical network systems, microwave radio communications, and biometric security. NEC is a wholly owned subsidiary of NEC Corporation, a global technology leader with a presence in over 44 countries and more than $37.5 billion in revenue. For more information, please visit www.necam.com.
NEC Corporation of America and its subsidiaries is committed to the maximum utilization of all human resources and the goal of Equal Employment Opportunity/Affirmative Action. We provide equal opportunities to all employees and applicants for employment without regard to race, color, religion, national origin, sex, sexual orientation, age, marital status, disability, genetic characteristics, height, weight, arrest record pertaining to misdemeanors or status as a Vietnam era or special disabled veteran, or any other class protected by applicable federal, state or local laws.
EOE-Minorities/Females/Protected Veterans/Individuals with Disabilities"
"Government Contract Compliance Admin. at NEC America","Job Description
Summary
Responsible for government contracts and negotiation. Develops and maintains a compliance program for the company to ensure that business processes are compliant with contractual requirements and governmental entity procurement regulations. Serves as the primary point of contact to government agencies (e.g., DHS, DOJ, etc) regarding compliance requirements and audits.
Essential Duties and Responsibilities -
Primary role for contracts compliance and reporting.
Develops and maintains a compliance program for the company to ensure that business processes are compliant with contractual requirements and governmental entity procurement regulations.
Keeps current with government regulations, interpretations and newly developing topics concerning government regulations. Communicates changes to executive leadership and take a proactive approach to ensure compliance with those regulations.
Serves as the primary point of contact to government agencies (e.g., DHS, DOJ, etc) regarding compliance requirements and audits.
Secondary interface to Contracting Officers, Contractor Subcontract Administrator & Internal Procurement organization.
Performs contract tracking, analysis and reporting. Culls information from databases to create reports.
Contract performance monitoring, internal audit and compliance, DCAA audit support,
Supporting role for contract closeout process
Serves as primary customer interface for internal and external customers for compliance and reporting matters.
Handles GSA contracts, state procurement contracts, in conjunction with technology contracts.
Backup Contracts Administrator on government contracts.
Prerequisites -
Education: Bachelor’s degree
Experience:
6+ years related contract experience
Must have previous experience with: GSA eLibrary, GSA eOffer, GSA eBuy, GSA Advantage, GSA SIP 7, GSA VSC.
Experience analyzing statutory requirements and government procurement regulations.
Complete understanding and application of contract administration principles, concepts, practices and standards.
Direct experience related to proposal preparation, cost/price analysis, and government regulations.
Must be knowledgeable about adding, uploading and maintaining product and pricing, editing and modifying information as required to keep our GSA Schedule and State Master Contracts current.
Must be self-motivated and able to perform without constant direction.
Ability to work well under constantly changing deadlines and priorities.
Experience reading and understanding commercial contract clauses, flowdowns, and reporting requirements.
Specialized Knowledge and Skills -
Language Skills: Excellent oral and written communication skills, motivated, reliable, accurate, organized, and detail oriented.
Mathematical Skills: Basic knowledge
Reasoning Skills: Ability to evaluate options and arrive at solutions that support company
Computer and/or Technical Skills: Proficient with a number of computer tools, Word, Excel, PowerPoint and other databases.
ABOUT NEC CORPORATION OF AMERICA:
Headquartered in Irving, Texas, NEC is a leading provider of innovative IT, biometrics, network, and communications products and solutions for service carriers and Fortune 1000 and SMB businesses across multiple vertical industries, including healthcare, government, education, and hospitality. NEC delivers one of the industry's broadest portfolios of technology solutions and professional services, including unified communications, wireless, voice and data, managed services, server and storage infrastructure, optical network systems, microwave radio communications, and biometric security. NEC is a wholly owned subsidiary of NEC Corporation, a global technology leader with a presence in over 44 countries and more than $37.5 billion in revenue. For more information, please visit www.necam.com.
NEC Corporation of America and its subsidiaries is committed to the maximum utilization of all human resources and the goal of Equal Employment Opportunity/Affirmative Action. We provide equal opportunities to all employees and applicants for employment without regard to race, color, religion, national origin, sex, sexual orientation, age, marital status, disability, genetic characteristics, height, weight, arrest record pertaining to misdemeanors or status as a Vietnam era or special disabled veteran, or any other class protected by applicable federal, state or local laws.
EOE-Minorities/Females/Protected Veterans/Individuals with Disabilities"
"Software Engineer -Sr at NEC America","Job Description
Summary -
GUI front end application developer - analyzes, designs, programs, debugs, and modifies software enhancements and/or new products used in local, networked, or Internet-related computer programs. Using current programming language and technologies, writes code, completes programming, and performs testing and debugging of applications. Completes documentation and procedures for installation and maintenance. May interact with users to define system requirements and/or necessary modifications.
Essential Duties and Responsibilities -
50% - Development, coding, testing and integration.
20% - Product architecture.
20% - Documentation, training and support.
10% - Requirement capture and analysis.
Prerequisites -
Education:
Bachelor’s degree in computer science or equivalent work experience.
Required experience
5 to 10 years’ experience in .NET development using Visual Studio
Strong GUI design and development skills required.
Strong programming knowledge, fluency in C# and solid understanding of OOP concepts
Experience with current .NET technologies such as WPF, WCF, and LINQ
Experience writing web services and/or Windows services
Good working knowledge of one or more databases (SQL Server, Oracle, MySQL), including SQL queries, stored procedures, and views
Strong technical documentation ability
Strong verbal communication skills and a demonstrated ability to work effectively in team-based development projects
Preferred Experience
Experience with developing UWP applications.
Experience with Blend for Visual Studio.
Experience with Team Foundation Server for release management and defect tracking.
Exposure to MVVM and MVVM frameworks.
Exposure to design patterns, unit testing, source code control, and agile development methods.
Certifications/Licenses:
Development related certification/s preferred.
Specialized Knowledge and Skills –
Language Skills:
Well spoken and written communication in English.
Mathematical Skills:
College level skill is required.
Reasoning Skills:
Very good reasoning, problem solving, and innovation skills required.
Computer/Tech. Skills:
Advanced knowledge and ability to use the software required, specifically Microsoft Office Applications (Word, Excel, Access, etc.), Microsoft Visual Studio, Microsoft Team Foundation Server etc.
ABOUT NEC CORPORATION OF AMERICA:
Headquartered in Irving, Texas, NEC is a leading provider of innovative IT, biometrics, network, and communications products and solutions for service carriers and Fortune 1000 and SMB businesses across multiple vertical industries, including healthcare, government, education, and hospitality. NEC delivers one of the industry's broadest portfolios of technology solutions and professional services, including unified communications, wireless, voice and data, managed services, server and storage infrastructure, optical network systems, microwave radio communications, and biometric security. NEC is a wholly owned subsidiary of NEC Corporation, a global technology leader with a presence in over 44 countries and more than $37.5 billion in revenue. For more information, please visit www.necam.com.
NEC Corporation of America and its subsidiaries is committed to the maximum utilization of all human resources and the goal of Equal Employment Opportunity/Affirmative Action. We provide equal opportunities to all employees and applicants for employment without regard to race, color, religion, national origin, sex, sexual orientation, age, marital status, disability, genetic characteristics, height, weight, arrest record pertaining to misdemeanors or status as a Vietnam era or special disabled veteran, or any other class protected by applicable federal, state or local laws.
EOE-Minorities/Females/Protected Veterans/Individuals with Disabilities"
"Senior Business Development Manager - IDS at NEC America","Job Description
This is a road warrior position and is open to Home & Office based candidates.
NEC is looking for experienced public safety and convenience (PS&C) business development executives with solution sales skills in federal and state and city governments including critical infrastructure market. Public gathering areas such as transportation hubs, sports and other stadiums, airports, hotels and more are all within scope of Critical infrastructure market.
The candidate will promote solutions which use real-time or stored digital media assets (e.g. surveillance videos) and NEC’s cutting edge biometrics enabled identification, investigation, and monitoring technologies to enhance public safety and convenience. As solution sales executive, you will directly interact with customer, understand the “job to be done”, identify PS&C opportunities, understand their requirements, educate them on NEC solutions and work with NEC solution architects and solution engineers to offer and sell customized solutions and products. In this role it is essential that you are able to apply industry-specific knowledge and experience to bring new business opportunities.
Ideal candidate with have system’s integration and consulting sales background and has knowledge in video surveillance for critical infrastructure market and biometrics applications including facial recognition. Public and private could implementation background knowledge is also a plus.
Candidate also has proved ability to identity the correct C-level executives in the target market and engage with in a business development and requirements gathering process and create a win-win business case for pursuit of a solution implementation that would enhance the end user’s capabilities as well as promote NEC’s systems integration revenue and profits.
Additional Responsibilities:
Cover US territory to drive new sales and enhance current product and solution sales
Establish key targets in key areas and implement, as necessary, creative ways to reach these new customers and opportunities
Work with other system integrators, partners and technology providers
Evangelize PS&C solutions, network with C-level executives to promote these solutions
Meet annual sales revenue quotas
Experience
5+ years of experience selling solutions to city, state, federal government and critical infrastructure industry is required
Knowledge of biometrics based identification, investigation and intelligence solution preferred
Experience in private and public could implementations is also preferred
Experience selling consulting services and systems integration work is required
Strong leadership, interpersonal and communications skills required
Proven track record of breaking into new markets and building a pipeline
Proved record of interacting with key decision markets at target accounts and closing deals
Prior experience in tier-one system integration companies a plus
Experience selling video analytics, video surveillance, and biometrics solutions a plus
Selling experience in a high-technology market a plus
Education
MBA degree preferred
Location/Travel:
Position is in California
Extensive travel is required
ABOUT NEC CORPORATION OF AMERICA:
Headquartered in Irving, Texas, NEC is a leading provider of innovative IT, biometrics, network, and communications products and solutions for service carriers and Fortune 1000 and SMB businesses across multiple vertical industries, including healthcare, government, education, and hospitality. NEC delivers one of the industry's broadest portfolios of technology solutions and professional services, including unified communications, wireless, voice and data, managed services, server and storage infrastructure, optical network systems, microwave radio communications, and biometric security. NEC is a wholly owned subsidiary of NEC Corporation, a global technology leader with a presence in over 44 countries and more than $37.5 billion in revenue. For more information, please visit www.necam.com.
NEC Corporation of America and its subsidiaries is committed to the maximum utilization of all human resources and the goal of Equal Employment Opportunity/Affirmative Action. We provide equal opportunities to all employees and applicants for employment without regard to race, color, religion, national origin, sex, sexual orientation, age, marital status, disability, genetic characteristics, height, weight, arrest record pertaining to misdemeanors or status as a Vietnam era or special disabled veteran, or any other class protected by applicable federal, state or local laws.
EOE-Minorities/Females/Protected Veterans/Individuals with Disabilities"
"Technical Trainer at NEC America","Job Description
The Technical Trainer organizes, conducts, and evaluates training programs for Biometrics customers at customer sites. Selects or creates materials and appropriate delivery methods for programs on NEC AFIS / MBIS / Mobile ID and Facial Recognition products. Maintain customer technical supports using websites, emails and phone calls. Operates under moderate supervision on moderately complex projects.
Responsibilities-
Preparing test plans
Testing products prior to training
Providing onsite training
Customer service
Essential Requirements-
Experience as a tenprint and/or latent examination
Experience training large groups
Exerience with NEC Biometrics products
Polished written and verbal communication skills
Detail oriented with high level of motivation and drive
ABOUT NEC CORPORATION OF AMERICA:
Headquartered in Irving, Texas, NEC is a leading provider of innovative IT, biometrics, network, and communications products and solutions for service carriers and Fortune 1000 and SMB businesses across multiple vertical industries, including healthcare, government, education, and hospitality. NEC delivers one of the industry's broadest portfolios of technology solutions and professional services, including unified communications, wireless, voice and data, managed services, server and storage infrastructure, optical network systems, microwave radio communications, and biometric security. NEC is a wholly owned subsidiary of NEC Corporation, a global technology leader with a presence in over 44 countries and more than $37.5 billion in revenue. For more information, please visit www.necam.com.
NEC Corporation of America and its subsidiaries is committed to the maximum utilization of all human resources and the goal of Equal Employment Opportunity/Affirmative Action. We provide equal opportunities to all employees and applicants for employment without regard to race, color, religion, national origin, sex, sexual orientation, age, marital status, disability, genetic characteristics, height, weight, arrest record pertaining to misdemeanors or status as a Vietnam era or special disabled veteran, or any other class protected by applicable federal, state or local laws.
EOE-Minorities/Females/Protected Veterans/Individuals with Disabilities"
"Software QA Engineer at NEC America","Job Description
Retail Solutions - This position is responsible for creating and maintaining QA software products. This position requires a highly competent, results oriented, self-directed software testing professional focused on high-performing and highly-reliable software solutions. ESU SDS - Responsible for creating and maintaining QA software for NECAM Identification Solutions Division products. This position requires a highly competent, results oriented, self-directed software testing professional focused on high-performing and highly-reliable software solutions. Mobile Communications- Responsible for testing mobile wireless devices and related accessories according to test plans and/or test procedures to verify that the device(s) meet product specifications, industry standards as well as customer requirements. The position requires involvement with all aspects of development including reviews, product evaluations and analysis of captured log files. These duties require interfacing with Developers, Testers and other members of the project team. This position requires a highly competent, results oriented and self-directed software testing professional.
ABOUT NEC CORPORATION OF AMERICA:
Headquartered in Irving, Texas, NEC is a leading provider of innovative IT, biometrics, network, and communications products and solutions for service carriers and Fortune 1000 and SMB businesses across multiple vertical industries, including healthcare, government, education, and hospitality. NEC delivers one of the industry's broadest portfolios of technology solutions and professional services, including unified communications, wireless, voice and data, managed services, server and storage infrastructure, optical network systems, microwave radio communications, and biometric security. NEC is a wholly owned subsidiary of NEC Corporation, a global technology leader with a presence in over 44 countries and more than $37.5 billion in revenue. For more information, please visit www.necam.com.
NEC Corporation of America and its subsidiaries is committed to the maximum utilization of all human resources and the goal of Equal Employment Opportunity/Affirmative Action. We provide equal opportunities to all employees and applicants for employment without regard to race, color, religion, national origin, sex, sexual orientation, age, marital status, disability, genetic characteristics, height, weight, arrest record pertaining to misdemeanors or status as a Vietnam era or special disabled veteran, or any other class protected by applicable federal, state or local laws.
EOE-Minorities/Females/Protected Veterans/Individuals with Disabilities"
"Senior Solutions Architect at NEC America","Job Description
Provides technical expertise to account teams, assisting in building solutions to address specific customer needs. In this position, the individual works to position and promote NEC MBIS biometrics solutions, public safety solutions, security, surveillance and other NEC services and solutions effectively against competing offerings. Sales skills and experience are also important.Effectively communicates at multiple levels across functions within Customers (may include State, Local Governments and Federal agencies), and internal business units. Provides mentoring and coaching to new Solution Engineers (SE) and as time permits create whitepapers/training materials/tech notes for the SE sales force. Should work closely with sales team, solution engineering team, solution development team, implementation and delivery team to customize and deliver solutions to federal, local state/county customers.
Should have experience in federal solution architecture, design, customization, technical sales, and support. Must have proven ability to manage large government solutions, experience in biometrics solution promotion, architecture, and deployment. Should have proven experience in federal bid response preparation, business requirement gathering, solution design consulting, system design, configuration and deployment.
Knowledge of designing complex transactional software systems, biometrics technology, large scale identification system for civil, investigation and forensic agencies is requried
Experience and knowledge in software engineering, Java,.NET,C#/C++ languages, JBOSS, Message Queues, biometrics algorithms/technologies, Oracle/MS SQL database, Linux/Windows operating systems, SAN storage, solution modeling and software design tools.
At least ten years of relevant experience and a bachelor degree is required. IEEE CBP or equivalent certification in biometrics technology is preferred.
Applicant should be US citizen with capability to get security clearance in federal agencies.
ABOUT NEC CORPORATION OF AMERICA:
Headquartered in Irving, Texas, NEC is a leading provider of innovative IT, biometrics, network, and communications products and solutions for service carriers and Fortune 1000 and SMB businesses across multiple vertical industries, including healthcare, government, education, and hospitality. NEC delivers one of the industry's broadest portfolios of technology solutions and professional services, including unified communications, wireless, voice and data, managed services, server and storage infrastructure, optical network systems, microwave radio communications, and biometric security. NEC is a wholly owned subsidiary of NEC Corporation, a global technology leader with a presence in over 44 countries and more than $37.5 billion in revenue. For more information, please visit www.necam.com.
NEC Corporation of America and its subsidiaries is committed to the maximum utilization of all human resources and the goal of Equal Employment Opportunity/Affirmative Action. We provide equal opportunities to all employees and applicants for employment without regard to race, color, religion, national origin, sex, sexual orientation, age, marital status, disability, genetic characteristics, height, weight, arrest record pertaining to misdemeanors or status as a Vietnam era or special disabled veteran, or any other class protected by applicable federal, state or local laws.
EOE-Minorities/Females/Protected Veterans/Individuals with Disabilities"
"Software Dev Engineer at NEC America","Job Description
Summary -
Analyzes, designs, programs, debugs, and modifies software enhancements and/or new products used in biometric solutions. Code may be used in end-user applications, such as Integra-ID Web Archive or Integra-ID Biometrics workstation. Using current programming language and technologies, writes code, completes programming, and performs testing and debugging of applications. Completes documentation and procedures for installation and maintenance. May interact with users to define system requirements and/or necessary modifications.
Essential Duties and Responsibilities -
50% Development, coding, testing and integration.
20% Product architecture.
20% Documentation, training and support.
10% Requirement capture and analysis.
Prerequisites -
Education: Bachelors Degree in Computer Science or related field required.
Experience: Five to ten years in software engineering
Certifications, Licenses, etc: Familiar with .NET Framework and fluent in C# programming language
Computer and/or Technical Skills: Knowledge of operating systems such as Windows. Knowledge of databases like MS-SQL, Oracle.
Ability to perform advanced programming in languages such as C, C++, JAVA, Visual Basic, Visual C++, Oracle PL/SQL, C#, ASP.NET.
ABOUT NEC CORPORATION OF AMERICA:
Headquartered in Irving, Texas, NEC is a leading provider of innovative IT, biometrics, network, and communications products and solutions for service carriers and Fortune 1000 and SMB businesses across multiple vertical industries, including healthcare, government, education, and hospitality. NEC delivers one of the industry's broadest portfolios of technology solutions and professional services, including unified communications, wireless, voice and data, managed services, server and storage infrastructure, optical network systems, microwave radio communications, and biometric security. NEC is a wholly owned subsidiary of NEC Corporation, a global technology leader with a presence in over 44 countries and more than $37.5 billion in revenue. For more information, please visit www.necam.com.
NEC Corporation of America and its subsidiaries is committed to the maximum utilization of all human resources and the goal of Equal Employment Opportunity/Affirmative Action. We provide equal opportunities to all employees and applicants for employment without regard to race, color, religion, national origin, sex, sexual orientation, age, marital status, disability, genetic characteristics, height, weight, arrest record pertaining to misdemeanors or status as a Vietnam era or special disabled veteran, or any other class protected by applicable federal, state or local laws.
EOE-Minorities/Females/Protected Veterans/Individuals with Disabilities"
"Support Technician at NEC America","Job Description
Analyzes software issues and provides technical support to resolve for customers in JAPAN such as field engineers, system engineers, and product support who diagnose, troubleshoot, and debug complex database related systems. Install, setup and maintain physical and virtual testing environments and its documentation.
BS degree in Information Technology, Computer Science or equivalent.
Solid knowledge of Unix/Linux or Windows.
Business level fluency in Japanese and English language.
ABOUT NEC CORPORATION OF AMERICA:
Headquartered in Irving, Texas, NEC is a leading provider of innovative IT, biometrics, network, and communications products and solutions for service carriers and Fortune 1000 and SMB businesses across multiple vertical industries, including healthcare, government, education, and hospitality. NEC delivers one of the industry's broadest portfolios of technology solutions and professional services, including unified communications, wireless, voice and data, managed services, server and storage infrastructure, optical network systems, microwave radio communications, and biometric security. NEC is a wholly owned subsidiary of NEC Corporation, a global technology leader with a presence in over 44 countries and more than $37.5 billion in revenue. For more information, please visit www.necam.com.
NEC Corporation of America and its subsidiaries is committed to the maximum utilization of all human resources and the goal of Equal Employment Opportunity/Affirmative Action. We provide equal opportunities to all employees and applicants for employment without regard to race, color, religion, national origin, sex, sexual orientation, age, marital status, disability, genetic characteristics, height, weight, arrest record pertaining to misdemeanors or status as a Vietnam era or special disabled veteran, or any other class protected by applicable federal, state or local laws.
EOE-Minorities/Females/Protected Veterans/Individuals with Disabilities"
"Account Mgr- Entp. Sales at NEC America","Job Description
Summary -
Responsible for the overall relationship between NEC and its Customers, managing all facets of the business relationship and marshalling the Company resources necessary to achieve a high degree of customer satisfaction. Responsible for constantly seeking new customers and expanding the business relationship with existing customers. Responsible for uncovering, qualifying, defining, proposing and closing new sales orders in line with the Company’s business objectives and within profitability guidelines established by the Company. Responsible for achieving assigned sales quota.
Essential Duties and Responsibilities -
75% Performs sales activities for an assigned geographic area or product/service line to achieve or exceed assigned revenue objectives.
- Contacts and visits prospective customers to determine needs.
- Creates and performs sales presentations to match company's products/services with identified needs.
- Sells products/services through face-to-face contact.
- Remains knowledgeable of company's products/services to facilitate sales efforts.
- Maintains sales records and prepares sales reports as required.
- Responsible for extremely complex and difficult to close sales.
25% Maintains regular contact with customers to ensure satisfaction.
- Maintains a regular schedule of contact via phone/on-site visits.
- Alerts client to new or improved products/services.
- Develops and maintains relationships with clients.
- Relays client feedback to product development staff.
Extensive travel required.
Prerequisites -
Education:
Bachelor’s degree
Experience:
6+ years experience in Solution Sales in the IT Industry. Technology focus experience is very helpful in the Unified Communications, Data Center, Security and Wireless fields. Knowledge of NEC Products, Cisco and Dell are encouraged as well as sales in Professional Services and Remote Managed Services.
Specialized Knowledge and Skills -
Language Skills:
Effective communication and interpersonal skills.
Professional appearance and presentation required.
Mathematical Skills:
Reasoning Skills:
Computer and/or Technical Skills:
Excellent knowledge of company's products/services and pricing practices. Excellent selling skills. PCs and various software applications. Heavy telephone usage.
Work Environment and Physical Demands -
General Work Environment:
General office environment (at NEC and at customer sites).
Noise:
Standing/Lifting:
Visual:
Stress:
High levels of stress may occur at times.
Travel:
Extensive travel required.
Supervisory Responsibility, if any:
This position has no supervisory responsibilities.
ABOUT NEC CORPORATION OF AMERICA:
Headquartered in Irving, Texas, NEC is a leading provider of innovative IT, biometrics, network, and communications products and solutions for service carriers and Fortune 1000 and SMB businesses across multiple vertical industries, including healthcare, government, education, and hospitality. NEC delivers one of the industry's broadest portfolios of technology solutions and professional services, including unified communications, wireless, voice and data, managed services, server and storage infrastructure, optical network systems, microwave radio communications, and biometric security. NEC is a wholly owned subsidiary of NEC Corporation, a global technology leader with a presence in over 44 countries and more than $37.5 billion in revenue. For more information, please visit www.necam.com.
NEC Corporation of America and its subsidiaries is committed to the maximum utilization of all human resources and the goal of Equal Employment Opportunity/Affirmative Action. We provide equal opportunities to all employees and applicants for employment without regard to race, color, religion, national origin, sex, sexual orientation, age, marital status, disability, genetic characteristics, height, weight, arrest record pertaining to misdemeanors or status as a Vietnam era or special disabled veteran, or any other class protected by applicable federal, state or local laws.
EOE-Minorities/Females/Protected Veterans/Individuals with Disabilities"
