title,requirement
SRM Portal Consultant,
Lead Engineer - Functional Programming,
Tester 2,
Tester 3,
Linux Systems Administrator,"Linux Systems Administrator All times are in Eastern Daylight Time. Resource Request ID 2015-144580 Country - State/Province - City IN-TN-Chennai Posted Date 1/20/2016 Category Information Technology - Infrastructure Architecture More information about this job: Overview: At NTT DATA, we know that with the right people on board, anything is possible. The quality, integrity, and commitment of our employees have been key factors in our companyâ€™s growth and market presence. By hiring the best people and helping them grow both professionally and personally, we ensure a bright future for NTT DATA and for the people who work here. A group company within NTT DATA currently seeks a â€œLinux Systems Administrator â€ù to join our team in â€œGurgaonâ€ù. Position Functions or Responsibilities: Role and Responsibilities: Manage and Administer a complex multi-vendor cloud architecture that includes a variety of Linux based solutions and services. Although the role is primarily as a Systems Administrator it also leans towards Development Operations as well. The role involves reporting to the Managed Services manager. Responsibilities: Ensure Linux environments hosted on NTT Enterprise cloud and AWS Service are running properly and readily available. Creation of new Test and UAT environments as per project requirements. Generating management reports from multiple tools like AWS CloudWatch and JBoss operations Network. Managing ForgeRock LDAP infrastructure. Working closely with the development and support team to ensure development environment issues are resolved quickly and the CI process is not interrupted. Perform the role of project engineer to deliver new environments when needed. Actively partake in the release management process to deploy new solution to UAT, OAT and Production environment and providing detailed feedback on deployments. Work closely with offshore team to manage private cloud infrastructure. Validating backup and recovery operations are functioning properly and performing periodic recovery test. Skill & Experience: Strong Knowledge of Linux (RHEL will be advantageous) Strong Knowledge of LDAP (Open LDAP or ForgeRock Open DJ) Strong understanding of Oracle and PostgreSQL database environment requirements. Demonstrable exposure to management of Java Enterprise applications hosting environments. Any exposure to administering environment with JAVA Enterprise Application Servers like Red Hat JBoss would be advantageous Experience in Administering Linux Environment with BIND installed would be advantageous. Experience of working within a Managed Services team with off-shore capabilities. Knowledge of Windows Operating Systems would be advantageous Demonstrable knowledge and experience to public and private cloud architectures especially AWS is essential. Linux Certifications Educated to degree level or equivalent, or an equivalent level of experience. Demonstrable experience of working with ITIL v3 or similar managed service framework. Ability to work as part of a project delivery team while performing administrative duties Ability to communicate effectively with project teams. Extremely Strong problem solving skills. Previous experience of managing complex environments. Conversant with best practice methodologies in their area of expertise, and able to take a pragmatic approach to their practical application. Exposure to Continuous Integration techniques and managing CI environment will be advantageous Basic Qualifications: This is a full-time salaried position with a group company within NTT DATA. Please note, 1099 or corp-2-corp contractors will NOT be considered. This position is only available to those interested in direct staff employment opportunities. We offer a full comprehensive benefits package that starts from your first day of employment. About NTT DATA NTT DATA is your Innovation Partner anywhere around the world. With business operations in more than 35 countries, we put emphasis on long-term commitment and combine global reach and local intimacy to provide premier professional services from consulting, system development, business process and IT outsourcing to cloud-based solutions. Visit www.nttdata.com/americas to learn how our consultants, projects, managed services, and outsourcing engagements deliver value for a range of businesses and government agencies. The Company is an equal opportunity employer and makes employment decisions on the basis of merit and business needs. The Company will consider all qualified applicants for employment without regard to race, color, religious creed, citizenship, national origin, ancestry, age, sex, sexual orientation, genetic information, physical or mental disability, veteran or marital status, or any other class protected by law. To comply with applicable laws ensuring equal employment opportunities to qualified individuals with a disability, the Company will make reasonable accommodations for the known physical or mental limitations of an otherwise qualified individual with a disability who is an applicant or an employee unless undue hardship to the Company would result. Options: Apply for this job onlineApply Share Refer this job to a friendRefer Share on your newsfeed (function() { var ac = document.createElement('script'); ac.type = 'text/javascript'; ac.src = ('https:' == document.location.protocol ? 'https://' : 'http://') + 'pixel.appcast.io/pixels/icims-1314.js?ent=0&t=' + new Date().getTime(); var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(ac, s); })(); Go back to the welcome page Application FAQs Software Powered by iCIMS www.icims.com"
SQA TL - .Net Technology,
Technical Trainer - Java,
Bilingual_Project_Manager,
Bilingual_Project_Manager,
Java Architect,"Java Architect All times are in Eastern Daylight Time. Resource Request ID 2015-140316 Country - State/Province - City IN-KA-Bangalore Posted Date 12/2/2015 Category Information Technology - Architecture More information about this job: Overview: At NTT DATA, we know that with the right people on board, anything is possible. The quality, integrity, and commitment of our employees have been key factors in our companyâ€™s growth and market presence. By hiring the best people and helping them grow both professionally and personally, we ensure a bright future for NTT DATA and for the people who work here. A group company within NTT DATA currently seeks a â€œJava Architectâ€ù to join our team in â€œBangaloreâ€ù. Position Functions or Responsibilities: Looking for candidates with 7-10 yrs of experience in Core Java & J2ee. Should have good experience in Portal architecture, Web architecture, Service Oriented architecture. Must have good knowledge in OOAD. Should have excellent communication and presentation skill. Basic Qualifications: This is a full-time salaried position with a group company within NTT DATA. Please note, 1099 or corp-2-corp contractors will NOT be considered. This position is only available to those interested in direct staff employment opportunities. We offer a full comprehensive benefits package that starts from your first day of employment. About NTT DATA NTT DATA is your Innovation Partner anywhere around the world. With business operations in more than 35 countries, we put emphasis on long-term commitment and combine global reach and local intimacy to provide premier professional services from consulting, system development, business process and IT outsourcing to cloud-based solutions. Visit www.nttdata.com/americas to learn how our consultants, projects, managed services, and outsourcing engagements deliver value for a range of businesses and government agencies. The Company is an equal opportunity employer and makes employment decisions on the basis of merit and business needs. The Company will consider all qualified applicants for employment without regard to race, color, religious creed, citizenship, national origin, ancestry, age, sex, sexual orientation, genetic information, physical or mental disability, veteran or marital status, or any other class protected by law. To comply with applicable laws ensuring equal employment opportunities to qualified individuals with a disability, the Company will make reasonable accommodations for the known physical or mental limitations of an otherwise qualified individual with a disability who is an applicant or an employee unless undue hardship to the Company would result. Options: Apply for this job onlineApply Share Refer this job to a friendRefer Share on your newsfeed Loading... (function() { var ac = document.createElement('script'); ac.type = 'text/javascript'; ac.src = ('https:' == document.location.protocol ? 'https://' : 'http://') + 'pixel.appcast.io/pixels/icims-1314.js?ent=0&t=' + new Date().getTime(); var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(ac, s); })(); Go back to the welcome page Application FAQs Software Powered by iCIMS www.icims.com"
