"jobs_title","jobs_requirement"
"Supportspecialist First Line - Avgifter","About us
Vill du jobba för ett företag som både utmanar och bryr sig om? Välkommen till Tieto! Vi brinner för att utveckla både våra kunders verksamhet och samhället genom IT. Vi tror på individens förmåga att tillsammans med andra åstadkomma detta genom att aktivt uppmuntra självständigt tänkande och handlande.
Har du intresse för teknik och trivs med att lösa problem? Är du en ansvarstagande och driven person som vill utvecklas i jobbet? Då kanske detta är något för dig!
Vi arbetar i team och behöver nu förstärkning av dig som vill anta utmaningen som Supportspecialist inom området Welfare där vi ansvarar för support av Procapita- Lifecare Vård och Omsorg med integrerande system.
With us you will be responsible for
Ditt fokus blir att tillsammans med övrig supportpersonal vägleda de kunder som använder våra lösningar. Arbetsuppgifterna är i första hand verksamhetssupport och problemlösningar i kundernas olika driftsmiljöer samt utredningsarbeten runt frågor som rör våra verksamhetssystem och dess integrationer. Du jobbar i team med våra programutvecklare där Du som har nära kontakt med kunden har en viktig roll i nyutveckling av Procapita-Lifecare samt får möjlighet att testa nya funktioner innan de går ut till leverans.
Vi själva tycker att arbetet hos oss är både roligt och utvecklande och vi välkomnar dig som vill använda din tidigare erfarenhet på nya områden.
We expect you to have
• Flytande i tal och skrift på engelska och svenska
• Verksamhetskunskap från Socialtjänsten
• Erfarenhet av Procapita-Lifecare Vård och Omsorg - framförallt Procapita Avgifter och SOL. Gärna erfarenhet att jobba med ekonomisystem som integrerar mot Procapita
• Erfarenhet av tidigare arbete med Verksamhetssupport
• Goda kunskaper i Windows
• God prioriteringsförmåga, är social, driftig och analytisk
• Förmåga kunna skapa och hålla en god relation med de kundkontakter du möter
As a person you are
Vi söker dig som har ett genuint intresse för verksamhetsfrågor och som vill veta och förstå hur allt hänger ihop. Du är en engagerad och öppen lagspelare som älskar att ge hög service till våra kunder. Du är självständig, utåtriktad, gärna teknisk och trivs med att ständigt lära dig nya saker.
We offer
Vi erbjuder dig en chans att göra skillnad och vara en del av vår utveckling av nya affärer och ny teknik. Dessutom erbjuder vi dig en utmanande position med stora möjligheter till professionell utveckling. Hos oss kommer du att ha möjlighet att direkt påverka din karriärutveckling. Om du har en bra idé, kommer folk att lyssna på dig. Vi tror att förtroende främjar frihet och kreativitet. Vår kultur bygger på öppenhet och aktiv samverkan. Du kommer bli en del av ett team som präglas av öppenhet och genuint engagemang."
"Sales manager Cards and Retail Payments solutions to Financial Services Customers (South Africa)","About us
Are you motivated by challenge? Are you interested in IT innovation and trends? Do you have a passion for business and specifically within the financial sector? Then you might be the person we’re looking for.
Our services and solutions help our customers to transform business through IT. We provide full IT life-cycle services like consulting, system integration, application management and development, outsourcing, hosting and industry specific packaged solutions including core banking, payments, e-banking, cards, retail payments, capital markets and wealth. Our digital multichannel customer services like front-end and mobility provide a solid platform for growth efficiently in the competitive financial services industry
Some of our Banking key customers include major banks and financial institutions across the Nordics and in Europe, but we also work with niche customers, serving different banking customers.
Our product offering in Cards and Retail Payments are sold globally and delivered to leading Financial Services companies worldwide.
We are now expanding our business within Financial Services and would like to strengthen our team with a Sales Manager that will increase our sales of Managed Services towards the financial services customers in South Africa and Sub-Sahara Africa.
With us you will be responsible for
As Sales Manager you will be a part of the “hunter team” in the Tieto Financial Services Industry Group. Your challenge will be to sell our Cards and Retail Payments solutions to the financial services market. Already today we have a broad base with customers but we want to grow further and also see a big potential in the market. We are searching for a person who will help us growing the number of new clients within Retail Banks, 3rd party processors, Payment Service Providers, central payment processing institutions.
Your responsibilities are:
• Leading Cards and Retail Payments Solutions Sales which includes setting of sales plans, objectives and strategies along with tracking of sales performance
• Define and execute the growth strategy, create demand and solutions
• Create and build relations with new suspects with goal to convert them to leads and eventually into customers for Tieto provided solutions and services
• Build partnerships with integrators and partners who would include Tieto products in their product or service offering
• Work in tight co-operation with the Product owners, customer teams, delivery management, and other internal partners and suppliers
• Represent Tieto and Tieto offering in conferences, industry related events and meetings with customers and partners
• Measures in the role are contract value, external revenue and profitability.
We expect you to have
• At least 5 years’ experience of sales in a business-to-business environment, with solutions related to Financial products in area of cards, payments, retail banking. You have a good understanding of Financial services, trends and solutions in this area, as well as how solutions will help our customers, both from a business and technical perspective.
• Experience in the finance sector. Understanding our customers’ industry and core processes are of high value in this role
• Track record of closing deals
• You have convincing presentation and value proposition articulation skills
• You are able to inspire both your team and the customer to envision the future possibilities that our solutions can deliver
• An academically degree or similar competence
• Fluent English language skills, both orally and written
• Ability to go to business trips
As a person you are
Ideally you would have strong experience in the finance Industry area. Most importantly, you have a track record of transforming opportunities into results.
You’re an innovator with a challenger attitude. You have the capacity to challenge and inspire both your team and the customer to envision the future possibilities that our solutions can deliver.
We offer
We offer you a possibility to make some of your most interesting business in your career, working with our first class global products and solutions. You will work in an environment with highly skilled colleagues meaning you will also learn a lot while doing the sales to customers.
With Tieto you will have the chance to make a difference, we embrace those persons who want to walk the extra mile and are ready in trying new ways of reaching the results. You will have opportunities to create new IT solutions, services and products that benefit not just your customers’ businesses but all of society."
"3-5 years Automation Tester","About us
We in Consulting and System Integration are a strong and highly experienced global team. Our 4,000 professionals work with customers across a wide range of industries. Our aim is to be the preferred digitalization partner for our customers, enabling them to solve their most critical business challenges, improve performance and gain competitive edge.
With us you will be responsible for
• Creation and maintenance of Automation suit.
• Execution of Regression suit during Release cycles, analyzing results and logging defects whenever needed.
• Understanding the regression scenarios from manual resource and designing reusable business components.
• Discussion of feasibility of Automation and estimation calculations.
• Building guidelines for standard coding practices for the project to help new joiners to raise till bar.
We expect you to have
• Strong knowledge of Automation tool UFT/QTP(Versions 11 & above)
• Strong knowledge of VB Script
• Well versed with different automation frameworks
• Responsible for creating/ updating automation scripts
• Design and develop automation test scripts for regression
• Maintain automation test scripts and updating them with application changes
Good To Have :
• Programming experience (OO languages like Java)
• Automation of windows based application built on Java
• Knowledge of VBA
• Knowledge of HP Quality Center and JIRA.
As a person you are
• Strong verbal and written communication skills to communicate with both technical and non-technical audiences
• Ability to grasp the business and technical knowledge
• Exposure of working in offshore/onsite model
• Ability to work independently, Self-Driven and ambitious
• Can start work with minimum information and proactively gain knowledge
• Good networking and communication skills
• Willing to do all the tasks irrespective of the competence areas if and as the delivery demands.
We offer
• Permanent working contract
• Challenging job
• Multinational company environment, English use on daily basis
• Trainings, technical courses, certifications and English lessons
• Career path and personal growth"
"IT Support Specialist (Danish language)","About us
Tieto has been helping to change ideas into reality for the past 30 years. We are looking to grow our Estonian Service Desk team with people, eye on the future and desire to develop themselves. We are following ITIL processes, what ables our professionals to deliver high quality services to all our customers.
With us you will be responsible for
Offering Danish language based 1st level IT Support services to our customers, solving IT related questions and administrate and update necessary databases.
We expect you to have
Ability to learn our customer's business logics and technical environment. Have very good Danish language skills, both spoken and written. Previous working experience and/or education in IT support area. Experience in computer skills.
As a person you are
Solution oriented and have the ability to prioritize your tasks. A good listener with a positive attitude and willingness to learn and share knowledge.
We offer
Opportunity to change people's lives (including your own). Profound training program. Professional and international teams. Participation in international projects. Different bonuses and motivation packages from our Compensation & Benefit portfolio."
"IT Support Specialist (Finnish language)","About us
Tieto has been helping to change ideas into reality for the past 30 years. We are looking to grow our Estonian Service Desk team with people, eye on the future and desire to develop themselves. We are following ITIL processes, what ables our professionals to deliver high quality services to all our customers.
With us you will be responsible for
+ Offering Finnish language based I-level IT support services to our customers.
+ Solving IT related questions.
+ Administrating and updating necessary databases.
We expect you to have
To be successful in your work, you need to:
+ Know our customer’s businesses logics and technical environment.
+ Have very good Finnish language skills (both spoken and written).
+ Be an experienced computer user.
+ Have previous working experience and/or education in IT support area.
+ Have solution oriented mindset and ability to prioritize your tasks.
+ Be a good listener with a positive attitude.
As a person you are
Solution oriented and have the ability to prioritize your tasks. A good listener with a positive attitude and willingness to learn and share knowledge.
We offer
+ Opportunity to change people’s lives, including your own!
+ Profound training program.
+ Take part in international projects.
+ Professional and international teams.
+ Different bonuses and motivation packages from our Comp&Ben portfolio."
"IT Support Specialist (Swedish language)","About us
Tieto has been helping to change ideas into reality for the past 30 years. We are looking to grow our Estonian Service Desk team with people, eye on the future and desire to develop themselves. We are following ITIL processes, what ables our professionals to deliver high quality services to all our customers.
With us you will be responsible for
Offering Swedish language based 1st level IT Support services to our customers, solving IT related questions and administrate and update necessary databases.
We expect you to have
Ability to learn our customer's business logics and technical environment. Have very good Swedish language skills, both spoken and written. Previous working experience and/or education in IT support area. Experience in computer skills.
As a person you are
Solution oriented and have the ability to prioritize your tasks. A good listener with a positive attitude and willingness to learn and share knowledge.
We offer
Opportunity to change people's lives (including your own). Profound training program. Professional and international teams. Participation in international projects. Different bonuses and motivation packages from our Compensation & Benefit portfolio."
"IT Support Specialist (Norwegian language)","About us
Tieto has been helping to change ideas into reality for the past 30 years. We are looking to grow our Estonian Service Desk team with people, eye on the future and desire to develop themselves. We are following ITIL processes, what ables our professionals to deliver high quality services to all our customers.
With us you will be responsible for
Offering Norwegian language based 1st level IT Support services to our customers, solving IT related questions and administrate and update necessary databases.
We expect you to have
Ability to learn our customer's business logics and technical environment. Have very good Norwegian language skills, both spoken and written. Previous working experience and/or education in IT support area. Experience in computer skills.
As a person you are
Solution oriented and have the ability to prioritize your tasks. A good listener with a positive attitude and willingness to learn and share knowledge.
We offer
Opportunity to change people's lives (including your own). Profound training program. Professional and international teams. Participation in international projects. Different bonuses and motivation packages from our Compensation & Benefit portfolio."
"Business Objects Developer / Consultant","About us
Tieto is looking for Senior BO consultant, with around 5 years’ experience in designing BO reports
With us you will be responsible for
Understanding client requirement & data model develop Universe from the scratch using BO Universe Designer. Suggest changes in Data model as and when required.
Expertise in Customizing/designing and troubleshooting BO reports
Perform end to end Performance tuning of Business Objects reports including universe and database performance tuning.
Design and Hands on development from simple to complex webi reports.
Carry out Unit Testing of Business Objects reports and universe.
Enhance the Presentation of Data in Reports, Format Reports, Calculate Data with Formulas and Variables, Use Multiple Data Sources, Analyze Data.
Should have good knowledge on BO Admin
Well versed with other BO tools like Translation Manager , Design Studio , Explorer etc.
Strong BI and DWH concepts
We expect you to have
• Should have around 5 years experience in Business Objects
• Well versed with other BO tools like Translation Manager , Design Studio , Explorer etc.
• Strong BI and DWH concepts
• Good to have Teradata experience
• Good understanding of business and operational processes
• Capable of Problem / issue resolution, capable of thinking out of the box
As a person you are
Guiding team on technical front
Strong work ethic, Ability to work independently and collaborate with multiple (including virtual) teams. Excellent oral and written communication skills.
We offer
Excellent Open Culture Environment"
"Service Desk Specialist","About us
Tieto is looking for Critical Incident Manager and Service Desk Specialist for European customers at Pune Delivery Centre.
With us you will be responsible for
Executing the ServiceDesk, Problem, Release, Incident Management process tasks in adherence Tieto and Project standard.
Coordinating and managing the Incident Management process activities across global customers and internal teams involved.
Escalating risks and issues to the Incident Management Process Owner i.e. CSM
Supporting Incident Management reporting (KPIs and customer SLAs)
Assisting the CSM in driving Service management best-practice and ITIL process standardization
Assisting Teams involved in ensuring consistent end-to-end application of the Incident Management process across different customers
Assisting in identifying and planning for Incident Management process improvement projects
Driving implementation of standard execution of the Incident Management process
The complete process adherence and handling of incidents according to SLAs
We expect you to have
1-2 years of hands on experience as ServiceDesk Activities, Incident, Problem and Release Management in IT Service organization.
Relevent graduation in IT ( BE or MCA etc. ) in case of fresher.
Excellent written and oral English language skills.
Preferably knowledge of monitoring application, Service Now and Jira
Having “Customer first” attitude
Ability to work in 24*7 Shift
As a person you are
Willingness to work in European office timings / shifts and on-call rotations
Relevant professional training/experience; more relevant certifications
Able to understand customer problems and can suggest tactical / strategic solutions.
We offer
Independent and challenging work
Dynamic and multicultural work environment
Latest knowledge, methods and tools, and training to support those
Youthful and heavily growing organisation with good team spirit"
"eBanking UI developer","About us
Tieto is the Nordic leader in Financial Services IT solutions with over 400 customers worldwide ranging from large to mid-sized companies. We provide our customers full lifecycle services such as consulting, system integration, application management and development, outsourcing, hosting and industry specific packaged solutions.
In short, the purpose of Tieto eBanking is to produce and deliver digital channel services (both web and mobile) to our customers. Financial Services industry is facing a massive disruption, which opens up great possibilities for fintech companies including us. Within two years our team has grown roughly for 30% up to 80 people, from which 35 are located in Finland. Now we are looking for UI developer to join us!
With us you will be responsible for
We at eBanking want to think more of opportunities than responsibilities, meaning that you can directly influence your work and career development. Our eBanking team is growing steadily and we expect our employees to grow with us.
Your focus area will include design, implementation and guidance of development team in the UI / front-end area. Occasionally projects can be fairly complex but fortunately, we have a supportive team consisting of skilled professionals with various backgrounds.
You will be part of our front-end team supporting product and offering development. We wish you to build a solid understanding and vision of the future technologies in the front-end area.
You will also participate in sales process to ensure the delivery of the best solutions to our customers. This means that you will not be only sitting at your desk. Actually, instead of having dedicated desks, we have a lot of flexible workspace that allows you to choose a workstation that best fits your mood.
We expect you to have
Open mind and proactive attitude to challenge us, bring new ideas to the table and willingness to drive change.
Interest in building the future of fintech together with other specialists in the area.
Background in software development projects in the UI / front-end area. Experience in distributed / multi-culture projects is an advantage.
Experience in the mobile and responsive user interfaces design and implementation. Attention to detail and high understanding of visual design quality are what makes user experience great.
You are fluent in written and spoken English. It is no harm though if you can also work in Finnish or Swedish.
You are excited or may have some knowledge at least of one of the following areas we use. However we appreciate if you are already an experienced user in:
• Responsive web design
• HTML5, CSS, Javascript (ES6), latest advancements in web technology
• JS libraries and any of the frameworks, e.g. Angular, React, JQuery, functional and reactive programming
• CSS tools and frameworks, e.g. Less, Sass, Bootstrap
You have hands-on experience in the following areas:
• Java-based development
• Implementation of SOAP / REST based services
As a person you are
You are easy to approach and have an outgoing personality. You are a team player but you can also progress independently. You have innovative mindset, willingness to share ideas internally and are able to present them to customers. You enjoy working as part of a global team. You are self-motivated and interested in creating world-class customer experience in digital services.
We offer
A chance to be at the peak of your level by offering flexible working hours, employee benefits, device of your choice and free ways of working.
A challenging position to build the future of digital banking services in an international environment. Currently we at eBanking have operations in Finland, Sweden and India.
An environment where your ideas are heard and you can develop yourself as a professional."
