title,requirement
Technical Specialist,"Technical Specialist-160000021T Description Technical leadership and team mentorship experience Exposure working in a multi-site software development environment Experience working with Consumer or Access Equipments (DSLAM, GPON, Aggregators), Settop Box(STB), Wifi Routers Exposure to Carrier Ethernet, GPON related protocols Experience in architecting a consumer or network product (e.g. Settop Box, Wifi Router, DSLAM, switches â€_) Experience with Software Upgrades, Database Migration Exposure to Ethernet, Layer 2, Layer 3, TCP/IP technologies Ethernet, VLAN, IP, QOS, DHCP, 802.1x, IP forwarding, Routing Protocols Exposure to development of Highly Available systems Multi threaded environment development experience, Driver development Exposure of working with Cisco, Juniper like Switches and Routers Layer 2 Switching and Layer 3 Forwarding / Routing Excellent programming skills in C / C++ SW Architecture and design experience Development with Real time OS, Embedded Linux, OSE Abstraction Layer design and development Data structures, Algorithms Experience with protocol test equipment and tools Strong with Quality processes Exposure to extreme programming practices Must have very good Powerpoint & Visio skills Qualifications Minimum of 11 years experience Bachelors degree or above in Computer Science or Electronics Masters degree in Computer Science or Electronics preferred Nokia is a global leader in the technologies that connect people and things. With state-of-the-art software, hardware and services for any type of network, Nokia is uniquely positioned to help communication service providers, governments, and large enterprises deliver on the promise of 5G, the Cloud and the Internet of Things. Serving customers in over 100 countries, our research scientists and engineers continue to invent and accelerate new technologies that will increasingly transform the way people and things communicate and connect. Job Validation and Test Primary LocationAsia Pacific-India-Chennai Schedule Full-time"
Technical Specialist,"Technical Specialist-160000021V Description Technical leadership and team mentorship experience Exposure working in a multi-site software development environment Experience working with Consumer or Access Equipments (DSLAM, GPON, Aggregators), Settop Box(STB), Wifi Routers Exposure to Carrier Ethernet, GPON related protocols Experience in architecting a consumer or network product (e.g. Settop Box, Wifi Router, DSLAM, switches â€_) Experience with Software Upgrades, Database Migration Exposure to Ethernet, Layer 2, Layer 3, TCP/IP technologies Ethernet, VLAN, IP, QOS, DHCP, 802.1x, IP forwarding, Routing Protocols Exposure to development of Highly Available systems Multi threaded environment development experience, Driver development Exposure of working with Cisco, Juniper like Switches and Routers Layer 2 Switching and Layer 3 Forwarding / Routing Excellent programming skills in C / C++ SW Architecture and design experience Development with Real time OS, Embedded Linux, OSE Abstraction Layer design and development Data structures, Algorithms Experience with protocol test equipment and tools Strong with Quality processes Exposure to extreme programming practices Must have very good Powerpoint & Visio skills Qualifications Minimum of 11 years experience Bachelors degree or above in Computer Science or Electronics Masters degree in Computer Science or Electronics preferred Nokia is a global leader in the technologies that connect people and things. With state-of-the-art software, hardware and services for any type of network, Nokia is uniquely positioned to help communication service providers, governments, and large enterprises deliver on the promise of 5G, the Cloud and the Internet of Things. Serving customers in over 100 countries, our research scientists and engineers continue to invent and accelerate new technologies that will increasingly transform the way people and things communicate and connect. Job Validation and Test Primary LocationAsia Pacific-India-Chennai Schedule Full-time"
Technical Specialist,"Technical Specialist-160000021Y Description Technical leadership and team mentorship experience Exposure working in a multi-site software development environment Experience working with Consumer or Access Equipments (DSLAM, GPON, Aggregators), Settop Box(STB), Wifi Routers Exposure to Carrier Ethernet, GPON related protocols Experience in architecting a consumer or network product (e.g. Settop Box, Wifi Router, DSLAM, switches â€_) Experience with Software Upgrades, Database Migration Exposure to Ethernet, Layer 2, Layer 3, TCP/IP technologies Ethernet, VLAN, IP, QOS, DHCP, 802.1x, IP forwarding, Routing Protocols Exposure to development of Highly Available systems Multi threaded environment development experience, Driver development Exposure of working with Cisco, Juniper like Switches and Routers Layer 2 Switching and Layer 3 Forwarding / Routing Excellent programming skills in C / C++ SW Architecture and design experience Development with Real time OS, Embedded Linux, OSE Abstraction Layer design and development Data structures, Algorithms Experience with protocol test equipment and tools Strong with Quality processes Exposure to extreme programming practices Must have very good Powerpoint & Visio skills Mentor and motivate a team of highly skilled professionals Qualifications Minimum of 11 years experience Bachelors degree or above in Computer Science or Electronics Masters degree in Computer Science or Electronics preferred Nokia is a global leader in the technologies that connect people and things. With state-of-the-art software, hardware and services for any type of network, Nokia is uniquely positioned to help communication service providers, governments, and large enterprises deliver on the promise of 5G, the Cloud and the Internet of Things. Serving customers in over 100 countries, our research scientists and engineers continue to invent and accelerate new technologies that will increasingly transform the way people and things communicate and connect. Job Software Development Primary LocationAsia Pacific-India-Chennai Schedule Full-time"
Technical Lead- Test,"Technical Lead- Test-15000007JU Description 1. Should have very good understanding of Ethernet /GPON / DSL/ Networking systems. 2. Experience in Ethernet, Layer 2, Layer 3, TCP/IP protocols, Ethernet, VLAN, IP, QOS, DHCP, 802.1x, IP forwarding, Routing Protocols. 3. Experience working with Access Equipment (DSLAM, GPON, Aggregators) or any networking product (Routers, Switches etc.) 4. Experience in Test Case Design and Test Planning. 5. Experience in using bug tracking tools 6. Experience in development of automated Test Cases/Suites using TCL is must. 7. Experience in Manually Testing the Telecom/Networking Product. 8. Hands on experience with traffic tools like Spirent, Ixia, Router tester etc and end to end traffic testing. Should have good analytical/troubleshooting skills. 9. Good communication and interpersonal skills. 10. Well versed with SDLC and exposure to working in the global organization. 11. Should be passionate about Testing. Qualifications BE/BTech in ECE/Computers or equivalent or higher. Nokia is a global leader in the technologies that connect people and things. With state-of-the-art software, hardware and services for any type of network, Nokia is uniquely positioned to help communication service providers, governments, and large enterprises deliver on the promise of 5G, the Cloud and the Internet of Things. Serving customers in over 100 countries, our research scientists and engineers continue to invent and accelerate new technologies that will increasingly transform the way people and things communicate and connect. Job Validation and Test Primary LocationAsia Pacific-India-Chennai"
Technical Lead - System Test,"Technical Lead - System Test-1600000235 Description Primary Responsibilities â€¢ Review of requirements, design, develop and document system level test plan for IP DSLAM/Switches/Routers. â€¢ Work closely with software development team to develop and execution of test of test plans. â€¢ Reporting of defects and preparation of test reports. â€¢ Need to demonstrate strong proficiency in two or more L2 networking protocols mapped to test domain. â€¢ Securing the test domain and leading the test domain improvement activities. â€¢ Experience in development of automated Test Cases/Suites using TCL and its maintenance. Candidates should have worked or have good knowledge in the below mentioned skills. Desired Skills and Experience Skill Set : 1. Should have very good understanding of Ethernet /GPON / DSL/ Networking systems. 2. Must have in depth knowledge of L2 switching architecture and protocols Ethernet, STP, RSTP, MSTP, VALN, ARP, MAC 3. Must have strong understanding and working knowledge of either of these protocols or in multiple protocols DHCP, PPP, IGMP, LACP, 802.1x, QoS. 4. Should have experience in testing on any of the networking devices (Switch/router) in above protocols, setting up test topologies to verify protocol implementation, scaling limits or performance. 5. Experience working (manual and automation) with Access Equipment (DSLAM, GPON, Aggregators) or any networking product (Switches, Routers etc.) 6. Experience and very strong knowledge in Test Case Designing, Test Planning and various test methodology. 7. Should have good knowledge of SDLC/PDLC and bug/fault report life cycle. 8. Must possess outstanding problem solving skills in diagnosing and helping in resolution of customer issues. 9. Should have worked with traffic tools like Spirent, Ixia, Router tester etc for end to end traffic testing. (Preferably Spirent products). 10. Good oral and written communication skills. 11. Should be passionate about Testing. Automation Skills: 1. Experience in development of automated Test Cases/Suites using TCL and its maintenance. 2. Exposure to automated regression run and result analysis can be considered. Optional Requirement: 1. Knowledge and experience of L3 protocols. 2. Any other scripting language knowledge. Qualifications BE/BTech in ECE/Computers or equivalent or higher. Nokia is a global leader in the technologies that connect people and things. With state-of-the-art software, hardware and services for any type of network, Nokia is uniquely positioned to help communication service providers, governments, and large enterprises deliver on the promise of 5G, the Cloud and the Internet of Things. Serving customers in over 100 countries, our research scientists and engineers continue to invent and accelerate new technologies that will increasingly transform the way people and things communicate and connect. Job Validation and Test Primary LocationAsia Pacific-India-Chennai Schedule Full-time"
Technical Lead - System Test,"Technical Lead - System Test-1600000234 Description Primary Responsibilities â€¢ Review of requirements, design, develop and document system level test plan for IP DSLAM/Switches/Routers. â€¢ Work closely with software development team to develop and execution of test of test plans. â€¢ Reporting of defects and preparation of test reports. â€¢ Need to demonstrate strong proficiency in two or more L2 networking protocols mapped to test domain. â€¢ Securing the test domain and leading the test domain improvement activities. â€¢ Experience in development of automated Test Cases/Suites using TCL and its maintenance. Candidates should have worked or have good knowledge in the below mentioned skills. Desired Skills and Experience Skill Set : 1. Should have very good understanding of Ethernet /GPON / DSL/ Networking systems. 2. Must have in depth knowledge of L2 switching architecture and protocols Ethernet, STP, RSTP, MSTP, VALN, ARP, MAC 3. Must have strong understanding and working knowledge of either of these protocols or in multiple protocols DHCP, PPP, IGMP, LACP, 802.1x, QoS. 4. Should have experience in testing on any of the networking devices (Switch/router) in above protocols, setting up test topologies to verify protocol implementation, scaling limits or performance. 5. Experience working (manual and automation) with Access Equipment (DSLAM, GPON, Aggregators) or any networking product (Switches, Routers etc.) 6. Experience and very strong knowledge in Test Case Designing, Test Planning and various test methodology. 7. Should have good knowledge of SDLC/PDLC and bug/fault report life cycle. 8. Must possess outstanding problem solving skills in diagnosing and helping in resolution of customer issues. 9. Should have worked with traffic tools like Spirent, Ixia, Router tester etc for end to end traffic testing. (Preferably Spirent products). 10. Good oral and written communication skills. 11. Should be passionate about Testing. Automation Skills: 1. Experience in development of automated Test Cases/Suites using TCL and its maintenance. 2. Exposure to automated regression run and result analysis can be considered. Optional Requirement: 1. Knowledge and experience of L3 protocols. 2. Any other scripting language knowledge. Qualifications BE/BTech in ECE/Computers or equivalent or higher. Nokia is a global leader in the technologies that connect people and things. With state-of-the-art software, hardware and services for any type of network, Nokia is uniquely positioned to help communication service providers, governments, and large enterprises deliver on the promise of 5G, the Cloud and the Internet of Things. Serving customers in over 100 countries, our research scientists and engineers continue to invent and accelerate new technologies that will increasingly transform the way people and things communicate and connect. Job Validation and Test Primary LocationAsia Pacific-India-Chennai Schedule Full-time"
Technical Leader,"Technical Leader-160000021X Description Excellent programming skills in C / C++ SW Architecture and design experience Development with Real time OS, Embedded Linux, OSE Data structures, Algorithms Experience with protocol test equipment and tools Exposure to extreme programming practices Experience working with Consumer or Access Equipments (DSLAM, GPON, Aggregators), Settop Box(STB), Wifi Routers Exposure to Carrier Ethernet, GPON related protocols Experience in architecting a consumer or network product (e.g. Settop Box, Wifi Router, DSLAM, switches â€_) Experience with Software Upgrades, Database Migration Exposure to Ethernet, Layer 2, Layer 3, TCP/IP technologies Ethernet, VLAN, IP, QOS, DHCP, 802.1x, IP forwarding, Routing Protocols Exposure to development of Highly Available systems Multi threaded environment development experience, Driver development Exposure of working with Cisco, Juniper like Switches and Routers Layer 2 Switching and Layer 3 Forwarding / Routing Qualifications Minimum of 7 years experience Bachelors degree or above in Computer Science or Electronics Nokia is a global leader in the technologies that connect people and things. With state-of-the-art software, hardware and services for any type of network, Nokia is uniquely positioned to help communication service providers, governments, and large enterprises deliver on the promise of 5G, the Cloud and the Internet of Things. Serving customers in over 100 countries, our research scientists and engineers continue to invent and accelerate new technologies that will increasingly transform the way people and things communicate and connect. Job Software Development Primary LocationAsia Pacific-India-Chennai Schedule Full-time"
Senior Test Engineer,"Senior Test Engineer-15000008X2 Description Â· Roles and Responsibilities Â· The Senior Test Engineer will be involved in the system testing of the Alcatel-Lucent Network Management software (AMS) for access network elements ISAM, GPON etc. The day-to-day responsibilities include: Execution of identified test cases against product releases as per the plan Designing high quality test cases to test the FCAPS and other functionality of the software Configuring network equipment and installing software as needed to complete assigned testing Reporting test results and test progress clearly and accurately Raising, tracking and closing of defects against the product Ownership of specific features from test perspective â€“ including test strategy and test coverage Effective review of product requirements, user documentation and test designs developed by other team members Qualifications Â· Skill Set Â· Essential Â· Masters/Bachelor Degree in computers/communication/electrical engineering or equivalent Â· 3-8 years experience in telecom domain in testing. Â· Strong communication skills, both Verbal and Written Â· Good Team Player Â· Good understanding of the test process and software development lifecycle Â· Familiarity with any defect tracking and configuration management tools Â· Desired Â· Testing experience in EMS/NMS or in Access Network products would be an advantage Â· Good understanding of network management domain Â· Prior experience in working with multi-site teams Â· Experience with test automation tools Â· Knowledge of scripting languages like PERL, TCL etc. Nokia is a global leader in the technologies that connect people and things. With state-of-the-art software, hardware and services for any type of network, Nokia is uniquely positioned to help communication service providers, governments, and large enterprises deliver on the promise of 5G, the Cloud and the Internet of Things. Serving customers in over 100 countries, our research scientists and engineers continue to invent and accelerate new technologies that will increasingly transform the way people and things communicate and connect. Job Software Development Primary LocationAsia Pacific-India-Chennai"
Product Line Manager - Copper,"Product Line Manager - Copper-16000002JX Description The Broadband Access BU is a dominant force in the global Fixed Access network market. Success of this business is centered on continuous innovation, product cost optimization, quality and market diversification. Within BBA, the Broadband Access Copper Product Team (PT) is responsible for driving the overall copper business and technology leadership and continuing to maintain the #1 position in worldwide DSL market. The Copper PT leverages its innovations to maximize the value of our customerâ€™s copper based access networks. In addition to the traditional chassis based ETSI DSL platforms, there is a growing portfolio of micro-nodes with fiber point-to-point and PON uplinks. The copper technologies range across ADSL, SHDSL, VDSL2, vectoring, Vplus, G.fast and XG-FAST. The mission of Copper Product line management organization is to define the product strategy and the roadmap of DSL product lines. An ISAM Copper PLM is responsible for the co-ordination of the commercial and technical aspects of specific domains of DSL products with the target of preserving, building, growing and maximizing the commercial success of the Copper Product Line. In this role, a PLM is responsible for defining all aspects of specific product domains: roadmap, technical content, cost structure and target market, to ensure successful product introduction and continued market leadership. To this end, he/she interacts with various departments such as R&D, operations, (product) marketing, Bell Labs, support, training, tendering, sales and CTO. In order to align his/her product with the market requirements, he/she uses various sources of information such as customer contacts, standardization, analyst reports, competitive analysis and legislation. Out of all this noise/uncertainty, he/she should be able to prioritize and distil trends/requirements and set the right product roadmap within the overall strategy. As PLM you will be responsible for one or multiple domains, and within each domain you will perform all of the following activities: - Define worldwide domain product roadmap for Nokia ISAM. This roadmap is based on the optimal trade-offs between requirements and business priorities across customers and available resources. This requires building a sound understanding of market intelligence, customer demand, and strategic differentiators, on a worldwide basis. - Be the prime driving force in the organization for the successful introduction of new features in the domain to all customers worldwide, across all dimensions, including frequent communication to all customers worldwide, customer demos and workshops worldwide, provide assistance in answering to RFPs (technical) and RFQs (including price strategy) to customers worldwide in support of tendering when needed, any technical issues that arise during the development process, building of an own view on the worldwide board volumes during the first months of introduction and work with sales and operations to align the forecast with this own view. - As an Agile Area Product Owner (APO) interact on a day to day basis with R&D on technical requirements, feature description and fundamental technical options, and review R&D deliverables that impact the market fit of the product. An ability for independent evaluation and assessment of both technical and non-technical risks and navigating decisions, product direction and execution through those risks towards a successful outcome. - Continuously monitor the evolution and the behavior of direct competitors and interpret the possible consequences for Nokia products and initiate roadmap changes as required. Since it is Nokiaâ€™s ambition to keep one step ahead of its direct competitors it is imperative that these analyses allow a proactive market oriented mindset and behavior instead of a reactive input. For this specific requisition, the focus is on a PLM that will take up one or multiple domains in the xDSL area. This area includes: - Software features related to new xDSL features, on request of customers and/or to follow standardization evolution - improvements in the vectoring area, with an initial focus on extending the availability and feature scope of vectoring to more of our hardware platforms, across the different modes (board-level, system-level and cross-DSLAM-level) and physical layer technologies (17a, 35b, G.fast), taking into account the links with other adjacent features (like bonding, ..) and assuring the non-functional requirements (like performance, stability, initialization time, ..) - Software features related to the management of xDSL features, with protocols such as SNMP, CLI/TL1, and Netconf/Yang The specific domain(s) will be determined in interaction with the applicant. In your role, you will form part of the worldwide virtual team of xDSL PLMs, which is coordinated by the xDSL strategist. Qualifications - Leadership: The Product Line Manager is a multifaceted function with a bias towards action within Nokia. He/she is part of the development division and should be able to influence & motivate people to implement his/her vision. He/she must be able to establish a network and relationships across departments such as sales, marketing, supply chain, RBC and NPI. - Analytical and Conceptual Skills: Be creative and flexible. Able to quickly assess issues, develop alternative solutions and implement pragmatic strategies and tactics. Highly effective at translating ideas into actionable plans that achieve results. Focuses on the big picture as well as zoom in on details. Anticipates opportunities and implications. Apart from the strategic scope the Product Line Manager must also be very tactically oriented and continuously analyze and evaluate competitive actions and decide whether or not these have to be countered. - Communication Skills: Must have strong Written/Verbal communication skills with an excellent command of English. Ability to interact with people in the team, other members in the matrix structure including across other departments and geographies. Should be able to effectively communicate and influence customers when representing the Nokia organization. - Strategic Selling Skills: Must be able to identify needs of all the parties he interacts with and be able to translate conclusions of research and analysis into business advantages. Ability to persuade and defend conclusions to line and top management. - Open-mindedness: Must be able to have a broader scope than a strictly technical scope and also able to understand the strategy of related functions such as marketing, sales and reflect the same in product direction/roadmap. - Resilience: Stays in control and maintains performance in stressful situations. - Creativeness: Must be able to detect market opportunities and build an effective approach that is different from that of direct competitors. - In-depth knowledge of ISAM copper products and broadband access market, preferably through experience in the ISAM R&D and/or PLM and/or RBC (e.g. pre-sales) team. - Domain Knowledge â€“ should have strong hands on domain knowledge in area of xDSL (ADSL/VDSL2/Vectoring) to build a technology and product roadmap, sufficient familiarity with xDSL software development to build a viable roadmap, oversee product introduction/trials and handling of critical customer issues. Nokia is a global leader in the technologies that connect people and things. With state-of-the-art software, hardware and services for any type of network, Nokia is uniquely positioned to help communication service providers, governments, and large enterprises deliver on the promise of 5G, the Cloud and the Internet of Things. Serving customers in over 100 countries, our research scientists and engineers continue to invent and accelerate new technologies that will increasingly transform the way people and things communicate and connect. Job Product Management Primary LocationAsia Pacific-India-Chennai Schedule Full-time"
Lead SW Engineer,"Lead SW Engineer-16000000X1 Description Responsible for design of features, interacts with the product owner on the requirement and converts the high level requirement into design for the teams. Responsible for splitting the requirement in to fine grained user stories. Should posses excellent debugging and problem solving skills, mentors the team technically. Skills and Experience: Exposure working in a multi-site software development environment Experience working with Access Equipments (DSLAM, GPON, Aggregators) Experience in Ethernet, Layer 1, Layer 2, TCP/IP technologies Experience in Physical Layer protocols Exposure to development of Highly Available systems Multi threaded environment development experience Excellent programming skills in C / C++ Development with Real time OS, UNIX*, LINUX*, RTOS VxWorks*, PSOS, Abstraction Layer design and development Data structures, Algorithms Experience with protocol test equipment and tools Strong in Quality processes Scripting Language: TCL/TK*, Perl script, Python*, UNIX shell scripting, MIB: ASN.1*, SMIv1/v2* Management protocol: SNMP* (v1/v2/v3), CLI, TL1 Inter-task/object communication: IOCM, RTOS* advance level DSL standards: ITU-T standards(ADSL1/2/2+, VDSL2, SHDSL) basic level Testing skills: basic DSL testing (white box, black box) Tools: 1> SCM: Clearcase*, Mercurial 2> Code Debug tools, simulator*, emulator 3> Code clean tools: Code-Purify/Coverity, Code-Coverage 4> DSL Traffic tools: Spirent test center, Loop simulator 5> Network analyzer: Ethereal/Wireshark Qualifications Qualification: 8 years experience Bachelors degree or above in Computer Science or Electronics Masters degree in Computer Science or Electronics preferred Nokia is a global leader in the technologies that connect people and things. With state-of-the-art software, hardware and services for any type of network, Nokia is uniquely positioned to help communication service providers, governments, and large enterprises deliver on the promise of 5G, the Cloud and the Internet of Things. Serving customers in over 100 countries, our research scientists and engineers continue to invent and accelerate new technologies that will increasingly transform the way people and things communicate and connect. Job Software Development Primary LocationAsia Pacific-India-Chennai Schedule Full-time"
