title,requirement
Senior Software Engineer,"Description NextGear Capital is seeking a Senior Software Engineer with Java web development experience to join our Software Engineering team located just outside of Indianapolis in Carmel, Indiana. Job Summary: The Software Engineer is responsible for developing custom software solutions to support NextGear's business initiatives, while following the NextGear SDLC process. Our software engineering teams work in an agile environment with team scrum rooms and the Software Engineer will sit directly inside a scrum team as an individual contributor to develop custom software solutions in support of NextGear Capitalâ€™s business initiatives. The Software Engineer will work across the application from collaboration with the UX engineers on the front environment for a successful user interface to the back of the systems to ensure optimal user functionality. Technology We Use: PostgreSQL 9+, JavaScript MVC frameworks, AngularJS, Java Spring, JUnit, Protractor and Karma testing libraries. Essential Duties and Responsibilities: Develop custom software to support NextGear's business initiatives as part of an Agile software development team. Work with the rest of the NextGear family to develop software that helps the organization to perform more efficiently and profitably Lead Communities of Practice (CoPs) to leverage shared knowledge and interest across project teams Work closely with Product, UX, and Design teams, as well as other software engineers. Lead development using Java, Spring Framework, JavaScript, AngularJS, and other technologies. Write unit tests in JUnit, Protractor, Karma, and/or other testing libraries Lead paired programming with other developers, sharing technical and business domain knowledge and reducing software defects Aggressively refactor (at the system level and below) in order to keep technical debt to a minimum Contribute back to the Open Source community, where appropriate, by deploying nonâ€êproprietary component development to OS repositories Be a leader in the Indianapolis area developer community, as well as the worldwide virtual community of software development Qualifications 5+ years web development experience in Java or similar web development language Demonstrable experience in software development with Java Experience preferred in one or more of the following technologies: PostgreSQL 9+, JavaScript, MVC frameworks, AngularJS, Java Spring Ability to learn, use, implement, and integrate leading technologies Ability to investigate, troubleshoot, and fix software defects and configuration issues Excellent problem solving and analytical skills Ability to think strategically Able to work independently, selfâ€êmotivated, and a strong team player Excellent written and verbal communication skills, able to communicate with all levels of the organization Education and Experience: Bachelor's degree or equivalent work experience preferred Previous experience in a team environment preferred Who We Are: NextGear Capital is the worldâ€™s leading independent inventory finance company, providing flexible lines of credit for dealers to purchase new and used inventory throughout the U.S. Canada and the United Kingdom. NextGear Capital delivers innovative solutions that empower dealers to buy and sell inventory with versatile lines of credit that can be used at over 1,000 auto and specialty auctions and other inventory sources. NextGear Capital is focused on service, technology and simple solutions that will help dealers stock more vehicles, attract more customers and close more deals. The company is headquartered in Carmel, Indiana and is part of the Cox Automotive group of companies. Visit www.nextgearcapital.com to learn more. COX-177 Cox Automotive is a leader in vehicle remarketing services, digital marketing and software solutions for automotive dealers, manufacturers and consumers. Cox Automotive includes AutoTrader.com, Kelley Blue Book, Manheim and a host of other global businesses and brands. Headquartered in Atlanta, Cox Automotive employs nearly 24,000 employees in over 150 locations worldwide. We partner with more than 40,000 dealers and touch more than 67 percent of all car buyers in the U.S. with the most recognized brands in the industry. We unite more than 20 brands in this space, providing an end-to-end solution to transform the way the world buys, sells and owns cars. OrganizationCox Automotive Primary LocationUS-IN-Carmel-11799 N College Ave Employee StatusRegular Job LevelIndividual Contributor ShiftDay Job- TravelNo ScheduleFull-time Unposting DateOngoing"
Senior Software Engineer,"Description This is a full-time position with vAuto, a business unit of Cox Automotive, located in Austin, TX. We are seeking a very experienced developer to help design and implement complex multi-threaded applications. vAuto, Inc. is an industry leading innovator and provider of automotive software solutions. Since the company was founded in 2005, vAuto has launched several first-in industry innovations, including its current suite of solutions that deliver a better way to price, appraise and stock pre-owned vehicles. We are a fast-moving technology company specializing in web & mobile application solutions for the Automotive Industry. The Senior Software Engineer is responsible for architecting, designing, developing and implementing programs as required, to support the technical capabilities at vAuto. To be successful in this role one must be able to work effectively in a fluid, fast-paced agile environment. This role requires good leadership, design, and communication skills, with management, team members and business contacts. Responsibilities Architect, design, document and develop new or maintain existing programs based on specifications Develop, implement and maintain unit tests of programs Act as technical leader for agile team Actively participate in agile team activities Mentor Software Engineers Participate in functional test planning and testing for the assigned applications, functional areas or projects Participate in problem solving and troubleshooting for the assigned applications, functional areas or projects Stay current with changes in the technical area of expertise Develop and maintain a thorough knowledge of the assigned applications, functional areas or projects Work with the team to ensure the quality of the assigned applications, functional areas or projects Respond quickly and effectively to production issues and taking responsibility for seeing those issues through resolution. Qualifications Minimum of 5 years experience in object oriented programming (Java, C++, Objective-C, C#, or similar) Minimum of 2 years recent experience in C# Experience using .Net Remoting Experience consuming and creating web services in a .Net environment. Ability to work on multiple projects and be flexible to adapt to changing requirements Ability to turn high-level requirements into a working system through iterative development High energy, confident, ambitious and self-motivated individual. Must be an effective communicator. Cox Automotive is a leader in vehicle remarketing services, digital marketing and software solutions for automotive dealers, manufacturers and consumers. Cox Automotive includes AutoTrader.com, Kelley Blue Book, Manheim and a host of other global businesses and brands. Headquartered in Atlanta, Cox Automotive employs nearly 24,000 employees in over 150 locations worldwide. We partner with more than 40,000 dealers and touch more than 67 percent of all car buyers in the U.S. with the most recognized brands in the industry. We unite more than 20 brands in this space, providing an end-to-end solution to transform the way the world buys sells and owns cars. OrganizationCox Automotive Primary LocationUS-TX-Austin-10415 Morado Circle Employee StatusRegular Job LevelIndividual Contributor ShiftDay Job- TravelNo ScheduleFull-time Unposting DateOngoing"
Software Engineer,"Description This is a full-time position with vAuto, a business unit of AutoTrader.com, located in Austin, TX. We are seeking an experienced web application developer to help design and implement complex web applications for desktop and mobile devices. At vAuto Inc. we pride ourselves on being an industry leading innovator and provider of automotive software solutions. vAuto has launched several first-in industry innovations, including its current suite of solutions that deliver a better way to price, appraise and stock pre-owned vehicles. We specialize in web & mobile application solutions for the Automotive Industry. We seek a self-motivated Software Developer in Test with a passion for technology and committed to delivering quality products. The Software Engineer is responsible for designing, developing and implementing programs as required, to support the technical capabilities at vAuto. To be successful in this role one must be able to work effectively in a fluid, fast-paced environment. This role requires good communication skills, with management and team members. Responsibilities Develop new or maintain existing programs based on specifications Develop, implement and maintain unit tests of programs Actively participate in agile team activities Participate in the design of new or changing programs Participate in functional test planning and testing for the assigned applications, functional areas or projects Participate in problem solving and troubleshooting for the assigned applications, functional areas or projects Share knowledge by effectively documenting work Stay current with changes in the technical area of expertise Develop and maintain a thorough knowledge of the assigned applications, functional areas or projects Work with the team to ensure the quality of the assigned applications, functional areas or projects Respond quickly and effectively to production issues and taking responsibility for seeing those issues through resolution. Mentor less experienced Software Engineers Qualifications Minimum of 3 years web development experience using JavaScript, HTML and CSS Minimum of 1 years development experience using a JavaScript library such as jQuery or Ext.JS Minimum of 2 years experience writing SQL backed applications Minimum of 3 years experience in object oriented programming (Java, C++, Objective-C, C#, or similar) Minimum of 1 years of experience in C# and ASP.Net Ability to work on multiple projects and be flexible to adapt to changing requirements Ability to turn high-level requirements into a working system through iterative development High energy, confident, ambitious and self-motivated individual. Must be an effective communicator BS in Computer Science or related degree, or equivalent work experience. Cox Automotive is a leader in vehicle remarketing services, digital marketing and software solutions for automotive dealers, manufacturers and consumers. Cox Automotive includes AutoTrader.com, Kelley Blue Book, Manheim and a host of other global businesses and brands. Headquartered in Atlanta, Cox Automotive employs nearly 24,000 employees in over 150 locations worldwide. We partner with more than 40,000 dealers and touch more than 67 percent of all car buyers in the U.S. with the most recognized brands in the industry. We unite more than 20 brands in this space, providing an end-to-end solution to transform the way the world buys, sells and owns cars. OrganizationCox Automotive Primary LocationUS-TX-Austin-10415 Morado Circle Employee StatusRegular Job LevelIndividual Contributor ShiftDay Job- TravelNo ScheduleFull-time Unposting DateOngoing"
Associate Software Engineer,"Description This is a full-time position with vAuto, a business unit of AutoTrader.com, located in Austin, TX. We are seeking entry-level software developers to work with a team to design and development new products and to development enhancements and extensions to existing systems using C# and ASP.Net. vAuto, Inc. is an industry leading innovator and provider of automotive software solutions. Since the company was founded in 2005, vAuto has launched several first-in industry innovations, including its current site of solutions that deliver a better way to price, appraise and stock pre-owned vehicles. We are a fast-moving technology company specializing in web & mobile application solutions for the Automotive Industry. Qualifications 18 months experience in object oriented programming (Java, C++, C#, or similar), in a job or through schoolwork. Understanding of programming and database concepts Familiarity with web technologies (JavaScript, HTML, Ajax) Demonstrated experience developing applications Ability to work well in a team-oriented environment High energy, confident, ambitious and self-motivated individual. Must be an effective communicator. Experience with C#, ASP.NET, nHibernate, SQL, PL-SQL, Oracle, Visual Studio, IIS a plus, but not required. Cox Automotive is a leader in vehicle remarketing services, digital marketing and software solutions for automotive dealers, manufacturers and consumers. Cox Automotive includes AutoTrader.com, Kelley Blue Book, Manheim and a host of other global businesses and brands. Headquartered in Atlanta, Cox Automotive employs nearly 24,000 employees in over 150 locations worldwide. We partner with more than 40,000 dealers and touch more than 67 percent of all car buyers in the U.S. with the most recognized brands in the industry. We unite more than 20 brands in this space, providing an end-to-end solution to transform the way the world buys, sells and owns cars. OrganizationCox Automotive Primary LocationUS-TX-Austin-10415 Morado Circle Employee StatusRegular Job LevelIndividual Contributor ShiftDay Job- TravelNo ScheduleFull-time Unposting DateOngoing"
Senior Solutions Architect,"Description The Sr. level Solutions Architect must be capable of leading through all architectural aspects of the most complex and visible technology initiatives. This individual must operate at a level that achieves confidence of internal executives, very strong respect among peers and implicit trust from internal customers to provide the best possible architectural solutions. The Solutions Architect will work within the Enterprise Architecture practice to design systems that support the strategic initiatives and architecture standards of the enterprise. The person in this role is accountable for architecting and designing comprehensive solutions that meet the business requirements in support of a given initiative. The Solution Architect will be accountable for partnering with key roles (e.g. project managers, business analysts, product managers, application architects, etc.) to create solutions that are aligned to Cox Automotive's architecture standards and principles, leverage common solutions and services, and meet the financial targets (cost and benefits). Within the solution development lifecycle this role may also participate in solution evaluation and selection, buy vs. build decisions, and early-phase project estimates which contribute to the business case. They will provide consulting during the detailed design, build, test and deploy phases, and may be reengaged to perform benefits realization. This role is applied through a balance of two distinct and complementary point of focus: solutions for new initiatives and enterprise technology strategy consistency. For the initiative focus, the Solutions Architect is accountable for architecting and designing comprehensive solutions that meet business requirements in support of the given initiative. The individual will provide direction for the use of information technology for new initiatives and will develop architecture models that will translate business requirements into solution designs and will bridge the gap between business analysis and solutions development. The Solutions Architect must evaluate requirements and produce high-level design deliverables that will enable project teams to build systems in keeping with the overall Enterprise Architecture strategy. The Solutions Architect will also assess and articulate the cost, agility and quality impacts associated with various approaches under consideration for the solution. For the enterprise technology focus, the Solutions Architect will develop, maintain, communicate and promote the architectural standards, guidelines, and target architecture for the company, usually within the context of specific technology domains or portfolio areas. This individual will identify opportunities to make progress toward Cox Automotive's enterprise architecture near-term and long-term goals. The Solutions Architect is responsible for ensuring that any solutions delivered are robust, flexible, scalable, secure as well as being consistent with the architecture roadmap for the impacted domain. The person in this role is also responsible for maintaining the Business Architecture view for specific domains so-as to illuminate and manage technology costs and other key business success factors affected by technology within the domain. In addition to the project and portfolio-oriented solutions architecture responsibilities described above, each architect is also responsible for supporting the overall Enterprise Architecture (EA) practice through participating in Cox Automotive EA community exercises, supporting tools & processes required for effective architecture consistency and promoting thoughtful systems designs geared for the greater good. Optimal candidates for this role will thrive in the cross-section of three traditional skillsets: technical solutions architecture, business analysis, and relationship management. Develop solutions architecture to meet the technology needs of business initiatives Work with the business stakeholders to identify business opportunities and with key partners to develop initial business cases for potential solution development efforts Develop high level solution designs and conceptual architectures that address business, application, information and technology architectural domains Participate in the conceptual phases of identifying and solving business problems and initiatives Oversee and support Functional & Technical Requirements gathering for initiatives Participate in development of high-level estimates in support of business case development Create architecture specifications and other design artifacts representing the approach and effect of new proposed solutions Collaborate on analysis, design, development/procurement, testing, and deployment decisions with consulting and engineering teams to ensure the quality and consistency of the software. Partner with Enterprise Technical Architects and peer Solution Architects to identify and define Enterprise services and components required to support business solution development Work with other Solution Architects to maintain overall technology portfolio with supporting standards and guidelines Bring Enterprise Architecture knowledge into project teams while exposing project-related architectural issues to the architecture team. Provide educational/mentoring resources to technical teams. Define and evangelize best practice design and modeling methodologies Establish yourself as a trusted technical advisor with key internal and external stakeholders. Qualifications 10+ years experience in full development life cycle and significant experience in delivering applications and architecture services in a production environment 7+ years experience in the implementation of structured design and architecture processes in a corporate environment. 7+ years experience in the design of multi-tiered technology architectures including all facets of design from business analysis to infrastructure sizing Experience with web applications, mobile applications, service oriented architecture, secure coding principles, BPM, event driven architectures strongly desired. Strong interpersonal skills, collaborative problem solving skills, ability to listen to and understand needs across diverse stakeholders at various levels of the organization. Bachelors Degree in Computer Science, MIS, Business, or equivalent experience Cox Automotive is a leader in vehicle remarketing services, digital marketing and software solutions for automotive dealers, manufacturers and consumers. Cox Automotive includes AutoTrader.com, Kelley Blue Book, Manheim and a host of other global businesses and brands. Headquartered in Atlanta, Cox Automotive employs nearly 24,000 employees in over 150 locations worldwide. We partner with more than 40,000 dealers and touch more than 67 percent of all car buyers in the U.S. with the most recognized brands in the industry. We unite more than 20 brands in this space, providing an end-to-end solution to transform the way the world buys, sells and owns cars. OrganizationCox Automotive Primary LocationUS-GA-Atlanta-6325 Peachtree Dunwoody Rd Employee StatusRegular Job LevelIndividual Contributor ShiftDay Job- TravelYes, 5 % of the Time ScheduleFull-time Unposting DateOngoing"
Software Support Engineer,"Description This position is responsible for researching and trouble-shooting issues while acting as the key liaison between the support and development teams. The ideal candidates will be experienced programmers or very senior support engineers or system administrators. You will be expected to write and analyze code daily basis. This position will be a technical product knowledge expert of the vAuto product line. Working with both established and leading-edge technologies, including Oracle PL/SQL, Microsoft .Net, C#, JQuery, nHibernate, Ext-JS, and many others. Perform in-depth, back-end, troubleshooting. Work closely with the vAuto development team on support requests. Ensure timely responses for all client technical issues are in line with the department and client expectations. Share product solutions/resolutions/fixes to technical functionality issues with the support team. Author and maintain system and internal process documentation Work closely with Support Management team to identify areas needed for development and improvement Follow and execute tasks in accordance with operational processes and guidelines. Qualifications Be assertive, confident, able to work as an individual and as part of a team and strive to exceed our customer expectations Solution based minded individual with excellent technical problem solving skills Strong verbal and written communication skills needed to communicate complex issues in a clear and concise manner Exhibit excellent retention of knowledge for new technology and product, with the added ability to provide / implement a solution Advanced knowledge of SQL required (Oracle specific a plus) C#, .Net and/or JavaScript knowledge is a plus Must have experience/background in highly complex, technical problem solving Must possess bachelorâ€™s degree or corresponding job experience. Prior experience in any one of these technologies is not required, but preferred. COX-vAuto3 Cox Automotive is a leader in vehicle remarketing services, digital marketing and software solutions for automotive dealers, manufacturers and consumers. Cox Automotive includes AutoTrader.com, Kelley Blue Book, Manheim and a host of other global businesses and brands. Headquartered in Atlanta, Cox Automotive employs nearly 24,000 employees in over 150 locations worldwide. We partner with more than 40,000 dealers and touch more than 67 percent of all car buyers in the U.S. with the most recognized brands in the industry. We unite more than 20 brands in this space, providing an end-to-end solution to transform the way the world buys, sells and owns cars. OrganizationCox Automotive Primary LocationUS-TX-Austin-10415 Morado Cir Employee StatusRegular Job LevelIndividual Contributor ShiftDay Job- TravelNo ScheduleFull-time Unposting DateOngoing"
Solution Designer-Oracle ERP,"DescriptionOracle Applications Solution Designer - Oracle Financials The Oracle Solutions Designer will work with business and IT teams to understand current processes and develop solutions to meet business needs. This role will serve as functional lead analyst, solution designer, configurator and validator. Candidates must have a good understanding of project management concepts and techniques and should have the skills to execute the activities necessary to reach project objectives. Excellent analytical skills and the ability to work and contribute in a team environment are essential as are outstanding communication and interpersonal skills. Responsibilities: Lead design efforts to modify and add new functionality to Oracle E-Business Suite (EBS) Financials, including designing functional specifications for RICE (Reports, Interfaces, Conversions, Extensions) items Create and maintain Oracle MD50 (functional design) documents Collaborate as a team member on multiple concurrent projects Own configuration updates for at least 1 module within Oracle E-Business Suite (EBS) Financials Participate in business requirement elicitation sessions, perform gap analysis and provide level of effort estimates Perform unit testing and validate testing results meet requirements Facilitate discussions with various teams to move designs forward, including Business, IT, QA, and Project Management teams Work closely with the development and operations teams to grow their knowledge and abilities to support the environment in a production run-state Conduct analysis that identifies impacts to current state business processes or system inadequacies Provide process and system improvement recommendations that assist the business in achieving its goals and objectives Communicate with business and IT stakeholders on change impacts Qualifications Bachelorâ€™s degree or equivalent Over 5 years of experience as a functional analyst/lead on 2 or more implementations of Oracle EBS R12 with the following modules: AP, i-Expense, Purchasing, i-Procurement, General Ledger, Fixed Assets, and Project Accounting Experience as a member of a project team that migrated RICE items from one system to another is a plus Experience with Oracle WebCenter Imaging is a plus Strong communication and interpersonal skills required Ability to think analytically, solve problems, collaborate and work with a team Candidates must have strong meeting facilitation skills, planning and organizing skills, and be customer focused OrganizationCox Automotive Primary LocationUS-GA-Atlanta-3003 Summit Blvd Employee StatusRegular Job LevelIndividual Contributor ShiftDay Job- TravelNo ScheduleFull-time Unposting DateOngoing"
Development Ops Engineer (DevOps),"Description NextGear Capital, a Cox Automotive brand, is seeking a Development Operations Engineer (DevOps) to join our team in Carmel, Indiana. The Carmel office is located just outside of Indianapolis, Indiana. The Development Operations Engineer (DevOps) is responsible for supporting the software development ecosystem, managing cloud software deployment, and monitoring development, quality, and production environments. Key Responsibilities The Candidate will support the software development ecosystem, assisting developers in configuring the development and testing environments, and leading process improvement efforts for development operations Be responsible for managing custom software deployment to cloud-based and/or internal environments Monitor development, quality, and production environments for performance, stability, and cost Creation of dashboards via tools such as NewRelic to support environment monitoring Work closely with the internal infrastructure team, as well as the rest of the product development staff Contribute back to the Open Source community, where appropriate, by deploying non- proprietary component development to OS repositories Contribute to the Indianapolis area developer community, as well as the worldwide virtual community of software development Define infrastructure via cloud platforms and service vendors for custom software applications developed by the Product Development team Ensure that applications and APIs are accessible to NextGear users and customers Automation of uptime and status checking, and API availability status Automation of machine image startup/shutdown on demand Automation of on-demand deployment of new testing, training, and demonstration environments of systems developed by the Product Development team Maintenance of images and backups of custom applications, as well as disaster recovery for cloud deployments Qualifications Linux systems admin experience Scripting experience Application support Middleware exposure or experience Previous experience in a team environment preferred Ability to work in a fast paced environment Ability to stand and sit for periods of time Ability to operate office equipment, computers, faxes, copiers, and phones The position requires good speaking and listening skills The position requires the ability to perform focused work with close attention to detail Minimal travel may be required Minimal off-hours support availability may be required About NextGear Capital, a Cox Automotive Brand: NextGear Capital is the worldâ€™s leading independent inventory finance company, providing flexible lines of credit for dealers to purchase new and used inventory throughout the U.S. Canada and the United Kingdom. NextGear Capital delivers innovative solutions that empower dealers to buy and sell inventory with versatile lines of credit that can be used at over 1,000 auto and specialty auctions and other inventory sources. NextGear Capital is focused on service, technology and simple solutions that will help dealers stock more vehicles, attract more customers and close more deals. The company is headquartered in Carmel, Indiana and is part of theCox Automotive group of companies. Visitwww.nextgearcapital.com to learn more. COX-91 Cox Automotive is a leader in vehicle remarketing services, digital marketing and software solutions for automotive dealers, manufacturers and consumers. Cox Automotive includes AutoTrader.com, Kelley Blue Book, Manheim and a host of other global businesses and brands. Headquartered in Atlanta, Cox Automotive employs nearly 24,000 employees in over 150 locations worldwide. We partner with more than 40,000 dealers and touch more than 67 percent of all car buyers in the U.S. with the most recognized brands in the industry. We unite more than 20 brands in this space, providing an end-to-end solution to transform the way the world buys, sells and owns cars. OrganizationCox Automotive Primary LocationUS-IN-Carmel-11799 N College Ave Employee StatusRegular Job LevelIndividual Contributor ShiftDay Job- TravelYes, 5 % of the Time ScheduleFull-time Unposting DateOngoing"
Sr. Mobile Software Engineer - Android,"Description This is a full-time position with Cox Automotive located in Austin, TX. We are seeking a Senior Software Engineer with experience developing Android applications. Responsibilities Develop and maintain new and existing mobile applications based on specifications Develop, implement and maintain unit tests Participate in the design of applications Share knowledge by documenting work Stay current with changes in Android and Java Lead code reviews Respond quickly to production issues and see them through to resolution Qualifications 6+ years experience in object oriented programming (Java, C++, Objective-C, C#, or similar) 3+ years experience with the Android SDK Demonstrated experience developing mobile applications Ability to work on multiple projects and be flexible to adapt to changing requirements Ability to turn high-level requirements into a working system through iterative development High energy, confident, ambitious and self-motivated individual Must be an effective communicator Experience writing and/or debugging web services is a plus, but not required At least one publicly available application in Google Play is a plus, but not required. Education BS in Computer Science or related degree, or equivalent work experience. COX-104 Cox Automotive is a leader in vehicle remarketing services, digital marketing and software solutions for automotive dealers, manufacturers and consumers. Cox Automotive includes AutoTrader.com, Kelley Blue Book, Manheim and a host of other global businesses and brands. Headquartered in Atlanta, Cox Automotive employs nearly 24,000 employees in over 150 locations worldwide. We partner with more than 40,000 dealers and touch more than 67 percent of all car buyers in the U.S. with the most recognized brands in the industry. We unite more than 20 brands in this space, providing an end-to-end solution to transform the way the world buys, sells and owns cars. OrganizationCox Automotive Primary LocationUS-TX-Austin-10415 Morado Cir Employee StatusRegular Job LevelIndividual Contributor ShiftDay Job- TravelNo ScheduleFull-time Unposting DateOngoing"
Software Developer,"Description NextGear Capital, a Cox Automotive Brand, is seeking a Software Engineer with Java web development experience to join our Software Engineering team in Carmel located just outside Indianapolis, Indiana. Job Summary: The Software Engineer is responsible for developing custom software solutions to support NextGear's business initiatives, while following the NextGear SDLC process.Our software engineering teams work in an agile environment with team scrum rooms and the Software Engineer will sit directly inside a scrum team as an individual contributor to develop custom software solutions in support of NextGear Capitalâ€™s business initiatives. The Software Engineer will work across the application from collaboration with the UX engineers on the front environment for a successful user interface to the back of the systems to ensure optimal user functionality. Technology We Use: PostgreSQL 9+, JavaScript MVC frameworks, AngularJS, Java Spring, JUnit, Protractor and Karma testing libraries. Essential Duties and Responsibilities: Develop custom software to support NextGear's business initiatives as part of an Agile software development team. Work with the rest of the NextGear family to develop software that helps the organization to perform more efficiently and profitably Lead Communities of Practice (CoPs) to leverage shared knowledge and interest across project teams Work closely with Product, UX, and Design teams, as well as other software engineers. Lead development using Java, Spring Framework, JavaScript, AngularJS, and other technologies. Write unit tests in JUnit, Protractor, Karma, and/or other testing libraries Lead paired programming with other developers, sharing technical and business domain knowledge and reducing software defects Aggressively refactor (at the system level and below) in order to keep technical debt to a minimum Contribute back to the Open Source community, where appropriate, by deploying nonâ€êproprietary component development to OS repositories Be a leader in the Indianapolis area developer community, as well as the worldwide virtual community of software development Qualifications 2+ years web development experience in Java or similar web development language Demonstrable experience in software development with Java Experience preferred in one or more of the following technologies: PostgreSQL 9+, JavaScript, MVC frameworks, AngularJS, Java Spring Ability to learn, use, implement, and integrate leading technologies Ability to investigate, troubleshoot, and fix software defects and configuration issues Excellent problem solving and analytical skills Ability to think strategically Able to work independently, selfâ€êmotivated, and a strong team player Excellent written and verbal communication skills, able to communicate with all levels of the organization Education and Experience: Bachelor's degree or equivalent work experience preferred Previous experience in a team environment preferred Who We Are: NextGear Capital is the worldâ€™s leading independent inventory finance company, providing flexible lines of credit for dealers to purchase new and used inventory throughout the U.S. Canada and the United Kingdom. NextGear Capital delivers innovative solutions that empower dealers to buy and sell inventory with versatile lines of credit that can be used at over 1,000 auto and specialty auctions and other inventory sources. NextGear Capital is focused on service, technology and simple solutions that will help dealers stock more vehicles, attract more customers and close more deals. The company is headquartered in Carmel, Indiana and is part of the Cox Automotive group of companies. Visit www.nextgearcapital.com to learn more. COX-147 Cox Automotive is a leader in vehicle remarketing services, digital marketing and software solutions for automotive dealers, manufacturers and consumers. Cox Automotive includes AutoTrader.com, Kelley Blue Book, Manheim and a host of other global businesses and brands. Headquartered in Atlanta, Cox Automotive employs nearly 24,000 employees in over 150 locations worldwide. We partner with more than 40,000 dealers and touch more than 67 percent of all car buyers in the U.S. with the most recognized brands in the industry. We unite more than 20 brands in this space, providing an end-to-end solution to transform the way the world buys, sells and owns cars. OrganizationCox Automotive Primary LocationUS-IN-Carmel-11799 N College Ave Employee StatusRegular Job LevelIndividual Contributor ShiftDay Job- TravelNo ScheduleFull-time Unposting DateOngoing"
