"jobs_title","jobs_requirement"
"LTE Python Developer","Nokia is a global leader in the technologies that connect people and things. With state-of-the-art software, hardware and services for any type of network, Nokia is uniquely positioned to help communication service providers, governments, and large enterprises deliver on the promise of 5G, the Cloud and the Internet of Things. Serving customers in over 100 countries, our research scientists and engineers continue to invent and accelerate new technologies that will increasingly transform the way people and things communicate and connect.
General Purpose
Works as an Engineer in product, system or technology program in SW/HW/System Design or Integration & Verification.
Main Responsibility Area
Overall responsibility of specified entities (e.g. features). Plans, designs and executes items in own area. Contributes to specification reviews. Works according to given tasks. Participates in work amounts estimation in own area. Consults, supports and guides own team⿿s external interfaces. Is responsible for sharing knowledge in his/her expertise area. Gives input to process development. Performs problem isolation and resolution. Applies knowledge and experience to determine root cause.
Position Description
You will be working in the R&D Execution team located in Wroclaw.
Must have:
• Master's or Bachelor's degree in Engineering, Telecommunications, Computer Science or Software Technology or equivalent education
• practical experience with Python
• knowledge of Linux OS (command line)
• knowledge of test automation
• analytical thinking skills
• good communication in English (both written and spoken)
• ready to relocate to Wroclaw, living in or near by
Nice to have:
• knowledge of SW development methodologies (Agile/Scrum)
• knowledge of Continuous Integration approach
• Robot framework knowledge
• experience with Django
• knowledge of JavaScript (AngularJS or jQuery)
• knowledge of SQL
Position Requirements
• very good interpersonal and teamwork skills
• result oriented
• responsible and committed
• initiative, creative and analytical"
"Summer intern","Nokia is a global leader in the technologies that connect people and things. With state-of-the-art software, hardware and services for any type of network, Nokia is uniquely positioned to help communication service providers, governments, and large enterprises deliver on the promise of 5G, the Cloud and the Internet of Things. Serving customers in over 100 countries, our research scientists and engineers continue to invent and accelerate new technologies that will increasingly transform the way people and things communicate and connect.
General Purpose
Acts under guidance on specified competence area that may include thesis-related work.
Main Responsibility Area
No value
Position Description
You will act as a team member in one of our short term projects supporting HC planning and mapping, cost budgeting and control and other tasks in the Quality Business Office.
Position Requirements
We are looking for you if you have:
- knowledge and experience in Accounting, Finance or business.
- academic background in accounting, finance or business.
- basic knowledge about
- excellent communication skills,
- team player spirit,
- spoken and written English
We can offer you:
- an experience of working in international environment together with skilled quality and Finance & Control experts.
- opportunity to work on exciting projects during the company transformation period.
- friendly working environment in a team of professionals.
We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin, religion, sexual orientation, gender identity, status as a veteran, and basis of disability or any other federal, state or local protected class."
"Summer Intern","Nokia is a global leader in the technologies that connect people and things. With state-of-the-art software, hardware and services for any type of network, Nokia is uniquely positioned to help communication service providers, governments, and large enterprises deliver on the promise of 5G, the Cloud and the Internet of Things. Serving customers in over 100 countries, our research scientists and engineers continue to invent and accelerate new technologies that will increasingly transform the way people and things communicate and connect.
General Purpose
Acts under guidance on specified competence area that may include thesis-related work.
Main Responsibility Area
No value
Position Description
You will act as a team member in one of our short term projects supporting the Global Systemics & Continuous Improvement Team and other tasks in the Quality Execution Office.
Position Requirements
We are looking for you if you have:
- knowledge and experience in SharePoint, PowerPoint, or Lean Six Sigma.
- academic background in SharePoint, PowerPoint, or Lean Six Sigma.
- basic knowledge about Quality
- excellent communication skills
- team player spirit
We can offer you:
- an experience of working in a global business environment with skilled quality experts.
- opportunity to work on exciting projects during the
company transformation period.
- friendly working environment in a team of professionals.
We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin, religion, sexual orientation, gender identity, status as a veteran, and basis of disability or any other federal, state or local protected class."
"Summer intern","Nokia is a global leader in the technologies that connect people and things. With state-of-the-art software, hardware and services for any type of network, Nokia is uniquely positioned to help communication service providers, governments, and large enterprises deliver on the promise of 5G, the Cloud and the Internet of Things. Serving customers in over 100 countries, our research scientists and engineers continue to invent and accelerate new technologies that will increasingly transform the way people and things communicate and connect.
General Purpose
Acts under guidance on specified competence area that may include thesis-related work.
Main Responsibility Area
No value
Position Description
You will act as a team member in one of our short term projects supporting HC planning and mapping, cost budgeting and control and other tasks in the Quality Business Office.
Position Requirements
We are looking for you if you have:
- knowledge and experience in Accounting, Finance or business.
- academic background in accounting, finance or business.
- basic knowledge about
- excellent communication skills,
- team player spirit,
- spoken and written English
We can offer you:
- an experience of working in international environment together with skilled quality and Finance & Control experts.
- opportunity to work on exciting projects during the company transformation period.
- friendly working environment in a team of professionals.
We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin, religion, sexual orientation, gender identity, status as a veteran, and basis of disability or any other federal, state or local protected class."
"Specialist, RFTRX","Nokia is a global leader in the technologies that connect people and things. With state-of-the-art software, hardware and services for any type of network, Nokia is uniquely positioned to help communication service providers, governments, and large enterprises deliver on the promise of 5G, the Cloud and the Internet of Things. Serving customers in over 100 countries, our research scientists and engineers continue to invent and accelerate new technologies that will increasingly transform the way people and things communicate and connect.
General Purpose
Works as an experienced Engineer in product, system or technology program in SW/HW/System Design or Integration & Verification.
Main Responsibility Area
Overall responsibility of specified entities (e.g. features). Plans, designs and executes items in own area. Coordinates activities within own responsibility area. Has developed specialist knowledge in one area. Coaches other team members in solving basic engineering problems. Solves complex engineering problems of own technology area. Typically participates in reviews of own or neighbouring projects. May undertake technical training responsibilities.
Position Description
BTS active antenna design
Position Requirements
familiar with antenna array is a plus"
"Specialist, RFTRX","Nokia is a global leader in the technologies that connect people and things. With state-of-the-art software, hardware and services for any type of network, Nokia is uniquely positioned to help communication service providers, governments, and large enterprises deliver on the promise of 5G, the Cloud and the Internet of Things. Serving customers in over 100 countries, our research scientists and engineers continue to invent and accelerate new technologies that will increasingly transform the way people and things communicate and connect.
General Purpose
Works as an experienced Engineer in product, system or technology program in SW/HW/System Design or Integration & Verification.
Main Responsibility Area
Overall responsibility of specified entities (e.g. features). Plans, designs and executes items in own area. Coordinates activities within own responsibility area. Has developed specialist knowledge in one area. Coaches other team members in solving basic engineering problems. Solves complex engineering problems of own technology area. Typically participates in reviews of own or neighbouring projects. May undertake technical training responsibilities.
Position Description
Main responsibilities include 4G/5G RRH RFTRX circuity design (DAC/ADC, amplifying and frequency conversion functions), debug and solve both circuitry level and RRH unit level complex problem, develop the RF hardware architecture for next generation/5G RRH.
Follow RFTRX technical trends of RF industry and work out/implement competitive RFTRX solution for 4.5G/5G cellular systems.
Document preparation to deliver Nokia process compliant design outputs.
Position Requirements
Candidate should have at least over 5 years of RFTRX design experiences, highly experienced in RF circuitry design and tuning.
Thorough understating of the signal processing chain in both analog and digital domain, master the JSED interface and digital modulation principles.
Familiar with TRX integration in whole RRH unit level, systematic thinking and knowing TRX industrial technical trends.
Integrity is a must, and systematic way of thinking is a big plus."
"Senior Specialist, RFTRX","Nokia is a global leader in the technologies that connect people and things. With state-of-the-art software, hardware and services for any type of network, Nokia is uniquely positioned to help communication service providers, governments, and large enterprises deliver on the promise of 5G, the Cloud and the Internet of Things. Serving customers in over 100 countries, our research scientists and engineers continue to invent and accelerate new technologies that will increasingly transform the way people and things communicate and connect.
General Purpose
Works as an experienced Engineer in in product, system or technology program in SW/HW/System Design or Integration & Verification. Works under general direction and interprets internal/external business issues and recommended best practice in own discipline.
Main Responsibility Area
He/She has the responsibility for specifying, planning, reporting, designing, reviewing in his/her technical area (e.g. several features). Is an expert for techno-economical aspects in own responsibility area. Leads and executes technical activities and projects in own responsibility area. Supports resource and program planning. Writes requirements, specifications and other guiding documentation for R&D from a technical point of view. May work also outside of own process area on technical issues. Solves complex engineering problems in many technology areas. Coaches other team members in solving complex engineering problems. Undertakes technical training responsibilities.
Position Description
Main responsibilities include 4G/5G RRH RFTRX circuity design (DAC/ADC, amplifying and frequency conversion functions), debug and solve both circuitry level and RRH unit level complex problem, develop the RF hardware architecture for next generation/5G RRH.
Follow RFTRX technical trends of RF industry and work out/implement competitive RFTRX solution for 4.5G/5G cellular systems.
Document preparation to deliver Nokia process compliant design outputs.
Position Requirements
Candidate should have at least over 5 years of RFTRX design experiences, highly experienced in RF circuitry design and tuning.
Thorough understating of the signal processing chain in both analog and digital domain, master the JSED interface and digital modulation principles.
Familiar with TRX integration in whole RRH unit level, systematic thinking and knowing TRX industrial technical trends.
Integrity is a must, and systematic way of thinking is a big plus."
"Senior Specialist, RFTRX","Nokia is a global leader in the technologies that connect people and things. With state-of-the-art software, hardware and services for any type of network, Nokia is uniquely positioned to help communication service providers, governments, and large enterprises deliver on the promise of 5G, the Cloud and the Internet of Things. Serving customers in over 100 countries, our research scientists and engineers continue to invent and accelerate new technologies that will increasingly transform the way people and things communicate and connect.
General Purpose
Works in senior engineering role in product, system or technology program in SW/HW/System Design or Integration & Verification. Is the highly respected expert with long term experience from previous product or technology programs.
Main Responsibility Area
He/she has the senior responsibility for specifying, planning, reporting, designing and reviewing in his/her technical area (e.g. system component). Is an expert for techno-economical aspects in own responsibility area. Leads and executes technical activities and programs within own responsibility area including reviews and relevant technical studies. Supports resource and program planning. Writes requirements, specifications and other guiding documentation for R&D from product/program/system point of view. High contribution to project milestones by solving/avoiding most complex problems, through understanding dependencies across product / system boundaries. Coaches other team members in solving advanced engineering problems at system component level.
Position Description
Main responsibilities include 4G/5G RRH RFTRX circuity design (DAC/ADC, amplifying and frequency conversion functions), debug and solve both circuitry level and RRH unit level complex problem, develop the RF hardware architecture for next generation/5G RRH.
Follow RFTRX technical trends of RF industry and work out/implement competitive RFTRX solution for 4.5G/5G cellular systems.
Document preparation to deliver Nokia process compliant design outputs.
Position Requirements
Candidate should have at least over 5 years of RFTRX design experiences, highly experienced in RF circuitry design and tuning.
Thorough understating of the signal processing chain in both analog and digital domain, master the JSED interface and digital modulation principles.
Familiar with TRX integration in whole RRH unit level, systematic thinking and knowing TRX industrial technical trends.
Integrity is a must, and systematic way of thinking is a big plus."
"Project Manager, RFSW","Nokia is a global leader in the technologies that connect people and things. With state-of-the-art software, hardware and services for any type of network, Nokia is uniquely positioned to help communication service providers, governments, and large enterprises deliver on the promise of 5G, the Cloud and the Internet of Things. Serving customers in over 100 countries, our research scientists and engineers continue to invent and accelerate new technologies that will increasingly transform the way people and things communicate and connect.
General Purpose
Manages the execution of a project of low to medium complexity against agreed program targets.
Main Responsibility Area
Radio Frequency Software department is looking for motivated professionals for the position of Project Manager. We are a part of Nokia Radio Frequency and Advanced Antennas organization. RF Software is responsible for specifying, designing, implementing, testing and maintaining radio products’ software for various radio access technologies, including GSM, WCDMA, LTE and 5G. We are divided into self-organizing teams, working in Agile environment. Our products are developed mainly in C++ and C on several software architecture layers, including those close to hardware, as well as on higher levels of abstraction. We are also responsible for our products’ integration throughout the whole product life cycle, which is performed in the automated Continuous Integration environment.
A common and clearly defined vision, open communication and a deep passion for innovation are the features that best describe our work environment and its unique atmosphere. We believe these are the values that shape the future of technology.
Position Description
Project Manager in RF Software department is leading SW project for new RF Product. Within the frames defined by internal RF Product Development process, SW Project Manager takes care of: scope definition, requirements clarification & traceability, schedule management, resources planning as well as continuous supervision of the execution. In the dynamic agile work environment it is required to take seriously risk and quality management to ensure true zero faults and still be able to continuously respond to the change requests and prioritize content deliveries.
In RF Software, budget planning and F&C aspects are not in scope of SW project responsibility.
Position Requirements
Requirements:
• BSc or MSc degree in Computer Science, Telecommunications, Software Engineering or similar
• Certification or educational degree in project management or equivalent role
• Understanding of both theoretical and practical aspects of project management
• Knowledge of project management techniques and tools
• Hands-on experience in project management
• Excellent understanding of the Software Development Lifecycle
• Proven experience in strategic planning, risk and change management
• Ability to make decision even in ambiguous situation
• Critical thinking and problem solving skills
• Self-reliance and self-discipline
• Developed planning and organizational skills
• Effective communication and leadership skills
• Strong persuasion and negotiation skills
• Knowledge of Agile Software Development Methodologies (SCRUM, TDD, CI)
• Fluent English, both spoken and written"
"Software Architect, RFSW","Nokia is a global leader in the technologies that connect people and things. With state-of-the-art software, hardware and services for any type of network, Nokia is uniquely positioned to help communication service providers, governments, and large enterprises deliver on the promise of 5G, the Cloud and the Internet of Things. Serving customers in over 100 countries, our research scientists and engineers continue to invent and accelerate new technologies that will increasingly transform the way people and things communicate and connect.
General Purpose
Works in senior engineering role in product, system or technology program in SW/HW/System Design or Integration & Verification. Is the highly respected expert with long term experience from previous product or technology programs.
Main Responsibility Area
He/she has the senior responsibility for specifying, planning, reporting, designing and reviewing in his/her technical area (e.g. system component). Is an expert for techno-economical aspects in own responsibility area. Leads and executes technical activities and programs within own responsibility area including reviews and relevant technical studies. Supports resource and program planning. Writes requirements, specifications and other guiding documentation for R&D from product/program/system point of view. High contribution to project milestones by solving/avoiding most complex problems, through understanding dependencies across product / system boundaries. Coaches other team members in solving advanced engineering problems at system component level.
Position Description
Embedded Software Architect is mainly responsible for:
• Requirement analysis, software design and implementation of industrial grade software on embedded real-time platform
• Development of specification and design of assigned architecture entity
• Participation in planning, reporting and reviewing of documents and architecture within the frame of specific project
• Decision making in business critical aspects, balancing technical and business benefits
• Execution of technical activities by leading and supervising a team of engineers
• Cooperation with project managers in program and resource planning activities
• Writing requirements, specifications and other guiding documentation for R&D from a technical point of view
• Cooperation with internal and external stakeholders involved in a project, coaching and leading the teams in solving complex engineering problems from various areas of technology
• Cooperation with software integration engineers regarding integration and verification within the frame of the project
• Conducting technical trainings
Position Requirements
Requirements:
• BSc or MSc degree in Computer Science, Telecommunications, Software Engineering or similar
• Expert level in C/C++ development, analysis and design of complex commercial software products
• Experience in creating advanced software architecture, redesigning and refactoring
• Experience in embedded systems programming (HW resources constraints: limited memory, CPU) including HW
debugging, multithreading and multiprocessing (IPC, parallel computing)
• Expertise in algorithm optimization, code profiling, analysis of memory usage violations and real-time performance enhancing
• Knowledge of Unified Modeling Language (UML)
• Good practical knowledge of STL and boost libraries
• Design Patterns (thread-safe oriented)
• Experience with SW and HW debugging tools (gdb, JTAG, lauterbach)
• Strong analytical skills
• Effective teamwork skills
• Fluent English, both spoken and written
Nice to have:
• Knowledge of Agile Software Development Methodologies (SCRUM, TDD, CI)
• Experience in high scale SW projects (LOC>100k)
• Experience with RTOS and ARM architecture
• Google Unit Test framework (googletest, googlemock)
• Knowledge of Boost C++ libraries
• Basic knowledge in FPGA / ASIC design
• Knowledge of RF signal processing
• Knowledge of radio power amplifier control and dimensioning
• Experience as HAM radio operator / radio technology enthusiast"
