"jobs_title","jobs_requirement"
"Product Manager, IPVPN","We are looking for a Product Manager, International Data Services (Eline & IPVPN) to develop and manage ConnectPlus Eline and/or IPVPN product portfolio to meet the needs of existing and new customer segments.
Responsibilities
Planning and developing new products/features to ensure product relevance and meet changing market needs
Managing cost structure (internal & external), product profitability and customer value
Regularly monitoring product quality against target levels and trigger corrective action where necessary
Understanding market needs; keeping abreast of technology developments/trends and competitive situation
Monitoring and analysing product performance as well as manage product life cycle to maximize revenue and profitable market share
Working with Marketing and Sales teams to develop product strategies and determine market segmenting, targeting and positioning
Developing product policies and ensuring consistency of execution internally and externally
Working with Information Systems (IS) and Billing Systems to support product requirements
Analysing product requirement for major submarine cable projects and make recommendation to Management on cable investment decisions.
Requirements
Good degree in Engineering or Business Administration with at least 3 years of Product Management/Development experience
Sound technical knowledge of Layer 1/2/3 data communications technology will be an added advantage
Good business acumen and ability to formulate business strategy and business case
Keen sense of technology developments and market trends
Have the drive, energy and commitment to succeed in a competitive market environment."
"Customer Service Executive","This position will be responsible to perform and support the Customer Service & Administration of the Corporate Mobile operation. Moderated authority will be given to this person to perform the scope of work and duty. This role would report to the Operations Manager or Assistant Operations Manager, provides support at an optimum level to meet internal and customer expected goals and targets.
Responsibilities
Handle day to day work tasks which includes attending to multiple customer accounts to meet their business request and timeline.
Ensure tickets are closed accurately and timely to meet the SLA of T+2, T+4 & T+9.
To meet Customer Experience (CE) target set by management.
To coordinate and process New Mobile Applications, SIM Activation, Line Transfer, Activation of VASes, Re-contracting, etc.
To attend to customer enquiry in an amicable and professional manner.
Assist to billing query, resolve billing issues and perform billing adjustments if required.
Abide to Singtel Health, Safety & Environmental policies and Quality & Security standards at the workplace.
Attend to any enquires from the hotlines in the department (e.g. hotline CSE).
Ensure calls are answered to meet the individual KPI, <10secs, AHT<420secs, SL: 90%.
Any other duties as assigned by Singtel Supervisor / Manager.
Requirements
Diploma in any discipline, preferably in Business Administration.
Experience in Customer Service will be preferred - those with Telco experience will have an advantage.
Experience in dealing with customers and able to work well with ALL level in an organization.
Computer proficiency is a MUST.
Good customer service and effective communication skills.
Able and willing to interact with all types of customers.
Proficient in spoken and written English.
Enjoy providing customer service to others.
Be prepared to handle paper work and work in desk bound environment most of the time.
Meticulous in carrying out the assigned tasks.
Positive attitude and keen to learn.
Ability to work under pressure; Strong management and computer skills.
Well organized with good documentation, high agility and adaptability.
Strong knowledge in MS Office."
"Solution Architect, Digital - Direct Contract","Job Description
Possess leading digital and mobile technical competency as well as enterprise implementation experience with contemporary digital tools, offerings and products.
Has success and proven track record in architecture and technology leadership across a range of digital technologies including but not limited to Mobile/Web frameworks, Portals, Web Content Management and Collaboration platforms, as well as delivering enterprise-level digital projects.
An expert about what cloud services are, how they operate and how they are used in an online technology environment. Has hands-on experience building and deploying with AWS or cloud type environment and have been worked in a fully automated environment.
Has extensive working experience in a continuously BAU environment and understand how to deliver an system that can be supported and maintained.
Has a strong background in several technologies, from CMS and CRM to ReactJS and Node. A passion for technology and web architecture will be key in keeping up and adapting to the rapidly changing environment and complex client challenges
Is a people manager who is expected to lead and mentor the Digital / IT Developers / Dev Ops teams on best practices and build a high-performance team. He/She is accountable and responsible to ensure that the working team delivers technical designs and solutions that are of excellent quality and standard.
Comfortable having discussions with business people at various levels to negotiate scope, requirements and technical designs in layman terms.
Is the key technical liaison with vendors, product, digital team, our strategy and user experience teams, and is able to lead and influence the team towards alternative designs can deliver a better solution.
Well-versed with Dev Ops practices, including tools and techniques for continuous integration / delivery. And is comfortable discussing what a typical online technology stack looks like, and how online applications scale.
Able to work in an agile environment, and have done test driven development. Ability to design an incremental software development plan that can fit into a continuous delivery cycle, and understands the value of test driven development, continuous integration, continuous deployment, and regression test coverage
Able to lead and work collaboratively with vendors, testers and operational teams to ensure a high standard of testing is enforced and technical issues / gaps are effectively resolved before rollout, so that deployed solutions are of excellent quality, and being able to deliver value to the business early.
Job Requirements
Degree in Information Technology, Computer Science, or its equivalent.
Minimum 10 years' experience across core technical delivery and solution architecture disciplines including Application Architecture; Integration Architecture and Information and Data Architecture
Minimum 8 years' experience of managing technical teams in delivering solutions using waterfall and agile methodologies
Development experience in JS, CSS, HTML5, Responsive Site, Sass, Frontend Templating (e.g. Handlebars and Mustache)
Experience working with 2 or more WCM/ECM products including Druapl, Opentext WEM or/and Adobe Experience Manager.
Test driven development / Unit Testing
Precompiler experience with SASS
WebSerivces (SOAP/REST)
Proven leadership and managerial skills to independently manage teams during multiple phases of the project lifecycle
Strong Vendor Management skills
Ability to lead a team and liaise with vendors in managing projects delivery
Demonstrated consulting skills, including client relationships and team facilitation
Good understanding of the business environment, models and motivations
Good business analysis/redesign skills with architecture and implementation experience
Requirements analysis, conceptual, logical and detailed design skills
Good interpersonal, written and communication skills.
Experience in software and application development that requires analysis and design work.
Knowledge/Experience in Wiki applications, Continuous Integration and Automated Testing
Knowledge/Experience in Agile Development and Management tools, e.g. Jira, Nexus, Artifactory, Jenkins, Sonar, Selenium, Stash"
"Senior/Manager, Group Device Business Unit","Realise your full potential with Asia's leading communications group. While we take pride in our 130-year heritage, our philosophy is to always look forward and evolve. Today, we are a leader in cutting-edge ICT innovation and digital advances, powered by a vast network of offices in countries and territories across Asia Pacific, the Middle East, Europe and the USA. Come be a part of our dynamic organisation as we create the infocomms landscape of the future.
Responsibilities:
Manage and lead the commercial relationships with handset suppliers on behalf of The Group Device Business Unit.
Negotiate device pricing on an ongoing & quarterly basis as part of the quarterly RFI tender process.
Lead engagement and drive the right commercial outcomes for Singtel’s Singapore Device business.
Develop & maintain strong working relationship with Finance & stakeholders to facilitate optimal utilization of Cost Out initiatives.
Proactively review costs within the Group to identify cost reduction opportunities and implement relevant initiatives to achieve savings.
Negotiate contractual terms for handset manufacturers
Run quarterly workshops aimed at driving commercial outcomes for Singtel
Prepare monthly reporting and analysis of commercial performance.
Support to the development of the Annual Operating Plan or the GDBU
Requirements:
At least 3 -5 years in a commercial role. Telecoms or consumer electronics experience is preferred.
Recognized degree in accounting, finance or business related areas
Highly numerate & analytics in thought and approach to problem solving
Ability to think laterally and solve complex issues in highly dynamic environment
Resilient individual with strong relationship-building skills
Excellent communication & presentation skills
Proven track record in driving and delivering commercial outcomes from negotiations.
strong management and supervisory experience
Let’s shape a better world through technology. Join us to lead the change.
Note to Recruitment Agencies
In sourcing for candidates for particular roles, the Singtel Group works only with a panel of selected recruitment agencies expressly engaged under written agreements. Even then, these agencies are only activated from time to time for specific recruitment exercises for particular roles under instructions expressly issued by a member of the Singtel Talent Acquisition team.
Except under such circumstances, no agency shall source or attempt to source any candidates for the Singtel Group. The Singtel Group will not pay nor be obliged or liable to pay any recruitment fees of any kind whatsoever to any agency where candidate CVs are submitted to the Singtel Group by such agency on an unsolicited or speculative basis.
The Singtel Group reserves all rights to directly contact any candidate to which such CVs relate without any obligation or liability whatsoever to the agency concerned (including without limitation any obligation or liability to pay any recruitment fees of any kind)."
"Operations Support Executive, Systems (1 year direct contract)","Responsibilities:
Helpdesk Tools & Self Service
To be the webmaster for the MMKM and eKES. And ensure ease of searching and retrieving information for THD hotline CCOs.
Coordinate and update of the online troubleshooting workflow & System (eg SMART 2.0).
Coordinate with P&S expert and formulate a form for regular update and upload of information.
Provide an platform for the operations and quality team to facilitate information broadcasting and knowledge assessment.
Key rep for THD on all icon and IVR (incl Avaya) related enhancement or request.
Key rep for all self-service initiative and projects.
System and infra (THD) coordinator.
Helpdesk Product Specialist
To be the product manager equivalent roles in THD and coordinates with product and network.
To conduct product evaluation for all existing / new product & services. This include the enhancement & process & procedure.
They are also providing 2nd level support the Resolution (or ACE) team.
Key lead for batch issue which include outages.
Constantly develop / review the training material. And conduct periodic quizzes and test to ascertain their team’s product and technical knowledge.
Develop key information and update to be uploaded into the KM. And coordinate with product on the tech portal information and content.
Key lead in the product specific related projects.
Helpdesk Quality & Training
To conduct the various F&I related training in SIN HD.
Coordinate with P&S expert to ensure the training material are up to date and certified off site technical module trainer.
Review the monthly audit performance and identify area of focuses and work with P&S on the quiz, briefing or refresher training.
Facilitate the certification framework and ensure staff are delivering consistent high standards.
Initiate and drive ad hoc awareness campaign and event.
Conduct follow up on the various feedback (email, SMS and IVR poll) and provide regular feedback to operation on the improvement opportunity.
Conduct deep dive on the monthly CE data and work with the operation manager to derive action plans.
Conduct THD SOP review.
Manage internal comm session, awards and events.
Monitor and generate key daily/weekly and monthly reports for analytical and trending monitoring.
Create report template for operational monitoring.
Requirements:
A Diploma in any discipline from a recognized institution
At least 2 years of Call Centre working experience, preferably with experience/knowledge in any of the following:
- Project management
- Process improvement & SOPs construct
- Service Experience / Feedback / Quality Assurance Management
- Technical support for multimedia product
- Call Centre Operations Management
- Must have proficiency with various software applications programs (MS applications and PHP).
- Strong understanding of computing technology including hardware components, data storage, operating systems, software applications, common peripheral devices, and external connectivity"
"Product Manager","Oversee and manage entire life-cycle for security products, Professional services and solutions.
Duties & Responsibilities
Drive product management roadmaps including:
Identifying new service opportunities by understanding market dynamics, technological advancements and customer’s business challenges.
Driving new product development and enhancements (including product rationalization & retirement) with Engineering & Innovation and other stakeholders
Develop benchmark against competitors’ product offering to improve product features, pricing plan and business processes and/or for new existing services to ensure market competitiveness.
Deliver product revenue growth, market share growth and improve product profitability
Conduct business case analysis, manage product pricing, cost and establish pricing empowerment framework
Enable solutioning, pre-sales and sales in customer engagement and product validation, including:
Develop product schemes and policies, processes to support Sales to Provisioning of services
Support sales for major opportunities as well as engage customers for understanding and validation of services matching to market demands.
Provide product training and update product information on Intranet.
Establish and manage partnerships and alliances with key suppliers and vendors
Oversee product processes in ordering, delivery and implementation to ensure efficiency, competitiveness and effective control cost
Develop and execute Go-to-Market strategies, branding and marketing initiatives together with Product Marketing Managers
Provide inputs and support corporate strategic and inorganic initiatives including M&A, investments and alliances in the field of cyber-security
Requirement:
Degree or higher with specialization in information security
At least 5 - 10 years of working experience in the Information Communications Technology Industry (Cyber Security), preferably in the Product Management role
Presales and Business Development role will be relevant experience as well
Possess technical knowledge of Cyber Security technologies such as Checkpoint, Palo Alto Networks, McAfee, Symantec etc. Familiarity with DDOS, Web Application Security and Managed Security Services would be advantageous.
Relevant product certifications would be added plus.
Excellent written and verbal communication skills. Able to conduct effective presentations.
Able to develop comprehensive and concise management reports
Possess experience in Financial Management and Process Management.
Independent and resourceful team player with a genuine enthusiasm for providing excellent support to internal and external customers.
Preferred certifications: CISSP, CISM, CISA"
"Senior Associate Engineer","The SNOC Associate Engineer will manage satellite payload activities at the Satellite Network Operations Center (SNOC) located at Satellite Earth Station.
The SNOC Associate Engineer is responsible for managing the operations of transponders capacity with the satellite operators. He will work on the planning, optimization and link budget analysis of the satellite transponders. He/She will notify customers on sunoutage data and takes key role in crisis management.
He/She works with the Satellite Control Centre on the Satellite Payload operations.
Pre-requisite
A good Diploma in Electronics and Electrical Engineering, or Communications/Telecommunications Engineering from a recognized institution. Graduates with no experience will be considered.
Knowledge in Satellite link budgets and Satellite communications.
Knowledge in programming and excel macro will be an advantage.
Excellent team player with drive to take on challenging roles.
Ability to work independently with minimum supervision and able to adapt to dynamic environment.
Operational readiness to support in 24/7 environment.
Good written and communication skills."
"Credit Management Executive","Realise your full potential with Asia's leading communications group. While we take pride in our 130-year heritage, our philosophy is to always look forward and evolve. Today, we are a leader in cutting-edge ICT innovation and digital advances, powered by a vast network of offices in countries and territories across Asia Pacific, the Middle East, Europe and the USA. Come be a part of our dynamic organisation as we create the infocomms landscape of the future.
Responsibilities:
Work with users and bank to process Banker's Guarantees for customers on time.
Support payment & analysis requirements for cashflow mgt.
Support AP reporting work and audit requirements (e.g. eclaims review, bank/audit confirmation).
Work with reporting and offshored teams on payment records and handle investigation of exceptions.
Work together with offshored team & liaise with Treasury & Authorisers to effect payt approval by value date.
Liaise with banks on payment issues and bank records.
Work with IS & bank on payment related enhancements & UAT.
Support business payment needs (e.g. new payment platform, vendor's credit application form).
Requirements:
Minimum diploma or ""A-level"" holder with at least 5 years relevant working experience in the operation of Accounts Payables, Treasury (Banker's Guarantee) or Finance.
Familiar with information technology and telecommunication industry.
Prior knowledge of SAP and Citidirect or other online banking is preferred.
Responsible team player who possess good interpersonal and communication skills.
Self-driven and motivated individual who can contribute positively within a team environment.
Let’s shape a better world through technology. Join us to lead the change.
Note to Recruitment Agencies
In sourcing for candidates for particular roles, the Singtel Group works only with a panel of selected recruitment agencies expressly engaged under written agreements. Even then, these agencies are only activated from time to time for specific recruitment exercises for particular roles under instructions expressly issued by a member of the Singtel Talent Acquisition team.
Except under such circumstances, no agency shall source or attempt to source any candidates for the Singtel Group. The Singtel Group will not pay nor be obliged or liable to pay any recruitment fees of any kind whatsoever to any agency where candidate CVs are submitted to the Singtel Group by such agency on an unsolicited or speculative basis.
The Singtel Group reserves all rights to directly contact any candidate to which such CVs relate without any obligation or liability whatsoever to the agency concerned (including without limitation any obligation or liability to pay any recruitment fees of any kind)."
"Senior Solutions Consultant","Responsibility:
Provide high quality pre-sales technical consultation and develop cost effective, resilient, innovative and reliable ICT solutions to win proposals and ids/tenders and achieve high customer satisfaction for the services rendered.
Understand customers' networking and communications requirements and provide high quality network design for customers'' WAN networks.
Perform role of overall solution architect integrating network solutions and managed ICT services; ensuring ICT solutions proposed by partners meet customer requirements.
Constantly review customers'' network and proactively propose improvements to enhance network performance and achieve network optimization.
Provide technical support to account managers on SingTel services.
Conduct presentations on proposed solutions and new technologies to customers.
Prepare win/loss analysis for proposals/bids/tenders submitted to facilitate continuous improvement of networks designed.
Ensure quality documentation and updates for customers' network configurations and processes.
Provide support to project managers and partners in WAN network project implementations and support operations and service managers in post-sales queries when required.
Requirement:
Degree in Telecommunications/ Electrical/ Electronics/Computer Science or equivalent qualifications with at least 2 years’ experience in a technical position in the Communications/Network or Information Technology related industry.
CCNA certification required. Those with CCNP/CCIP certification would have an advantage.
Knowledge of telecommunications related technologies and services such as wireless technology; 3G, wireless, VoiP, ISDN, IP, Internet, networking equipment and video transmission etc.
ITIL certification as well as experience in IT such as Messaging and collaboration, security, servers, backup solutions will also be an added advantage.
Ability to work independently, and communicate effectively with customers, peers and colleagues.
Possess good customer handling and presentation skills."
"Senior Product Marketing Manager","We are looking for a Senior Product Marketing Manager to drive the Product Marketing function for M2M and Cloud services.
You will be responsible for:
Overall business performance of Services – Revenue, Market and Mindshare
Managing A&P expenses and ROIs
Developing and implementing product positioning and packages with Product and Business Development Managers
Developing and implementing marketing programs and lead – generation activities to support product performance
Monitors and interpret market and technology trends, including competitive offerings in the market and emerging opportunities
Understanding customer profiles and effect to develop targeted marketing activities
Supporting Segment Marketing Strategy and activities
Working with technology and solution partners to develop and implement joint marketing programmes
Developing and implementing communication strategy with Marcom and Analyst teams to deliver mindshare among audience and thought leadership in the market.
Developing and managing product literature, presentation and sales enablement materials for Account Managers and Channel Partners (where necessary)
Requirements
Degree in Engineering or Business Administration or Marketing with 8 years of product development, product management, marketing experience in Internet, Communications or IT-related areas
Strong digital marketing skills
Good written, oral communications and presentation skills
Keen sense of technology developments, market trends, and needs of the communications market
Good analytical skills, capable of doing in-depth analysis, to provide insights to customer trends, market needs and possible packages to address gaps identified
Resourcefulness in acquiring customer or product knowledge and market information.
Driven, customer-orientated and a team player"
