"jobs_title","jobs_requirement"
"Senior Business Analyst","The Global Enterprise & Services business has been identified as an area of strategic growth for Telstra and is focused on providing business customers of all sizes with an integrated range of communications solutions and managed services. We are creating a services organisation, building on Telstra's existing capabilities and expertise in order to support business customers of all sizes move information technology infrastructure and services onto their network and into their operations. We are taking advantage of our share in basic telecommunication services to deliver value to our customers through network applications and services and in order to compete in the enterprise and business market on a global scale.
As a Senior Business Analyst, you will be the go-to person across a number of projects and initiatives for key accounts within our Project Services division for both customer and the project teams.
You will be responsible for creating and maintaining business requirements, process improvements and reporting to ensure successful delivery of projects to our Enterprise and Government accounts whilst contributing growth to Telstra's Project Services.
The role requires an individual with a strong and proven background as a Business Analyst within the professional services space i.e. IT/business consulting.
As the ""go-to"" person, you will often be required to consult and provide advice to both internal and external stakeholders, act as an escalation point and enjoy the aspect of problem-solving and thinking quick on your feet.
Working on multiple streams of work and managing conflicting deadlines will get you excited, whilst governance and best practice are your bread and butter.
If you have the above proven capabilities, are tertiary qualified and have at least BPMN or BCAP certification (or willing to get BCAP certified if you are already certified in another BA methodology), then we would love to hear from you to discuss this incredible opportunity. Most important is that no matter what your qualifications and certifications are, you are focused on customer delivery, business development and a positive customer experience. This role is perfect for building your career within the largest Telco in Australia – apply and make your mark!"
"Senior Finance Analyst","With Telstra you can be part of the biggest changes in Australian corporate history. Some of the best minds in the industry work here. You'll work on a scale you can't get elsewhere. Be exposed to new challenges, systems, leading edge technology and methodologies. But most importantly, our work has an impact on the community and people's lives.
The Senior Finance Analyst position sits within NBN Delivery Group - the team that leads the commercial interaction with NBN Co under the Infrastructure Services Agreement (ISA) & Subscriber Agreement (SA) and is responsible for ensuring a robust financial framework for the HFC Project.
This role sits within the Commercial and Financial management group of the HFC project.
In this role, you'll work with the commercial team and business units to understand and model the revenue and cost drivers for the HFC project. You'll engage with stakeholders to implement commercial framework; provide financial analysis and KPI reporting support to the GM and Senior Band 2 in managing and tracking the financial aspects of HFC project and utilise recognised analytical tools and techniques to assemble facts and data in support of contract development, review, renegotiation, implementation and management.
We're looking for someone with a tertiary qualification in Accounting/Finance or CA/CPA. Additionally, you'll have 7+ years' experience in construction projects within medium to large organisations. The ideal candidate will have detailed knowledge of some aspects of Telecommunications or IT industry platforms and applications in addition to proven establishment and delivery of programs through to completion with a strong commitment to meeting budget, timeframe and quality requirements.
As part of our team you can create and recreate your career. Experience within this role and demonstrated capabilities could lead towards a Commercial Specialist or a Financial Management General Manager role. On top of an attractive salary package, you'll also have access to MyRewards@Telstra.
We work flexibly at Telstra. Talk to us about how this job could be flexible for you."
"Senior Data Analyst","Job descriptions:
Responsible to drive implementation of the Enterprise business analytic (BA) and business intelligence (BI) by conducting BA/BI data analysis and control for the enterprise wide service value chain digital assets
Provide business and technical decision advisory and support for data related matter between the business and IT and other architects.
Lead the build of data application system, data warehouse and comprehensive analysis of the construction and operation of the information portal.
Analyse the collated and integrated data sources from information flow and data models in enterprise service value chain
Evaluate required system and support the creation of data processing platforms and data processing capabilities.
Manage data modelling for enterprise data at rest and data in flight and conduct diagnostic and in depth portfolio analysis
Lead and develop a data transformation and processing strategy and methods
Drive statistical analysis of business operation, product/service, operational data model
Manage communication to business on business analytical reports for product operations, marketing strategy, evaluation and improvement.
Lead technical team on import, cleanse, transform, validate and model business data and digital asset with the purpose of understanding or making data related decision
Drive improvement to data quality for business consumption on analytic
Lead data migration by driving data extraction and transformation from
Lead technical team on design and development of relational and noSQL databases for collecting business data including building or designing data input or data collection screens
Develop scripts with Data Definition Language or Data Manipulation Language SQL commands
Provide leadership on Knowledge Sharing to data analytic and practices in ITS and business
Provide business level consulting - Able to perform analysis of data and provide clear and actionable insights.
Qualifications:
Bachelor's and Master s degree in Computer Science, Information System, quantitative field (Statistic, Applied Mathematic) or Business with Analytic major
Min 8-10 years of industrial experience with IT, quantitative analysis, data management or business intelligence focus.
Strong analytical skills with the ability to collect, organise, analyse, and disseminate significant amounts of information with attention to detail and accuracy
Proven working experience as a data analyst in a telecom and/or business-to-business enterprise environment
Proven experience in creating strong relationship with Business and SMEs to foster effective communication.
Proven experience to present and communicate clearly complex problems using qualitative and quantitative observations
Experience implementing analytical solutions in business value chain. Preferable in telecom enterprise business space
Technical expertise regarding data models, database design development, data mining and segmentation techniques
Hands on experience with BIG DATA technology and tools like Hadoop, Apache data suite, Informatica, SAS, Pivotal, Alteryx, Tableau, etc.
Fast at building queries using the right tool for the right outcome and dataset.
Experience with Econometric modelling and analysis methodology
Experience with customer lifecycle management, customer segmentation and customer oriented value chain analysis
Experience working on cross functional analytical projects
Experience in data extraction, cleansing, loading and migration
Always up-to-date with Data ingestion, transformation and publication technology.
Understand data security, retention, segregation and privacy constraints.
Ability to work in a fast-paced business delivery
Ability to lead a team or work individually to deliver
We work flexibly at Telstra. Talk to us about how this job could be flexible for you."
"Solution Test Specialist","The world around us is changing, and hopefully you've noticed that Telstra is changing too. We're putting the customer at the centre of everything we do, and we need your help to do that.
We want people who are driven to succeed and have a hunger to achieve their goals. What we really want are people who take pride in the job they do, as well as the desire to step into the future with us.
Reporting to the Verification Lead, the role of Business Solution Test Specialist will be to provide leadership, guidance and Subject Matter Expertise, from a Business perspective to IT/BU test teams on behalf of the Billing & Credit Verification Lead. The role will act as a 'bridge' between IT and the BU's for CAT and Business Acceptance Testing and support the GFS Must Wins and delivery of four of Telstra's Five Beacons – NBN Order to Activate, Supercharging Our Growth Agenda, Fitter & Faster and Build a World Class Technology.
We are looking for a strong communicator with leadership and influencing capabilities who has the ability to simultaneously deal with multiple and complex issues and enjoy building and maintaining positive relationships with key stakeholders.
You will have exceptional experience working in a similar role within a complex matrix corporate organisation and be highly skilled in Telstra's Billing & Credit system and architecture along with hold relevant certifications such as ISTQB, ISTE etc.
If you are dedicated to developing yourself, have a desire to always achieve more then we want to hear from you! Above all, you will bring enthusiasm and dedication to your job, are not afraid of hard work, and thrive off the satisfaction gained from achieving success in addressing and successfully overcoming challenges.
If you're looking to take the next step in your career, then please connect with what you love and apply today!
We work flexibly at Telstra. Talk to us about how this job could be flexible for you."
"Demand Optimisation Specialist","With Telstra, you can be part of the biggest changes in Australian & Philippines corporate history. Some of the best minds in the industry work here. You'll work on a scale you can't get elsewhere. Be exposed to new challenges, systems, leading edge technology and methodologies. But most importantly, our work has an impact on the community and people's lives.
Working as part of our 'Prevent/Deflect/Optimise' model to simplification and productivity, the Demand Optimisation specialist is responsible for partnering with the Global Contact Centres and other business units to create and deliver 'best methods' for our top customer demands.
Through being connected to the work and leveraging strong analytical skills, you will identify top demands, map current state to handling and variation within this, baseline performance, conduct analysis to determine top drivers of failure and pain points, and partner with the business to explore agent guidance and process automation. The end outcome will be a 'best method' that simplifies the experience for our customers and front line, whilst also delivering a strong business benefit.
Here's the JD: JD - Demand Optimisation Specialist.docx
It's no secret we will expect a lot from you. But like any good relationship, we give a lot back. What you'll probably appreciate the most is the amazingly diverse and talented group of colleagues you'll work with, who'll support your development and with whom you'll achieve great things.
We work flexibly at Telstra. Talk to us about how this job could be flexible for you."
"Continuous Improvement Analytics Lead","The world around us is changing, and hopefully you've noticed that Telstra is changing too. We're putting the customer at the centre of everything we do, and we need your help to do that. We want people who are driven to succeed and have a hunger to achieve their goals. What we really want are people who take pride in the job they do, as well as the desire to step into the future with us.
Telstra's contact centres are the largest and most complex in Australia and are considered a strategic differentiator for Telstra in the market place. Our large global presence utilising a number of industry BPO partners is balanced with our own centres in the Philippines, India and Australia to maintain overall visibility and control of all interactions with our customer.
The Senior Business Analyst /Continuous Improvement Analytics Lead will work as part of the Customer Experience and Improvement team under Productivity. This role will be responsible for undertaking a methodical approach in scoping and uncovering bottom up opportunities through analytics to truly understanding our customers and our business, and partnering across Telstra to influence continuous improvement programs and shape service design that will reduce customer effort, simplify the customer and agent experience.
Here's the JD: JD - Continuous Improvement Analytics Lead.docx
In return, you will have the opportunity to work with some of the best minds in the industry and we are led by great leaders. You will be constantly amazed at the wealth of knowledge and experience that exists in Telstra, and will learn something new every day. What you'll enjoy the most is that there is always something new to work on and someone new to meet and learn from.
So if you are passionate about putting the customer first and want to deliver experiences that are second to none, get in touch with us now!
We work flexibly at Telstra. Talk to us about how this job could be flexible for you."
"Risk Reporting Manager","The world around us is changing, and hopefully you've noticed that Telstra is changing too. We're putting the customer at the centre of everything we do, and we need your help to do that.
We want people who are driven to succeed and have a hunger to achieve their goals. What we really want are people who take pride in the job they do, as well as the desire to step into the future with us.
The Risk Reporting Manager role is a key aspect of the GCC (Global Contact Centre) Risk strategy to reduce and remove risk within the GCC. There are two key components to this role
1) risk reporting and analytics and
2) incident management.
Under minimal supervision & working within a diverse range of relevant product and processes, this role will be accountable for delivering a full range of risk reporting, customer care and incident coordination functions, including:
Developing and delivering reporting to GCC which drives optimal business decisions based on sophisticated risk based information
The performance of a full range of communications, co-ordination & implementation functions to ensure customer solutions are delivered in accordance with customer requirements
We are looking for a candidate who has a robust experience in the following skills; reporting, analytics, risk, management reporting, database creation, SAS, and SQL.
If you are dedicated to developing yourself, have a desire to always achieve more then we want to hear from you! Above all, you will bring enthusiasm and dedication to your job, are not afraid of hard work, and thrive off the satisfaction gained from achieving success in addressing and successfully overcoming challenges.
If you're looking to take the next step in your career, then please connect with what you love and apply today!
Here's the JD: JD - Risk Reporting Manager.docx
We work flexibly at Telstra. Talk to us about how this job could be flexible for you."
"ITS Frontline General Manager","Telstra's consumer business is a strategic differentiator for Telstra in the market place. The role will ensure alignment to the business strategy and technology blueprint.
Reporting to the Director, IT Retail Engagement this senior leadership role is responsible for the front of house experience across our global contact centre.
You will be accountable for leading the executive engagement for Consumer Frontline, setting the strategic direction, integrated delivery of technology solutions and ongoing systems support for the Contact Centre technologies and under pinning networks for all of Telstra's internal contact centres, across respective customer segments and product lines.
The individual we are seeking with come with a successful background in complex IT delivery from within a large contact centre environment. You will be able to demonstrate an in-depth understanding of the key retail organisation drivers coupled with proven experience in a frontline consumer or similar large transactional or Business Process Operations environment.
We work flexibly at Telstra. Talk to us about how this job could be flexible for you."
"General Manager - Customer Management","The world around us is changing, and hopefully you've noticed that Telstra is changing too. We're putting the customer at the centre of everything we do, and we need your help to do that. We want people who are driven to succeed and have a hunger to achieve their goals. What we really want are people who take pride in the job they do, as well as the desire to step into the future with us.
Telstra's consumer business is a strategic differentiator for Telstra in the market place. This role will ensure alignment to the business strategy and technology blueprint.
As a senior leader in this division, you will drive performance and provide expertise on a range of complex technology issues and Customer engagement channels to deliver an exceptional service.
You will have a proven track record as a senior manager who leads from the front and provides innovative insights and guidance to their team.
This is a complex IT Management role that will require the successful person to demonstrate a solid understanding and experience in a large contact centre environment and the associated technology platforms, products and issues. The ability to apply a commercial lens, when working in the current climate of highly competitive markets is critical to ensure great decisions that build value.
We work flexibly at Telstra. Talk to us about how this job could be flexible for you."
"General Manager - Customer Contact Centre","The world around us is changing, and hopefully you've noticed that Telstra is changing too. We're putting the customer at the centre of everything we do, and we need your help to do that. We want people who are driven to succeed and have a hunger to achieve their goals. What we really want are people who take pride in the job they do, as well as the desire to step into the future with us.
Telstra's contact centres are the largest and most complex in Australia and are considered a strategic differentiator for Telstra in the market place. Our large global presence utilising a number of industry BPO partners is balanced with our own centres in the Philippines, India and Australia to maintain overall visibility and control of all interactions with our customer.
This senior leadership role will ensure alignment to the business strategy and technology blueprint.
You will be accountable for leading the executive engagement for Global Contact Centres, setting the strategic direction, integrating delivery of technology solutions and ongoing systems support for the Contact Centre technologies, and under pinning networks for all of Telstra's internal contact centres, across respective customer segments and product lines.
We are looking for an industry leader in Contact Centre Technical delivery who will drive change and innovation whilst delivering an exceptional service. Proven experience in complex consumer, contact centre or similar large transactional or Business Process Operations environments is essential coupled with a proven senior leadership track record.
We work flexibly at Telstra. Talk to us about how this job could be flexible for you."
