language,variation
ActionScript,
Angelscript,
Angular,"Angular.js,AngularJS,AngularJS2"
AppleScript,
Aurelia,"Aurelia.js,AureliaJS"
Babel,
Babylon.js,"Babylon, BabylonJS"
Backbone,"Backbone.js,BackboneJS"
Bootstrap,"Boot strap,Bootstrapping"
C,
Chai,
Clojure,ClojureScript
COBOL,COBOL2
CoffeeScript,Coffee Script
Corba,
Csharp,"C# Net,C#"
D3.js,D3js
Delphi,
Django,
Dojo,
Elixir,
Ember,"Ember.js,EmberJS"
Erlang,
ES6,"EcmaScript,ES2015,ES,Ecma"
Express.js,"Express.js,ExpressJS"
ExtJS,Ext JS
Fsharp,F#
Flask,
Go,GoLang
Groovy,
Hack,
Haskell,
Ionic,
Jsharp,J#
Java,
JRuby,
Jython,
Karma,
Knockout,"Knockout.js,KnockoutJS"
Leaflet,
Lisp,
Lua,
Mercury,"Mercury.js,MercuryJS"
Meteor,"Meteor.js,MeteorJS"
Mocha,
Moment,
Node.js,"Node.js,Node,NodeJS"
Objective-C,"Objective C,ObjectiveC"
Objective-J,"Objective J,ObjectiveJ"
Octave,
Pascal,
Perl,
PhantomJS,
PHP,
Polymer,"Polymer.js,PolymerJS"
PowerBasic,
PowerCLI,
PowerScript,
PowerShell,
Pyramid,
Python,
R-script,R
React,"React.js,ReactJS"
Redux,
Ruby,
Ruby-on-Rails,Rails
Rust,
Scala,
Scheme,
Scilab,
Shell,
SIGNAL,
Simulink,
SPLUS,S PLUS
SPSS,
Swift,
TeX,
Three.js,Three js
TypeScript,
Underscore,"Underscore.js,UnderscoreJS"
Unified.js,Unified js
VimL,
Vue,"Vue.js,VueJS"
