language,variation
BigQuery,Big Query
Avro,
Chukwa,
Flume,JFlume
Hadoop,
RHadoop,
Lucene,
ElasticSearch,"ELK,Elastic"
Logstash,Log stash
Kibana,
Splunk,
MapReduce,"Map Reduce,Map-Reduce"
Spark,
Impala,
Oozie,
Solr,
Sqoop,
Storm,
Terracotta,
HBase,
Hive,
Presto,
Shark,
Pig,
Mahout,
Zookeeper,
Kafka,
BigTable,Big Table
Cassandra,
CouchDB,Couch
Couchbase,
Firebird,
Hypertable,
MongoDB,Mongo
Neo4j,
PostgreSQL,"PostGres,PGSQL"
Memcached,
Redis,
Riak,
Weka,
Scikit-learn,"NumPy,SciPy,Matplotlib"
TensorFlow,Tensor
