Language,Variation
ES6,"EcmaScript,ES2015,ES,Ecma"
ExtJS,Ext JS
jQuery,
Ajax,
Angular,"Angular.js,AngularJS,AngularJS2"
Node.js,"Node.js,Node,NodeJS"
Ember,"Ember.js,EmberJS"
D3.js,D3js
Express.js,"Express.js,ExpressJS"
React,"React.js,ReactJS"
Meteor,"Meteor.js,MeteorJS"
Backbone,"Backbone.js,BackboneJS"
Knockout,"Knockout.js,KnockoutJS"
Aurelia,"Aurelia.js,AureliaJS"
Underscore,"Underscore.js,UnderscoreJS"
Vue,"Vue.js,VueJS"
PhantomJS,
Polymer,"Polymer.js,PolymerJS"
Mercury,"Mercury.js,MercuryJS"
Three.js,Three js
Unified.js,Unified js
Babylon.js,"Babylon, BabylonJS"
Moment,
Redux,
Ionic,
Babel,
Leaflet,
Bootstrap,"Boot strap,Bootstrapping"
Mocha,
Chai,
Karma,
Sails.js,
Dojo,
